Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612756	0028200004	OCT 29, 1982	PHX @ SDC	W	1	0	1	240	43	NA	NA	0	NA	NA	27	37	0.73	NA	NA	0	NA	NA	NA	NA	NA	113	Away	1982-10-29	SDC	14	1	0
81	1610612756	0028200022	OCT 31, 1982	PHX @ DEN	L	1	1	0.5	240	42	NA	NA	3	NA	NA	23	35	0.657	NA	NA	0	21	NA	NA	NA	35	110	Away	1982-10-31	DEN	-4	0	1
80	1610612756	0028200023	NOV 02, 1982	PHX vs. POR	W	2	1	0.666666666666667	240	37	90	0.411	0	NA	NA	18	24	0.75	NA	NA	0	21	NA	NA	NA	NA	92	Home	1982-11-02	POR	5	1	0
79	1610612756	0028200038	NOV 04, 1982	PHX vs. UTH	W	3	1	0.75	240	45	83	0.542	0	NA	NA	29	36	0.806	NA	NA	0	29	NA	NA	NA	43	119	Home	1982-11-04	UTH	15	2	0
78	1610612756	0028200053	NOV 06, 1982	PHX @ DAL	W	4	1	0.8	240	47	84	0.56	0	NA	NA	18	26	0.692	NA	NA	0	34	NA	NA	NA	30	112	Away	1982-11-06	DAL	12	3	0
77	1610612756	0028200060	NOV 07, 1982	PHX @ SAN	L	4	2	0.666666666666667	240	41	90	0.456	0	NA	NA	18	24	0.75	NA	NA	0	28	NA	NA	NA	31	100	Away	1982-11-07	SAN	-1	0	1
76	1610612756	0028200065	NOV 09, 1982	PHX @ HOU	W	5	2	0.714285714285714	240	49	90	0.544	0	NA	NA	21	26	0.808	NA	NA	0	NA	NA	NA	NA	23	119	Away	1982-11-09	HOU	28	1	0
75	1610612756	0028200078	NOV 10, 1982	PHX vs. KCK	W	6	2	0.75	240	36	80	0.45	0	NA	NA	34	46	0.739	NA	NA	0	23	NA	NA	NA	33	106	Home	1982-11-10	KCK	6	2	0
74	1610612756	0028200086	NOV 12, 1982	PHX vs. CLE	W	7	2	0.777777777777778	240	41	90	0.456	0	NA	NA	12	18	0.667	NA	NA	0	32	NA	NA	NA	15	94	Home	1982-11-12	CLE	13	3	0
73	1610612756	0028200098	NOV 14, 1982	PHX @ POR	W	8	2	0.8	240	44	82	0.537	0	NA	NA	14	18	0.778	NA	NA	0	33	NA	NA	NA	26	102	Away	1982-11-14	POR	8	4	0
