Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612757	0028200002	OCT 29, 1982	POR @ KCK	L	0	1	0	240	39	NA	NA	0	NA	NA	33	46	0.717	NA	NA	0	19	NA	NA	NA	27	111	Away	1982-10-29	KCK	-2	0	1
81	1610612757	0028200013	OCT 30, 1982	POR @ SAN	L	0	2	0	240	44	NA	NA	2	NA	NA	17	22	0.773	NA	NA	0	25	NA	NA	NA	NA	107	Away	1982-10-30	SAN	-5	0	2
80	1610612757	0028200023	NOV 02, 1982	POR @ PHX	L	0	3	0	240	31	82	0.378	0	NA	NA	25	34	0.735	NA	NA	0	19	NA	NA	NA	NA	87	Away	1982-11-02	PHX	-5	0	3
79	1610612757	0028200040	NOV 04, 1982	POR vs. SAN	L	0	4	0	265	41	92	0.446	0	NA	NA	25	29	0.862	NA	NA	0	30	NA	NA	NA	25	107	Home	1982-11-04	SAN	-1	0	4
78	1610612757	0028200056	NOV 06, 1982	POR vs. NYK	W	1	4	0.2	240	33	65	0.508	0	NA	NA	44	56	0.786	NA	NA	0	23	NA	NA	NA	29	110	Home	1982-11-06	NYK	8	1	0
77	1610612757	0028200059	NOV 07, 1982	POR @ LAL	L	1	5	0.166666666666667	240	40	87	0.46	0	NA	NA	9	15	0.6	NA	NA	0	26	NA	NA	NA	20	89	Away	1982-11-07	LAL	-14	0	1
76	1610612757	0028200070	NOV 09, 1982	POR vs. GOS	W	2	5	0.285714285714286	240	42	86	0.488	0	NA	NA	27	42	0.643	NA	NA	0	27	NA	NA	NA	20	111	Home	1982-11-09	GOS	15	1	0
75	1610612757	0028200079	NOV 11, 1982	POR vs. HOU	W	3	5	0.375	240	46	84	0.548	0	NA	NA	19	24	0.792	NA	NA	0	30	NA	NA	NA	28	111	Home	1982-11-11	HOU	21	2	0
74	1610612757	0028200081	NOV 12, 1982	POR @ DEN	W	4	5	0.444444444444444	240	53	84	0.631	0	NA	NA	22	30	0.733	NA	NA	0	41	NA	NA	NA	26	128	Away	1982-11-12	DEN	17	3	0
73	1610612757	0028200098	NOV 14, 1982	POR vs. PHX	L	4	6	0.4	240	36	83	0.434	1	NA	NA	21	27	0.778	NA	NA	0	23	NA	NA	NA	21	94	Home	1982-11-14	PHX	-8	0	1
72	1610612757	0028200108	NOV 16, 1982	POR vs. ATL	W	5	6	0.454545454545455	240	38	77	0.494	0	NA	NA	30	38	0.789	NA	NA	0	27	NA	NA	NA	25	106	Home	1982-11-16	ATL	19	1	0
71	1610612757	0028200122	NOV 19, 1982	POR vs. NJN	W	6	6	0.5	240	46	79	0.582	0	NA	NA	26	29	0.897	NA	NA	0	32	NA	NA	NA	27	118	Home	1982-11-19	NJN	10	2	0
70	1610612757	0028200132	NOV 21, 1982	POR vs. CLE	W	7	6	0.538461538461538	240	51	93	0.548	0	NA	NA	27	33	0.818	NA	NA	0	27	NA	NA	NA	20	129	Home	1982-11-21	CLE	50	3	0
69	1610612757	0028200143	NOV 23, 1982	POR @ PHL	W	8	6	0.571428571428571	240	40	81	0.494	0	0	0	26	35	0.743	NA	NA	0	27	NA	7	16	24	106	Away	1982-11-23	PHL	3	4	0
68	1610612757	0028200149	NOV 24, 1982	POR @ BOS	L	8	7	0.533333333333333	240	35	87	0.402	0	NA	NA	25	30	0.833	NA	NA	0	24	NA	NA	NA	26	95	Away	1982-11-24	BOS	-9	0	1
67	1610612757	0028200156	NOV 26, 1982	POR @ DET	L	8	8	0.5	265	44	95	0.463	0	NA	NA	30	37	0.811	NA	NA	0	NA	NA	NA	NA	35	118	Away	1982-11-26	DET	-14	0	2
66	1610612757	0028200166	NOV 27, 1982	POR @ WAS	L	8	9	0.470588235294118	240	35	85	0.412	0	NA	NA	20	28	0.714	NA	NA	0	13	NA	NA	NA	20	90	Away	1982-11-27	WAS	-17	0	3
65	1610612757	0028200176	NOV 30, 1982	POR vs. SDC	W	9	9	0.5	240	46	80	0.575	0	NA	NA	29	38	0.763	NA	NA	0	25	NA	NA	NA	27	121	Home	1982-11-30	SDC	7	1	0
64	1610612757	0028200193	DEC 02, 1982	POR @ UTH	L	9	10	0.473684210526316	240	49	95	0.516	0	NA	NA	14	21	0.667	NA	NA	0	24	NA	NA	NA	26	112	Away	1982-12-02	UTH	-7	0	1
63	1610612757	0028200196	DEC 03, 1982	POR @ LAL	L	9	11	0.45	240	43	97	0.443	0	NA	NA	14	21	0.667	NA	NA	0	28	NA	NA	NA	26	100	Away	1982-12-03	LAL	-15	0	2
62	1610612757	0028200214	DEC 07, 1982	POR vs. UTH	W	10	11	0.476190476190476	240	53	96	0.552	0	NA	NA	31	41	0.756	NA	NA	0	24	NA	NA	NA	31	137	Home	1982-12-07	UTH	16	1	0
61	1610612757	0028200231	DEC 09, 1982	POR @ GOS	W	11	11	0.5	240	38	78	0.487	0	NA	NA	31	48	0.625	NA	NA	0	23	NA	NA	NA	30	107	Away	1982-12-09	GOS	9	2	0
60	1610612757	0028200249	DEC 12, 1982	POR vs. PHX	W	12	11	0.521739130434783	240	34	85	0.4	1	NA	NA	30	41	0.732	NA	NA	0	19	NA	NA	NA	21	99	Home	1982-12-12	PHX	5	3	0
59	1610612757	0028200254	DEC 14, 1982	POR vs. LAL	W	13	11	0.541666666666667	240	46	81	0.568	0	NA	NA	15	26	0.577	NA	NA	0	30	NA	NA	NA	20	107	Home	1982-12-14	LAL	4	4	0
58	1610612757	0028200269	DEC 16, 1982	POR @ SDC	W	14	11	0.56	240	44	79	0.557	0	NA	NA	23	31	0.742	NA	NA	0	20	NA	NA	NA	22	111	Away	1982-12-16	SDC	8	5	0
57	1610612757	0028200283	DEC 18, 1982	POR vs. DAL	W	15	11	0.576923076923077	240	42	77	0.545	0	NA	NA	24	37	0.649	NA	NA	0	27	NA	NA	NA	27	108	Home	1982-12-18	DAL	3	6	0
56	1610612757	0028200295	DEC 21, 1982	POR @ SEA	L	15	12	0.555555555555556	240	33	85	0.388	0	NA	NA	28	34	0.8	NA	NA	0	23	NA	NA	NA	25	94	Away	1982-12-21	SEA	-5	0	1
55	1610612757	0028200304	DEC 23, 1982	POR vs. HOU	W	16	12	0.571428571428571	240	33	71	0.465	0	NA	NA	22	38	0.579	NA	NA	0	22	NA	NA	NA	21	88	Home	1982-12-23	HOU	6	1	0
54	1610612757	0028200312	DEC 25, 1982	POR vs. SEA	W	17	12	0.586206896551724	240	42	83	0.506	0	NA	NA	11	15	0.733	NA	NA	0	33	NA	NA	NA	17	95	Home	1982-12-25	SEA	7	2	0
53	1610612757	0028200319	DEC 26, 1982	POR @ SDC	L	17	13	0.566666666666667	240	41	86	0.477	1	NA	NA	22	28	0.786	NA	NA	0	24	NA	NA	NA	27	105	Away	1982-12-26	SDC	-7	0	1
52	1610612757	0028200331	DEC 28, 1982	POR @ PHX	L	17	14	0.548387096774194	240	38	90	0.422	0	NA	NA	18	21	0.857	NA	NA	0	13	NA	NA	NA	28	94	Away	1982-12-28	PHX	-22	0	2
51	1610612757	0028200343	DEC 30, 1982	POR @ KCK	W	18	14	0.5625	240	43	78	0.551	1	NA	NA	26	41	0.634	NA	NA	0	26	NA	NA	NA	25	113	Away	1982-12-30	KCK	6	1	0
50	1610612757	0028200353	JAN 01, 1983	POR vs. GOS	W	19	14	0.575757575757576	240	45	96	0.469	0	NA	NA	12	22	0.545	NA	NA	0	24	NA	NA	NA	19	102	Home	1983-01-01	GOS	28	2	0
49	1610612757	0028200355	JAN 02, 1983	POR vs. DEN	W	20	14	0.588235294117647	240	50	102	0.49	0	NA	NA	22	26	0.846	NA	NA	0	25	NA	NA	NA	21	122	Home	1983-01-02	DEN	18	3	0
48	1610612757	0028200362	JAN 04, 1983	POR vs. IND	W	21	14	0.6	240	48	89	0.539	0	NA	NA	23	36	0.639	NA	NA	0	30	NA	NA	NA	21	119	Home	1983-01-04	IND	2	4	0
47	1610612757	0028200380	JAN 06, 1983	POR @ GOS	L	21	15	0.583333333333333	240	38	79	0.481	0	NA	NA	17	25	0.68	NA	NA	0	24	NA	NA	NA	19	93	Away	1983-01-06	GOS	-1	0	1
46	1610612757	0028200399	JAN 09, 1983	POR vs. SEA	W	22	15	0.594594594594595	240	45	87	0.517	0	NA	NA	20	27	0.741	NA	NA	0	27	NA	NA	NA	28	110	Home	1983-01-09	SEA	9	1	0
45	1610612757	0028200420	JAN 14, 1983	POR @ SEA	W	23	15	0.605263157894737	240	41	97	0.423	0	NA	NA	20	27	0.741	NA	NA	0	26	NA	NA	NA	28	102	Away	1983-01-14	SEA	3	2	0
44	1610612757	0028200428	JAN 15, 1983	POR vs. KCK	W	24	15	0.615384615384615	240	48	86	0.558	0	NA	NA	25	32	0.781	NA	NA	0	26	NA	NA	NA	22	121	Home	1983-01-15	KCK	11	3	0
43	1610612757	0028200456	JAN 20, 1983	POR @ DAL	L	24	16	0.6	240	49	91	0.538	0	NA	NA	14	21	0.667	NA	NA	0	31	NA	NA	NA	23	112	Away	1983-01-20	DAL	-9	0	1
42	1610612757	0028200470	JAN 22, 1983	POR @ HOU	W	25	16	0.609756097560976	265	47	96	0.495	0	NA	NA	19	26	0.731	NA	NA	0	32	NA	NA	NA	25	113	Away	1983-01-22	HOU	17	1	0
41	1610612757	0028200476	JAN 23, 1983	POR @ SAN	W	26	16	0.619047619047619	240	41	90	0.456	1	NA	NA	25	29	0.862	NA	NA	0	30	NA	NA	NA	25	108	Away	1983-01-23	SAN	1	2	0
40	1610612757	0028200482	JAN 25, 1983	POR vs. LAL	L	26	17	0.604651162790698	240	49	84	0.583	2	NA	NA	20	28	0.714	NA	NA	0	25	NA	NA	NA	25	120	Home	1983-01-25	LAL	-5	0	1
39	1610612757	0028200496	JAN 27, 1983	POR vs. UTH	W	27	17	0.613636363636364	240	48	98	0.49	2	NA	NA	22	24	0.917	NA	NA	0	28	NA	NA	NA	25	120	Home	1983-01-27	UTH	14	1	0
38	1610612757	0028200501	JAN 28, 1983	POR @ DEN	L	27	18	0.6	240	40	99	0.404	4	NA	NA	25	30	0.833	NA	NA	0	19	NA	NA	NA	23	109	Away	1983-01-28	DEN	-9	0	1
37	1610612757	0028200521	FEB 01, 1983	POR vs. MIL	L	27	19	0.58695652173913	240	34	81	0.42	0	NA	NA	31	37	0.838	NA	NA	0	16	NA	NA	NA	28	99	Home	1983-02-01	MIL	-16	0	2
36	1610612757	0028200538	FEB 04, 1983	POR vs. PHL	W	28	19	0.595744680851064	240	46	89	0.517	1	2	0.5	22	36	0.611	NA	NA	0	24	NA	3	15	25	115	Home	1983-02-04	PHL	6	1	0
35	1610612757	0028200553	FEB 06, 1983	POR vs. DAL	L	28	20	0.583333333333333	240	41	91	0.451	0	NA	NA	23	35	0.657	NA	NA	0	19	NA	NA	NA	26	105	Home	1983-02-06	DAL	-7	0	1
34	1610612757	0028200563	FEB 08, 1983	POR @ CHI	W	29	20	0.591836734693878	240	45	90	0.5	1	NA	NA	18	26	0.692	NA	NA	0	29	NA	NA	NA	26	109	Away	1983-02-08	CHI	16	1	0
33	1610612757	0028200581	FEB 10, 1983	POR @ MIL	L	29	21	0.58	240	42	93	0.452	0	NA	NA	8	11	0.727	NA	NA	0	26	NA	NA	NA	22	92	Away	1983-02-10	MIL	-10	0	1
32	1610612757	0028200586	FEB 15, 1983	POR vs. SDC	W	30	21	0.588235294117647	240	41	80	0.513	0	NA	NA	33	38	0.868	NA	NA	0	23	NA	NA	NA	22	115	Home	1983-02-15	SDC	9	1	0
31	1610612757	0028200596	FEB 17, 1983	POR vs. BOS	W	31	21	0.596153846153846	240	49	85	0.576	1	NA	NA	22	33	0.667	NA	NA	0	32	NA	NA	NA	26	121	Home	1983-02-17	BOS	7	2	0
30	1610612757	0028200602	FEB 18, 1983	POR @ UTH	W	32	21	0.60377358490566	240	40	88	0.455	1	NA	NA	20	25	0.8	NA	NA	0	24	NA	NA	NA	17	101	Away	1983-02-18	UTH	4	3	0
29	1610612757	0028200610	FEB 20, 1983	POR vs. WAS	W	33	21	0.611111111111111	240	38	80	0.475	0	NA	NA	28	36	0.778	NA	NA	0	23	NA	NA	NA	24	104	Home	1983-02-20	WAS	9	4	0
28	1610612757	0028200623	FEB 22, 1983	POR @ HOU	W	34	21	0.618181818181818	240	44	89	0.494	0	NA	NA	25	31	0.806	NA	NA	0	23	NA	NA	NA	15	113	Away	1983-02-22	HOU	6	5	0
