Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612746	0028200004	OCT 29, 1982	SDC vs. PHX	L	0	1	0	240	36	NA	NA	0	NA	NA	27	48	0.563	NA	NA	0	NA	NA	NA	NA	NA	99	Home	1982-10-29	PHX	-14	0	1
81	1610612746	0028200020	OCT 31, 1982	SDC vs. SEA	L	0	2	0	240	47	NA	NA	0	NA	NA	15	21	0.714	NA	NA	0	23	NA	NA	NA	22	109	Home	1982-10-31	SEA	-18	0	2
80	1610612746	0028200026	NOV 02, 1982	SDC @ NJN	L	0	3	0	240	37	74	0.5	0	NA	NA	26	37	0.703	NA	NA	0	18	NA	NA	NA	NA	100	Away	1982-11-02	NJN	-10	0	3
79	1610612746	0028200031	NOV 03, 1982	SDC @ PHL	L	0	4	0	240	47	106	0.443	3	5	0.6	14	18	0.778	NA	NA	0	27	NA	2	NA	27	111	Away	1982-11-03	PHL	-19	0	4
78	1610612746	0028200045	NOV 05, 1982	SDC @ MIL	L	0	5	0	240	35	102	0.343	0	NA	NA	29	35	0.829	NA	NA	0	21	NA	NA	NA	32	99	Away	1982-11-05	MIL	-31	0	5
77	1610612746	0028200050	NOV 06, 1982	SDC @ CHI	L	0	6	0	240	50	98	0.51	0	NA	NA	24	35	0.686	NA	NA	0	25	NA	NA	NA	36	124	Away	1982-11-06	CHI	-5	0	6
76	1610612746	0028200066	NOV 09, 1982	SDC @ IND	L	0	7	0	240	40	92	0.435	0	NA	NA	15	19	0.789	NA	NA	0	13	NA	NA	NA	21	95	Away	1982-11-09	IND	-5	0	7
75	1610612746	0028200080	NOV 11, 1982	SDC vs. SAN	W	1	7	0.125	240	46	101	0.455	0	NA	NA	17	20	0.85	NA	NA	0	22	NA	NA	NA	27	109	Home	1982-11-11	SAN	4	1	0
74	1610612746	0028200092	NOV 13, 1982	SDC vs. KCK	L	1	8	0.111111111111111	240	46	86	0.535	2	NA	NA	17	21	0.81	NA	NA	0	30	NA	NA	NA	21	111	Home	1982-11-13	KCK	-1	0	1
73	1610612746	0028200105	NOV 16, 1982	SDC vs. DEN	L	1	9	0.1	240	54	105	0.514	0	NA	NA	22	26	0.846	NA	NA	0	32	NA	NA	NA	30	130	Home	1982-11-16	DEN	-6	0	2
72	1610612746	0028200116	NOV 18, 1982	SDC vs. CLE	W	2	9	0.181818181818182	240	43	86	0.5	0	NA	NA	21	26	0.808	NA	NA	0	30	NA	NA	NA	24	107	Home	1982-11-18	CLE	9	1	0
71	1610612746	0028200130	NOV 20, 1982	SDC vs. WAS	L	2	10	0.166666666666667	240	33	86	0.384	0	NA	NA	21	32	0.656	NA	NA	0	17	NA	NA	NA	NA	87	Home	1982-11-20	WAS	-8	0	1
70	1610612746	0028200146	NOV 24, 1982	SDC vs. NJN	W	3	10	0.230769230769231	240	44	89	0.494	0	NA	NA	26	37	0.703	NA	NA	0	26	NA	NA	NA	30	114	Home	1982-11-24	NJN	5	1	0
69	1610612746	0028200159	NOV 26, 1982	SDC vs. LAL	L	3	11	0.214285714285714	240	47	98	0.48	0	NA	NA	21	26	0.808	NA	NA	0	26	NA	NA	NA	27	115	Home	1982-11-26	LAL	-2	0	1
68	1610612746	0028200167	NOV 27, 1982	SDC @ DEN	L	3	12	0.2	240	51	101	0.505	3	NA	NA	20	29	0.69	NA	NA	0	32	NA	NA	NA	39	125	Away	1982-11-27	DEN	-16	0	2
67	1610612746	0028200176	NOV 30, 1982	SDC @ POR	L	3	13	0.1875	240	47	106	0.443	1	NA	NA	19	25	0.76	NA	NA	0	23	NA	NA	NA	31	114	Away	1982-11-30	POR	-7	0	3
66	1610612746	0028200189	DEC 01, 1982	SDC @ SEA	L	3	14	0.176470588235294	240	45	100	0.45	2	NA	NA	18	28	0.643	NA	NA	0	NA	NA	NA	NA	21	110	Away	1982-12-01	SEA	-21	0	4
65	1610612746	0028200201	DEC 03, 1982	SDC vs. PHL	L	3	15	0.166666666666667	240	42	94	0.447	1	4	0.25	25	34	0.735	NA	NA	0	25	10	8	25	25	110	Home	1982-12-03	PHL	-17	0	5
64	1610612746	0028200206	DEC 04, 1982	SDC @ PHX	W	4	15	0.210526315789474	240	45	91	0.495	0	NA	NA	23	28	0.821	NA	NA	0	27	NA	NA	NA	22	113	Away	1982-12-04	PHX	10	1	0
63	1610612746	0028200217	DEC 07, 1982	SDC @ GOS	L	4	16	0.2	240	47	102	0.461	1	NA	NA	19	24	0.792	NA	NA	0	27	NA	NA	NA	26	114	Away	1982-12-07	GOS	-7	0	1
62	1610612746	0028200234	DEC 10, 1982	SDC @ KCK	L	4	17	0.19047619047619	240	40	106	0.377	1	NA	NA	25	39	0.641	NA	NA	0	18	NA	NA	NA	33	106	Away	1982-12-10	KCK	-12	0	2
61	1610612746	0028200242	DEC 11, 1982	SDC @ DAL	L	4	18	0.181818181818182	240	45	NA	NA	1	NA	NA	27	35	0.771	NA	NA	0	36	NA	NA	NA	36	118	Away	1982-12-11	DAL	-6	0	3
60	1610612746	0028200259	DEC 15, 1982	SDC @ UTH	L	4	19	0.173913043478261	240	48	104	0.462	1	NA	NA	16	25	0.64	NA	NA	0	23	NA	NA	NA	24	113	Away	1982-12-15	UTH	-6	0	4
59	1610612746	0028200269	DEC 16, 1982	SDC vs. POR	L	4	20	0.166666666666667	240	41	84	0.488	2	NA	NA	19	24	0.792	NA	NA	0	29	NA	NA	NA	28	103	Home	1982-12-16	POR	-8	0	5
58	1610612746	0028200282	DEC 18, 1982	SDC vs. SEA	L	4	21	0.16	240	47	102	0.461	4	NA	NA	9	19	0.474	NA	NA	0	19	NA	NA	NA	31	107	Home	1982-12-18	SEA	-14	0	6
57	1610612746	0028200293	DEC 21, 1982	SDC vs. DAL	L	4	22	0.153846153846154	240	45	88	0.511	0	NA	NA	28	34	0.824	NA	NA	0	28	NA	NA	NA	34	118	Home	1982-12-21	DAL	-3	0	7
56	1610612746	0028200307	DEC 23, 1982	SDC vs. LAL	L	4	23	0.148148148148148	240	48	104	0.462	2	NA	NA	17	31	0.548	NA	NA	0	29	NA	NA	NA	17	115	Home	1982-12-23	LAL	-5	0	8
55	1610612746	0028200319	DEC 26, 1982	SDC vs. POR	W	5	23	0.178571428571429	240	47	83	0.566	0	NA	NA	18	30	0.6	NA	NA	0	33	NA	NA	NA	25	112	Home	1982-12-26	POR	7	1	0
54	1610612746	0028200326	DEC 28, 1982	SDC @ ATL	L	5	24	0.172413793103448	240	44	88	0.5	2	NA	NA	23	29	0.793	NA	NA	0	22	NA	NA	NA	27	113	Away	1982-12-28	ATL	-10	0	1
53	1610612746	0028200333	DEC 29, 1982	SDC @ SAN	L	5	25	0.166666666666667	240	46	91	0.505	0	NA	NA	23	28	0.821	NA	NA	0	35	NA	NA	NA	24	115	Away	1982-12-29	SAN	-9	0	2
52	1610612746	0028200339	DEC 30, 1982	SDC @ HOU	W	6	25	0.193548387096774	240	43	89	0.483	1	NA	NA	21	29	0.724	NA	NA	0	18	NA	NA	NA	29	108	Away	1982-12-30	HOU	15	1	0
51	1610612746	0028200350	JAN 01, 1983	SDC vs. DET	L	6	26	0.1875	240	43	90	0.478	0	NA	NA	19	26	0.731	NA	NA	0	22	NA	NA	NA	29	105	Home	1983-01-01	DET	-12	0	1
50	1610612746	0028200374	JAN 05, 1983	SDC @ UTH	W	7	26	0.212121212121212	265	49	112	0.438	2	NA	NA	22	36	0.611	NA	NA	0	31	NA	NA	NA	33	122	Away	1983-01-05	UTH	7	1	0
49	1610612746	0028200377	JAN 06, 1983	SDC vs. HOU	L	7	27	0.205882352941176	240	39	92	0.424	1	NA	NA	28	34	0.824	NA	NA	0	22	NA	NA	NA	31	107	Home	1983-01-06	HOU	-2	0	1
48	1610612746	0028200392	JAN 08, 1983	SDC vs. DEN	W	8	27	0.228571428571429	240	52	98	0.531	0	NA	NA	18	22	0.818	NA	NA	0	27	NA	NA	NA	29	122	Home	1983-01-08	DEN	2	1	0
47	1610612746	0028200401	JAN 11, 1983	SDC @ HOU	W	9	27	0.25	240	41	79	0.519	0	NA	NA	23	33	0.697	NA	NA	0	24	NA	NA	NA	20	105	Away	1983-01-11	HOU	8	2	0
46	1610612746	0028200408	JAN 12, 1983	SDC @ DAL	L	9	28	0.243243243243243	240	51	99	0.515	0	NA	NA	8	12	0.667	NA	NA	0	39	NA	NA	NA	26	110	Away	1983-01-12	DAL	-2	0	1
45	1610612746	0028200424	JAN 14, 1983	SDC vs. KCK	W	10	28	0.263157894736842	240	51	94	0.543	0	NA	NA	25	36	0.694	NA	NA	0	28	NA	NA	NA	27	127	Home	1983-01-14	KCK	7	1	0
44	1610612746	0028200435	JAN 15, 1983	SDC @ PHX	L	10	29	0.256410256410256	240	40	87	0.46	1	NA	NA	20	27	0.741	NA	NA	0	23	NA	NA	NA	26	101	Away	1983-01-15	PHX	-13	0	1
43	1610612746	0028200437	JAN 16, 1983	SDC vs. UTH	L	10	30	0.25	240	45	98	0.459	1	NA	NA	20	29	0.69	NA	NA	0	28	NA	NA	NA	30	111	Home	1983-01-16	UTH	-4	0	2
42	1610612746	0028200452	JAN 19, 1983	SDC @ LAL	L	10	31	0.24390243902439	240	48	90	0.533	1	NA	NA	7	10	0.7	NA	NA	0	36	NA	NA	NA	26	104	Away	1983-01-19	LAL	-3	0	3
41	1610612746	0028200457	JAN 20, 1983	SDC vs. IND	W	11	31	0.261904761904762	240	44	99	0.444	0	NA	NA	12	15	0.8	NA	NA	0	25	NA	NA	NA	19	100	Home	1983-01-20	IND	5	1	0
40	1610612746	0028200472	JAN 22, 1983	SDC vs. GOS	W	12	31	0.27906976744186	240	39	78	0.5	0	NA	NA	21	24	0.875	NA	NA	0	26	NA	NA	NA	25	99	Home	1983-01-22	GOS	10	2	0
39	1610612746	0028200489	JAN 25, 1983	SDC vs. MIL	L	12	32	0.272727272727273	240	38	108	0.352	3	NA	NA	23	28	0.821	NA	NA	0	24	NA	NA	NA	24	102	Home	1983-01-25	MIL	-13	0	1
38	1610612746	0028200499	JAN 27, 1983	SDC vs. ATL	W	13	32	0.288888888888889	240	44	92	0.478	0	NA	NA	22	32	0.688	NA	NA	0	28	NA	NA	NA	26	110	Home	1983-01-27	ATL	10	1	0
37	1610612746	0028200515	JAN 29, 1983	SDC @ NYK	W	14	32	0.304347826086957	240	47	84	0.56	0	NA	NA	12	20	0.6	NA	NA	0	26	NA	NA	NA	26	106	Away	1983-01-29	NYK	9	2	0
36	1610612746	0028200529	FEB 02, 1983	SDC @ BOS	L	14	33	0.297872340425532	240	44	90	0.489	0	NA	NA	22	29	0.759	NA	NA	0	22	NA	NA	NA	32	110	Away	1983-02-02	BOS	-10	0	1
35	1610612746	0028200535	FEB 03, 1983	SDC @ DET	W	15	33	0.3125	240	50	99	0.505	0	NA	NA	15	20	0.75	NA	NA	0	25	NA	NA	NA	28	115	Away	1983-02-03	DET	7	1	0
34	1610612746	0028200546	FEB 04, 1983	SDC @ WAS	L	15	34	0.306122448979592	240	37	88	0.42	2	NA	NA	17	25	0.68	NA	NA	0	23	NA	NA	NA	25	93	Away	1983-02-04	WAS	-7	0	1
33	1610612746	0028200552	FEB 06, 1983	SDC @ CLE	L	15	35	0.3	240	44	100	0.44	1	NA	NA	18	26	0.692	NA	NA	0	20	NA	NA	NA	31	107	Away	1983-02-06	CLE	-3	0	2
32	1610612746	0028200567	FEB 08, 1983	SDC vs. DEN	W	16	35	0.313725490196078	240	52	101	0.515	0	NA	NA	21	33	0.636	NA	NA	0	27	NA	NA	NA	30	125	Home	1983-02-08	DEN	27	1	0
31	1610612746	0028200577	FEB 10, 1983	SDC vs. PHX	W	17	35	0.326923076923077	240	35	84	0.417	2	NA	NA	29	41	0.707	NA	NA	0	23	NA	NA	NA	32	101	Home	1983-02-10	PHX	1	2	0
30	1610612746	0028200586	FEB 15, 1983	SDC @ POR	L	17	36	0.320754716981132	240	43	98	0.439	1	NA	NA	19	23	0.826	NA	NA	0	19	NA	NA	NA	33	106	Away	1983-02-15	POR	-9	0	1
29	1610612746	0028200595	FEB 17, 1983	SDC @ GOS	W	18	36	0.333333333333333	240	50	84	0.595	0	NA	NA	12	21	0.571	NA	NA	0	33	NA	NA	NA	31	112	Away	1983-02-17	GOS	10	1	0
28	1610612746	0028200612	FEB 20, 1983	SDC vs. UTH	W	19	36	0.345454545454545	240	45	101	0.446	0	NA	NA	17	20	0.85	NA	NA	0	26	NA	NA	NA	28	107	Home	1983-02-20	UTH	10	2	0
27	1610612746	0028200624	FEB 22, 1983	SDC @ SEA	L	19	37	0.339285714285714	240	41	80	0.513	0	NA	NA	19	27	0.704	NA	NA	0	26	NA	NA	NA	26	101	Away	1983-02-22	SEA	-16	0	1
26	1610612746	0028200639	FEB 24, 1983	SDC vs. BOS	W	20	37	0.350877192982456	240	50	86	0.581	0	NA	NA	22	28	0.786	NA	NA	0	33	NA	NA	NA	30	122	Home	1983-02-24	BOS	15	1	0
25	1610612746	0028200654	FEB 26, 1983	SDC @ HOU	L	20	38	0.344827586206897	240	45	90	0.5	1	NA	NA	17	20	0.85	NA	NA	0	24	NA	NA	NA	26	108	Away	1983-02-26	HOU	-12	0	1
24	1610612746	0028200665	MAR 01, 1983	SDC @ UTH	L	20	39	0.338983050847458	240	45	116	0.388	2	NA	NA	13	23	0.565	NA	NA	0	28	NA	NA	NA	34	105	Away	1983-03-01	UTH	-22	0	2
23	1610612746	0028200674	MAR 02, 1983	SDC vs. POR	L	20	40	0.333333333333333	240	44	83	0.53	0	NA	NA	14	21	0.667	NA	NA	0	22	NA	NA	NA	29	102	Home	1983-03-02	POR	-2	0	3
