Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612758	0028300002	OCT 28, 1983	KCK vs. LAL	L	0	1	0	240	45	93	0.484	0	NA	NA	17	23	0.739	NA	NA	0	17	NA	NA	NA	25	107	Home	1983-10-28	LAL	-10	0	1
81	1610612758	0028300021	OCT 30, 1983	KCK vs. SEA	L	0	2	0	240	42	85	0.494	0	NA	NA	32	37	0.865	NA	NA	0	NA	NA	NA	NA	33	116	Home	1983-10-30	SEA	-5	0	2
80	1610612758	0028300029	NOV 01, 1983	KCK vs. GOS	W	1	2	0.333333333333333	240	43	75	0.573	0	NA	NA	30	37	0.811	NA	NA	0	31	NA	NA	NA	32	116	Home	1983-11-01	GOS	2	1	0
79	1610612758	0028300037	NOV 03, 1983	KCK vs. DEN	L	1	3	0.25	240	47	91	0.516	1	NA	NA	33	39	0.846	NA	NA	0	34	NA	NA	NA	29	128	Home	1983-11-03	DEN	-3	0	1
78	1610612758	0028300055	NOV 05, 1983	KCK vs. HOU	W	2	3	0.4	240	45	92	0.489	0	NA	NA	33	38	0.868	NA	NA	0	31	NA	NA	NA	23	123	Home	1983-11-05	HOU	17	1	0
77	1610612758	0028300064	NOV 08, 1983	KCK @ CHI	L	2	4	0.333333333333333	240	40	93	0.43	1	NA	NA	16	22	0.727	NA	NA	0	26	NA	NA	NA	26	97	Away	1983-11-08	CHI	-3	0	1
76	1610612758	0028300070	NOV 09, 1983	KCK @ MIL	L	2	5	0.285714285714286	240	40	78	0.513	1	NA	NA	12	21	0.571	NA	NA	0	26	NA	NA	NA	29	93	Away	1983-11-09	MIL	-2	0	2
75	1610612758	0028300079	NOV 11, 1983	KCK @ PHL	L	2	6	0.25	240	34	78	0.436	1	3	0.333	31	37	0.838	NA	NA	0	23	NA	6	16	29	100	Away	1983-11-11	PHL	-8	0	3
74	1610612758	0028300089	NOV 12, 1983	KCK @ DET	L	2	7	0.222222222222222	240	40	97	0.412	1	NA	NA	25	34	0.735	NA	NA	0	24	NA	NA	NA	35	106	Away	1983-11-12	DET	-25	0	4
73	1610612758	0028300100	NOV 15, 1983	KCK @ WAS	W	3	7	0.3	240	42	79	0.532	0	NA	NA	17	18	0.944	NA	NA	0	25	NA	NA	NA	26	101	Away	1983-11-15	WAS	1	1	0
72	1610612758	0028300116	NOV 17, 1983	KCK @ SAN	W	4	7	0.363636363636364	240	48	88	0.545	0	NA	NA	33	49	0.673	NA	NA	0	32	NA	NA	NA	43	129	Away	1983-11-17	SAN	1	2	0
71	1610612758	0028300136	NOV 22, 1983	KCK vs. SDC	W	5	7	0.416666666666667	240	50	95	0.526	0	NA	NA	18	24	0.75	NA	NA	0	38	NA	NA	NA	18	118	Home	1983-11-22	SDC	19	3	0
70	1610612758	0028300155	NOV 25, 1983	KCK @ DAL	L	5	8	0.384615384615385	240	37	89	0.416	0	NA	NA	22	27	0.815	NA	NA	0	26	NA	NA	NA	22	96	Away	1983-11-25	DAL	-2	0	1
69	1610612758	0028300163	NOV 26, 1983	KCK vs. UTH	W	6	8	0.428571428571429	240	42	83	0.506	0	NA	NA	33	46	0.717	NA	NA	0	26	NA	NA	NA	33	117	Home	1983-11-26	UTH	1	1	0
68	1610612758	0028300173	NOV 28, 1983	KCK vs. POR	W	7	8	0.466666666666667	240	47	86	0.547	0	NA	NA	19	22	0.864	NA	NA	0	34	NA	NA	NA	31	113	Home	1983-11-28	POR	9	2	0
67	1610612758	0028300186	NOV 30, 1983	KCK @ PHX	W	8	8	0.5	240	46	87	0.529	0	NA	NA	28	36	0.778	NA	NA	0	19	NA	NA	NA	26	120	Away	1983-11-30	PHX	2	3	0
66	1610612758	0028300192	DEC 01, 1983	KCK @ GOS	L	8	9	0.470588235294118	240	34	86	0.395	1	NA	NA	26	31	0.839	NA	NA	0	20	NA	NA	NA	23	95	Away	1983-12-01	GOS	-11	0	1
65	1610612758	0028300208	DEC 03, 1983	KCK @ UTH	L	8	10	0.444444444444444	240	46	80	0.575	3	NA	NA	12	20	0.6	NA	NA	0	39	NA	NA	NA	30	107	Away	1983-12-03	UTH	-5	0	2
64	1610612758	0028300213	DEC 06, 1983	KCK vs. DAL	W	9	10	0.473684210526316	240	42	86	0.488	0	NA	NA	28	33	0.848	NA	NA	0	30	NA	NA	NA	25	112	Home	1983-12-06	DAL	9	1	0
63	1610612758	0028300228	DEC 08, 1983	KCK @ LAL	L	9	11	0.45	240	39	89	0.438	1	NA	NA	27	38	0.711	NA	NA	0	24	NA	NA	NA	28	106	Away	1983-12-08	LAL	-23	0	1
62	1610612758	0028300242	DEC 10, 1983	KCK vs. IND	W	10	11	0.476190476190476	240	44	92	0.478	1	NA	NA	30	34	0.882	NA	NA	0	32	NA	NA	NA	28	119	Home	1983-12-10	IND	16	1	0
61	1610612758	0028300266	DEC 14, 1983	KCK @ SEA	W	11	11	0.5	240	41	89	0.461	0	NA	NA	23	27	0.852	NA	NA	0	31	NA	NA	NA	19	105	Away	1983-12-14	SEA	6	2	0
60	1610612758	0028300270	DEC 15, 1983	KCK @ GOS	L	11	12	0.478260869565217	240	48	92	0.522	0	NA	NA	20	29	0.69	NA	NA	0	27	NA	NA	NA	34	116	Away	1983-12-15	GOS	-3	0	1
59	1610612758	0028300281	DEC 17, 1983	KCK @ PHX	L	11	13	0.458333333333333	240	32	86	0.372	2	NA	NA	33	41	0.805	NA	NA	0	NA	NA	NA	NA	NA	99	Away	1983-12-17	PHX	-20	0	2
58	1610612758	0028300290	DEC 20, 1983	KCK vs. DEN	W	12	13	0.48	240	53	91	0.582	0	NA	NA	25	30	0.833	NA	NA	0	34	NA	NA	NA	28	131	Home	1983-12-20	DEN	17	1	0
57	1610612758	0028300308	DEC 23, 1983	KCK vs. SAN	W	13	13	0.5	240	49	91	0.538	2	NA	NA	26	31	0.839	NA	NA	0	36	NA	NA	NA	24	126	Home	1983-12-23	SAN	4	2	0
56	1610612758	0028300328	DEC 27, 1983	KCK vs. PHL	L	13	14	0.481481481481481	240	44	87	0.506	0	3	0	21	30	0.7	10	NA	10	30	13	5	14	30	109	Home	1983-12-27	PHL	-3	0	1
55	1610612758	0028300338	DEC 29, 1983	KCK @ SAN	L	13	15	0.464285714285714	240	55	124	0.444	2	NA	NA	15	22	0.682	NA	NA	0	35	NA	NA	NA	27	127	Away	1983-12-29	SAN	-11	0	2
54	1610612758	0028300345	DEC 30, 1983	KCK vs. SDC	L	13	16	0.448275862068966	240	38	87	0.437	1	NA	NA	19	26	0.731	NA	NA	0	29	NA	NA	NA	30	96	Home	1983-12-30	SDC	-3	0	3
53	1610612758	0028300356	JAN 03, 1984	KCK @ POR	L	13	17	0.433333333333333	240	42	80	0.525	1	NA	NA	19	26	0.731	NA	NA	0	33	NA	NA	NA	31	104	Away	1984-01-03	POR	-19	0	4
52	1610612758	0028300367	JAN 04, 1984	KCK @ SDC	L	13	18	0.419354838709677	240	45	79	0.57	0	NA	NA	31	36	0.861	NA	NA	0	25	NA	NA	NA	27	121	Away	1984-01-04	SDC	-1	0	5
51	1610612758	0028300375	JAN 06, 1984	KCK @ UTH	L	13	19	0.40625	240	46	98	0.469	1	NA	NA	17	22	0.773	NA	NA	0	25	NA	NA	NA	34	110	Away	1984-01-06	UTH	-20	0	6
50	1610612758	0028300389	JAN 07, 1984	KCK vs. PHX	W	14	19	0.424242424242424	240	37	81	0.457	0	NA	NA	26	38	0.684	NA	NA	0	28	NA	NA	NA	31	100	Home	1984-01-07	PHX	2	1	0
49	1610612758	0028300400	JAN 10, 1984	KCK vs. DAL	W	15	19	0.441176470588235	240	39	81	0.481	0	NA	NA	34	38	0.872	NA	NA	0	24	NA	NA	NA	31	112	Home	1984-01-10	DAL	10	2	0
48	1610612758	0028300410	JAN 12, 1984	KCK vs. LAL	L	15	20	0.428571428571429	240	38	98	0.388	0	NA	NA	13	14	0.929	NA	NA	0	16	NA	NA	NA	22	89	Home	1984-01-12	LAL	-6	0	1
47	1610612758	0028300427	JAN 14, 1984	KCK @ HOU	L	15	21	0.416666666666667	240	41	90	0.456	0	NA	NA	22	32	0.688	NA	NA	0	19	NA	NA	NA	21	104	Away	1984-01-14	HOU	-5	0	2
46	1610612758	0028300431	JAN 15, 1984	KCK vs. SDC	W	16	21	0.432432432432432	240	41	80	0.513	0	NA	NA	27	37	0.73	NA	NA	0	31	NA	NA	NA	23	109	Home	1984-01-15	SDC	13	1	0
45	1610612758	0028300439	JAN 17, 1984	KCK vs. BOS	L	16	22	0.421052631578947	240	48	91	0.527	0	NA	NA	17	26	0.654	NA	NA	0	30	NA	NA	NA	22	113	Home	1984-01-17	BOS	-9	0	1
44	1610612758	0028300460	JAN 20, 1984	KCK @ DEN	L	16	23	0.41025641025641	240	40	77	0.519	0	NA	NA	34	40	0.85	NA	NA	0	19	NA	NA	NA	23	114	Away	1984-01-20	DEN	-2	0	2
43	1610612758	0028300465	JAN 21, 1984	KCK @ POR	L	16	24	0.4	240	41	76	0.539	0	NA	NA	12	22	0.545	NA	NA	0	27	NA	NA	NA	23	94	Away	1984-01-21	POR	-20	0	3
42	1610612758	0028300477	JAN 24, 1984	KCK vs. NJN	W	17	24	0.414634146341463	240	45	86	0.523	0	NA	NA	23	33	0.697	NA	NA	0	33	NA	NA	NA	23	113	Home	1984-01-24	NJN	9	1	0
41	1610612758	0028300488	JAN 26, 1984	KCK vs. SEA	L	17	25	0.404761904761905	240	42	91	0.462	2	NA	NA	20	26	0.769	NA	NA	0	23	NA	NA	NA	23	106	Home	1984-01-26	SEA	-8	0	1
40	1610612758	0028300497	JAN 31, 1984	KCK vs. HOU	L	17	26	0.395348837209302	240	41	95	0.432	1	NA	NA	24	38	0.632	NA	NA	0	18	NA	NA	NA	30	107	Home	1984-01-31	HOU	-15	0	2
39	1610612758	0028300504	FEB 01, 1984	KCK @ BOS	L	17	27	0.386363636363636	240	47	97	0.485	1	NA	NA	15	17	0.882	NA	NA	0	26	NA	NA	NA	30	110	Away	1984-02-01	BOS	-9	0	3
38	1610612758	0028300519	FEB 03, 1984	KCK @ NJN	W	18	27	0.4	240	48	95	0.505	0	NA	NA	18	23	0.783	NA	NA	0	26	NA	NA	NA	29	114	Away	1984-02-03	NJN	2	1	0
37	1610612758	0028300527	FEB 04, 1984	KCK vs. DEN	W	19	27	0.41304347826087	240	42	92	0.457	0	NA	NA	23	30	0.767	NA	NA	0	22	NA	NA	NA	20	107	Home	1984-02-04	DEN	7	2	0
36	1610612758	0028300540	FEB 07, 1984	KCK vs. MIL	L	19	28	0.404255319148936	265	45	93	0.484	0	NA	NA	20	30	0.667	NA	NA	0	29	NA	NA	NA	30	110	Home	1984-02-07	MIL	-2	0	1
35	1610612758	0028300551	FEB 08, 1984	KCK @ SAN	W	20	28	0.416666666666667	240	48	93	0.516	0	NA	NA	22	31	0.71	NA	NA	0	34	NA	NA	NA	27	118	Away	1984-02-08	SAN	8	1	0
34	1610612758	0028300565	FEB 10, 1984	KCK @ DAL	L	20	29	0.408163265306122	240	38	87	0.437	0	NA	NA	20	27	0.741	NA	NA	0	25	NA	NA	NA	19	96	Away	1984-02-10	DAL	-19	0	1
33	1610612758	0028300574	FEB 11, 1984	KCK vs. WAS	W	21	29	0.42	240	37	77	0.481	0	NA	NA	20	25	0.8	NA	NA	0	22	NA	NA	NA	25	94	Home	1984-02-11	WAS	3	1	0
32	1610612758	0028300586	FEB 14, 1984	KCK vs. NYK	L	21	30	0.411764705882353	240	34	70	0.486	1	NA	NA	31	35	0.886	NA	NA	0	27	NA	NA	NA	29	100	Home	1984-02-14	NYK	-6	0	1
31	1610612758	0028300596	FEB 16, 1984	KCK vs. UTH	W	22	30	0.423076923076923	240	48	90	0.533	0	NA	NA	25	28	0.893	NA	NA	0	21	NA	NA	NA	30	121	Home	1984-02-16	UTH	22	1	0
30	1610612758	0028300609	FEB 18, 1984	KCK vs. ATL	W	23	30	0.433962264150943	240	42	82	0.512	0	NA	NA	27	32	0.844	NA	NA	0	31	NA	NA	NA	27	111	Home	1984-02-18	ATL	5	2	0
29	1610612758	0028300621	FEB 21, 1984	KCK vs. DET	W	24	30	0.444444444444444	240	45	92	0.489	0	NA	NA	29	37	0.784	NA	NA	0	29	NA	NA	NA	27	119	Home	1984-02-21	DET	7	3	0
28	1610612758	0028300639	FEB 23, 1984	KCK vs. PHX	L	24	31	0.436363636363636	240	32	74	0.432	0	NA	NA	31	41	0.756	NA	NA	0	27	NA	NA	NA	20	95	Home	1984-02-23	PHX	-12	0	1
27	1610612758	0028300650	FEB 25, 1984	KCK @ DEN	L	24	32	0.428571428571429	240	53	89	0.596	4	NA	NA	26	37	0.703	NA	NA	0	30	NA	NA	NA	36	136	Away	1984-02-25	DEN	-12	0	2
26	1610612758	0028300665	FEB 28, 1984	KCK vs. CLE	W	25	32	0.43859649122807	290	52	100	0.52	3	NA	NA	35	42	0.833	NA	NA	0	28	NA	NA	NA	38	142	Home	1984-02-28	CLE	5	1	0
