Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612760	0028300004	OCT 28, 1983	SEA vs. GOS	L	0	1	0	240	39	74	0.527	1	NA	NA	30	43	0.698	NA	NA	0	27	NA	NA	NA	34	109	Home	1983-10-28	GOS	-1	0	1
81	1610612760	0028300021	OCT 30, 1983	SEA @ KCK	W	1	1	0.5	240	45	83	0.542	0	NA	NA	31	43	0.721	NA	NA	0	NA	NA	NA	NA	29	121	Away	1983-10-30	KCK	5	1	0
80	1610612760	0028300024	NOV 01, 1983	SEA @ PHX	W	2	1	0.666666666666667	240	40	85	0.471	0	NA	NA	23	34	0.676	NA	NA	0	15	NA	NA	NA	17	103	Away	1983-11-01	PHX	10	2	0
79	1610612760	0028300034	NOV 02, 1983	SEA vs. NYK	W	3	1	0.75	240	45	85	0.529	1	NA	NA	34	38	0.895	NA	NA	0	33	NA	NA	NA	24	125	Home	1983-11-02	NYK	6	3	0
78	1610612760	0028300044	NOV 04, 1983	SEA @ SDC	L	3	2	0.6	240	34	90	0.378	1	NA	NA	28	38	0.737	NA	NA	0	23	NA	NA	NA	24	97	Away	1983-11-04	SDC	-24	0	1
77	1610612760	0028300057	NOV 06, 1983	SEA @ SAN	L	3	3	0.5	240	43	79	0.544	0	NA	NA	29	45	0.659	NA	NA	0	24	NA	NA	NA	26	115	Away	1983-11-06	SAN	-17	0	2
76	1610612760	0028300059	NOV 08, 1983	SEA vs. PHX	W	4	3	0.571428571428571	240	47	92	0.511	0	NA	NA	29	33	0.879	NA	NA	0	29	NA	NA	NA	19	123	Home	1983-11-08	PHX	7	1	0
75	1610612760	0028300071	NOV 09, 1983	SEA vs. CLE	W	5	3	0.625	240	48	95	0.505	0	NA	NA	17	20	0.85	NA	NA	0	42	NA	NA	NA	24	113	Home	1983-11-09	CLE	12	2	0
74	1610612760	0028300080	NOV 11, 1983	SEA vs. ATL	W	6	3	0.666666666666667	240	34	78	0.436	0	NA	NA	36	40	0.9	NA	NA	0	24	NA	NA	NA	29	104	Home	1983-11-11	ATL	11	3	0
73	1610612760	0028300093	NOV 13, 1983	SEA @ MIL	L	6	4	0.6	240	40	67	0.597	0	NA	NA	27	35	0.771	NA	NA	0	29	NA	NA	NA	17	107	Away	1983-11-13	MIL	-1	0	1
