Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612744	0028500008	OCT 25, 1985	GOS vs. DEN	L	0	1	0	240	36	91	0.396	0	4	NA	33	52	NA	18	29	47	17	3	7	28	37	105	Home	1985-10-25	DEN	-14	0	1
81	1610612744	0028500021	OCT 27, 1985	GOS @ POR	L	0	2	0	240	36	83	0.434	1	3	NA	26	33	0.788	18	23	41	24	11	6	29	31	99	Away	1985-10-27	POR	-17	0	2
80	1610612744	0028500023	OCT 29, 1985	GOS vs. CHI	L	0	3	0	240	40	89	0.449	4	6	NA	21	28	0.75	13	38	51	23	3	3	21	25	105	Home	1985-10-29	CHI	-6	0	3
79	1610612744	0028500036	OCT 31, 1985	GOS vs. NYK	W	1	3	0.25	240	41	77	0.532	2	6	NA	27	42	0.643	16	30	46	22	8	3	15	21	111	Home	1985-10-31	NYK	7	1	0
78	1610612744	0028500046	NOV 02, 1985	GOS vs. LAL	L	1	4	0.2	240	48	86	0.558	2	3	NA	18	27	0.667	9	25	34	25	6	9	15	28	116	Home	1985-11-02	LAL	-4	0	1
77	1610612744	0028500940	NOV 05, 1985	GOS @ UTH	L	1	5	0.166666666666667	240	37	94	0.394	3	6	NA	22	29	0.759	17	28	45	22	5	2	16	18	99	Away	1985-11-05	UTH	-19	0	2
76	1610612744	0028500067	NOV 06, 1985	GOS vs. SEA	W	2	5	0.285714285714286	240	40	76	0.526	0	0	NA	25	34	0.735	9	32	41	26	8	3	15	27	105	Home	1985-11-06	SEA	4	1	0
75	1610612744	0028500076	NOV 08, 1985	GOS vs. ATL	W	3	5	0.375	240	49	91	0.538	1	4	NA	31	40	0.775	17	30	47	27	11	5	12	26	130	Home	1985-11-08	ATL	11	2	0
74	1610612744	0028500091	NOV 10, 1985	GOS vs. SAC	W	4	5	0.444444444444444	240	46	82	0.561	2	4	NA	23	32	0.719	8	29	37	29	7	3	16	26	117	Home	1985-11-10	SAC	6	3	0
73	1610612744	0028500097	NOV 12, 1985	GOS vs. LAC	W	5	5	0.5	240	57	102	0.559	0	2	NA	13	18	0.722	16	29	45	33	9	7	16	24	127	Home	1985-11-12	LAC	12	4	0
72	1610612744	0028500110	NOV 14, 1985	GOS @ SAC	L	5	6	0.454545454545455	240	40	91	0.44	1	5	NA	22	33	0.667	13	31	44	16	4	3	10	27	103	Away	1985-11-14	SAC	-9	0	1
71	1610612744	0028500122	NOV 16, 1985	GOS vs. PHX	W	6	6	0.5	240	42	90	0.467	2	5	NA	32	37	0.865	13	38	51	22	10	7	13	21	118	Home	1985-11-16	PHX	13	1	0
70	1610612744	0028500131	NOV 19, 1985	GOS @ CLE	W	7	6	0.538461538461538	240	48	92	0.522	0	1	NA	14	18	0.778	14	23	37	31	15	8	18	25	110	Away	1985-11-19	CLE	6	2	0
