Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612754	0028900002	NOV 03, 1989	IND @ ATL	W	1	0	1	240	47	87	0.54	0	3	0	32	38	0.842	14	38	52	32	7	6	13	25	126	Away	1989-11-03	ATL	23	1	0
81	1610612754	0028900015	NOV 04, 1989	IND vs. CLE	W	2	0	1	240	42	83	0.506	1	2	0.5	21	26	0.808	11	35	46	28	10	5	18	22	106	Home	1989-11-04	CLE	8	2	0
80	1610612754	0028900036	NOV 08, 1989	IND vs. DET	W	3	0	1	240	37	68	0.544	0	4	0	21	29	0.724	11	35	46	24	11	3	23	23	95	Home	1989-11-08	DET	21	3	0
79	1610612754	0028900047	NOV 10, 1989	IND vs. MIA	W	4	0	1	240	36	79	0.456	2	6	0.333	28	33	0.848	9	31	40	29	6	2	17	19	102	Home	1989-11-10	MIA	4	4	0
78	1610612754	0028900082	NOV 15, 1989	IND @ LAL	L	4	1	0.8	240	41	84	0.488	2	7	0.286	10	15	0.667	3	33	36	22	6	10	23	23	94	Away	1989-11-15	LAL	-23	0	1
77	1610612754	0028900094	NOV 17, 1989	IND @ UTH	L	4	2	0.666666666666667	240	32	69	0.464	2	8	0.25	34	40	0.85	7	21	28	17	13	7	23	20	100	Away	1989-11-17	UTH	-14	0	2
76	1610612754	0028900104	NOV 18, 1989	IND @ SAC	L	4	3	0.571428571428571	240	39	82	0.476	1	6	0.167	23	26	0.885	10	39	49	24	5	6	21	26	102	Away	1989-11-18	SAC	-5	0	3
75	1610612754	0028900123	NOV 21, 1989	IND vs. BOS	W	5	3	0.625	240	46	88	0.523	4	11	0.364	23	29	0.793	6	37	43	29	3	6	6	23	119	Home	1989-11-21	BOS	8	1	0
74	1610612754	0028900136	NOV 24, 1989	IND @ BOS	W	6	3	0.666666666666667	240	45	91	0.495	4	7	0.571	24	30	0.8	16	35	51	30	9	4	12	28	118	Away	1989-11-24	BOS	7	2	0
73	1610612754	0028900151	NOV 25, 1989	IND vs. PHL	L	6	4	0.6	240	33	66	0.5	4	13	0.308	33	34	0.971	10	30	40	23	1	5	19	23	103	Home	1989-11-25	PHL	-8	0	1
