Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612759	0028900019	NOV 04, 1989	SAN vs. LAL	W	1	0	1	240	36	84	0.429	0	1	0	34	42	0.81	21	37	58	20	10	7	20	29	106	Home	1989-11-04	LAL	8	1	0
81	1610612759	0028900040	NOV 08, 1989	SAN vs. POR	L	1	1	0.5	240	37	81	0.457	0	3	0	30	41	0.732	9	28	37	21	9	10	12	24	104	Home	1989-11-08	POR	-4	0	1
80	1610612759	0028900053	NOV 10, 1989	SAN @ UTH	L	1	2	0.333333333333333	240	37	87	0.425	0	1	0	18	23	0.783	21	22	43	15	8	8	23	29	92	Away	1989-11-10	UTH	-14	0	2
79	1610612759	0028900063	NOV 11, 1989	SAN vs. DEN	W	2	2	0.5	240	49	92	0.533	0	2	0	24	32	0.75	11	40	51	30	10	8	21	29	122	Home	1989-11-11	DEN	14	1	0
78	1610612759	0028900071	NOV 14, 1989	SAN @ MIL	L	2	3	0.4	240	34	72	0.472	0	0	0	29	34	0.853	6	26	32	20	9	7	17	20	97	Away	1989-11-14	MIL	-11	0	1
77	1610612759	0028900088	NOV 15, 1989	SAN @ MIN	W	3	3	0.5	240	35	75	0.467	0	0	0	16	23	0.696	15	33	48	20	7	7	21	21	86	Away	1989-11-15	MIN	10	1	0
76	1610612759	0028900101	NOV 17, 1989	SAN @ PHL	L	3	4	0.428571428571429	240	43	94	0.457	0	2	0	15	18	0.833	19	24	43	24	6	2	14	22	101	Away	1989-11-17	PHL	-7	0	1
75	1610612759	0028900109	NOV 18, 1989	SAN @ NJN	W	4	4	0.5	240	40	83	0.482	0	0	0	30	42	0.714	13	35	48	15	17	3	18	30	110	Away	1989-11-18	NJN	15	1	0
74	1610612759	0028900124	NOV 21, 1989	SAN vs. PHX	W	5	4	0.555555555555556	240	43	89	0.483	1	1	1	20	32	0.625	13	36	49	24	6	8	13	19	107	Home	1989-11-21	PHX	9	2	0
73	1610612759	0028900138	NOV 24, 1989	SAN @ LAC	W	6	4	0.6	240	33	88	0.375	0	1	0	24	28	0.857	14	36	50	18	7	4	17	26	90	Away	1989-11-24	LAC	1	3	0
72	1610612759	0028900156	NOV 26, 1989	SAN @ LAL	L	6	5	0.545454545454545	240	43	80	0.538	1	1	1	25	35	0.714	15	19	34	31	11	3	23	42	112	Away	1989-11-26	LAL	-20	0	1
71	1610612759	0028900163	NOV 28, 1989	SAN vs. SEA	W	7	5	0.583333333333333	240	44	78	0.564	3	4	0.75	26	32	0.813	12	30	42	28	8	8	20	22	117	Home	1989-11-28	SEA	13	1	0
70	1610612759	0028900180	NOV 30, 1989	SAN vs. DAL	W	8	5	0.615384615384615	240	37	76	0.487	0	2	0	19	29	0.655	12	31	43	23	7	10	19	23	93	Home	1989-11-30	DAL	4	2	0
69	1610612759	0028900201	DEC 02, 1989	SAN vs. CHH	W	9	5	0.642857142857143	240	46	85	0.541	1	1	1	25	32	0.781	17	34	51	27	11	5	25	23	118	Home	1989-12-02	CHH	8	3	0
68	1610612759	0028900220	DEC 06, 1989	SAN vs. GOS	W	10	5	0.666666666666667	240	45	83	0.542	0	3	0	31	41	0.756	11	32	43	26	12	4	22	24	121	Home	1989-12-06	GOS	2	4	0
67	1610612759	0028900234	DEC 08, 1989	SAN @ DAL	W	11	5	0.6875	240	34	71	0.479	0	1	0	31	42	0.738	10	26	36	21	13	5	13	17	99	Away	1989-12-08	DAL	6	5	0
66	1610612759	0028900239	DEC 09, 1989	SAN vs. NJN	W	12	5	0.705882352941177	240	40	74	0.541	0	0	0	29	31	0.935	9	30	39	28	13	8	20	15	109	Home	1989-12-09	NJN	17	6	0
65	1610612759	0028900249	DEC 12, 1989	SAN @ ATL	L	12	6	0.666666666666667	240	38	82	0.463	0	1	0	18	26	0.692	11	21	32	26	12	3	17	24	94	Away	1989-12-12	ATL	-8	0	1
64	1610612759	0028900269	DEC 14, 1989	SAN vs. HOU	W	13	6	0.684210526315789	240	40	80	0.5	0	1	0	24	31	0.774	11	28	39	30	14	9	19	12	104	Home	1989-12-14	HOU	4	1	0
63	1610612759	0028900280	DEC 16, 1989	SAN vs. ORL	W	14	6	0.7	240	47	88	0.534	2	7	0.286	29	39	0.744	12	33	45	24	10	9	18	31	125	Home	1989-12-16	ORL	9	2	0
62	1610612759	0028900307	DEC 20, 1989	SAN vs. SAC	W	15	6	0.714285714285714	240	39	83	0.47	2	4	0.5	23	28	0.821	10	27	37	26	9	3	11	15	103	Home	1989-12-20	SAC	3	3	0
61	1610612759	0028900320	DEC 22, 1989	SAN @ PHX	W	16	6	0.727272727272727	240	49	89	0.551	3	4	0.75	18	25	0.72	13	29	42	27	9	4	16	28	119	Away	1989-12-22	PHX	4	4	0
60	1610612759	0028900325	DEC 23, 1989	SAN vs. UTH	W	17	6	0.739130434782609	240	48	84	0.571	1	4	0.25	18	27	0.667	16	22	38	32	12	12	12	18	115	Home	1989-12-23	UTH	17	5	0
59	1610612759	0028900340	DEC 26, 1989	SAN @ CHH	W	18	6	0.75	240	43	87	0.494	3	5	0.6	18	23	0.783	12	34	46	32	13	5	20	22	107	Away	1989-12-26	CHH	25	6	0
58	1610612759	0028900347	DEC 27, 1989	SAN @ WAS	W	19	6	0.76	240	43	95	0.453	2	7	0.286	19	28	0.679	20	27	47	29	8	4	11	21	107	Away	1989-12-27	WAS	10	7	0
57	1610612759	0028900359	DEC 29, 1989	SAN @ CHI	L	19	7	0.730769230769231	240	40	88	0.455	1	7	0.143	16	21	0.762	17	27	44	25	13	4	18	19	97	Away	1989-12-29	CHI	-4	0	1
56	1610612759	0028900383	JAN 03, 1990	SAN vs. PHL	W	20	7	0.740740740740741	240	35	74	0.473	0	4	0	33	47	0.702	15	28	43	17	12	4	14	21	103	Home	1990-01-03	PHL	9	1	0
55	1610612759	0028900409	JAN 06, 1990	SAN vs. MIN	W	21	7	0.75	240	39	82	0.476	0	4	0	31	43	0.721	17	28	45	23	11	12	19	27	109	Home	1990-01-06	MIN	13	2	0
54	1610612759	0028900419	JAN 08, 1990	SAN @ ORL	L	21	8	0.724137931034483	240	43	86	0.5	2	7	0.286	14	23	0.609	11	24	35	29	9	1	19	22	102	Away	1990-01-08	ORL	-9	0	1
53	1610612759	0028900426	JAN 09, 1990	SAN @ MIA	W	22	8	0.733333333333333	240	47	98	0.48	0	5	0	13	21	0.619	17	31	48	17	11	10	16	14	107	Away	1990-01-09	MIA	5	1	0
52	1610612759	0028900449	JAN 12, 1990	SAN @ BOS	W	23	8	0.741935483870968	240	31	70	0.443	0	3	0	35	43	0.814	11	30	41	20	15	7	13	16	97	Away	1990-01-12	BOS	7	2	0
51	1610612759	0028900454	JAN 13, 1990	SAN @ NYK	L	23	9	0.71875	240	41	85	0.482	0	4	0	19	24	0.792	12	26	38	27	8	5	15	24	101	Away	1990-01-13	NYK	-6	0	1
50	1610612759	0028900472	JAN 15, 1990	SAN @ CLE	L	23	10	0.696969696969697	240	35	81	0.432	2	7	0.286	17	27	0.63	13	32	45	29	8	6	16	23	89	Away	1990-01-15	CLE	-3	0	2
49	1610612759	0028900485	JAN 17, 1990	SAN vs. NYK	W	24	10	0.705882352941177	240	37	92	0.402	0	3	0	27	35	0.771	20	25	45	26	7	5	14	20	101	Home	1990-01-17	NYK	4	1	0
