Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612762	0028900007	NOV 03, 1989	UTH vs. DEN	W	1	0	1	240	51	82	0.622	2	4	0.5	18	28	0.643	7	41	48	35	6	13	23	35	122	Home	1989-11-03	DEN	9	1	0
81	1610612762	0028900039	NOV 08, 1989	UTH vs. CHH	W	2	0	1	240	44	93	0.473	0	3	0	14	18	0.778	16	31	47	29	15	2	22	24	102	Home	1989-11-08	CHH	16	2	0
80	1610612762	0028900053	NOV 10, 1989	UTH vs. SAN	W	3	0	1	240	39	76	0.513	1	2	0.5	27	38	0.711	7	26	33	26	11	7	21	27	106	Home	1989-11-10	SAN	14	3	0
79	1610612762	0028900058	NOV 11, 1989	UTH @ HOU	L	3	1	0.75	240	36	83	0.434	4	11	0.364	16	31	0.516	13	34	47	21	9	3	19	21	92	Away	1989-11-11	HOU	-8	0	1
78	1610612762	0028900069	NOV 13, 1989	UTH vs. WAS	W	4	1	0.8	240	39	98	0.398	2	3	0.667	26	35	0.743	20	38	58	26	9	9	16	22	106	Home	1989-11-13	WAS	13	1	0
77	1610612762	0028900081	NOV 15, 1989	UTH vs. CHI	W	5	1	0.833333333333333	240	40	78	0.513	1	2	0.5	27	37	0.73	12	28	40	24	10	5	15	25	108	Home	1989-11-15	CHI	1	2	0
76	1610612762	0028900094	NOV 17, 1989	UTH vs. IND	W	6	1	0.857142857142857	240	45	89	0.506	5	8	0.625	19	32	0.594	15	31	46	30	15	2	21	32	114	Home	1989-11-17	IND	14	3	0
75	1610612762	0028900126	NOV 21, 1989	UTH @ MIN	W	7	1	0.875	265	39	70	0.557	2	6	0.333	23	30	0.767	11	19	30	30	7	3	21	26	103	Away	1989-11-21	MIN	2	4	0
74	1610612762	0028900135	NOV 22, 1989	UTH vs. ORL	L	7	2	0.777777777777778	240	38	87	0.437	2	5	0.4	19	23	0.826	11	27	38	26	8	9	19	22	97	Home	1989-11-22	ORL	-22	0	1
73	1610612762	0028900153	NOV 25, 1989	UTH vs. LAL	L	7	3	0.7	240	34	72	0.472	2	7	0.286	16	22	0.727	11	25	36	16	6	6	16	19	86	Home	1989-11-25	LAL	-6	0	2
72	1610612762	0028900160	NOV 27, 1989	UTH vs. NJN	W	8	3	0.727272727272727	240	39	68	0.574	1	4	0.25	26	40	0.65	9	45	54	25	13	7	29	20	105	Home	1989-11-27	NJN	37	1	0
71	1610612762	0028900176	NOV 29, 1989	UTH @ IND	L	8	4	0.666666666666667	240	35	73	0.479	2	5	0.4	16	27	0.593	10	28	38	23	9	2	19	17	88	Away	1989-11-29	IND	-12	0	1
70	1610612762	0028900187	DEC 01, 1989	UTH @ ATL	L	8	5	0.615384615384615	240	38	74	0.514	1	4	0.25	26	39	0.667	11	22	33	19	11	8	16	31	103	Away	1989-12-01	ATL	-11	0	2
69	1610612762	0028900203	DEC 02, 1989	UTH @ WAS	W	9	5	0.642857142857143	240	37	80	0.463	2	7	0.286	24	34	0.706	11	30	41	20	9	5	16	29	100	Away	1989-12-02	WAS	2	1	0
68	1610612762	0028900208	DEC 05, 1989	UTH @ CLE	W	10	5	0.666666666666667	240	37	81	0.457	5	6	0.833	15	17	0.882	10	34	44	22	9	2	13	17	94	Away	1989-12-05	CLE	14	2	0
67	1610612762	0028900224	DEC 07, 1989	UTH vs. DAL	W	11	5	0.6875	240	37	72	0.514	4	9	0.444	29	36	0.806	7	29	36	22	13	6	16	21	107	Home	1989-12-07	DAL	10	3	0
66	1610612762	0028900236	DEC 09, 1989	UTH vs. HOU	W	12	5	0.705882352941177	240	39	85	0.459	2	6	0.333	24	28	0.857	14	37	51	23	4	6	15	19	104	Home	1989-12-09	HOU	14	4	0
65	1610612762	0028900247	DEC 11, 1989	UTH vs. CLE	L	12	6	0.666666666666667	265	46	90	0.511	6	12	0.5	12	23	0.522	10	36	46	36	9	9	14	14	110	Home	1989-12-11	CLE	-3	0	1
64	1610612762	0028900261	DEC 13, 1989	UTH vs. PHX	W	13	6	0.684210526315789	240	42	82	0.512	3	6	0.5	15	26	0.577	7	34	41	26	13	9	20	19	102	Home	1989-12-13	PHX	7	1	0
63	1610612762	0028900279	DEC 15, 1989	UTH vs. DET	W	14	6	0.7	240	29	74	0.392	1	8	0.125	35	42	0.833	11	31	42	13	5	7	12	26	94	Home	1989-12-15	DET	3	2	0
62	1610612762	0028900288	DEC 17, 1989	UTH @ MIN	W	15	6	0.714285714285714	240	35	58	0.603	1	4	0.25	51	58	0.879	4	28	32	22	6	7	19	32	122	Away	1989-12-17	MIN	10	3	0
61	1610612762	0028900293	DEC 19, 1989	UTH @ NYK	L	15	7	0.681818181818182	240	47	79	0.595	3	10	0.3	10	19	0.526	6	30	36	40	7	5	13	25	107	Away	1989-12-19	NYK	-8	0	1
60	1610612762	0028900302	DEC 20, 1989	UTH @ BOS	L	15	8	0.652173913043478	240	39	76	0.513	4	8	0.5	27	32	0.844	9	33	42	28	5	5	16	22	109	Away	1989-12-20	BOS	-4	0	2
59	1610612762	0028900323	DEC 22, 1989	UTH @ CHH	W	16	8	0.666666666666667	240	46	80	0.575	4	9	0.444	18	27	0.667	8	36	44	28	8	5	16	23	114	Away	1989-12-22	CHH	14	1	0
58	1610612762	0028900325	DEC 23, 1989	UTH @ SAN	L	16	9	0.64	240	38	78	0.487	0	3	0	22	26	0.846	15	23	38	24	7	4	19	24	98	Away	1989-12-23	SAN	-17	0	1
57	1610612762	0028900342	DEC 26, 1989	UTH vs. GOS	W	17	9	0.653846153846154	240	52	103	0.505	8	16	0.5	21	33	0.636	20	39	59	30	10	7	11	28	133	Home	1989-12-26	GOS	15	1	0
56	1610612762	0028900355	DEC 28, 1989	UTH vs. POR	W	18	9	0.666666666666667	240	36	71	0.507	7	14	0.5	34	38	0.895	3	31	34	27	5	1	18	26	113	Home	1989-12-28	POR	4	2	0
55	1610612762	0028900371	DEC 30, 1989	UTH vs. MIA	W	19	9	0.678571428571429	240	44	80	0.55	4	10	0.4	25	36	0.694	12	32	44	33	9	9	19	24	117	Home	1989-12-30	MIA	19	3	0
54	1610612762	0028900381	JAN 02, 1990	UTH @ GOS	L	19	10	0.655172413793103	240	48	96	0.5	1	9	0.111	23	36	0.639	18	29	47	34	14	6	22	33	120	Away	1990-01-02	GOS	-13	0	1
53	1610612762	0028900390	JAN 03, 1990	UTH @ SEA	W	20	10	0.666666666666667	240	39	74	0.527	1	2	0.5	40	49	0.816	10	25	35	27	7	6	11	26	119	Away	1990-01-03	SEA	11	1	0
52	1610612762	0028900396	JAN 05, 1990	UTH @ POR	L	20	11	0.645161290322581	240	39	87	0.448	2	6	0.333	9	14	0.643	15	26	41	24	6	6	22	16	89	Away	1990-01-05	POR	-29	0	1
51	1610612762	0028900408	JAN 06, 1990	UTH @ DEN	W	21	11	0.65625	265	51	93	0.548	1	5	0.2	20	27	0.741	5	41	46	33	11	6	23	26	123	Away	1990-01-06	DEN	3	1	0
50	1610612762	0028900432	JAN 10, 1990	UTH vs. DEN	W	22	11	0.666666666666667	240	52	86	0.605	4	11	0.364	22	24	0.917	11	37	48	36	8	6	20	20	130	Home	1990-01-10	DEN	31	2	0
49	1610612762	0028900455	JAN 13, 1990	UTH @ DAL	W	23	11	0.676470588235294	240	41	73	0.562	1	7	0.143	26	32	0.813	12	31	43	25	6	4	16	23	109	Away	1990-01-13	DAL	10	3	0
48	1610612762	0028900483	JAN 17, 1990	UTH vs. ATL	W	24	11	0.685714285714286	240	37	72	0.514	1	8	0.125	20	24	0.833	8	29	37	25	8	5	13	26	95	Home	1990-01-17	ATL	7	4	0
47	1610612762	0028900499	JAN 19, 1990	UTH vs. CHH	W	25	11	0.694444444444444	240	46	85	0.541	2	4	0.5	22	29	0.759	9	37	46	28	12	5	16	17	116	Home	1990-01-19	CHH	23	5	0
46	1610612762	0028900502	JAN 20, 1990	UTH @ SAC	W	26	11	0.702702702702703	240	34	78	0.436	0	5	0	26	31	0.839	11	30	41	19	4	7	17	14	94	Away	1990-01-20	SAC	13	6	0
45	1610612762	0028900524	JAN 23, 1990	UTH vs. HOU	W	27	11	0.710526315789474	240	38	81	0.469	1	5	0.2	25	36	0.694	20	35	55	21	8	10	18	18	102	Home	1990-01-23	HOU	8	7	0
44	1610612762	0028900535	JAN 25, 1990	UTH vs. NYK	W	28	11	0.717948717948718	240	40	83	0.482	4	9	0.444	31	36	0.861	12	29	41	26	14	10	12	23	115	Home	1990-01-25	NYK	26	8	0
43	1610612762	0028900547	JAN 27, 1990	UTH vs. MIL	W	29	11	0.725	240	54	94	0.574	7	14	0.5	29	34	0.853	15	39	54	37	9	4	11	26	144	Home	1990-01-27	MIL	48	9	0
42	1610612762	0028900568	JAN 30, 1990	UTH @ POR	L	29	12	0.707317073170732	240	38	79	0.481	2	9	0.222	20	22	0.909	14	23	37	22	8	5	25	26	98	Away	1990-01-30	POR	-24	0	1
41	1610612762	0028900572	JAN 31, 1990	UTH vs. LAC	W	30	12	0.714285714285714	240	47	90	0.522	1	6	0.167	25	29	0.862	18	35	53	26	10	15	19	23	120	Home	1990-01-31	LAC	19	1	0
40	1610612762	0028900590	FEB 02, 1990	UTH vs. DAL	W	31	12	0.720930232558139	240	39	83	0.47	4	11	0.364	23	28	0.821	22	28	50	25	5	5	15	26	105	Home	1990-02-02	DAL	13	2	0
39	1610612762	0028900601	FEB 04, 1990	UTH @ DET	L	31	13	0.704545454545455	240	30	81	0.37	2	4	0.5	21	30	0.7	14	25	39	24	10	5	14	26	83	Away	1990-02-04	DET	-32	0	1
38	1610612762	0028900609	FEB 05, 1990	UTH @ PHL	L	31	14	0.688888888888889	240	34	74	0.459	3	9	0.333	18	23	0.783	8	29	37	28	8	6	18	19	89	Away	1990-02-05	PHL	-25	0	2
37	1610612762	0028900623	FEB 07, 1990	UTH @ NJN	W	32	14	0.695652173913043	240	43	73	0.589	1	6	0.167	21	27	0.778	5	28	33	26	7	8	17	28	108	Away	1990-02-07	NJN	7	1	0
36	1610612762	0028900633	FEB 08, 1990	UTH @ CHH	W	33	14	0.702127659574468	240	38	75	0.507	2	5	0.4	16	26	0.615	8	43	51	25	4	5	20	18	94	Away	1990-02-08	CHH	20	2	0
35	1610612762	0028900638	FEB 13, 1990	UTH vs. MIN	W	34	14	0.708333333333333	265	43	83	0.518	3	8	0.375	21	29	0.724	11	33	44	36	8	14	15	23	110	Home	1990-02-13	MIN	6	3	0
34	1610612762	0028900651	FEB 14, 1990	UTH @ PHX	L	34	15	0.693877551020408	240	42	86	0.488	2	6	0.333	17	24	0.708	18	25	43	24	4	2	18	24	103	Away	1990-02-14	PHX	-11	0	1
33	1610612762	0028900664	FEB 16, 1990	UTH @ SAN	L	34	16	0.68	240	40	73	0.548	1	8	0.125	5	7	0.714	7	23	30	28	8	4	22	28	86	Away	1990-02-16	SAN	-14	0	2
32	1610612762	0028900667	FEB 17, 1990	UTH vs. SAC	W	35	16	0.686274509803922	240	42	76	0.553	0	7	0	26	38	0.684	7	23	30	27	8	4	6	25	110	Home	1990-02-17	SAC	4	1	0
31	1610612762	0028900682	FEB 19, 1990	UTH vs. PHL	W	36	16	0.692307692307692	240	42	75	0.56	3	8	0.375	28	38	0.737	6	33	39	30	5	6	10	31	115	Home	1990-02-19	PHL	13	2	0
30	1610612762	0028900696	FEB 21, 1990	UTH vs. BOS	W	37	16	0.69811320754717	240	45	90	0.5	2	6	0.333	24	31	0.774	15	37	52	28	4	4	8	25	116	Home	1990-02-21	BOS	13	3	0
29	1610612762	0028900701	FEB 22, 1990	UTH @ LAC	W	38	16	0.703703703703704	240	46	82	0.561	5	10	0.5	19	27	0.704	12	33	45	34	5	5	18	28	116	Away	1990-02-22	LAC	14	4	0
28	1610612762	0028900724	FEB 25, 1990	UTH @ LAL	W	39	16	0.709090909090909	240	41	74	0.554	1	5	0.2	21	26	0.808	9	29	38	29	6	4	13	26	104	Away	1990-02-25	LAL	1	5	0
27	1610612762	0028900752	MAR 01, 1990	UTH vs. POR	W	40	16	0.714285714285714	240	48	93	0.516	3	8	0.375	20	31	0.645	20	33	53	34	12	8	17	31	119	Home	1990-03-01	POR	17	6	0
26	1610612762	0028900769	MAR 03, 1990	UTH vs. SAN	W	41	16	0.719298245614035	240	42	83	0.506	5	8	0.625	23	29	0.793	12	29	41	28	10	7	13	27	112	Home	1990-03-03	SAN	14	7	0
25	1610612762	0028900777	MAR 05, 1990	UTH @ MIA	L	41	17	0.706896551724138	240	39	83	0.47	1	9	0.111	25	30	0.833	12	33	45	26	11	7	20	18	104	Away	1990-03-05	MIA	-1	0	1
24	1610612762	0028900780	MAR 06, 1990	UTH @ ORL	W	42	17	0.711864406779661	240	44	88	0.5	1	2	0.5	22	31	0.71	13	33	46	23	8	9	12	28	111	Away	1990-03-06	ORL	10	1	0
23	1610612762	0028900796	MAR 08, 1990	UTH @ CHI	W	43	17	0.716666666666667	240	32	65	0.492	3	6	0.5	31	36	0.861	13	34	47	29	8	9	29	28	98	Away	1990-03-08	CHI	4	2	0
22	1610612762	0028900806	MAR 09, 1990	UTH @ MIL	W	44	17	0.721311475409836	240	40	82	0.488	5	10	0.5	23	28	0.821	9	33	42	28	5	9	15	21	108	Away	1990-03-09	MIL	8	3	0
21	1610612762	0028900819	MAR 11, 1990	UTH @ DEN	W	45	17	0.725806451612903	240	42	82	0.512	4	11	0.364	22	29	0.759	14	29	43	22	9	3	17	23	110	Away	1990-03-11	DEN	1	4	0
20	1610612762	0028900834	MAR 13, 1990	UTH vs. PHX	L	45	18	0.714285714285714	240	37	75	0.493	5	11	0.455	27	30	0.9	6	28	34	29	5	7	21	31	106	Home	1990-03-13	PHX	-8	0	1
19	1610612762	0028900846	MAR 15, 1990	UTH vs. SEA	W	46	18	0.71875	240	46	81	0.568	3	8	0.375	22	26	0.846	13	29	42	36	10	6	13	25	117	Home	1990-03-15	SEA	22	1	0
18	1610612762	0028900855	MAR 17, 1990	UTH @ SAC	L	46	19	0.707692307692308	265	40	82	0.488	2	11	0.182	27	32	0.844	9	27	36	25	9	6	13	30	109	Away	1990-03-17	SAC	-13	0	1
17	1610612762	0028900870	MAR 19, 1990	UTH vs. SAC	W	47	19	0.712121212121212	240	38	80	0.475	2	5	0.4	27	34	0.794	15	32	47	23	11	6	16	17	105	Home	1990-03-19	SAC	8	1	0
16	1610612762	0028900888	MAR 21, 1990	UTH vs. LAC	W	48	19	0.716417910447761	240	47	83	0.566	6	9	0.667	18	28	0.643	14	22	36	36	11	5	13	17	118	Home	1990-03-21	LAC	16	2	0
15	1610612762	0028900901	MAR 23, 1990	UTH vs. GOS	W	49	19	0.720588235294118	240	39	85	0.459	3	10	0.3	25	34	0.735	18	41	59	29	7	6	23	40	106	Home	1990-03-23	GOS	15	3	0
14	1610612762	0028900905	MAR 24, 1990	UTH @ LAC	W	50	19	0.72463768115942	240	49	90	0.544	1	7	0.143	13	19	0.684	15	31	46	38	9	5	9	24	112	Away	1990-03-24	LAC	33	4	0
13	1610612762	0028900940	MAR 29, 1990	UTH @ GOS	L	50	20	0.714285714285714	240	43	79	0.544	4	10	0.4	33	46	0.717	12	28	40	32	5	4	17	43	123	Away	1990-03-29	GOS	-5	0	1
12	1610612762	0028900963	APR 01, 1990	UTH @ LAL	L	50	21	0.704225352112676	240	40	81	0.494	2	9	0.222	21	28	0.75	14	10	24	26	7	4	12	20	103	Away	1990-04-01	LAL	-16	0	2
11	1610612762	0028900974	APR 03, 1990	UTH vs. CHH	W	51	21	0.708333333333333	240	46	80	0.575	4	8	0.5	31	37	0.838	11	32	43	34	9	6	16	29	127	Home	1990-04-03	CHH	23	1	0
10	1610612762	0028900984	APR 05, 1990	UTH @ SEA	L	51	22	0.698630136986301	240	32	80	0.4	4	16	0.25	23	31	0.742	13	27	40	19	8	4	16	23	91	Away	1990-04-05	SEA	-10	0	1
9	1610612762	0028901013	APR 09, 1990	UTH @ PHX	L	51	23	0.689189189189189	265	41	91	0.451	4	16	0.25	29	41	0.707	20	26	46	28	11	5	20	52	115	Away	1990-04-09	PHX	-4	0	2
8	1610612762	0028901022	APR 10, 1990	UTH vs. SEA	W	52	23	0.693333333333333	240	38	64	0.594	3	4	0.75	35	40	0.875	8	30	38	28	6	3	16	23	114	Home	1990-04-10	SEA	12	1	0
7	1610612762	0028901030	APR 12, 1990	UTH vs. LAL	W	53	23	0.697368421052632	240	43	83	0.518	5	11	0.455	16	21	0.762	9	27	36	27	5	8	16	20	107	Home	1990-04-12	LAL	3	2	0
6	1610612762	0028901047	APR 14, 1990	UTH vs. HOU	L	53	24	0.688311688311688	240	36	84	0.429	5	14	0.357	22	32	0.688	13	32	45	20	9	6	16	22	99	Home	1990-04-14	HOU	-4	0	1
5	1610612762	0028901055	APR 15, 1990	UTH @ MIN	W	54	24	0.692307692307692	240	37	64	0.578	1	4	0.25	28	35	0.8	11	31	42	26	7	5	18	25	103	Away	1990-04-15	MIN	13	1	0
4	1610612762	0028901062	APR 17, 1990	UTH @ DAL	L	54	25	0.683544303797468	240	36	84	0.429	4	8	0.5	20	27	0.741	12	30	42	23	10	2	11	25	96	Away	1990-04-17	DAL	-1	0	1
3	1610612762	0028901070	APR 18, 1990	UTH @ SAN	L	54	26	0.675	240	35	81	0.432	5	16	0.313	18	24	0.75	10	22	32	20	10	4	18	25	93	Away	1990-04-18	SAN	-9	0	2
2	1610612762	0028901087	APR 20, 1990	UTH vs. MIN	W	55	26	0.679012345679012	240	37	67	0.552	0	3	0	23	30	0.767	12	24	36	26	5	6	14	21	97	Home	1990-04-20	MIN	8	1	0
1	1610612762	0028901107	APR 22, 1990	UTH @ HOU	L	55	27	0.670731707317073	240	33	75	0.44	5	11	0.455	17	23	0.739	5	35	40	26	5	11	22	29	88	Away	1990-04-22	HOU	-12	0	1
