Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612764	0028900010	NOV 03, 1989	WAS @ CHH	W	1	0	1	240	43	93	0.462	0	1	0	30	39	0.769	21	39	60	22	11	3	19	27	116	Away	1989-11-03	CHH	20	1	0
81	1610612764	0028900018	NOV 04, 1989	WAS vs. DET	L	1	1	0.5	240	39	82	0.476	0	1	0	15	21	0.714	13	25	38	23	3	2	14	28	93	Home	1989-11-04	DET	-2	0	1
80	1610612764	0028900025	NOV 07, 1989	WAS @ ATL	W	2	1	0.666666666666667	240	47	85	0.553	1	1	1	23	30	0.767	16	27	43	24	6	2	21	26	118	Away	1989-11-07	ATL	4	1	0
79	1610612764	0028900041	NOV 08, 1989	WAS vs. BOS	W	3	1	0.75	240	43	91	0.473	0	2	0	26	29	0.897	12	30	42	28	6	2	9	23	112	Home	1989-11-08	BOS	9	2	0
78	1610612764	0028900048	NOV 10, 1989	WAS vs. CLE	W	4	1	0.8	240	40	79	0.506	0	2	0	20	26	0.769	10	30	40	35	5	6	15	19	100	Home	1989-11-10	CLE	8	3	0
77	1610612764	0028900068	NOV 12, 1989	WAS @ POR	W	5	1	0.833333333333333	240	38	81	0.469	0	2	0	28	35	0.8	12	36	48	27	7	0	17	26	104	Away	1989-11-12	POR	9	4	0
76	1610612764	0028900069	NOV 13, 1989	WAS @ UTH	L	5	2	0.714285714285714	240	36	95	0.379	1	1	1	20	25	0.8	17	38	55	22	4	7	16	26	93	Away	1989-11-13	UTH	-13	0	1
75	1610612764	0028900087	NOV 15, 1989	WAS @ DEN	L	5	3	0.625	240	40	86	0.465	1	5	0.2	17	23	0.739	7	44	51	18	9	7	18	21	98	Away	1989-11-15	DEN	-11	0	2
74	1610612764	0028900091	NOV 16, 1989	WAS @ SEA	L	5	4	0.555555555555556	240	39	92	0.424	0	5	0	20	23	0.87	13	32	45	19	6	10	14	21	98	Away	1989-11-16	SEA	-13	0	3
73	1610612764	0028900110	NOV 18, 1989	WAS @ PHX	L	5	5	0.5	240	45	98	0.459	2	4	0.5	15	19	0.789	15	27	42	32	9	5	9	21	107	Away	1989-11-18	PHX	-11	0	4
72	1610612764	0028900115	NOV 19, 1989	WAS @ LAL	L	5	6	0.454545454545455	240	50	99	0.505	1	6	0.167	14	16	0.875	9	30	39	28	7	7	8	25	115	Away	1989-11-19	LAL	-5	0	5
71	1610612764	0028900119	NOV 21, 1989	WAS vs. MIL	W	6	6	0.5	240	40	76	0.526	0	0	0	17	27	0.63	8	35	43	25	3	9	20	22	97	Home	1989-11-21	MIL	6	1	0
70	1610612764	0028900144	NOV 24, 1989	WAS @ PHL	L	6	7	0.461538461538462	240	43	95	0.453	0	2	0	22	29	0.759	19	24	43	31	9	7	10	23	108	Away	1989-11-24	PHL	-13	0	1
69	1610612764	0028900147	NOV 25, 1989	WAS vs. MIA	W	7	7	0.5	240	45	92	0.489	0	0	0	17	21	0.81	22	39	61	19	7	5	15	26	107	Home	1989-11-25	MIA	19	1	0
68	1610612764	0028900167	NOV 28, 1989	WAS @ CLE	L	7	8	0.466666666666667	240	41	74	0.554	0	2	0	9	11	0.818	3	30	33	23	7	1	19	22	91	Away	1989-11-28	CLE	-1	0	1
67	1610612764	0028900174	NOV 29, 1989	WAS vs. ATL	L	7	9	0.4375	240	46	84	0.548	0	4	0	12	20	0.6	13	28	41	25	4	2	20	26	104	Home	1989-11-29	ATL	-7	0	2
66	1610612764	0028900185	DEC 01, 1989	WAS vs. PHL	W	8	9	0.470588235294118	240	46	86	0.535	0	0	0	15	20	0.75	9	31	40	30	5	5	9	24	107	Home	1989-12-01	PHL	17	1	0
65	1610612764	0028900203	DEC 02, 1989	WAS vs. UTH	L	8	10	0.444444444444444	240	37	81	0.457	0	2	0	24	29	0.828	11	29	40	26	5	2	18	25	98	Home	1989-12-02	UTH	-2	0	1
64	1610612764	0028900216	DEC 06, 1989	WAS @ DET	L	8	11	0.421052631578947	240	44	85	0.518	1	5	0.2	18	22	0.818	8	28	36	32	5	7	16	29	107	Away	1989-12-06	DET	-8	0	2
63	1610612764	0028900244	DEC 09, 1989	WAS vs. LAL	W	9	11	0.45	240	45	83	0.542	0	0	0	13	18	0.722	8	29	37	27	6	6	18	14	103	Home	1989-12-09	LAL	2	1	0
62	1610612764	0028900268	DEC 14, 1989	WAS vs. CHH	W	10	11	0.476190476190476	240	37	93	0.398	1	1	1	30	35	0.857	13	37	50	25	6	8	9	20	105	Home	1989-12-14	CHH	4	2	0
61	1610612764	0028900285	DEC 16, 1989	WAS vs. DAL	W	11	11	0.5	240	47	90	0.522	0	0	0	18	25	0.72	12	27	39	28	4	3	11	23	112	Home	1989-12-16	DAL	4	3	0
60	1610612764	0028900296	DEC 19, 1989	WAS vs. MIN	W	12	11	0.521739130434783	240	44	89	0.494	0	0	0	24	30	0.8	17	28	45	28	4	6	17	24	112	Home	1989-12-19	MIN	13	4	0
59	1610612764	0028900305	DEC 20, 1989	WAS @ PHL	L	12	12	0.5	240	46	90	0.511	1	4	0.25	18	23	0.783	11	25	36	31	10	1	16	28	111	Away	1989-12-20	PHL	-7	0	1
58	1610612764	0028900319	DEC 22, 1989	WAS vs. NYK	L	12	13	0.48	240	40	102	0.392	0	5	0	32	40	0.8	18	32	50	22	8	4	15	26	112	Home	1989-12-22	NYK	-10	0	2
57	1610612764	0028900343	DEC 26, 1989	WAS @ NJN	L	12	14	0.461538461538462	240	40	89	0.449	1	3	0.333	13	20	0.65	13	36	49	21	8	5	21	21	94	Away	1989-12-26	NJN	-7	0	3
