Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612741	0029000009	NOV 02, 1990	CHI vs. PHL	L	0	1	0	240	47	101	0.465	4	12	0.333	18	23	0.783	17	22	39	29	14	6	14	25	116	Home	1990-11-02	PHL	-8	0	1
81	1610612741	0029000015	NOV 03, 1990	CHI @ WAS	L	0	2	0	240	33	77	0.429	2	4	0.5	34	47	0.723	14	35	49	16	7	5	22	39	102	Away	1990-11-03	WAS	-1	0	2
80	1610612741	0029000036	NOV 06, 1990	CHI vs. BOS	L	0	3	0	240	46	92	0.5	0	2	0	16	26	0.615	12	23	35	34	13	6	11	23	108	Home	1990-11-06	BOS	-2	0	3
79	1610612741	0029000039	NOV 07, 1990	CHI @ MIN	W	1	3	0.25	240	39	78	0.5	0	0	0	18	29	0.621	19	22	41	25	5	6	8	13	96	Away	1990-11-07	MIN	5	1	0
78	1610612741	0029000053	NOV 09, 1990	CHI @ BOS	W	2	3	0.4	240	49	92	0.533	0	1	0	22	25	0.88	13	32	45	29	15	4	11	21	120	Away	1990-11-09	BOS	20	2	0
77	1610612741	0029000064	NOV 10, 1990	CHI vs. CHH	W	3	3	0.5	240	44	81	0.543	0	3	0	17	20	0.85	10	33	43	30	12	5	16	19	105	Home	1990-11-10	CHH	19	3	0
76	1610612741	0029000082	NOV 13, 1990	CHI @ UTH	W	4	3	0.571428571428571	240	35	91	0.385	1	1	1	13	16	0.813	18	34	52	18	6	8	12	21	84	Away	1990-11-13	UTH	2	4	0
75	1610612741	0029000089	NOV 15, 1990	CHI @ GOS	L	4	4	0.5	240	41	95	0.432	2	7	0.286	9	14	0.643	14	30	44	26	9	6	18	26	93	Away	1990-11-15	GOS	-10	0	1
74	1610612741	0029000111	NOV 17, 1990	CHI @ SEA	W	5	4	0.555555555555556	240	47	87	0.54	0	1	0	22	33	0.667	12	28	40	15	15	4	12	16	116	Away	1990-11-17	SEA	21	1	0
73	1610612741	0029000117	NOV 18, 1990	CHI @ POR	L	5	5	0.5	240	43	92	0.467	1	6	0.167	25	29	0.862	11	23	34	27	10	3	14	26	112	Away	1990-11-18	POR	-13	0	1
72	1610612741	0029000135	NOV 21, 1990	CHI @ PHX	L	5	6	0.454545454545455	240	45	95	0.474	2	3	0.667	15	19	0.789	16	32	48	19	8	8	16	28	107	Away	1990-11-21	PHX	-2	0	2
71	1610612741	0029000143	NOV 23, 1990	CHI @ LAC	W	6	6	0.5	240	42	88	0.477	2	3	0.667	19	22	0.864	14	32	46	30	13	5	16	18	105	Away	1990-11-23	LAC	8	1	0
70	1610612741	0029000154	NOV 24, 1990	CHI @ DEN	W	7	6	0.538461538461538	240	61	110	0.555	4	8	0.5	25	29	0.862	17	34	51	35	8	8	13	20	151	Away	1990-11-24	DEN	6	2	0
69	1610612741	0029000178	NOV 28, 1990	CHI vs. WAS	W	8	6	0.571428571428571	240	54	90	0.6	0	1	0	10	20	0.5	11	29	40	36	13	9	12	17	118	Home	1990-11-28	WAS	24	3	0
68	1610612741	0029000190	NOV 30, 1990	CHI vs. IND	W	9	6	0.6	240	49	85	0.576	0	0	0	26	30	0.867	11	33	44	38	12	4	17	19	124	Home	1990-11-30	IND	29	4	0
67	1610612741	0029000196	DEC 01, 1990	CHI @ CLE	W	10	6	0.625	240	50	82	0.61	2	2	1	18	26	0.692	9	33	42	33	13	5	12	18	120	Away	1990-12-01	CLE	35	5	0
66	1610612741	0029000213	DEC 04, 1990	CHI vs. PHX	W	11	6	0.647058823529412	240	67	106	0.632	1	3	0.333	20	25	0.8	14	35	49	45	6	5	20	21	155	Home	1990-12-04	PHX	28	6	0
65	1610612741	0029000235	DEC 07, 1990	CHI vs. NYK	W	12	6	0.666666666666667	240	46	92	0.5	3	6	0.5	13	17	0.765	16	32	48	28	13	8	17	25	108	Home	1990-12-07	NYK	10	7	0
64	1610612741	0029000247	DEC 08, 1990	CHI vs. POR	L	12	7	0.631578947368421	240	42	85	0.494	1	8	0.125	16	22	0.727	15	33	48	30	6	6	15	18	101	Home	1990-12-08	POR	-8	0	1
63	1610612741	0029000253	DEC 11, 1990	CHI @ MIL	L	12	8	0.6	240	36	76	0.474	0	1	0	15	21	0.714	10	23	33	19	8	8	22	22	87	Away	1990-12-11	MIL	-12	0	2
62	1610612741	0029000279	DEC 14, 1990	CHI vs. LAC	W	13	8	0.619047619047619	240	49	93	0.527	1	2	0.5	29	39	0.744	20	30	50	36	9	8	10	16	128	Home	1990-12-14	LAC	40	1	0
61	1610612741	0029000291	DEC 15, 1990	CHI vs. CLE	W	14	8	0.636363636363636	240	53	92	0.576	2	2	1	8	12	0.667	17	29	46	40	12	9	20	21	116	Home	1990-12-15	CLE	18	2	0
60	1610612741	0029000297	DEC 18, 1990	CHI vs. MIA	W	15	8	0.652173913043478	240	40	83	0.482	1	3	0.333	31	40	0.775	13	26	39	31	16	7	19	23	112	Home	1990-12-18	MIA	9	3	0
59	1610612741	0029000312	DEC 19, 1990	CHI @ DET	L	15	9	0.625	240	35	99	0.354	3	10	0.3	11	15	0.733	20	28	48	17	5	7	13	25	84	Away	1990-12-19	DET	-21	0	1
58	1610612741	0029000324	DEC 21, 1990	CHI vs. LAL	W	16	9	0.64	240	49	88	0.557	2	6	0.333	14	17	0.824	16	30	46	34	8	5	11	17	114	Home	1990-12-21	LAL	11	1	0
57	1610612741	0029000331	DEC 22, 1990	CHI vs. IND	W	17	9	0.653846153846154	240	47	88	0.534	4	6	0.667	30	44	0.682	22	31	53	34	4	4	16	26	128	Home	1990-12-22	IND	10	2	0
56	1610612741	0029000342	DEC 25, 1990	CHI vs. DET	W	18	9	0.666666666666667	240	40	77	0.519	2	4	0.5	16	21	0.762	9	26	35	22	10	3	12	24	98	Home	1990-12-25	DET	12	3	0
55	1610612741	0029000356	DEC 27, 1990	CHI vs. GOS	W	19	9	0.678571428571429	240	50	82	0.61	3	6	0.5	25	32	0.781	10	35	45	37	8	11	15	23	128	Home	1990-12-27	GOS	15	4	0
54	1610612741	0029000375	DEC 29, 1990	CHI vs. SEA	W	20	9	0.689655172413793	240	46	97	0.474	2	9	0.222	22	28	0.786	25	27	52	34	13	4	11	15	116	Home	1990-12-29	SEA	25	5	0
53	1610612741	0029000394	JAN 03, 1991	CHI @ HOU	L	20	10	0.666666666666667	240	40	103	0.388	1	6	0.167	11	15	0.733	21	23	44	25	11	7	13	19	92	Away	1991-01-03	HOU	-22	0	1
52	1610612741	0029000413	JAN 05, 1991	CHI vs. CLE	W	21	10	0.67741935483871	240	45	88	0.511	0	3	0	18	25	0.72	17	23	40	29	13	5	12	18	108	Home	1991-01-05	CLE	16	1	0
51	1610612741	0029000429	JAN 08, 1991	CHI vs. NJN	W	22	10	0.6875	240	49	98	0.5	2	3	0.667	11	15	0.733	13	30	43	32	14	11	16	17	111	Home	1991-01-08	NJN	9	2	0
50	1610612741	0029000438	JAN 09, 1991	CHI @ PHL	W	23	10	0.696969696969697	240	46	83	0.554	0	2	0	15	23	0.652	11	26	37	28	6	2	7	20	107	Away	1991-01-09	PHL	8	3	0
49	1610612741	0029000449	JAN 11, 1991	CHI vs. ATL	W	24	10	0.705882352941177	240	39	79	0.494	2	6	0.333	19	23	0.826	12	30	42	29	4	3	13	25	99	Home	1991-01-11	ATL	3	4	0
