Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612755	0029000009	NOV 02, 1990	PHL @ CHI	W	1	0	1	240	46	82	0.561	0	4	0	32	37	0.865	14	34	48	24	6	8	18	19	124	Away	1990-11-02	CHI	8	1	0
81	1610612755	0029000014	NOV 03, 1990	PHL vs. NJN	W	2	0	1	265	40	85	0.471	1	8	0.125	31	39	0.795	14	32	46	24	11	10	20	24	112	Home	1990-11-03	NJN	2	2	0
80	1610612755	0029000038	NOV 07, 1990	PHL vs. DAL	L	2	1	0.666666666666667	240	40	83	0.482	3	9	0.333	18	24	0.75	8	30	38	19	5	10	14	21	101	Home	1990-11-07	DAL	-3	0	1
79	1610612755	0029000046	NOV 08, 1990	PHL @ MIL	L	2	2	0.5	240	39	79	0.494	3	5	0.6	30	39	0.769	14	24	38	19	8	3	26	20	111	Away	1990-11-08	MIL	-30	0	2
78	1610612755	0029000060	NOV 10, 1990	PHL @ CLE	L	2	3	0.4	240	31	80	0.388	2	7	0.286	24	32	0.75	14	29	43	19	4	1	14	24	88	Away	1990-11-10	CLE	-16	0	3
77	1610612755	0029000072	NOV 13, 1990	PHL @ IND	W	3	3	0.5	240	42	79	0.532	4	12	0.333	20	28	0.714	3	33	36	25	10	4	13	22	108	Away	1990-11-13	IND	8	1	0
76	1610612755	0029000085	NOV 14, 1990	PHL vs. ATL	W	4	3	0.571428571428571	240	42	94	0.447	2	10	0.2	26	32	0.813	18	34	52	17	10	9	10	20	112	Home	1990-11-14	ATL	8	2	0
75	1610612755	0029000097	NOV 16, 1990	PHL vs. WAS	W	5	3	0.625	265	40	105	0.381	1	5	0.2	34	45	0.756	27	45	72	17	12	10	9	21	115	Home	1990-11-16	WAS	13	3	0
74	1610612755	0029000105	NOV 17, 1990	PHL @ NYK	L	5	4	0.555555555555556	240	33	85	0.388	2	7	0.286	11	15	0.733	11	28	39	15	4	1	14	13	79	Away	1990-11-17	NYK	-27	0	1
73	1610612755	0029000119	NOV 19, 1990	PHL vs. CHH	W	6	4	0.6	240	39	93	0.419	1	5	0.2	30	41	0.732	23	38	61	20	6	9	19	16	109	Home	1990-11-19	CHH	8	1	0
72	1610612755	0029000132	NOV 21, 1990	PHL vs. SAC	W	7	4	0.636363636363636	240	36	87	0.414	2	4	0.5	27	35	0.771	22	30	52	20	4	9	15	16	101	Home	1990-11-21	SAC	2	2	0
71	1610612755	0029000145	NOV 23, 1990	PHL vs. CLE	W	8	4	0.666666666666667	240	48	85	0.565	2	5	0.4	13	18	0.722	11	28	39	23	6	4	12	19	111	Home	1990-11-23	CLE	6	3	0
