Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612766	0029300001	NOV 05, 1993	CHH vs. CHI	L	0	1	0	265	49	99	0.495	5	13	0.385	20	26	0.769	10	34	44	31	7	4	13	30	123	Home	1993-11-05	CHI	-1	0	1
81	1610612766	0029300018	NOV 06, 1993	CHH @ MIL	W	1	1	0.5	240	42	81	0.519	6	12	0.5	30	43	0.698	13	37	50	29	7	9	14	20	120	Away	1993-11-06	MIL	17	1	0
80	1610612766	0029300033	NOV 09, 1993	CHH @ CLE	L	1	2	0.333333333333333	240	42	83	0.506	0	5	0	24	29	0.828	9	31	40	29	8	7	16	20	108	Away	1993-11-09	CLE	-5	0	1
79	1610612766	0029300047	NOV 11, 1993	CHH vs. ORL	W	2	2	0.5	240	45	82	0.549	3	13	0.231	27	37	0.73	10	39	49	33	9	2	14	27	120	Home	1993-11-11	ORL	33	1	0
78	1610612766	0029300059	NOV 12, 1993	CHH @ BOS	W	3	2	0.6	240	37	72	0.514	3	7	0.429	33	42	0.786	10	35	45	25	3	3	17	21	110	Away	1993-11-12	BOS	3	2	0
77	1610612766	0029300081	NOV 16, 1993	CHH @ IND	W	4	2	0.666666666666667	240	42	81	0.519	4	7	0.571	14	22	0.636	12	36	48	27	9	5	20	18	102	Away	1993-11-16	IND	9	3	0
76	1610612766	0029300087	NOV 17, 1993	CHH vs. SAC	W	5	2	0.714285714285714	240	49	82	0.598	9	11	0.818	23	27	0.852	6	35	41	28	6	11	18	21	130	Home	1993-11-17	SAC	17	4	0
75	1610612766	0029300103	NOV 19, 1993	CHH vs. WAS	W	6	2	0.75	240	50	90	0.556	3	13	0.231	24	36	0.667	14	35	49	36	6	3	13	27	127	Home	1993-11-19	WAS	16	5	0
74	1610612766	0029300106	NOV 20, 1993	CHH @ ATL	L	6	3	0.666666666666667	240	38	84	0.452	3	9	0.333	12	16	0.75	13	33	46	21	6	3	16	21	91	Away	1993-11-20	ATL	-5	0	1
73	1610612766	0029300124	NOV 23, 1993	CHH @ WAS	L	6	4	0.6	240	38	76	0.5	3	14	0.214	19	29	0.655	16	31	47	26	8	8	33	25	98	Away	1993-11-23	WAS	-20	0	2
