Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612749	0029300006	NOV 05, 1993	MIL @ CLE	W	1	0	1	240	38	94	0.404	5	13	0.385	13	15	0.867	20	24	44	24	10	8	19	24	94	Away	1993-11-05	CLE	3	1	0
81	1610612749	0029300018	NOV 06, 1993	MIL vs. CHH	L	1	1	0.5	240	40	104	0.385	3	15	0.2	20	28	0.714	22	28	50	24	9	4	11	30	103	Home	1993-11-06	CHH	-17	0	1
80	1610612749	0029300027	NOV 08, 1993	MIL @ BOS	L	1	2	0.333333333333333	240	41	84	0.488	2	12	0.167	16	22	0.727	14	26	40	24	11	3	20	33	100	Away	1993-11-08	BOS	-8	0	2
79	1610612749	0029300043	NOV 10, 1993	MIL vs. CHI	L	1	3	0.25	240	29	79	0.367	2	8	0.25	30	38	0.789	17	18	35	18	11	4	15	27	90	Home	1993-11-10	CHI	-1	0	3
78	1610612749	0029300049	NOV 11, 1993	MIL @ MIA	L	1	4	0.2	240	39	83	0.47	5	18	0.278	20	32	0.625	20	20	40	22	7	10	13	22	103	Away	1993-11-11	MIA	-13	0	4
77	1610612749	0029300066	NOV 13, 1993	MIL @ NYK	L	1	5	0.166666666666667	240	33	79	0.418	1	5	0.2	19	25	0.76	19	24	43	14	5	4	17	19	86	Away	1993-11-13	NYK	-13	0	5
76	1610612749	0029300079	NOV 16, 1993	MIL vs. MIN	L	1	6	0.142857142857143	240	38	84	0.452	7	19	0.368	15	26	0.577	8	26	34	20	7	8	11	21	98	Home	1993-11-16	MIN	-4	0	6
75	1610612749	0029300089	NOV 17, 1993	MIL @ WAS	L	1	7	0.125	240	39	92	0.424	5	13	0.385	21	26	0.808	18	20	38	21	8	11	18	36	104	Away	1993-11-17	WAS	-13	0	7
74	1610612749	0029300112	NOV 20, 1993	MIL vs. SAN	L	1	8	0.111111111111111	240	39	81	0.481	6	11	0.545	13	20	0.65	14	24	38	22	8	4	13	20	97	Home	1993-11-20	SAN	-4	0	8
73	1610612749	0029300135	NOV 24, 1993	MIL vs. ATL	L	1	9	0.1	240	31	90	0.344	5	13	0.385	18	27	0.667	16	32	48	16	14	5	17	26	85	Home	1993-11-24	ATL	-4	0	9
72	1610612749	0029300141	NOV 26, 1993	MIL @ CHH	L	1	10	0.0909090909090909	240	35	96	0.365	1	14	0.071	28	33	0.848	17	33	50	21	4	4	11	29	99	Away	1993-11-26	CHH	-11	0	10
71	1610612749	0029300152	NOV 27, 1993	MIL vs. BOS	W	2	10	0.166666666666667	240	29	80	0.363	5	11	0.455	26	31	0.839	16	29	45	17	10	7	16	17	89	Home	1993-11-27	BOS	4	1	0
70	1610612749	0029300164	NOV 29, 1993	MIL @ SAN	L	2	11	0.153846153846154	240	35	89	0.393	7	22	0.318	18	22	0.818	17	31	48	22	12	5	14	25	95	Away	1993-11-29	SAN	-7	0	1
69	1610612749	0029300166	NOV 30, 1993	MIL @ HOU	L	2	12	0.142857142857143	240	34	95	0.358	5	19	0.263	18	21	0.857	20	27	47	22	13	4	17	23	91	Away	1993-11-30	HOU	-11	0	2
68	1610612749	0029300186	DEC 03, 1993	MIL @ DAL	W	3	12	0.2	240	40	70	0.571	5	10	0.5	22	30	0.733	12	24	36	24	6	5	21	22	107	Away	1993-12-03	DAL	1	1	0
67	1610612749	0029300201	DEC 05, 1993	MIL vs. PHX	L	3	13	0.1875	240	41	87	0.471	4	12	0.333	12	16	0.75	13	19	32	28	11	3	22	26	98	Home	1993-12-05	PHX	-19	0	1
66	1610612749	0029300219	DEC 08, 1993	MIL vs. LAC	L	3	14	0.176470588235294	240	39	94	0.415	1	8	0.125	18	25	0.72	21	21	42	22	19	1	19	19	97	Home	1993-12-08	LAC	-3	0	2
65	1610612749	0029300236	DEC 10, 1993	MIL @ DET	W	4	14	0.222222222222222	240	34	78	0.436	6	10	0.6	16	24	0.667	13	26	39	23	9	3	15	24	90	Away	1993-12-10	DET	2	1	0
64	1610612749	0029300246	DEC 11, 1993	MIL vs. PHL	L	4	15	0.210526315789474	240	32	77	0.416	0	9	0	22	31	0.71	12	22	34	22	12	4	10	20	86	Home	1993-12-11	PHL	-13	0	1
63	1610612749	0029300254	DEC 13, 1993	MIL @ PHX	L	4	16	0.2	240	45	76	0.592	4	11	0.364	10	17	0.588	6	22	28	35	15	4	19	30	104	Away	1993-12-13	PHX	-8	0	2
