Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612745	0029400003	NOV 04, 1994	HOU vs. NJN	W	1	0	1	240	34	72	0.472	1	8	0.125	21	29	0.724	7	35	42	17	16	7	21	22	90	Home	1994-11-04	NJN	4	1	0
81	1610612745	0029400021	NOV 05, 1994	HOU @ MIN	W	2	0	1	240	48	86	0.558	8	17	0.471	11	16	0.688	8	35	43	31	9	5	15	17	115	Away	1994-11-05	MIN	30	2	0
80	1610612745	0029400028	NOV 08, 1994	HOU @ CLE	W	3	0	1	240	39	75	0.52	10	19	0.526	12	13	0.923	6	31	37	29	8	7	19	22	100	Away	1994-11-08	CLE	2	3	0
79	1610612745	0029400035	NOV 09, 1994	HOU @ IND	W	4	0	1	240	35	76	0.461	5	19	0.263	34	50	0.68	10	33	43	24	6	8	13	30	109	Away	1994-11-09	IND	5	4	0
78	1610612745	0029400052	NOV 11, 1994	HOU @ BOS	W	5	0	1	240	37	83	0.446	9	20	0.45	19	27	0.704	14	42	56	22	8	8	19	20	102	Away	1994-11-11	BOS	20	5	0
77	1610612745	0029400057	NOV 12, 1994	HOU @ NJN	W	6	0	1	240	43	80	0.538	5	15	0.333	9	12	0.75	12	32	44	24	15	9	17	22	100	Away	1994-11-12	NJN	16	6	0
76	1610612745	0029400068	NOV 15, 1994	HOU vs. SAC	W	7	0	1	240	33	84	0.393	8	25	0.32	31	37	0.838	15	32	47	28	11	13	18	23	105	Home	1994-11-15	SAC	6	7	0
75	1610612745	0029400088	NOV 17, 1994	HOU vs. CHI	W	8	0	1	240	36	64	0.563	10	21	0.476	24	33	0.727	9	34	43	31	14	5	27	20	106	Home	1994-11-17	CHI	23	8	0
74	1610612745	0029400103	NOV 19, 1994	HOU @ DEN	W	9	0	1	240	44	86	0.512	4	15	0.267	17	23	0.739	11	23	34	19	8	6	13	17	109	Away	1994-11-19	DEN	8	9	0
73	1610612745	0029400114	NOV 22, 1994	HOU vs. POR	L	9	1	0.9	240	36	71	0.507	10	20	0.5	12	15	0.8	6	28	34	22	7	5	16	20	94	Home	1994-11-22	POR	-8	0	1
72	1610612745	0029400130	NOV 23, 1994	HOU @ ORL	L	9	2	0.818181818181818	240	32	78	0.41	7	16	0.438	23	28	0.821	11	26	37	18	5	4	21	16	94	Away	1994-11-23	ORL	-23	0	2
71	1610612745	0029400146	NOV 26, 1994	HOU vs. SEA	L	9	3	0.75	240	34	81	0.42	5	26	0.192	21	26	0.808	13	33	46	22	11	6	14	21	94	Home	1994-11-26	SEA	-4	0	3
70	1610612745	0029400163	NOV 29, 1994	HOU vs. DEN	W	10	3	0.769230769230769	240	37	87	0.425	4	20	0.2	18	26	0.692	15	32	47	23	8	9	10	16	96	Home	1994-11-29	DEN	15	1	0
69	1610612745	0029400174	DEC 01, 1994	HOU @ GOS	W	11	3	0.785714285714286	240	44	86	0.512	9	22	0.409	16	21	0.762	13	26	39	31	11	3	13	22	113	Away	1994-12-01	GOS	4	2	0
68	1610612745	0029400181	DEC 02, 1994	HOU @ LAL	L	11	4	0.733333333333333	240	31	74	0.419	5	20	0.25	22	35	0.629	9	35	44	21	7	3	18	18	89	Away	1994-12-02	LAL	-18	0	1
67	1610612745	0029400202	DEC 06, 1994	HOU @ SEA	L	11	5	0.6875	240	32	78	0.41	4	25	0.16	22	31	0.71	10	27	37	18	11	8	13	22	90	Away	1994-12-06	SEA	-13	0	2
66	1610612745	0029400218	DEC 08, 1994	HOU vs. CHH	W	12	5	0.705882352941177	240	36	76	0.474	12	30	0.4	17	26	0.654	9	38	47	30	9	8	18	17	101	Home	1994-12-08	CHH	6	1	0
65	1610612745	0029400233	DEC 10, 1994	HOU vs. SAN	L	12	6	0.666666666666667	240	39	85	0.459	4	21	0.19	14	20	0.7	10	35	45	30	7	8	14	17	96	Home	1994-12-10	SAN	-12	0	1
64	1610612745	0029400248	DEC 13, 1994	HOU vs. WAS	W	13	6	0.684210526315789	240	31	67	0.463	5	14	0.357	26	39	0.667	11	33	44	25	12	6	24	25	93	Home	1994-12-13	WAS	8	1	0
63	1610612745	0029400264	DEC 15, 1994	HOU vs. LAL	L	13	7	0.65	240	35	88	0.398	12	25	0.48	12	18	0.667	16	31	47	29	5	6	18	20	94	Home	1994-12-15	LAL	-3	0	1
62	1610612745	0029400280	DEC 17, 1994	HOU vs. BOS	L	13	8	0.619047619047619	240	42	90	0.467	10	31	0.323	15	21	0.714	15	26	41	24	8	2	10	22	109	Home	1994-12-17	BOS	-3	0	2
61	1610612745	0029400312	DEC 22, 1994	HOU vs. PHX	W	14	8	0.636363636363636	240	43	91	0.473	10	26	0.385	18	21	0.857	14	39	53	31	8	5	10	20	114	Home	1994-12-22	PHX	8	1	0
60	1610612745	0029400319	DEC 23, 1994	HOU @ SAN	L	14	9	0.608695652173913	240	39	81	0.481	4	14	0.286	14	20	0.7	10	35	45	20	5	10	17	21	96	Away	1994-12-23	SAN	-2	0	1
59	1610612745	0029400329	DEC 26, 1994	HOU @ MIA	W	15	9	0.625	240	39	81	0.481	8	24	0.333	15	18	0.833	8	36	44	27	12	12	18	14	101	Away	1994-12-26	MIA	13	1	0
58	1610612745	0029400339	DEC 27, 1994	HOU vs. ATL	W	16	9	0.64	240	42	77	0.545	4	12	0.333	17	21	0.81	6	32	38	27	9	6	13	14	105	Home	1994-12-27	ATL	12	2	0
57	1610612745	0029400354	DEC 29, 1994	HOU vs. GOS	W	17	9	0.653846153846154	240	47	83	0.566	6	16	0.375	26	34	0.765	9	26	35	29	8	2	15	26	126	Home	1994-12-29	GOS	2	3	0
56	1610612745	0029400357	DEC 30, 1994	HOU @ UTH	W	18	9	0.666666666666667	240	35	70	0.5	9	18	0.5	32	39	0.821	7	28	35	25	9	5	13	23	111	Away	1994-12-30	UTH	8	4	0
55	1610612745	0029400371	JAN 03, 1995	HOU @ DAL	W	19	9	0.678571428571429	240	43	76	0.566	9	13	0.692	15	16	0.938	11	21	32	20	15	8	18	17	110	Away	1995-01-03	DAL	12	5	0
54	1610612745	0029400386	JAN 05, 1995	HOU vs. DAL	W	20	9	0.689655172413793	240	42	83	0.506	5	15	0.333	19	23	0.826	8	31	39	25	10	7	15	23	108	Home	1995-01-05	DAL	9	6	0
53	1610612745	0029400408	JAN 07, 1995	HOU vs. IND	L	20	10	0.666666666666667	240	33	72	0.458	9	25	0.36	8	13	0.615	13	26	39	24	8	9	18	18	83	Home	1995-01-07	IND	-5	0	1
52	1610612745	0029400427	JAN 11, 1995	HOU vs. MIA	W	21	10	0.67741935483871	240	36	70	0.514	11	29	0.379	25	29	0.862	9	30	39	26	8	4	23	23	108	Home	1995-01-11	MIA	11	1	0
51	1610612745	0029400440	JAN 13, 1995	HOU vs. SAN	W	22	10	0.6875	240	42	78	0.538	6	17	0.353	13	18	0.722	10	27	37	31	5	6	21	24	103	Home	1995-01-13	SAN	3	2	0
50	1610612745	0029400455	JAN 14, 1995	HOU @ DEN	L	22	11	0.666666666666667	240	39	78	0.5	5	16	0.313	21	28	0.75	8	25	33	20	8	3	13	21	104	Away	1995-01-14	DEN	-14	0	1
49	1610612745	0029400460	JAN 16, 1995	HOU @ MIN	L	22	12	0.647058823529412	240	30	82	0.366	8	21	0.381	7	11	0.636	13	25	38	22	10	10	19	12	75	Away	1995-01-16	MIN	-19	0	2
48	1610612745	0029400481	JAN 19, 1995	HOU vs. NYK	L	22	13	0.628571428571429	240	32	78	0.41	3	12	0.25	10	16	0.625	12	31	43	22	7	3	14	18	77	Home	1995-01-19	NYK	-16	0	3
47	1610612745	0029400494	JAN 20, 1995	HOU @ DET	W	23	13	0.638888888888889	240	37	82	0.451	6	26	0.231	26	32	0.813	12	31	43	23	9	7	13	19	106	Away	1995-01-20	DET	10	1	0
46	1610612745	0029400507	JAN 22, 1995	HOU @ CHI	L	23	14	0.621621621621622	240	25	75	0.333	5	20	0.25	26	37	0.703	13	25	38	11	11	3	17	17	81	Away	1995-01-22	CHI	-19	0	1
45	1610612745	0029400516	JAN 24, 1995	HOU @ MIL	W	24	14	0.631578947368421	240	45	71	0.634	12	18	0.667	13	18	0.722	11	31	42	33	8	2	22	15	115	Away	1995-01-24	MIL	16	1	0
44	1610612745	0029400534	JAN 26, 1995	HOU @ SAN	L	24	15	0.615384615384615	240	40	81	0.494	8	17	0.471	12	15	0.8	12	27	39	21	6	7	15	20	100	Away	1995-01-26	SAN	-3	0	1
43	1610612745	0029400550	JAN 28, 1995	HOU vs. MIN	W	25	15	0.625	240	39	78	0.5	8	17	0.471	28	37	0.757	15	29	44	27	10	10	16	23	114	Home	1995-01-28	MIN	21	1	0
42	1610612745	0029400565	JAN 31, 1995	HOU vs. DEN	W	26	15	0.634146341463415	240	37	79	0.468	3	17	0.176	9	19	0.474	8	29	37	26	17	6	12	13	86	Home	1995-01-31	DEN	12	2	0
41	1610612745	0029400580	FEB 02, 1995	HOU vs. UTH	W	27	15	0.642857142857143	240	47	75	0.627	9	19	0.474	18	27	0.667	6	27	33	32	7	9	11	23	121	Home	1995-02-02	UTH	20	3	0
40	1610612745	0029400603	FEB 05, 1995	HOU @ PHX	W	28	15	0.651162790697674	240	45	87	0.517	12	24	0.5	22	25	0.88	8	30	38	34	9	7	8	22	124	Away	1995-02-05	PHX	24	4	0
39	1610612745	0029400604	FEB 06, 1995	HOU @ POR	L	28	16	0.636363636363636	240	32	85	0.376	5	17	0.294	13	18	0.722	10	29	39	21	11	8	16	22	82	Away	1995-02-06	POR	-38	0	1
38	1610612745	0029400625	FEB 08, 1995	HOU @ SAC	W	29	16	0.644444444444444	240	39	80	0.488	5	17	0.294	14	22	0.636	13	36	49	22	9	12	14	19	97	Away	1995-02-08	SAC	11	1	0
37	1610612745	0029400629	FEB 09, 1995	HOU @ LAC	L	29	17	0.630434782608696	240	40	73	0.548	5	16	0.313	22	29	0.759	6	21	27	24	4	2	15	18	107	Away	1995-02-09	LAC	-15	0	1
36	1610612745	0029400639	FEB 14, 1995	HOU vs. LAC	W	30	17	0.638297872340426	240	46	81	0.568	7	16	0.438	25	30	0.833	10	38	48	36	8	7	14	24	124	Home	1995-02-14	LAC	20	1	0
35	1610612745	0029400652	FEB 16, 1995	HOU @ CHH	W	31	17	0.645833333333333	240	42	93	0.452	11	23	0.478	10	12	0.833	13	31	44	23	5	5	14	14	105	Away	1995-02-16	CHH	16	2	0
34	1610612745	0029400661	FEB 17, 1995	HOU @ WAS	W	32	17	0.653061224489796	240	42	84	0.5	7	15	0.467	18	19	0.947	14	30	44	22	11	4	11	19	109	Away	1995-02-17	WAS	17	3	0
33	1610612745	0029400674	FEB 19, 1995	HOU @ NYK	L	32	18	0.64	240	41	81	0.506	10	25	0.4	25	32	0.781	12	24	36	25	6	4	13	25	117	Away	1995-02-19	NYK	-5	0	1
32	1610612745	0029400684	FEB 21, 1995	HOU vs. SAN	L	32	19	0.627450980392157	240	36	86	0.419	7	20	0.35	18	25	0.72	14	23	37	28	11	5	12	20	97	Home	1995-02-21	SAN	-1	0	2
31	1610612745	0029400702	FEB 23, 1995	HOU vs. DET	W	33	19	0.634615384615385	240	41	77	0.532	6	18	0.333	22	34	0.647	10	31	41	35	11	9	18	20	110	Home	1995-02-23	DET	11	1	0
30	1610612745	0029400714	FEB 25, 1995	HOU vs. GOS	W	34	19	0.641509433962264	240	48	89	0.539	8	18	0.444	8	15	0.533	9	40	49	44	8	11	17	21	112	Home	1995-02-25	GOS	7	2	0
29	1610612745	0029400726	FEB 27, 1995	HOU vs. CLE	W	35	19	0.648148148148148	240	35	73	0.479	3	16	0.188	13	14	0.929	8	29	37	27	6	3	16	24	86	Home	1995-02-27	CLE	8	3	0
28	1610612745	0029400737	FEB 28, 1995	HOU @ DAL	L	35	20	0.636363636363636	240	40	85	0.471	7	21	0.333	14	19	0.737	11	28	39	27	6	8	15	23	101	Away	1995-02-28	DAL	-1	0	1
27	1610612745	0029400745	MAR 02, 1995	HOU vs. ORL	L	35	21	0.625	240	38	89	0.427	6	23	0.261	14	18	0.778	14	28	42	27	11	4	13	19	96	Home	1995-03-02	ORL	-11	0	2
26	1610612745	0029400754	MAR 03, 1995	HOU @ MIN	L	35	22	0.614035087719298	240	32	68	0.471	14	25	0.56	27	41	0.659	12	25	37	24	4	9	19	23	105	Away	1995-03-03	MIN	-3	0	3
