Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612763	0029500007	NOV 03, 1995	VAN @ POR	W	1	0	1	240	33	75	0.44	1	5	0.2	25	33	0.758	10	29	39	14	12	5	18	28	92	Away	1995-11-03	POR	12	1	0
81	1610612763	0029500026	NOV 05, 1995	VAN vs. MIN	W	2	0	1	265	36	79	0.456	3	10	0.3	25	40	0.625	19	34	53	21	10	7	19	24	100	Home	1995-11-05	MIN	2	2	0
80	1610612763	0029500031	NOV 07, 1995	VAN @ DAL	L	2	1	0.666666666666667	240	33	77	0.429	2	11	0.182	20	27	0.741	9	26	35	18	10	5	14	15	88	Away	1995-11-07	DAL	-11	0	1
79	1610612763	0029500050	NOV 08, 1995	VAN @ SAN	L	2	2	0.5	240	22	78	0.282	0	6	0	18	26	0.692	18	29	47	8	4	3	23	26	62	Away	1995-11-08	SAN	-49	0	2
78	1610612763	0029500057	NOV 10, 1995	VAN vs. LAC	L	2	3	0.4	240	29	61	0.475	3	7	0.429	30	35	0.857	6	23	29	22	14	7	23	28	91	Home	1995-11-10	LAC	-7	0	3
77	1610612763	0029500069	NOV 11, 1995	VAN @ SEA	L	2	4	0.333333333333333	240	32	86	0.372	0	8	0	17	27	0.63	18	24	42	9	6	3	14	26	81	Away	1995-11-11	SEA	-36	0	4
76	1610612763	0029500081	NOV 13, 1995	VAN vs. DAL	L	2	5	0.285714285714286	240	38	91	0.418	4	13	0.308	9	15	0.6	16	29	45	25	8	8	10	26	89	Home	1995-11-13	DAL	-5	0	5
75	1610612763	0029500103	NOV 16, 1995	VAN @ LAC	L	2	6	0.25	240	38	73	0.521	5	17	0.294	17	29	0.586	7	23	30	11	11	2	15	26	98	Away	1995-11-16	LAC	-5	0	6
74	1610612763	0029500113	NOV 17, 1995	VAN vs. LAL	L	2	7	0.222222222222222	240	31	72	0.431	2	10	0.2	27	36	0.75	14	23	37	17	4	2	17	23	91	Home	1995-11-17	LAL	-23	0	7
73	1610612763	0029500127	NOV 19, 1995	VAN @ NYK	L	2	8	0.2	240	34	74	0.459	5	13	0.385	20	26	0.769	13	24	37	19	9	4	14	17	93	Away	1995-11-19	NYK	-5	0	8
72	1610612763	0029500141	NOV 22, 1995	VAN @ ORL	L	2	9	0.181818181818182	240	36	78	0.462	4	8	0.5	17	25	0.68	12	29	41	24	4	5	11	22	93	Away	1995-11-22	ORL	-2	0	9
71	1610612763	0029500160	NOV 24, 1995	VAN @ CHH	L	2	10	0.166666666666667	240	39	87	0.448	3	8	0.375	23	32	0.719	15	21	36	16	7	0	11	25	104	Away	1995-11-24	CHH	-12	0	10
70	1610612763	0029500162	NOV 25, 1995	VAN @ MIA	L	2	11	0.153846153846154	240	33	66	0.5	7	12	0.583	18	30	0.6	7	22	29	24	11	2	16	30	91	Away	1995-11-25	MIA	-20	0	11
69	1610612763	0029500186	NOV 28, 1995	VAN @ MIN	L	2	12	0.142857142857143	240	39	84	0.464	3	12	0.25	17	27	0.63	15	21	36	20	9	1	17	33	98	Away	1995-11-28	MIN	-23	0	12
68	1610612763	0029500200	NOV 30, 1995	VAN vs. CHI	L	2	13	0.133333333333333	240	31	67	0.463	5	11	0.455	21	28	0.75	4	25	29	19	7	6	19	21	88	Home	1995-11-30	CHI	-6	0	13
67	1610612763	0029500206	DEC 01, 1995	VAN @ LAL	L	2	14	0.125	240	42	85	0.494	6	10	0.6	10	17	0.588	15	19	34	25	10	0	18	14	100	Away	1995-12-01	LAL	-13	0	14
66	1610612763	0029500219	DEC 03, 1995	VAN vs. MIL	L	2	15	0.117647058823529	240	37	79	0.468	4	11	0.364	17	26	0.654	12	17	29	27	9	4	11	25	95	Home	1995-12-03	MIL	-14	0	15
65	1610612763	0029500226	DEC 05, 1995	VAN @ PHX	L	2	16	0.111111111111111	240	41	78	0.526	7	14	0.5	19	24	0.792	7	26	33	28	7	6	15	28	108	Away	1995-12-05	PHX	-4	0	16
64	1610612763	0029500245	DEC 07, 1995	VAN vs. DET	L	2	17	0.105263157894737	240	31	72	0.431	3	8	0.375	19	30	0.633	10	16	26	17	5	6	8	23	84	Home	1995-12-07	DET	-9	0	17
63	1610612763	0029500271	DEC 10, 1995	VAN vs. TOR	L	2	18	0.1	240	33	89	0.371	4	14	0.286	11	20	0.55	15	26	41	21	11	0	14	22	81	Home	1995-12-10	TOR	-12	0	18
62	1610612763	0029500288	DEC 13, 1995	VAN vs. HOU	L	2	19	0.0952380952380952	240	33	92	0.359	7	19	0.368	16	21	0.762	21	34	55	18	16	4	19	24	89	Home	1995-12-13	HOU	-11	0	19
61	1610612763	0029500296	DEC 15, 1995	VAN vs. POR	W	3	19	0.136363636363636	265	37	89	0.416	2	12	0.167	28	43	0.651	19	29	48	23	13	6	15	24	104	Home	1995-12-15	POR	4	1	0
60	1610612763	0029500309	DEC 16, 1995	VAN vs. GOS	L	3	20	0.130434782608696	240	34	78	0.436	1	10	0.1	16	22	0.727	11	18	29	23	8	5	18	24	85	Home	1995-12-16	GOS	-31	0	1
59	1610612763	0029500318	DEC 18, 1995	VAN @ SAC	L	3	21	0.125	240	30	65	0.462	4	8	0.5	21	24	0.875	12	24	36	15	9	7	25	29	85	Away	1995-12-18	SAC	-7	0	2
58	1610612763	0029500329	DEC 19, 1995	VAN vs. SEA	W	4	21	0.16	240	30	76	0.395	9	15	0.6	25	31	0.806	15	29	44	23	7	6	15	25	94	Home	1995-12-19	SEA	1	1	0
57	1610612763	0029500338	DEC 21, 1995	VAN @ SEA	L	4	22	0.153846153846154	240	26	65	0.4	1	11	0.091	15	22	0.682	10	32	42	15	12	7	29	31	68	Away	1995-12-21	SEA	-24	0	1
56	1610612763	0029500346	DEC 22, 1995	VAN vs. PHX	L	4	23	0.148148148148148	240	30	81	0.37	1	8	0.125	19	24	0.792	9	26	35	20	12	2	15	22	80	Home	1995-12-22	PHX	-21	0	2
55	1610612763	0029500375	DEC 26, 1995	VAN @ HOU	L	4	24	0.142857142857143	240	30	79	0.38	4	11	0.364	20	24	0.833	14	27	41	13	11	4	18	25	84	Away	1995-12-26	HOU	-16	0	3
54	1610612763	0029500388	DEC 28, 1995	VAN @ DAL	L	4	25	0.137931034482759	290	37	87	0.425	7	11	0.636	20	32	0.625	16	38	54	18	8	11	24	30	101	Away	1995-12-28	DAL	-2	0	4
53	1610612763	0029500406	DEC 30, 1995	VAN vs. BOS	W	5	25	0.166666666666667	240	37	82	0.451	1	9	0.111	28	38	0.737	17	31	48	24	5	4	21	30	103	Home	1995-12-30	BOS	8	1	0
52	1610612763	0029500433	JAN 05, 1996	VAN vs. PHL	W	6	25	0.193548387096774	265	39	96	0.406	3	16	0.188	22	34	0.647	14	28	42	26	13	3	11	20	103	Home	1996-01-05	PHL	1	2	0
51	1610612763	0029500451	JAN 07, 1996	VAN vs. LAC	L	6	26	0.1875	240	37	77	0.481	6	18	0.333	13	17	0.765	11	25	36	25	5	3	25	28	93	Home	1996-01-07	LAC	-8	0	1
