Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612737	0029600005	NOV 01, 1996	ATL @ MIA	L	0	1	0	240	25	65	0.385	4	16	0.25	27	32	0.844	10	30	40	13	10	7	23	20	81	Away	1996-11-01	MIA	-13	0	1
81	1610612737	0029600017	NOV 02, 1996	ATL vs. DET	L	0	2	0	240	29	72	0.403	8	24	0.333	12	17	0.706	12	29	41	11	3	3	19	20	78	Home	1996-11-02	DET	-12	0	2
80	1610612737	0029600030	NOV 04, 1996	ATL @ POR	W	1	2	0.333333333333333	240	32	74	0.432	11	17	0.647	19	23	0.826	10	24	34	15	10	8	16	20	94	Away	1996-11-04	POR	18	1	0
79	1610612737	0029600040	NOV 05, 1996	ATL @ SEA	W	2	2	0.5	240	43	81	0.524	16	29	0.552	15	18	0.833	10	28	38	23	9	3	15	20	117	Away	1996-11-05	SEA	22	2	0
78	1610612737	0029600051	NOV 07, 1996	ATL @ SAC	W	3	2	0.6	240	32	74	0.432	4	18	0.222	23	37	0.622	15	30	45	15	8	5	17	17	91	Away	1996-11-07	SAC	4	3	0
77	1610612737	0029600072	NOV 10, 1996	ATL @ LAL	L	3	3	0.5	240	30	84	0.357	10	30	0.333	15	19	0.789	10	24	34	21	10	4	9	18	85	Away	1996-11-10	LAL	-7	0	1
76	1610612737	0029600082	NOV 12, 1996	ATL vs. CLE	W	4	3	0.571428571428571	240	32	76	0.421	7	22	0.318	16	19	0.842	12	22	34	22	5	5	13	22	87	Home	1996-11-12	CLE	4	1	0
75	1610612737	0029600089	NOV 13, 1996	ATL @ BOS	L	4	4	0.5	240	31	76	0.408	11	27	0.407	12	22	0.545	14	27	41	24	10	5	25	18	85	Away	1996-11-13	BOS	-18	0	1
74	1610612737	0029600108	NOV 15, 1996	ATL vs. MIA	W	5	4	0.555555555555556	240	22	60	0.367	4	15	0.267	37	48	0.771	16	35	51	10	10	8	17	18	85	Home	1996-11-15	MIA	8	1	0
73	1610612737	0029600120	NOV 16, 1996	ATL @ CHI	L	5	5	0.5	240	26	80	0.325	3	13	0.231	14	21	0.667	15	25	40	9	6	3	12	17	69	Away	1996-11-16	CHI	-28	0	1
72	1610612737	0029600132	NOV 19, 1996	ATL @ CLE	L	5	6	0.454545454545455	240	23	71	0.324	7	23	0.304	10	15	0.667	10	31	41	16	7	7	16	20	63	Away	1996-11-19	CLE	-10	0	2
71	1610612737	0029600150	NOV 21, 1996	ATL @ MIL	W	6	6	0.5	240	28	69	0.406	1	11	0.091	16	26	0.615	10	33	43	9	6	8	14	24	73	Away	1996-11-21	MIL	8	1	0
70	1610612737	0029600162	NOV 23, 1996	ATL @ TOR	W	7	6	0.538461538461538	240	32	62	0.516	6	15	0.4	21	26	0.808	8	22	30	16	5	4	22	20	91	Away	1996-11-23	TOR	3	2	0
69	1610612737	0029600181	NOV 26, 1996	ATL vs. VAN	W	8	6	0.571428571428571	240	41	85	0.482	8	19	0.421	11	18	0.611	12	40	52	26	6	8	15	13	101	Home	1996-11-26	VAN	21	3	0
68	1610612737	0029600188	NOV 27, 1996	ATL @ ORL	L	8	7	0.533333333333333	240	29	77	0.377	4	20	0.2	13	16	0.813	12	29	41	12	9	4	11	21	75	Away	1996-11-27	ORL	-4	0	1
67	1610612737	0029600201	NOV 29, 1996	ATL vs. WAS	W	9	7	0.5625	240	42	82	0.512	12	22	0.545	14	18	0.778	13	31	44	20	14	7	17	20	110	Home	1996-11-29	WAS	29	1	0
66	1610612737	0029600226	DEC 03, 1996	ATL vs. BOS	W	10	7	0.588235294117647	240	40	87	0.46	7	17	0.412	18	20	0.9	18	30	48	24	12	11	18	19	105	Home	1996-12-03	BOS	10	2	0
65	1610612737	0029600237	DEC 04, 1996	ATL @ DET	L	10	8	0.555555555555556	240	35	71	0.493	9	21	0.429	11	14	0.786	8	16	24	19	6	2	10	16	90	Away	1996-12-04	DET	-10	0	1
64	1610612737	0029600260	DEC 07, 1996	ATL vs. TOR	W	11	8	0.578947368421053	240	39	76	0.513	7	20	0.35	16	28	0.571	12	34	46	22	11	4	19	22	101	Home	1996-12-07	TOR	26	1	0
63	1610612737	0029600276	DEC 10, 1996	ATL vs. DEN	W	12	8	0.6	240	31	74	0.419	4	16	0.25	23	27	0.852	13	35	48	15	3	5	12	21	89	Home	1996-12-10	DEN	1	2	0
62	1610612737	0029600310	DEC 14, 1996	ATL vs. PHI	W	13	8	0.619047619047619	240	38	77	0.494	9	24	0.375	21	29	0.724	12	32	44	25	7	6	11	21	106	Home	1996-12-14	PHI	25	3	0
61	1610612737	0029600331	DEC 17, 1996	ATL @ DAL	W	14	8	0.636363636363636	240	40	74	0.541	19	27	0.704	10	22	0.455	12	37	49	26	6	9	15	16	109	Away	1996-12-17	DAL	36	4	0
60	1610612737	0029600351	DEC 20, 1996	ATL vs. NJN	W	15	8	0.652173913043478	240	38	75	0.507	11	25	0.44	22	28	0.786	12	33	45	19	9	5	23	20	109	Home	1996-12-20	NJN	14	5	0
59	1610612737	0029600360	DEC 21, 1996	ATL @ CHH	L	15	9	0.625	240	32	92	0.348	8	33	0.242	21	22	0.955	21	27	48	15	0	10	9	24	93	Away	1996-12-21	CHH	-5	0	1
58	1610612737	0029600372	DEC 23, 1996	ATL @ NYK	L	15	10	0.6	240	28	78	0.359	6	20	0.3	14	17	0.824	14	23	37	13	9	1	8	24	76	Away	1996-12-23	NYK	-6	0	2
57	1610612737	0029600384	DEC 26, 1996	ATL vs. CHI	W	16	10	0.615384615384615	240	34	81	0.42	6	22	0.273	34	38	0.895	19	27	46	12	8	1	11	21	108	Home	1996-12-26	CHI	5	1	0
56	1610612737	0029600401	DEC 28, 1996	ATL @ WAS	L	16	11	0.592592592592593	240	32	75	0.427	8	24	0.333	14	20	0.7	10	28	38	19	8	4	18	22	86	Away	1996-12-28	WAS	-11	0	1
