Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612738	0029600001	NOV 01, 1996	BOS vs. CHI	L	0	1	0	240	38	84	0.452	8	20	0.4	14	23	0.609	14	22	36	20	10	2	18	33	98	Home	1996-11-01	CHI	-9	0	1
81	1610612738	0029600020	NOV 02, 1996	BOS @ MIL	L	0	2	0	240	33	80	0.413	1	12	0.083	35	40	0.875	16	25	41	16	7	4	17	30	102	Away	1996-11-02	MIL	-22	0	2
80	1610612738	0029600041	NOV 06, 1996	BOS vs. IND	W	1	2	0.333333333333333	240	39	80	0.488	3	12	0.25	13	21	0.619	9	24	33	24	11	6	15	19	94	Home	1996-11-06	IND	10	1	0
79	1610612738	0029600053	NOV 08, 1996	BOS vs. PHI	L	1	3	0.25	240	41	93	0.441	7	19	0.368	16	23	0.696	16	28	44	22	10	5	20	34	105	Home	1996-11-08	PHI	-10	0	1
78	1610612738	0029600066	NOV 09, 1996	BOS @ CHI	L	1	4	0.2	240	34	78	0.436	5	17	0.294	19	26	0.731	14	32	46	14	9	2	26	24	92	Away	1996-11-09	CHI	-12	0	2
77	1610612738	0029600089	NOV 13, 1996	BOS vs. ATL	W	2	4	0.333333333333333	240	39	78	0.5	11	21	0.524	14	18	0.778	11	33	44	27	12	4	22	21	103	Home	1996-11-13	ATL	18	1	0
76	1610612738	0029600104	NOV 15, 1996	BOS vs. DEN	L	2	5	0.285714285714286	240	30	77	0.39	1	16	0.063	19	23	0.826	10	31	41	17	6	12	18	23	80	Home	1996-11-15	DEN	-2	0	1
75	1610612738	0029600116	NOV 16, 1996	BOS @ WAS	L	2	6	0.25	240	39	88	0.443	3	14	0.214	11	17	0.647	10	31	41	24	5	2	11	21	92	Away	1996-11-16	WAS	-14	0	2
74	1610612738	0029600138	NOV 20, 1996	BOS vs. DET	L	2	7	0.222222222222222	240	31	77	0.403	1	11	0.091	20	24	0.833	18	23	41	22	9	2	21	21	83	Home	1996-11-20	DET	-25	0	3
73	1610612738	0029600155	NOV 22, 1996	BOS vs. SEA	L	2	8	0.2	240	27	83	0.325	10	26	0.385	27	37	0.73	17	29	46	19	6	4	20	23	91	Home	1996-11-22	SEA	-27	0	4
72	1610612738	0029600169	NOV 24, 1996	BOS vs. DAL	W	3	8	0.272727272727273	240	38	70	0.543	6	12	0.5	23	32	0.719	7	27	34	24	7	6	21	25	105	Home	1996-11-24	DAL	14	1	0
71	1610612738	0029600187	NOV 27, 1996	BOS vs. LAL	W	4	8	0.333333333333333	240	42	82	0.512	5	9	0.556	21	30	0.7	10	38	48	25	8	2	14	23	110	Home	1996-11-27	LAL	16	2	0
70	1610612738	0029600199	NOV 29, 1996	BOS vs. HOU	L	4	9	0.307692307692308	240	39	91	0.429	4	13	0.308	12	17	0.706	12	21	33	18	9	2	9	21	94	Home	1996-11-29	HOU	-26	0	1
69	1610612738	0029600212	NOV 30, 1996	BOS @ MIA	L	4	10	0.285714285714286	240	32	87	0.368	2	9	0.222	11	14	0.786	16	27	43	15	9	3	8	20	77	Away	1996-11-30	MIA	-1	0	2
68	1610612738	0029600226	DEC 03, 1996	BOS @ ATL	L	4	11	0.266666666666667	240	36	79	0.456	8	17	0.471	15	18	0.833	11	27	38	16	9	4	20	19	95	Away	1996-12-03	ATL	-10	0	3
67	1610612738	0029600238	DEC 04, 1996	BOS @ HOU	L	4	12	0.25	240	34	98	0.347	6	15	0.4	15	17	0.882	17	27	44	21	14	6	15	26	89	Away	1996-12-04	HOU	-5	0	4
