Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
50	1610612762	0029800009	FEB 05, 1999	UTA vs. CHI	W	1	0	1	240	34	59	0.576	3	6	0.5	33	42	0.786	6	28	34	24	9	9	19	21	104	Home	1999-02-05	CHI	8	1	0
49	1610612762	0029800025	FEB 07, 1999	UTA @ LAL	W	2	0	1	240	31	70	0.443	1	4	0.25	37	48	0.771	9	29	38	23	8	3	10	30	100	Away	1999-02-07	LAL	9	2	0
48	1610612762	0029800041	FEB 09, 1999	UTA @ DAL	W	3	0	1	240	37	77	0.481	1	4	0.25	15	20	0.75	12	33	45	21	10	5	14	22	90	Away	1999-02-09	DAL	11	3	0
47	1610612762	0029800060	FEB 11, 1999	UTA @ PHX	W	4	0	1	240	34	74	0.459	1	4	0.25	13	20	0.65	9	28	37	24	10	4	12	22	82	Away	1999-02-11	PHX	8	4	0
46	1610612762	0029800064	FEB 12, 1999	UTA @ GSW	W	5	0	1	240	36	80	0.45	1	5	0.2	24	28	0.857	12	32	44	25	10	3	16	22	97	Away	1999-02-12	GSW	16	5	0
45	1610612762	0029800077	FEB 15, 1999	UTA vs. SAC	W	6	0	1	265	43	80	0.538	3	6	0.5	31	37	0.838	14	38	52	34	9	8	23	26	120	Home	1999-02-15	SAC	8	6	0
44	1610612762	0029800090	FEB 16, 1999	UTA @ SEA	L	6	1	0.857142857142857	240	21	68	0.309	0	3	0	14	19	0.737	11	26	37	16	11	3	19	16	56	Away	1999-02-16	SEA	-15	0	1
43	1610612762	0029800105	FEB 18, 1999	UTA vs. DEN	W	7	1	0.875	240	36	74	0.486	2	7	0.286	23	28	0.821	10	32	42	23	6	6	17	23	97	Home	1999-02-18	DEN	11	1	0
42	1610612762	0029800120	FEB 20, 1999	UTA vs. SEA	W	8	1	0.888888888888889	240	45	82	0.549	5	9	0.556	15	21	0.714	15	34	49	34	8	8	13	25	110	Home	1999-02-20	SEA	30	2	0
41	1610612762	0029800136	FEB 22, 1999	UTA vs. LAC	W	9	1	0.9	240	37	74	0.5	3	7	0.429	27	36	0.75	9	33	42	30	9	5	14	27	104	Home	1999-02-22	LAC	15	3	0
40	1610612762	0029800153	FEB 24, 1999	UTA @ DEN	L	9	2	0.818181818181818	240	29	63	0.46	1	7	0.143	28	40	0.7	11	22	33	21	7	4	18	28	87	Away	1999-02-24	DEN	-10	0	1
