Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612761	0020000005	OCT 31, 2000	TOR vs. DET	L	0	1	0	240	35	93	0.376	5	17	0.294	20	31	0.645	20	28	48	27	7	7	15	21	95	Home	2000-10-31	DET	-9	0	1
81	1610612761	0020000015	NOV 01, 2000	TOR @ PHI	L	0	2	0	240	39	86	0.453	5	13	0.385	15	18	0.833	16	24	40	23	10	5	16	26	98	Away	2000-11-01	PHI	-6	0	2
80	1610612761	0020000028	NOV 03, 2000	TOR @ BOS	L	0	3	0	240	34	79	0.43	4	15	0.267	19	22	0.864	9	31	40	22	7	6	19	27	91	Away	2000-11-03	BOS	-2	0	3
79	1610612761	0020000037	NOV 04, 2000	TOR vs. WAS	W	1	3	0.25	240	35	77	0.455	5	14	0.357	28	34	0.824	11	35	46	24	2	11	17	27	103	Home	2000-11-04	WAS	7	1	0
78	1610612761	0020000055	NOV 07, 2000	TOR vs. BOS	W	2	3	0.4	240	37	76	0.487	4	13	0.308	27	32	0.844	8	43	51	26	7	11	16	19	105	Home	2000-11-07	BOS	30	2	0
77	1610612761	0020000081	NOV 10, 2000	TOR vs. CLE	W	3	3	0.5	240	45	84	0.536	8	13	0.615	17	22	0.773	14	35	49	32	10	6	15	17	115	Home	2000-11-10	CLE	27	3	0
76	1610612761	0020000091	NOV 11, 2000	TOR @ CHI	W	4	3	0.571428571428571	240	39	74	0.527	5	12	0.417	15	21	0.714	9	35	44	32	4	5	14	16	98	Away	2000-11-11	CHI	23	4	0
75	1610612761	0020000120	NOV 16, 2000	TOR vs. POR	L	4	4	0.5	240	31	89	0.348	5	17	0.294	13	19	0.684	13	31	44	20	4	2	8	21	80	Home	2000-11-16	POR	-6	0	1
74	1610612761	0020000138	NOV 18, 2000	TOR vs. MIL	W	5	4	0.555555555555556	240	32	76	0.421	6	16	0.375	41	49	0.837	13	33	46	26	7	6	9	21	111	Home	2000-11-18	MIL	9	1	0
73	1610612761	0020000149	NOV 20, 2000	TOR vs. CHH	L	5	5	0.5	240	24	89	0.27	3	14	0.214	13	21	0.619	17	27	44	13	7	6	17	18	64	Home	2000-11-20	CHH	-36	0	1
72	1610612761	0020000170	NOV 23, 2000	TOR @ IND	W	6	5	0.545454545454545	240	39	80	0.488	5	16	0.313	28	37	0.737	14	32	46	19	7	4	13	20	111	Away	2000-11-23	IND	20	1	0
71	1610612761	0020000182	NOV 25, 2000	TOR @ NYK	W	7	5	0.583333333333333	240	31	77	0.403	4	14	0.286	13	22	0.591	11	30	41	19	9	1	13	13	79	Away	2000-11-25	NYK	4	2	0
70	1610612761	0020000194	NOV 26, 2000	TOR vs. CHI	W	8	5	0.615384615384615	240	33	77	0.429	4	12	0.333	31	42	0.738	14	34	48	22	6	9	10	21	101	Home	2000-11-26	CHI	12	3	0
69	1610612761	0020000204	NOV 28, 2000	TOR @ DAL	L	8	6	0.571428571428571	240	35	80	0.438	2	13	0.154	21	25	0.84	15	36	51	22	3	3	16	21	93	Away	2000-11-28	DAL	-14	0	1
68	1610612761	0020000211	NOV 29, 2000	TOR @ CHH	L	8	7	0.533333333333333	240	32	94	0.34	1	9	0.111	14	18	0.778	15	19	34	19	7	1	6	19	79	Away	2000-11-29	CHH	-24	0	2
67	1610612761	0020000227	DEC 01, 2000	TOR vs. LAC	W	9	7	0.5625	265	43	87	0.494	4	10	0.4	14	25	0.56	9	31	40	31	8	4	10	24	104	Home	2000-12-01	LAC	9	1	0
66	1610612761	0020000257	DEC 05, 2000	TOR @ UTA	L	9	8	0.529411764705882	240	29	74	0.392	6	13	0.462	20	28	0.714	11	24	35	16	6	4	14	15	84	Away	2000-12-05	UTA	-14	0	1
65	1610612761	0020000268	DEC 06, 2000	TOR @ POR	L	9	9	0.5	240	33	75	0.44	3	10	0.3	19	29	0.655	10	30	40	25	7	2	11	24	88	Away	2000-12-06	POR	-7	0	2
64	1610612761	0020000281	DEC 08, 2000	TOR @ GSW	W	10	9	0.526315789473684	240	42	88	0.477	3	9	0.333	21	25	0.84	23	29	52	28	7	2	21	22	108	Away	2000-12-08	GSW	16	1	0
63	1610612761	0020000296	DEC 10, 2000	TOR vs. PHX	L	10	10	0.5	240	31	81	0.383	2	13	0.154	23	34	0.676	15	31	46	21	5	5	12	20	87	Home	2000-12-10	PHX	-8	0	1
62	1610612761	0020000306	DEC 12, 2000	TOR vs. IND	W	11	10	0.523809523809524	240	36	87	0.414	7	14	0.5	25	31	0.806	21	28	49	22	10	7	14	22	104	Home	2000-12-12	IND	14	1	0
61	1610612761	0020000322	DEC 14, 2000	TOR vs. NYK	W	12	10	0.545454545454545	240	26	81	0.321	3	15	0.2	15	20	0.75	20	35	55	22	12	9	18	17	70	Home	2000-12-14	NYK	2	2	0
60	1610612761	0020000332	DEC 15, 2000	TOR @ MIL	L	12	11	0.521739130434783	240	37	82	0.451	5	14	0.357	18	21	0.857	10	32	42	17	5	2	13	24	97	Away	2000-12-15	MIL	-7	0	1
59	1610612761	0020000347	DEC 17, 2000	TOR vs. LAL	L	12	12	0.5	265	36	103	0.35	7	22	0.318	22	29	0.759	21	40	61	26	5	5	10	31	101	Home	2000-12-17	LAL	-3	0	2
58	1610612761	0020000354	DEC 19, 2000	TOR vs. UTA	W	13	12	0.52	240	41	89	0.461	8	22	0.364	13	19	0.684	16	32	48	29	7	9	11	19	103	Home	2000-12-19	UTA	8	1	0
57	1610612761	0020000363	DEC 20, 2000	TOR @ IND	W	14	12	0.538461538461538	265	33	88	0.375	4	11	0.364	29	35	0.829	16	30	46	20	6	4	12	25	99	Away	2000-12-20	IND	1	2	0
56	1610612761	0020000376	DEC 22, 2000	TOR vs. ATL	L	14	13	0.518518518518518	240	33	93	0.355	1	8	0.125	5	5	1	14	34	48	27	7	7	10	14	72	Home	2000-12-22	ATL	-6	0	1
55	1610612761	0020000402	DEC 26, 2000	TOR @ MIN	L	14	14	0.5	240	41	90	0.456	5	10	0.5	10	17	0.588	11	30	41	33	6	3	10	19	97	Away	2000-12-26	MIN	-3	0	2
54	1610612761	0020000418	DEC 28, 2000	TOR @ DEN	W	15	14	0.517241379310345	240	39	90	0.433	3	9	0.333	13	15	0.867	14	34	48	29	6	4	7	22	94	Away	2000-12-28	DEN	1	1	0
53	1610612761	0020000433	DEC 30, 2000	TOR @ PHX	L	15	15	0.5	240	31	71	0.437	8	15	0.533	33	43	0.767	15	24	39	20	4	3	14	30	103	Away	2000-12-30	PHX	-6	0	1
52	1610612761	0020000448	JAN 02, 2001	TOR @ LAC	L	15	16	0.483870967741935	240	34	89	0.382	1	4	0.25	28	34	0.824	18	22	40	17	6	1	11	25	97	Away	2001-01-02	LAC	-13	0	2
51	1610612761	0020000467	JAN 05, 2001	TOR vs. DAL	L	15	17	0.46875	240	38	87	0.437	4	10	0.4	25	36	0.694	12	30	42	23	13	2	14	20	105	Home	2001-01-05	DAL	-10	0	3
50	1610612761	0020000481	JAN 07, 2001	TOR vs. SEA	W	16	17	0.484848484848485	240	41	85	0.482	5	18	0.278	7	9	0.778	13	29	42	28	8	18	17	20	94	Home	2001-01-07	SEA	2	1	0
49	1610612761	0020000496	JAN 09, 2001	TOR vs. HOU	L	16	18	0.470588235294118	240	35	89	0.393	5	14	0.357	16	23	0.696	21	25	46	21	7	3	10	19	91	Home	2001-01-09	HOU	-19	0	1
48	1610612761	0020000503	JAN 10, 2001	TOR @ DET	W	17	18	0.485714285714286	240	44	79	0.557	7	17	0.412	15	20	0.75	6	43	49	31	7	4	17	27	110	Away	2001-01-10	DET	25	1	0
47	1610612761	0020000513	JAN 12, 2001	TOR @ BOS	W	18	18	0.5	240	34	75	0.453	5	9	0.556	20	31	0.645	10	31	41	23	10	7	10	23	93	Away	2001-01-12	BOS	21	2	0
46	1610612761	0020000532	JAN 14, 2001	TOR vs. CHH	W	19	18	0.513513513513513	240	41	88	0.466	14	21	0.667	11	13	0.846	13	32	45	33	5	8	11	25	107	Home	2001-01-14	CHH	8	3	0
45	1610612761	0020000549	JAN 16, 2001	TOR @ HOU	L	19	19	0.5	240	39	86	0.453	2	10	0.2	19	30	0.633	9	26	35	24	7	1	3	24	99	Away	2001-01-16	HOU	-15	0	1
44	1610612761	0020000554	JAN 17, 2001	TOR @ SAS	W	20	19	0.512820512820513	240	41	90	0.456	7	12	0.583	9	12	0.75	11	31	42	22	8	4	8	19	98	Away	2001-01-17	SAS	7	1	0
43	1610612761	0020000567	JAN 19, 2001	TOR vs. WAS	W	21	19	0.525	240	39	76	0.513	6	16	0.375	17	20	0.85	12	30	42	21	11	10	19	18	101	Home	2001-01-19	WAS	22	2	0
42	1610612761	0020000579	JAN 21, 2001	TOR @ PHI	W	22	19	0.536585365853659	265	46	95	0.484	6	16	0.375	12	17	0.706	20	29	49	32	10	5	16	22	110	Away	2001-01-21	PHI	4	3	0
41	1610612761	0020000590	JAN 23, 2001	TOR @ ORL	L	22	20	0.523809523809524	290	33	85	0.388	7	18	0.389	38	48	0.792	16	31	47	20	9	3	17	28	111	Away	2001-01-23	ORL	-5	0	1
40	1610612761	0020000600	JAN 24, 2001	TOR @ MIA	L	22	21	0.511627906976744	240	31	76	0.408	4	15	0.267	17	30	0.567	13	29	42	11	6	2	18	21	83	Away	2001-01-24	MIA	-20	0	2
39	1610612761	0020000622	JAN 27, 2001	TOR @ CHI	W	23	21	0.522727272727273	240	36	90	0.4	2	10	0.2	16	20	0.8	20	30	50	22	8	2	10	18	90	Away	2001-01-27	CHI	10	1	0
38	1610612761	0020000640	JAN 30, 2001	TOR vs. PHI	W	24	21	0.533333333333333	240	38	84	0.452	7	20	0.35	13	18	0.722	10	33	43	23	5	7	9	19	96	Home	2001-01-30	PHI	7	2	0
37	1610612761	0020000648	JAN 31, 2001	TOR @ ATL	L	24	22	0.521739130434783	240	37	89	0.416	7	15	0.467	16	25	0.64	17	27	44	20	7	4	11	21	97	Away	2001-01-31	ATL	-5	0	1
36	1610612761	0020000670	FEB 03, 2001	TOR vs. MIN	L	24	23	0.51063829787234	240	38	81	0.469	6	16	0.375	23	32	0.719	13	23	36	28	4	7	9	16	105	Home	2001-02-03	MIN	-3	0	2
35	1610612761	0020000685	FEB 05, 2001	TOR vs. BOS	W	25	23	0.520833333333333	240	44	81	0.543	5	9	0.556	17	23	0.739	9	34	43	28	5	9	11	21	110	Home	2001-02-05	BOS	12	1	0
34	1610612761	0020000708	FEB 08, 2001	TOR vs. DEN	W	26	23	0.530612244897959	240	35	76	0.461	6	14	0.429	23	26	0.885	8	32	40	26	5	6	9	18	99	Home	2001-02-08	DEN	7	2	0
33	1610612761	0020000712	FEB 13, 2001	TOR @ CLE	W	27	23	0.54	240	40	89	0.449	5	12	0.417	35	42	0.833	15	30	45	32	8	6	10	26	120	Away	2001-02-13	CLE	15	3	0
32	1610612761	0020000729	FEB 15, 2001	TOR vs. MIA	L	27	24	0.529411764705882	265	35	96	0.365	5	16	0.313	16	22	0.727	14	33	47	20	13	9	13	19	91	Home	2001-02-15	MIA	-7	0	1
31	1610612761	0020000752	FEB 18, 2001	TOR vs. SAS	L	27	25	0.519230769230769	240	30	78	0.385	2	11	0.182	12	17	0.706	8	31	39	19	6	1	15	20	74	Home	2001-02-18	SAS	-18	0	2
30	1610612761	0020000765	FEB 20, 2001	TOR vs. GSW	W	28	25	0.528301886792453	240	44	90	0.489	6	13	0.462	19	22	0.864	18	26	44	27	2	14	13	19	113	Home	2001-02-20	GSW	11	1	0
29	1610612761	0020000771	FEB 21, 2001	TOR @ NJN	L	28	26	0.518518518518518	240	40	87	0.46	8	20	0.4	23	31	0.742	16	31	47	26	5	4	11	22	111	Away	2001-02-21	NJN	-2	0	1
28	1610612761	0020000785	FEB 23, 2001	TOR vs. SAC	L	28	27	0.509090909090909	315	46	109	0.422	8	19	0.421	18	20	0.9	10	38	48	26	11	15	10	26	118	Home	2001-02-23	SAC	-1	0	2
27	1610612761	0020000794	FEB 24, 2001	TOR @ WAS	W	29	27	0.517857142857143	240	46	90	0.511	5	13	0.385	9	13	0.692	11	34	45	30	9	10	16	27	106	Away	2001-02-24	WAS	7	1	0
26	1610612761	0020000818	FEB 27, 2001	TOR vs. CLE	W	30	27	0.526315789473684	240	40	78	0.513	11	25	0.44	10	19	0.526	10	29	39	31	9	12	17	21	101	Home	2001-02-27	CLE	12	2	0
25	1610612761	0020000824	FEB 28, 2001	TOR @ ATL	W	31	27	0.53448275862069	240	39	84	0.464	3	8	0.375	14	21	0.667	18	36	54	24	7	6	19	22	95	Away	2001-02-28	ATL	7	3	0
24	1610612761	0020000841	MAR 02, 2001	TOR vs. NJN	W	32	27	0.542372881355932	240	45	88	0.511	8	22	0.364	9	12	0.75	17	37	54	30	3	9	9	25	107	Home	2001-03-02	NJN	17	4	0
23	1610612761	0020000855	MAR 04, 2001	TOR vs. NYK	W	33	27	0.55	240	34	81	0.42	4	11	0.364	26	30	0.867	17	27	44	18	11	3	15	28	98	Home	2001-03-04	NYK	10	5	0
22	1610612761	0020000872	MAR 06, 2001	TOR @ SAC	L	33	28	0.540983606557377	240	33	90	0.367	4	13	0.308	21	24	0.875	16	34	50	18	10	6	16	33	91	Away	2001-03-06	SAC	-7	0	1
21	1610612761	0020000884	MAR 07, 2001	TOR @ LAL	L	33	29	0.532258064516129	240	34	89	0.382	4	15	0.267	13	18	0.722	8	25	33	19	6	8	8	18	85	Away	2001-03-07	LAL	-12	0	2
