Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612759	0020100008	OCT 30, 2001	SAS vs. LAC	W	1	0	1	240	37	80	0.463	11	24	0.458	24	36	0.667	14	28	42	21	7	8	16	24	109	Home	2001-10-30	LAC	11	1	0
81	1610612759	0020100024	NOV 01, 2001	SAS @ SEA	L	1	1	0.5	240	32	73	0.438	7	15	0.467	37	46	0.804	12	25	37	17	5	3	11	21	108	Away	2001-11-01	SEA	-6	0	1
80	1610612759	0020100043	NOV 03, 2001	SAS @ POR	W	2	1	0.666666666666667	240	36	79	0.456	14	25	0.56	20	27	0.741	11	36	47	22	4	10	10	18	106	Away	2001-11-03	POR	16	1	0
79	1610612759	0020100050	NOV 04, 2001	SAS @ SAC	L	2	2	0.5	240	30	89	0.337	3	11	0.273	20	28	0.714	16	30	46	14	12	6	14	20	83	Away	2001-11-04	SAC	-20	0	1
78	1610612759	0020100058	NOV 06, 2001	SAS vs. ORL	W	3	2	0.6	240	37	68	0.544	6	14	0.429	24	41	0.585	12	27	39	23	9	10	18	23	104	Home	2001-11-06	ORL	15	1	0
77	1610612759	0020100070	NOV 08, 2001	SAS @ CHH	W	4	2	0.666666666666667	240	40	76	0.526	8	14	0.571	17	28	0.607	6	37	43	27	2	5	9	20	105	Away	2001-11-08	CHH	10	2	0
76	1610612759	0020100092	NOV 10, 2001	SAS vs. ATL	W	5	2	0.714285714285714	240	38	75	0.507	11	22	0.5	23	28	0.821	9	26	35	26	10	7	16	22	110	Home	2001-11-10	ATL	22	3	0
75	1610612759	0020100105	NOV 13, 2001	SAS vs. HOU	W	6	2	0.75	240	33	80	0.413	7	17	0.412	17	21	0.81	14	28	42	13	8	6	13	18	90	Home	2001-11-13	HOU	4	4	0
74	1610612759	0020100126	NOV 16, 2001	SAS vs. CLE	W	7	2	0.777777777777778	240	38	75	0.507	10	15	0.667	19	26	0.731	12	29	41	25	7	5	13	16	105	Home	2001-11-16	CLE	14	5	0
73	1610612759	0020100160	NOV 21, 2001	SAS vs. SEA	W	8	2	0.8	240	43	79	0.544	8	24	0.333	16	22	0.727	15	28	43	27	6	8	16	20	110	Home	2001-11-21	SEA	17	6	0
72	1610612759	0020100173	NOV 23, 2001	SAS @ IND	W	9	2	0.818181818181818	240	32	83	0.386	7	22	0.318	26	33	0.788	17	45	62	18	5	7	16	20	97	Away	2001-11-23	IND	18	7	0
71	1610612759	0020100184	NOV 24, 2001	SAS @ MIN	L	9	3	0.75	240	33	81	0.407	7	16	0.438	21	30	0.7	10	32	42	22	5	6	9	21	94	Away	2001-11-24	MIN	-5	0	1
