Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612763	0020200012	OCT 30, 2002	MEM vs. DAL	L	0	1	0	240	43	77	0.558	5	21	0.238	17	32	0.531	6	34	40	28	9	3	21	18	108	Home	2002-10-30	DAL	-11	0	1
81	1610612763	0020200023	NOV 01, 2002	MEM @ DET	L	0	2	0	240	33	75	0.44	2	4	0.5	18	21	0.857	6	27	33	15	6	5	17	22	86	Away	2002-11-01	DET	-23	0	2
80	1610612763	0020200035	NOV 02, 2002	MEM vs. SAC	L	0	3	0	240	41	87	0.471	4	14	0.286	13	16	0.813	7	31	38	25	8	6	18	22	99	Home	2002-11-02	SAC	-17	0	3
79	1610612763	0020200049	NOV 04, 2002	MEM vs. SAS	L	0	4	0	265	35	85	0.412	3	11	0.273	28	34	0.824	16	33	49	18	15	9	20	24	101	Home	2002-11-04	SAS	-2	0	4
78	1610612763	0020200068	NOV 06, 2002	MEM @ POR	L	0	5	0	240	35	80	0.438	5	15	0.333	13	16	0.813	13	24	37	23	9	3	15	19	88	Away	2002-11-06	POR	-6	0	5
77	1610612763	0020200081	NOV 08, 2002	MEM @ SAC	L	0	6	0	240	38	88	0.432	4	10	0.4	11	17	0.647	12	29	41	20	19	9	20	13	91	Away	2002-11-08	SAC	-8	0	6
76	1610612763	0020200091	NOV 09, 2002	MEM @ DEN	L	0	7	0	240	23	70	0.329	4	15	0.267	23	33	0.697	12	29	41	16	10	15	22	27	73	Away	2002-11-09	DEN	-11	0	7
75	1610612763	0020200096	NOV 11, 2002	MEM vs. GSW	L	0	8	0	240	37	90	0.411	4	12	0.333	23	30	0.767	16	20	36	23	9	7	8	23	101	Home	2002-11-11	GSW	-7	0	8
74	1610612763	0020200122	NOV 15, 2002	MEM vs. MIN	L	0	9	0	240	35	89	0.393	3	12	0.25	22	28	0.786	20	30	50	18	5	4	17	25	95	Home	2002-11-15	MIN	-4	0	9
73	1610612763	0020200135	NOV 16, 2002	MEM @ CHI	L	0	10	0	240	38	78	0.487	4	15	0.267	13	20	0.65	10	23	33	24	5	9	20	28	93	Away	2002-11-16	CHI	-18	0	10
72	1610612763	0020200149	NOV 19, 2002	MEM @ MIN	L	0	11	0	265	37	88	0.42	5	19	0.263	27	36	0.75	13	32	45	17	8	7	12	33	106	Away	2002-11-19	MIN	-4	0	11
71	1610612763	0020200161	NOV 20, 2002	MEM vs. PHI	L	0	12	0	240	33	84	0.393	4	15	0.267	18	22	0.818	21	27	48	21	8	15	19	18	88	Home	2002-11-20	PHI	-7	0	12
70	1610612763	0020200175	NOV 22, 2002	MEM @ SAS	L	0	13	0	240	34	73	0.466	4	9	0.444	14	18	0.778	8	22	30	19	9	5	15	28	86	Away	2002-11-22	SAS	-9	0	13
69	1610612763	0020200184	NOV 23, 2002	MEM vs. WAS	W	1	13	0.0714285714285714	240	32	63	0.508	1	5	0.2	20	25	0.8	5	31	36	23	8	6	15	16	85	Home	2002-11-23	WAS	11	1	0
68	1610612763	0020200211	NOV 27, 2002	MEM vs. SEA	W	2	13	0.133333333333333	240	48	81	0.593	11	23	0.478	10	10	1	10	27	37	30	10	5	16	16	117	Home	2002-11-27	SEA	18	2	0
67	1610612763	0020200223	NOV 29, 2002	MEM vs. LAL	L	2	14	0.125	265	40	89	0.449	7	23	0.304	19	23	0.826	11	32	43	29	6	5	20	26	106	Home	2002-11-29	LAL	-6	0	1
66	1610612763	0020200239	DEC 01, 2002	MEM vs. TOR	L	2	15	0.117647058823529	240	36	85	0.424	6	11	0.545	9	12	0.75	12	31	43	15	4	8	12	19	87	Home	2002-12-01	TOR	-5	0	2
65	1610612763	0020200254	DEC 03, 2002	MEM @ LAL	L	2	16	0.111111111111111	240	34	91	0.374	7	19	0.368	16	20	0.8	14	27	41	26	10	5	11	20	91	Away	2002-12-03	LAL	-10	0	3
64	1610612763	0020200263	DEC 04, 2002	MEM @ PHX	L	2	17	0.105263157894737	240	34	86	0.395	5	14	0.357	12	19	0.632	13	33	46	24	5	7	13	19	85	Away	2002-12-04	PHX	-13	0	4
63	1610612763	0020200274	DEC 06, 2002	MEM @ UTA	L	2	18	0.1	240	25	73	0.342	1	9	0.111	20	29	0.69	16	19	35	14	11	2	23	15	71	Away	2002-12-06	UTA	-33	0	5
62	1610612763	0020200290	DEC 08, 2002	MEM vs. PHX	W	3	18	0.142857142857143	240	38	71	0.535	5	13	0.385	21	28	0.75	10	37	47	26	8	8	28	18	102	Home	2002-12-08	PHX	8	1	0
61	1610612763	0020200301	DEC 10, 2002	MEM @ MIA	W	4	18	0.181818181818182	240	40	68	0.588	5	6	0.833	22	30	0.733	4	31	35	30	4	5	9	16	107	Away	2002-12-10	MIA	11	2	0
