Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612750	0020300009	OCT 29, 2003	MIN vs. MIL	W	1	0	1	240	38	85	0.447	1	6	0.167	18	28	0.643	15	32	47	26	8	5	8	14	95	Home	2003-10-29	MIL	6	1	0
81	1610612750	0020300022	OCT 31, 2003	MIN @ NJN	L	1	1	0.5	240	25	75	0.333	2	10	0.2	9	11	0.818	11	25	36	15	5	5	25	22	61	Away	2003-10-31	NJN	-23	0	1
80	1610612750	0020300031	NOV 01, 2003	MIN vs. TOR	W	2	1	0.666666666666667	240	31	68	0.456	2	5	0.4	9	11	0.818	7	28	35	20	5	10	11	22	73	Home	2003-11-01	TOR	17	1	0
79	1610612750	0020300046	NOV 03, 2003	MIN @ UTA	L	2	2	0.5	240	36	81	0.444	6	14	0.429	10	12	0.833	10	23	33	21	8	6	9	24	88	Away	2003-11-03	UTA	-5	0	1
78	1610612750	0020300058	NOV 05, 2003	MIN vs. SAC	L	2	3	0.4	265	52	101	0.515	4	9	0.444	13	18	0.722	18	28	46	32	10	8	11	27	121	Home	2003-11-05	SAC	-4	0	2
77	1610612750	0020300069	NOV 07, 2003	MIN @ ORL	W	3	3	0.5	240	41	90	0.456	5	10	0.5	13	18	0.722	14	36	50	23	7	2	8	24	100	Away	2003-11-07	ORL	29	1	0
76	1610612750	0020300077	NOV 08, 2003	MIN @ MIA	W	4	3	0.571428571428571	240	33	72	0.458	5	11	0.455	17	21	0.81	7	38	45	17	1	7	15	20	88	Away	2003-11-08	MIA	9	2	0
75	1610612750	0020300097	NOV 11, 2003	MIN vs. SEA	L	4	4	0.5	240	33	76	0.434	6	12	0.5	15	21	0.714	10	24	34	23	8	6	15	22	87	Home	2003-11-11	SEA	-2	0	1
74	1610612750	0020300113	NOV 13, 2003	MIN @ CHI	W	5	4	0.555555555555556	265	38	84	0.452	4	15	0.267	12	17	0.706	8	36	44	24	9	3	16	25	92	Away	2003-11-13	CHI	3	1	0
73	1610612750	0020300120	NOV 14, 2003	MIN vs. UTA	L	5	5	0.5	240	29	74	0.392	5	13	0.385	14	19	0.737	11	29	40	22	11	7	20	27	77	Home	2003-11-14	UTA	-8	0	1
72	1610612750	0020300148	NOV 18, 2003	MIN vs. DEN	W	6	5	0.545454545454545	240	36	78	0.462	0	4	0	17	20	0.85	10	37	47	27	6	7	11	21	89	Home	2003-11-18	DEN	13	1	0
71	1610612750	0020300166	NOV 21, 2003	MIN @ CLE	W	7	5	0.583333333333333	240	38	90	0.422	6	13	0.462	15	16	0.938	15	26	41	19	7	6	8	19	97	Away	2003-11-21	CLE	14	2	0
70	1610612750	0020300179	NOV 22, 2003	MIN vs. LAC	W	8	5	0.615384615384615	240	43	82	0.524	5	15	0.333	12	13	0.923	6	29	35	30	10	4	7	17	103	Home	2003-11-22	LAC	12	3	0
69	1610612750	0020300192	NOV 25, 2003	MIN @ IND	L	8	6	0.571428571428571	240	28	72	0.389	2	6	0.333	17	22	0.773	9	28	37	16	3	10	12	17	75	Away	2003-11-25	IND	-23	0	1
68	1610612750	0020300204	NOV 26, 2003	MIN vs. NYK	L	8	7	0.533333333333333	240	41	82	0.5	4	12	0.333	6	9	0.667	5	29	34	29	3	3	8	21	92	Home	2003-11-26	NYK	-5	0	2
