Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612751	0020300007	OCT 29, 2003	NJN @ TOR	L	0	1	0	240	33	81	0.407	4	11	0.364	17	23	0.739	12	28	40	26	6	3	9	25	87	Away	2003-10-29	TOR	-3	0	1
81	1610612751	0020300022	OCT 31, 2003	NJN vs. MIN	W	1	1	0.5	240	36	79	0.456	2	15	0.133	10	16	0.625	10	33	43	29	14	4	18	20	84	Home	2003-10-31	MIN	23	1	0
80	1610612751	0020300027	NOV 01, 2003	NJN @ WAS	W	2	1	0.666666666666667	240	37	87	0.425	6	14	0.429	18	20	0.9	14	25	39	26	12	4	11	20	98	Away	2003-11-01	WAS	13	2	0
79	1610612751	0020300049	NOV 04, 2003	NJN vs. HOU	L	2	2	0.5	240	27	80	0.338	4	12	0.333	17	22	0.773	12	23	35	21	12	1	12	20	75	Home	2003-11-04	HOU	-11	0	1
78	1610612751	0020300062	NOV 06, 2003	NJN vs. IND	L	2	3	0.4	240	31	76	0.408	5	7	0.714	14	17	0.824	17	24	41	21	13	3	24	23	81	Home	2003-11-06	IND	-6	0	2
77	1610612751	0020300066	NOV 07, 2003	NJN @ BOS	W	3	3	0.5	240	36	85	0.424	4	14	0.286	18	23	0.783	16	25	41	20	9	3	13	17	94	Away	2003-11-07	BOS	7	1	0
76	1610612751	0020300088	NOV 09, 2003	NJN @ DET	L	3	4	0.428571428571429	240	32	74	0.432	2	9	0.222	18	24	0.75	10	27	37	25	8	5	21	30	84	Away	2003-11-09	DET	-14	0	1
75	1610612751	0020300104	NOV 12, 2003	NJN vs. SAS	L	3	5	0.375	240	32	89	0.36	1	9	0.111	6	9	0.667	10	30	40	25	8	7	8	18	71	Home	2003-11-12	SAS	-14	0	2
74	1610612751	0020300116	NOV 14, 2003	NJN vs. NYK	W	4	5	0.444444444444444	240	30	69	0.435	4	7	0.571	21	34	0.618	10	29	39	24	12	2	19	19	85	Home	2003-11-14	NYK	5	1	0
73	1610612751	0020300128	NOV 15, 2003	NJN @ ATL	W	5	5	0.5	240	35	73	0.479	4	9	0.444	26	30	0.867	6	32	38	23	9	5	12	27	100	Away	2003-11-15	ATL	15	2	0
72	1610612751	0020300145	NOV 18, 2003	NJN vs. NOH	L	5	6	0.454545454545455	240	30	77	0.39	4	17	0.235	21	23	0.913	9	29	38	20	4	9	11	21	85	Home	2003-11-18	NOH	-3	0	1
71	1610612751	0020300176	NOV 22, 2003	NJN vs. TOR	L	5	7	0.416666666666667	240	33	68	0.485	1	5	0.2	13	17	0.765	10	22	32	22	6	2	14	22	80	Home	2003-11-22	TOR	-1	0	2
70	1610612751	0020300199	NOV 25, 2003	NJN @ SEA	W	6	7	0.461538461538462	240	38	81	0.469	3	10	0.3	14	19	0.737	13	32	45	24	10	3	9	19	93	Away	2003-11-25	SEA	23	1	0
69	1610612751	0020300210	NOV 27, 2003	NJN @ LAC	W	7	7	0.5	240	32	77	0.416	4	10	0.4	34	43	0.791	14	30	44	24	11	5	13	23	102	Away	2003-11-27	LAC	6	2	0
68	1610612751	0020300221	NOV 28, 2003	NJN @ POR	L	7	8	0.466666666666667	240	36	78	0.462	7	13	0.538	14	22	0.636	9	25	34	27	6	7	10	17	93	Away	2003-11-28	POR	-4	0	1
67	1610612751	0020300233	NOV 30, 2003	NJN @ SAC	L	7	9	0.4375	240	39	83	0.47	5	14	0.357	9	9	1	7	27	34	27	8	5	16	22	92	Away	2003-11-30	SAC	-13	0	2
66	1610612751	0020300238	DEC 01, 2003	NJN @ UTA	L	7	10	0.411764705882353	240	28	72	0.389	5	15	0.333	23	29	0.793	4	21	25	19	9	6	10	27	84	Away	2003-12-01	UTA	-7	0	3
65	1610612751	0020300247	DEC 03, 2003	NJN vs. MEM	L	7	11	0.388888888888889	240	29	68	0.426	1	10	0.1	34	41	0.829	9	32	41	20	3	4	17	23	93	Home	2003-12-03	MEM	-3	0	4
64	1610612751	0020300261	DEC 05, 2003	NJN vs. MIL	W	8	11	0.421052631578947	240	38	90	0.422	3	10	0.3	14	17	0.824	16	34	50	25	7	6	14	19	93	Home	2003-12-05	MIL	7	1	0
63	1610612751	0020300271	DEC 06, 2003	NJN vs. PHX	W	9	11	0.45	240	38	78	0.487	7	17	0.412	16	21	0.762	5	36	41	33	8	5	20	17	99	Home	2003-12-06	PHX	11	2	0
62	1610612751	0020300291	DEC 09, 2003	NJN vs. SEA	W	10	11	0.476190476190476	240	38	69	0.551	3	6	0.5	22	28	0.786	9	30	39	24	9	4	20	20	101	Home	2003-12-09	SEA	13	3	0
61	1610612751	0020300314	DEC 12, 2003	NJN @ ORL	W	11	11	0.5	240	38	82	0.463	5	15	0.333	18	27	0.667	11	37	48	29	10	6	12	20	99	Away	2003-12-12	ORL	4	4	0
60	1610612751	0020300323	DEC 13, 2003	NJN @ MEM	L	11	12	0.478260869565217	240	25	73	0.342	2	11	0.182	11	16	0.688	13	24	37	16	10	1	30	24	63	Away	2003-12-13	MEM	-47	0	1
59	1610612751	0020300350	DEC 17, 2003	NJN vs. UTA	W	12	12	0.5	240	30	62	0.484	4	10	0.4	23	35	0.657	5	28	33	24	10	8	17	29	87	Home	2003-12-17	UTA	13	1	0
58	1610612751	0020300364	DEC 19, 2003	NJN vs. WAS	W	13	12	0.52	240	38	79	0.481	5	15	0.333	16	19	0.842	11	34	45	30	18	7	23	20	97	Home	2003-12-19	WAS	10	2	0
57	1610612751	0020300375	DEC 20, 2003	NJN @ MIL	L	13	13	0.5	240	32	83	0.386	7	21	0.333	16	19	0.842	11	32	43	24	11	0	12	19	87	Away	2003-12-20	MIL	-5	0	1
56	1610612751	0020300391	DEC 23, 2003	NJN vs. CHI	W	14	13	0.518518518518518	240	38	78	0.487	6	16	0.375	13	16	0.813	7	34	41	25	8	4	13	17	95	Home	2003-12-23	CHI	17	1	0
55	1610612751	0020300407	DEC 26, 2003	NJN @ DET	W	15	13	0.535714285714286	240	31	80	0.388	4	13	0.308	16	26	0.615	17	36	53	27	6	4	9	19	82	Away	2003-12-26	DET	3	2	0
54	1610612751	0020300419	DEC 27, 2003	NJN @ IND	W	16	13	0.551724137931034	240	33	78	0.423	3	13	0.231	13	21	0.619	8	36	44	26	9	2	10	21	82	Away	2003-12-27	IND	7	3	0
53	1610612751	0020300432	DEC 29, 2003	NJN vs. POR	L	16	14	0.533333333333333	240	33	74	0.446	4	13	0.308	17	20	0.85	7	21	28	25	7	3	9	14	87	Home	2003-12-29	POR	-4	0	1
52	1610612751	0020300448	DEC 31, 2003	NJN vs. GSW	W	17	14	0.548387096774194	240	34	78	0.436	7	16	0.438	13	15	0.867	9	27	36	23	12	2	11	13	88	Home	2003-12-31	GSW	18	1	0
51	1610612751	0020300455	JAN 02, 2004	NJN vs. CLE	W	18	14	0.5625	240	38	79	0.481	7	16	0.438	14	20	0.7	8	33	41	31	10	5	14	15	97	Home	2004-01-02	CLE	15	2	0
50	1610612751	0020300474	JAN 04, 2004	NJN @ NYK	W	19	14	0.575757575757576	240	37	87	0.425	6	20	0.3	15	19	0.789	8	32	40	19	5	5	8	17	95	Away	2004-01-04	NYK	10	3	0
49	1610612751	0020300487	JAN 06, 2004	NJN vs. LAC	W	20	14	0.588235294117647	240	35	84	0.417	5	19	0.263	17	25	0.68	14	26	40	24	13	4	11	22	92	Home	2004-01-06	LAC	17	4	0
48	1610612751	0020300505	JAN 09, 2004	NJN @ PHI	L	20	15	0.571428571428571	240	30	79	0.38	5	18	0.278	16	18	0.889	5	25	30	19	8	1	12	17	81	Away	2004-01-09	PHI	-16	0	1
47	1610612751	0020300546	JAN 14, 2004	NJN vs. WAS	W	21	15	0.583333333333333	240	45	88	0.511	7	16	0.438	18	22	0.818	16	30	46	34	11	5	20	22	115	Home	2004-01-14	WAS	12	1	0
46	1610612751	0020300552	JAN 15, 2004	NJN @ MIL	L	21	16	0.567567567567568	240	32	79	0.405	4	18	0.222	15	22	0.682	13	30	43	22	8	5	13	26	83	Away	2004-01-15	MIL	-3	0	1
45	1610612751	0020300569	JAN 17, 2004	NJN vs. IND	L	21	17	0.552631578947368	240	30	76	0.395	5	17	0.294	19	27	0.704	13	26	39	20	9	3	18	24	84	Home	2004-01-17	IND	-6	0	2
44	1610612751	0020300593	JAN 20, 2004	NJN @ DAL	L	21	18	0.538461538461538	240	39	80	0.488	4	14	0.286	11	17	0.647	7	31	38	32	3	1	6	17	93	Away	2004-01-20	DAL	-13	0	3
43	1610612751	0020300601	JAN 21, 2004	NJN @ SAS	L	21	19	0.525	240	29	78	0.372	7	15	0.467	11	16	0.688	7	31	38	20	7	4	14	21	76	Away	2004-01-21	SAS	-23	0	4
42	1610612751	0020300610	JAN 23, 2004	NJN @ MIA	L	21	20	0.51219512195122	240	21	73	0.288	2	10	0.2	20	29	0.69	10	30	40	10	10	2	17	13	64	Away	2004-01-23	MIA	-21	0	5
41	1610612751	0020300627	JAN 25, 2004	NJN vs. BOS	W	22	20	0.523809523809524	240	37	74	0.5	5	12	0.417	31	40	0.775	14	41	55	28	9	5	29	24	110	Home	2004-01-25	BOS	19	1	0
40	1610612751	0020300640	JAN 27, 2004	NJN @ PHI	W	23	20	0.534883720930233	240	33	80	0.413	9	25	0.36	19	21	0.905	9	26	35	29	9	4	7	27	94	Away	2004-01-27	PHI	18	2	0
39	1610612751	0020300657	JAN 29, 2004	NJN @ ORL	W	24	20	0.545454545454545	240	40	85	0.471	3	12	0.25	6	9	0.667	8	29	37	26	11	4	8	24	89	Away	2004-01-29	ORL	10	3	0
38	1610612751	0020300670	JAN 31, 2004	NJN @ HOU	W	25	20	0.555555555555556	240	31	69	0.449	3	13	0.231	23	26	0.885	7	29	36	17	6	2	11	21	88	Away	2004-01-31	HOU	11	4	0
37	1610612751	0020300686	FEB 02, 2004	NJN @ NOH	W	26	20	0.565217391304348	240	39	79	0.494	5	11	0.455	8	13	0.615	9	31	40	34	13	6	11	18	91	Away	2004-02-02	NOH	21	5	0
36	1610612751	0020300701	FEB 04, 2004	NJN vs. MIA	W	27	20	0.574468085106383	240	36	79	0.456	4	14	0.286	23	26	0.885	14	29	43	23	9	5	15	24	99	Home	2004-02-04	MIA	11	6	0
35	1610612751	0020300713	FEB 06, 2004	NJN vs. ORL	W	28	20	0.583333333333333	240	52	87	0.598	5	11	0.455	11	18	0.611	9	30	39	41	9	3	11	25	120	Home	2004-02-06	ORL	21	7	0
34	1610612751	0020300733	FEB 08, 2004	NJN vs. PHI	W	29	20	0.591836734693878	240	30	76	0.395	4	15	0.267	35	43	0.814	18	31	49	24	6	2	10	24	99	Home	2004-02-08	PHI	12	8	0
33	1610612751	0020300741	FEB 10, 2004	NJN vs. DET	W	30	20	0.6	240	32	77	0.416	3	11	0.273	22	31	0.71	14	40	54	21	9	5	18	18	89	Home	2004-02-10	DET	11	9	0
32	1610612751	0020300752	FEB 11, 2004	NJN @ CLE	W	31	20	0.607843137254902	240	41	85	0.482	7	17	0.412	16	23	0.696	11	35	46	28	10	4	12	19	105	Away	2004-02-11	CLE	20	10	0
31	1610612751	0020300776	FEB 18, 2004	NJN vs. ATL	W	32	20	0.615384615384615	240	34	82	0.415	6	13	0.462	24	29	0.828	16	35	51	24	9	6	11	15	98	Home	2004-02-18	ATL	6	11	0
30	1610612751	0020300788	FEB 20, 2004	NJN @ TOR	W	33	20	0.622641509433962	240	37	75	0.493	2	7	0.286	15	23	0.652	9	32	41	27	10	3	15	14	91	Away	2004-02-20	TOR	19	12	0
29	1610612751	0020300795	FEB 21, 2004	NJN vs. NOH	W	34	20	0.62962962962963	240	36	87	0.414	2	7	0.286	23	26	0.885	13	40	53	21	10	11	11	26	97	Home	2004-02-21	NOH	13	13	0
28	1610612751	0020300817	FEB 24, 2004	NJN vs. TOR	W	35	20	0.636363636363636	240	35	77	0.455	1	7	0.143	15	17	0.882	10	35	45	24	8	5	10	27	86	Home	2004-02-24	TOR	12	14	0
27	1610612751	0020300827	FEB 25, 2004	NJN @ MIN	L	35	21	0.625	240	32	83	0.386	3	12	0.25	1	5	0.2	8	34	42	23	6	1	12	18	68	Away	2004-02-25	MIN	-13	0	1
26	1610612751	0020300847	FEB 28, 2004	NJN vs. MIA	W	36	21	0.631578947368421	240	26	68	0.382	3	16	0.188	37	49	0.755	12	36	48	16	7	5	15	26	92	Home	2004-02-28	MIA	6	1	0
25	1610612751	0020300858	FEB 29, 2004	NJN vs. LAL	L	36	22	0.620689655172414	240	32	77	0.416	5	17	0.294	14	22	0.636	8	31	39	24	6	1	13	20	83	Home	2004-02-29	LAL	-17	0	1
24	1610612751	0020300871	MAR 02, 2004	NJN @ DEN	W	37	22	0.627118644067797	240	35	73	0.479	1	10	0.1	24	27	0.889	8	30	38	29	13	2	17	23	95	Away	2004-03-02	DEN	4	1	0
23	1610612751	0020300882	MAR 03, 2004	NJN @ PHX	L	37	23	0.616666666666667	240	24	61	0.393	5	15	0.333	21	27	0.778	4	29	33	9	3	4	14	19	74	Away	2004-03-03	PHX	-13	0	1
22	1610612751	0020300895	MAR 05, 2004	NJN @ GSW	W	38	23	0.622950819672131	240	32	72	0.444	1	6	0.167	13	19	0.684	11	29	40	16	7	5	12	20	78	Away	2004-03-05	GSW	4	1	0
21	1610612751	0020300906	MAR 07, 2004	NJN @ LAL	L	38	24	0.612903225806452	240	36	88	0.409	4	15	0.267	12	18	0.667	13	37	50	26	8	1	12	25	88	Away	2004-03-07	LAL	-6	0	1
20	1610612751	0020300929	MAR 10, 2004	NJN vs. DEN	W	39	24	0.619047619047619	240	38	67	0.567	4	8	0.5	18	23	0.783	4	26	30	27	7	3	20	19	98	Home	2004-03-10	DEN	1	1	0
19	1610612751	0020300940	MAR 12, 2004	NJN vs. CHI	W	40	24	0.625	240	38	81	0.469	5	18	0.278	7	11	0.636	8	36	44	30	10	3	16	22	88	Home	2004-03-12	CHI	12	2	0
18	1610612751	0020300961	MAR 14, 2004	NJN @ MIA	L	40	25	0.615384615384615	240	35	68	0.515	7	21	0.333	18	20	0.9	3	23	26	19	5	1	16	18	95	Away	2004-03-14	MIA	-9	0	1
17	1610612751	0020300969	MAR 16, 2004	NJN vs. SAC	W	41	25	0.621212121212121	240	39	79	0.494	8	16	0.5	8	10	0.8	7	41	48	32	6	7	16	14	94	Home	2004-03-16	SAC	17	1	0
16	1610612751	0020300983	MAR 18, 2004	NJN vs. DET	L	41	26	0.611940298507463	240	24	68	0.353	3	13	0.231	20	33	0.606	16	21	37	12	9	7	15	23	71	Home	2004-03-18	DET	-18	0	1
15	1610612751	0020300988	MAR 19, 2004	NJN @ NYK	L	41	27	0.602941176470588	240	23	70	0.329	2	12	0.167	17	29	0.586	11	26	37	12	6	3	13	18	65	Away	2004-03-19	NYK	-14	0	2
14	1610612751	0020301004	MAR 21, 2004	NJN vs. DAL	L	41	28	0.594202898550725	240	38	74	0.514	5	14	0.357	17	19	0.895	5	31	36	29	8	1	16	20	98	Home	2004-03-21	DAL	-3	0	3
13	1610612751	0020301022	MAR 23, 2004	NJN @ CHI	W	42	28	0.6	240	32	75	0.427	4	13	0.308	16	22	0.727	17	28	45	26	8	5	16	20	84	Away	2004-03-23	CHI	3	1	0
12	1610612751	0020301042	MAR 26, 2004	NJN @ BOS	L	42	29	0.591549295774648	240	35	79	0.443	10	25	0.4	13	19	0.684	7	29	36	30	8	6	9	26	93	Away	2004-03-26	BOS	-9	0	1
