Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612739	0020500006	NOV 02, 2005	CLE vs. NOK	W	1	0	1	240	37	69	0.536	13	21	0.619	22	30	0.733	9	34	43	22	8	3	16	27	109	Home	2005-11-02	NOK	22	1	0
81	1610612739	0020500026	NOV 04, 2005	CLE @ SAS	L	1	1	0.5	240	28	82	0.341	4	19	0.211	16	21	0.762	12	29	41	13	9	4	16	16	76	Away	2005-11-04	SAS	-26	0	1
80	1610612739	0020500036	NOV 05, 2005	CLE @ MEM	L	1	2	0.333333333333333	240	40	87	0.46	7	19	0.368	19	23	0.826	12	23	35	21	6	6	8	25	106	Away	2005-11-05	MEM	-7	0	2
79	1610612739	0020500046	NOV 07, 2005	CLE @ TOR	W	2	2	0.5	240	36	74	0.486	4	17	0.235	29	34	0.853	14	33	47	17	7	5	15	20	105	Away	2005-11-07	TOR	12	1	0
78	1610612739	0020500058	NOV 09, 2005	CLE vs. SEA	W	3	2	0.6	240	38	76	0.5	5	14	0.357	31	33	0.939	21	35	56	18	3	6	19	16	112	Home	2005-11-09	SEA	27	2	0
77	1610612739	0020500076	NOV 11, 2005	CLE vs. MEM	W	4	2	0.666666666666667	240	34	73	0.466	4	14	0.286	17	19	0.895	14	35	49	19	10	7	20	21	89	Home	2005-11-11	MEM	19	3	0
76	1610612739	0020500092	NOV 13, 2005	CLE @ ORL	W	5	2	0.714285714285714	265	42	82	0.512	6	16	0.375	18	26	0.692	9	26	35	18	14	3	12	24	108	Away	2005-11-13	ORL	8	4	0
75	1610612739	0020500100	NOV 15, 2005	CLE vs. WAS	W	6	2	0.75	240	42	85	0.494	7	14	0.5	23	27	0.852	12	34	46	26	5	7	13	25	114	Home	2005-11-15	WAS	15	5	0
74	1610612739	0020500120	NOV 18, 2005	CLE vs. ORL	W	7	2	0.777777777777778	240	38	90	0.422	9	22	0.409	17	29	0.586	25	29	54	20	10	2	12	19	102	Home	2005-11-18	ORL	18	6	0
73	1610612739	0020500132	NOV 19, 2005	CLE @ PHI	W	8	2	0.8	240	43	87	0.494	8	20	0.4	29	38	0.763	16	33	49	23	6	5	16	21	123	Away	2005-11-19	PHI	3	7	0
