Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612766	0020600004	NOV 01, 2006	CHA vs. IND	L	0	1	0	240	37	78	0.474	4	10	0.4	21	32	0.656	11	35	46	23	8	7	22	29	99	Home	2006-11-01	IND	-7	0	1
81	1610612766	0020600024	NOV 03, 2006	CHA @ MEM	L	0	2	0	240	32	68	0.471	3	13	0.231	16	29	0.552	5	32	37	22	6	9	19	28	83	Away	2006-11-03	MEM	-13	0	2
80	1610612766	0020600032	NOV 04, 2006	CHA vs. CLE	W	1	2	0.333333333333333	240	31	70	0.443	7	13	0.538	23	30	0.767	7	27	34	21	4	8	15	36	92	Home	2006-11-04	CLE	4	1	0
79	1610612766	0020600061	NOV 08, 2006	CHA @ BOS	L	1	3	0.25	265	33	84	0.393	1	4	0.25	41	52	0.788	11	32	43	19	11	4	18	29	108	Away	2006-11-08	BOS	-2	0	1
78	1610612766	0020600075	NOV 10, 2006	CHA vs. SEA	L	1	4	0.2	240	31	78	0.397	5	13	0.385	18	22	0.818	12	28	40	20	8	3	17	20	85	Home	2006-11-10	SEA	-14	0	2
77	1610612766	0020600092	NOV 12, 2006	CHA vs. DEN	L	1	5	0.166666666666667	240	39	82	0.476	2	15	0.133	21	30	0.7	18	31	49	24	9	7	29	30	101	Home	2006-11-12	DEN	-7	0	3
76	1610612766	0020600102	NOV 14, 2006	CHA @ NOK	L	1	6	0.142857142857143	240	35	77	0.455	2	7	0.286	13	23	0.565	11	39	50	15	3	10	17	25	85	Away	2006-11-14	NOK	-9	0	4
75	1610612766	0020600114	NOV 15, 2006	CHA @ SAS	W	2	6	0.25	265	40	92	0.435	4	9	0.444	11	19	0.579	10	31	41	17	12	6	12	28	95	Away	2006-11-15	SAS	3	1	0
74	1610612766	0020600131	NOV 18, 2006	CHA @ ORL	L	2	7	0.222222222222222	240	31	78	0.397	1	17	0.059	20	26	0.769	11	32	43	19	9	2	16	18	83	Away	2006-11-18	ORL	-14	0	1
73	1610612766	0020600144	NOV 20, 2006	CHA vs. DAL	L	2	8	0.2	240	33	72	0.458	1	11	0.091	18	24	0.75	7	30	37	21	4	8	15	27	85	Home	2006-11-20	DAL	-8	0	2
72	1610612766	0020600159	NOV 22, 2006	CHA vs. BOS	W	3	8	0.272727272727273	240	33	79	0.418	5	12	0.417	21	29	0.724	9	35	44	17	5	2	13	23	92	Home	2006-11-22	BOS	9	1	0
71	1610612766	0020600175	NOV 24, 2006	CHA @ DET	L	3	9	0.25	240	38	79	0.481	2	8	0.25	17	21	0.81	7	30	37	29	9	5	13	15	95	Away	2006-11-24	DET	-9	0	1
70	1610612766	0020600185	NOV 25, 2006	CHA vs. MIA	L	3	10	0.230769230769231	240	33	81	0.407	4	14	0.286	23	33	0.697	14	25	39	21	8	0	15	29	93	Home	2006-11-25	MIA	-9	0	2
69	1610612766	0020600205	NOV 28, 2006	CHA @ NJN	W	4	10	0.285714285714286	240	38	83	0.458	4	8	0.5	16	25	0.64	8	27	35	23	8	6	11	29	96	Away	2006-11-28	NJN	4	1	0
68	1610612766	0020600213	NOV 29, 2006	CHA @ ATL	L	4	11	0.266666666666667	240	30	82	0.366	4	17	0.235	26	33	0.788	15	22	37	20	7	3	7	20	90	Away	2006-11-29	ATL	-9	0	1
67	1610612766	0020600225	DEC 01, 2006	CHA @ WAS	L	4	12	0.25	240	42	80	0.525	7	15	0.467	18	24	0.75	12	24	36	22	8	6	21	24	109	Away	2006-12-01	WAS	-12	0	2
66	1610612766	0020600245	DEC 03, 2006	CHA vs. DET	W	5	12	0.294117647058824	240	37	75	0.493	6	13	0.462	17	22	0.773	9	30	39	23	6	4	15	20	97	Home	2006-12-03	DET	8	1	0
65	1610612766	0020600261	DEC 06, 2006	CHA vs. SAS	L	5	13	0.277777777777778	240	29	71	0.408	3	11	0.273	15	21	0.714	11	26	37	16	7	7	15	19	76	Home	2006-12-06	SAS	-20	0	1
64	1610612766	0020600274	DEC 08, 2006	CHA vs. HOU	L	5	14	0.263157894736842	240	23	81	0.284	2	11	0.182	14	19	0.737	14	32	46	13	8	4	20	20	62	Home	2006-12-08	HOU	-30	0	2
