Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612752	0020600010	NOV 01, 2006	NYK @ MEM	W	1	0	1	315	40	95	0.421	10	22	0.455	28	36	0.778	18	38	56	22	6	7	23	42	118	Away	2006-11-01	MEM	1	1	0
81	1610612752	0020600022	NOV 03, 2006	NYK @ ATL	L	1	1	0.5	240	33	72	0.458	1	9	0.111	25	34	0.735	11	29	40	18	2	2	17	28	92	Away	2006-11-03	ATL	-10	0	1
80	1610612752	0020600033	NOV 04, 2006	NYK vs. IND	L	1	2	0.333333333333333	240	34	79	0.43	4	17	0.235	23	30	0.767	12	27	39	14	9	1	16	17	95	Home	2006-11-04	IND	-14	0	2
79	1610612752	0020600046	NOV 06, 2006	NYK vs. SAS	L	1	3	0.25	240	32	72	0.444	3	11	0.273	26	38	0.684	8	33	41	12	5	1	16	25	93	Home	2006-11-06	SAS	-12	0	3
78	1610612752	0020600065	NOV 08, 2006	NYK @ DEN	W	2	3	0.4	240	40	80	0.5	9	17	0.529	20	27	0.741	14	32	46	23	8	7	20	31	109	Away	2006-11-08	DEN	2	1	0
77	1610612752	0020600079	NOV 10, 2006	NYK @ HOU	L	2	4	0.333333333333333	240	35	81	0.432	6	19	0.316	18	25	0.72	10	23	33	15	12	5	8	19	94	Away	2006-11-10	HOU	-9	0	1
76	1610612752	0020600084	NOV 11, 2006	NYK @ SAS	L	2	5	0.285714285714286	240	36	79	0.456	2	10	0.2	18	24	0.75	6	32	38	11	11	0	15	34	92	Away	2006-11-11	SAS	-8	0	2
75	1610612752	0020600099	NOV 13, 2006	NYK vs. CLE	L	2	6	0.25	240	39	80	0.488	4	16	0.25	14	18	0.778	9	29	38	18	5	1	14	25	96	Home	2006-11-13	CLE	-6	0	3
74	1610612752	0020600112	NOV 15, 2006	NYK vs. WAS	W	3	6	0.333333333333333	240	37	83	0.446	9	25	0.36	19	28	0.679	16	36	52	23	4	8	17	30	102	Home	2006-11-15	WAS	20	1	0
73	1610612752	0020600121	NOV 17, 2006	NYK @ MIA	W	4	6	0.4	240	40	77	0.519	7	17	0.412	13	17	0.765	10	36	46	21	7	1	16	21	100	Away	2006-11-17	MIA	24	2	0
72	1610612752	0020600133	NOV 18, 2006	NYK vs. BOS	L	4	7	0.363636363636364	240	34	86	0.395	8	21	0.381	42	50	0.84	14	32	46	19	8	3	11	37	118	Home	2006-11-18	BOS	-4	0	1
71	1610612752	0020600145	NOV 20, 2006	NYK vs. HOU	L	4	8	0.333333333333333	240	32	86	0.372	4	16	0.25	22	25	0.88	19	24	43	16	11	4	13	29	90	Home	2006-11-20	HOU	-7	0	2
70	1610612752	0020600164	NOV 22, 2006	NYK @ MIN	L	4	9	0.307692307692308	240	32	73	0.438	2	10	0.2	23	28	0.821	11	25	36	11	1	1	17	28	89	Away	2006-11-22	MIN	-18	0	3
69	1610612752	0020600171	NOV 24, 2006	NYK @ BOS	W	5	9	0.357142857142857	240	34	68	0.5	4	12	0.333	29	39	0.744	12	36	48	21	5	4	15	21	101	Away	2006-11-24	BOS	24	1	0
68	1610612752	0020600187	NOV 25, 2006	NYK vs. CHI	L	5	10	0.333333333333333	240	34	73	0.466	3	9	0.333	24	38	0.632	15	34	49	19	4	4	25	32	95	Home	2006-11-25	CHI	-11	0	1
67	1610612752	0020600207	NOV 28, 2006	NYK @ CHI	L	5	11	0.3125	240	33	69	0.478	2	9	0.222	17	30	0.567	7	29	36	19	11	6	22	27	85	Away	2006-11-28	CHI	-17	0	2
66	1610612752	0020600214	NOV 29, 2006	NYK @ CLE	W	6	11	0.352941176470588	240	37	70	0.529	9	16	0.563	18	27	0.667	7	29	36	20	7	7	14	23	101	Away	2006-11-29	CLE	3	1	0
65	1610612752	0020600227	DEC 01, 2006	NYK @ DET	L	6	12	0.333333333333333	240	36	83	0.434	6	15	0.4	22	32	0.688	13	35	48	20	8	2	10	20	100	Away	2006-12-01	DET	-8	0	1
64	1610612752	0020600235	DEC 02, 2006	NYK vs. TOR	L	6	13	0.315789473684211	240	39	87	0.448	6	23	0.261	16	20	0.8	12	32	44	27	4	4	15	27	100	Home	2006-12-02	TOR	-3	0	2
63	1610612752	0020600249	DEC 04, 2006	NYK vs. MEM	W	7	13	0.35	240	36	64	0.563	3	13	0.231	23	33	0.697	8	36	44	25	4	3	19	25	98	Home	2006-12-04	MEM	8	1	0
62	1610612752	0020600265	DEC 06, 2006	NYK vs. WAS	L	7	14	0.333333333333333	240	36	81	0.444	4	17	0.235	26	39	0.667	20	27	47	17	6	2	16	18	102	Home	2006-12-06	WAS	-11	0	1
61	1610612752	0020600289	DEC 09, 2006	NYK vs. MIL	W	8	14	0.363636363636364	240	50	89	0.562	7	17	0.412	8	12	0.667	17	29	46	31	5	4	14	16	115	Home	2006-12-09	MIL	8	1	0
60	1610612752	0020600303	DEC 11, 2006	NYK vs. BOS	L	8	15	0.347826086956522	240	35	90	0.389	3	16	0.188	17	32	0.531	23	30	53	17	6	4	13	19	90	Home	2006-12-11	BOS	-7	0	1
59	1610612752	0020600320	DEC 13, 2006	NYK vs. ATL	W	9	15	0.375	240	33	74	0.446	5	19	0.263	23	34	0.676	15	33	48	16	11	3	13	23	94	Home	2006-12-13	ATL	12	1	0
58	1610612752	0020600331	DEC 15, 2006	NYK @ IND	L	9	16	0.36	240	32	72	0.444	6	12	0.5	26	36	0.722	12	27	39	14	10	1	18	31	96	Away	2006-12-15	IND	-16	0	1
57	1610612752	0020600344	DEC 16, 2006	NYK vs. DEN	L	9	17	0.346153846153846	240	41	95	0.432	7	26	0.269	11	19	0.579	20	21	41	21	7	7	16	23	100	Home	2006-12-16	DEN	-23	0	2
56	1610612752	0020600357	DEC 18, 2006	NYK vs. UTA	W	10	17	0.37037037037037	265	37	94	0.394	4	18	0.222	19	27	0.704	23	40	63	17	10	9	20	25	97	Home	2006-12-18	UTA	1	1	0
55	1610612752	0020600368	DEC 20, 2006	NYK vs. CHA	W	11	17	0.392857142857143	290	42	90	0.467	4	13	0.308	23	34	0.676	14	37	51	24	5	6	15	21	111	Home	2006-12-20	CHA	2	2	0
54	1610612752	0020600382	DEC 22, 2006	NYK vs. CHI	W	12	17	0.413793103448276	240	37	84	0.44	6	16	0.375	23	31	0.742	20	37	57	16	2	2	15	31	103	Home	2006-12-22	CHI	11	3	0
53	1610612752	0020600393	DEC 23, 2006	NYK @ PHI	L	12	18	0.4	240	34	81	0.42	2	13	0.154	7	11	0.636	12	31	43	19	8	4	20	20	77	Away	2006-12-23	PHI	-21	0	1
52	1610612752	0020600420	DEC 27, 2006	NYK vs. DET	W	13	18	0.419354838709677	315	49	87	0.563	5	17	0.294	48	63	0.762	11	36	47	24	4	5	17	29	151	Home	2006-12-27	DET	6	1	0
51	1610612752	0020600438	DEC 29, 2006	NYK @ PHX	L	13	19	0.40625	240	34	91	0.374	3	13	0.231	15	21	0.714	20	32	52	11	6	3	16	18	86	Away	2006-12-29	PHX	-22	0	1
50	1610612752	0020600452	DEC 31, 2006	NYK @ LAC	L	13	20	0.393939393939394	240	29	84	0.345	3	15	0.2	19	25	0.76	15	23	38	18	6	2	13	22	80	Away	2006-12-31	LAC	-10	0	2
49	1610612752	0020600466	JAN 02, 2007	NYK @ SAC	L	13	21	0.382352941176471	240	39	79	0.494	5	14	0.357	17	28	0.607	17	24	41	17	8	4	19	18	100	Away	2007-01-02	SAC	-12	0	3
48	1610612752	0020600475	JAN 03, 2007	NYK @ POR	W	14	21	0.4	240	38	77	0.494	2	12	0.167	21	34	0.618	16	35	51	20	7	5	11	17	99	Away	2007-01-03	POR	18	1	0
47	1610612752	0020600490	JAN 05, 2007	NYK @ SEA	W	15	21	0.416666666666667	240	41	80	0.513	10	19	0.526	19	23	0.826	17	26	43	20	3	5	14	19	111	Away	2007-01-05	SEA	18	2	0
46	1610612752	0020600519	JAN 10, 2007	NYK vs. PHI	W	16	21	0.432432432432432	240	34	64	0.531	9	19	0.474	29	39	0.744	9	29	38	23	9	0	21	22	106	Home	2007-01-10	PHI	7	3	0
45	1610612752	0020600533	JAN 12, 2007	NYK vs. CHA	L	16	22	0.421052631578947	240	40	85	0.471	7	14	0.5	23	32	0.719	17	27	44	22	8	2	16	19	110	Home	2007-01-12	CHA	-16	0	1
44	1610612752	0020600554	JAN 15, 2007	NYK vs. SAC	W	17	22	0.435897435897436	240	36	75	0.48	6	19	0.316	24	31	0.774	10	34	44	24	11	4	18	21	102	Home	2007-01-15	SAC	5	1	0
43	1610612752	0020600569	JAN 17, 2007	NYK @ WAS	L	17	23	0.425	240	39	87	0.448	9	21	0.429	11	16	0.688	11	37	48	26	7	2	17	19	98	Away	2007-01-17	WAS	-1	0	1
42	1610612752	0020600585	JAN 19, 2007	NYK vs. NJN	L	17	24	0.414634146341463	240	33	68	0.485	4	15	0.267	30	41	0.732	11	32	43	17	3	0	17	22	100	Home	2007-01-19	NJN	-1	0	2
41	1610612752	0020600594	JAN 20, 2007	NYK @ IND	W	18	24	0.428571428571429	240	34	65	0.523	8	17	0.471	32	38	0.842	9	30	39	19	0	4	20	28	108	Away	2007-01-20	IND	2	1	0
40	1610612752	0020600610	JAN 22, 2007	NYK @ MIA	L	18	25	0.418604651162791	240	32	70	0.457	7	20	0.35	12	17	0.706	8	25	33	19	6	2	16	16	83	Away	2007-01-22	MIA	-18	0	1
39	1610612752	0020600626	JAN 24, 2007	NYK vs. PHX	L	18	26	0.409090909090909	240	41	87	0.471	4	21	0.19	21	25	0.84	10	33	43	23	5	2	21	35	107	Home	2007-01-24	PHX	-5	0	2
38	1610612752	0020600637	JAN 26, 2007	NYK vs. MIA	W	19	26	0.422222222222222	240	45	84	0.536	9	17	0.529	17	21	0.81	9	35	44	26	10	3	14	24	116	Home	2007-01-26	MIA	20	1	0
37	1610612752	0020600656	JAN 28, 2007	NYK @ MIL	L	19	27	0.41304347826087	240	43	86	0.5	5	20	0.25	14	24	0.583	14	29	43	24	6	5	13	21	105	Away	2007-01-28	MIL	-2	0	1
36	1610612752	0020600671	JAN 30, 2007	NYK vs. LAL	W	20	27	0.425531914893617	240	37	75	0.493	5	13	0.385	20	26	0.769	14	34	48	15	6	3	21	16	99	Home	2007-01-30	LAL	5	1	0
35	1610612752	0020600675	JAN 31, 2007	NYK @ CHA	L	20	28	0.416666666666667	240	28	77	0.364	3	13	0.231	28	34	0.824	10	34	44	11	6	2	14	25	87	Away	2007-01-31	CHA	-17	0	1
34	1610612752	0020600701	FEB 03, 2007	NYK @ ORL	W	21	28	0.428571428571429	240	31	62	0.5	5	20	0.25	27	41	0.659	8	35	43	17	7	3	18	28	94	Away	2007-02-03	ORL	8	1	0
33	1610612752	0020600720	FEB 06, 2007	NYK vs. LAC	W	22	28	0.44	240	30	65	0.462	6	19	0.316	36	44	0.818	9	30	39	19	9	2	13	19	102	Home	2007-02-06	LAC	12	2	0
32	1610612752	0020600754	FEB 10, 2007	NYK @ UTA	L	22	29	0.431372549019608	265	37	76	0.487	6	18	0.333	22	27	0.815	13	37	50	17	9	1	22	25	102	Away	2007-02-10	UTA	-2	0	1
31	1610612752	0020600774	FEB 13, 2007	NYK @ LAL	W	23	29	0.442307692307692	240	39	78	0.5	6	20	0.3	23	32	0.719	13	28	41	22	4	3	11	21	107	Away	2007-02-13	LAL	1	1	0
30	1610612752	0020600787	FEB 14, 2007	NYK @ GSW	L	23	30	0.433962264150943	240	40	94	0.426	7	15	0.467	14	17	0.824	20	25	45	26	9	0	20	20	101	Away	2007-02-14	GSW	-19	0	1
29	1610612752	0020600792	FEB 20, 2007	NYK vs. ORL	W	24	30	0.444444444444444	240	31	63	0.492	8	21	0.381	30	37	0.811	14	28	42	14	10	4	21	23	100	Home	2007-02-20	ORL	6	1	0
28	1610612752	0020600801	FEB 21, 2007	NYK @ PHI	L	24	31	0.436363636363636	240	33	77	0.429	5	14	0.357	13	17	0.765	7	25	32	16	8	3	14	22	84	Away	2007-02-21	PHI	-20	0	1
27	1610612752	0020600818	FEB 23, 2007	NYK vs. MIL	W	25	31	0.446428571428571	240	30	71	0.423	10	22	0.455	25	31	0.806	12	30	42	19	6	4	23	24	95	Home	2007-02-23	MIL	2	1	0
26	1610612752	0020600837	FEB 25, 2007	NYK @ NJN	L	25	32	0.43859649122807	240	35	74	0.473	6	19	0.316	16	21	0.762	9	26	35	18	1	1	13	21	92	Away	2007-02-25	NJN	-9	0	1
25	1610612752	0020600841	FEB 26, 2007	NYK vs. MIA	W	26	32	0.448275862068966	240	31	72	0.431	7	20	0.35	30	39	0.769	10	30	40	12	5	4	10	14	99	Home	2007-02-26	MIA	6	1	0
24	1610612752	0020600857	FEB 28, 2007	NYK @ BOS	L	26	33	0.440677966101695	240	35	71	0.493	9	18	0.5	15	26	0.577	6	29	35	22	6	2	14	22	94	Away	2007-02-28	BOS	-8	0	1
23	1610612752	0020600871	MAR 02, 2007	NYK vs. GSW	W	27	33	0.45	240	34	67	0.507	10	19	0.526	28	42	0.667	6	39	45	15	4	1	16	23	106	Home	2007-03-02	GSW	9	1	0
22	1610612752	0020600880	MAR 03, 2007	NYK @ ATL	W	28	33	0.459016393442623	265	35	84	0.417	10	24	0.417	24	36	0.667	13	31	44	17	12	1	12	28	104	Away	2007-03-03	ATL	4	2	0
21	1610612752	0020600901	MAR 06, 2007	NYK vs. SEA	L	28	34	0.451612903225806	240	32	68	0.471	11	24	0.458	24	38	0.632	12	25	37	21	7	4	15	12	99	Home	2007-03-06	SEA	-1	0	1
20	1610612752	0020600927	MAR 10, 2007	NYK @ WAS	W	29	34	0.46031746031746	240	33	80	0.413	8	20	0.4	16	28	0.571	18	26	44	19	4	6	16	26	90	Away	2007-03-10	WAS	1	1	0
19	1610612752	0020600957	MAR 14, 2007	NYK @ TOR	L	29	35	0.453125	240	34	72	0.472	9	22	0.409	17	24	0.708	7	29	36	21	9	0	19	24	94	Away	2007-03-14	TOR	-10	0	1
18	1610612752	0020600973	MAR 16, 2007	NYK vs. NOK	L	29	36	0.446153846153846	240	36	75	0.48	3	13	0.231	15	15	1	10	22	32	23	8	3	12	23	90	Home	2007-03-16	NOK	-2	0	2
