Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612740	0020700010	OCT 31, 2007	NOH vs. SAC	W	1	0	1	240	39	77	0.506	10	21	0.476	16	21	0.762	11	33	44	23	6	7	19	24	104	Home	2007-10-31	SAC	14	1	0
81	1610612740	0020700022	NOV 02, 2007	NOH vs. POR	W	2	0	1	240	44	78	0.564	11	25	0.44	14	16	0.875	8	32	40	21	7	3	11	20	113	Home	2007-11-02	POR	20	2	0
80	1610612740	0020700040	NOV 04, 2007	NOH @ DEN	W	3	0	1	240	33	86	0.384	8	24	0.333	19	26	0.731	12	41	53	22	10	8	15	22	93	Away	2007-11-04	DEN	5	3	0
79	1610612740	0020700052	NOV 06, 2007	NOH @ LAL	W	4	0	1	240	42	89	0.472	14	25	0.56	20	22	0.909	9	34	43	29	8	3	12	17	118	Away	2007-11-06	LAL	14	4	0
78	1610612740	0020700062	NOV 07, 2007	NOH @ POR	L	4	1	0.8	240	34	87	0.391	3	12	0.25	19	22	0.864	16	34	50	16	7	3	12	20	90	Away	2007-11-07	POR	-3	0	1
77	1610612740	0020700073	NOV 09, 2007	NOH vs. SAS	L	4	2	0.666666666666667	240	35	81	0.432	4	15	0.267	11	17	0.647	9	28	37	18	8	3	9	15	85	Home	2007-11-09	SAS	-12	0	2
76	1610612740	0020700088	NOV 11, 2007	NOH @ PHI	W	5	2	0.714285714285714	240	37	78	0.474	10	20	0.5	9	13	0.692	11	31	42	21	10	1	16	20	93	Away	2007-11-11	PHI	21	1	0
75	1610612740	0020700093	NOV 12, 2007	NOH @ NJN	W	6	2	0.75	240	32	76	0.421	11	17	0.647	9	10	0.9	5	34	39	16	10	4	16	19	84	Away	2007-11-12	NJN	2	2	0
74	1610612740	0020700111	NOV 14, 2007	NOH vs. PHI	W	7	2	0.777777777777778	240	35	73	0.479	11	20	0.55	14	22	0.636	11	24	35	20	12	4	15	22	95	Home	2007-11-14	PHI	19	3	0
73	1610612740	0020700125	NOV 16, 2007	NOH @ MEM	W	8	2	0.8	265	46	92	0.5	9	20	0.45	19	23	0.826	15	34	49	23	7	6	16	16	120	Away	2007-11-16	MEM	2	4	0
72	1610612740	0020700135	NOV 17, 2007	NOH @ MIN	W	9	2	0.818181818181818	240	40	82	0.488	9	23	0.391	11	11	1	11	22	33	25	5	4	4	15	100	Away	2007-11-17	MIN	18	5	0
71	1610612740	0020700147	NOV 19, 2007	NOH vs. ORL	L	9	3	0.75	240	36	83	0.434	4	17	0.235	12	16	0.75	8	28	36	19	9	2	14	20	88	Home	2007-11-19	ORL	-7	0	1
70	1610612740	0020700164	NOV 21, 2007	NOH vs. IND	L	9	4	0.692307692307692	240	34	87	0.391	8	30	0.267	17	20	0.85	11	34	45	17	4	4	9	18	93	Home	2007-11-21	IND	-12	0	2
69	1610612740	0020700178	NOV 23, 2007	NOH @ UTA	L	9	5	0.642857142857143	240	25	76	0.329	1	17	0.059	20	29	0.69	15	30	45	14	6	4	18	23	71	Away	2007-11-23	UTA	-28	0	3
68	1610612740	0020700191	NOV 24, 2007	NOH @ LAC	W	10	5	0.666666666666667	240	37	80	0.463	8	15	0.533	16	20	0.8	8	31	39	22	5	5	9	22	98	Away	2007-11-24	LAC	9	1	0
67	1610612740	0020700198	NOV 26, 2007	NOH vs. MIN	L	10	6	0.625	240	31	74	0.419	7	22	0.318	25	30	0.833	5	29	34	22	9	2	16	22	94	Home	2007-11-26	MIN	-9	0	1
66	1610612740	0020700227	NOV 30, 2007	NOH @ ATL	W	11	6	0.647058823529412	240	35	86	0.407	5	20	0.25	17	22	0.773	16	33	49	15	9	1	12	20	92	Away	2007-11-30	ATL	6	1	0
65	1610612740	0020700238	DEC 01, 2007	NOH vs. DAL	W	12	6	0.666666666666667	265	38	87	0.437	6	17	0.353	30	34	0.882	14	32	46	21	5	4	8	20	112	Home	2007-12-01	DAL	4	2	0
64	1610612740	0020700267	DEC 05, 2007	NOH vs. DET	L	12	7	0.631578947368421	240	26	75	0.347	4	15	0.267	20	23	0.87	14	34	48	16	3	6	13	17	76	Home	2007-12-05	DET	-15	0	1
63	1610612740	0020700282	DEC 07, 2007	NOH vs. MEM	W	13	7	0.65	265	46	101	0.455	8	20	0.4	18	23	0.783	17	30	47	23	14	4	12	25	118	Home	2007-12-07	MEM	2	1	0
62	1610612740	0020700299	DEC 09, 2007	NOH vs. SEA	W	14	7	0.666666666666667	240	37	81	0.457	2	11	0.182	15	27	0.556	9	34	43	19	6	8	12	18	91	Home	2007-12-09	SEA	3	2	0
61	1610612740	0020700322	DEC 12, 2007	NOH @ DEN	L	14	8	0.636363636363636	240	40	85	0.471	7	19	0.368	12	15	0.8	11	30	41	25	4	3	17	28	99	Away	2007-12-12	DEN	-6	0	1
60	1610612740	0020700336	DEC 14, 2007	NOH @ DAL	L	14	9	0.608695652173913	240	30	84	0.357	5	19	0.263	15	18	0.833	17	29	46	12	9	1	13	22	80	Away	2007-12-14	DAL	-9	0	2
59	1610612740	0020700345	DEC 15, 2007	NOH vs. PHX	W	15	9	0.625	240	37	91	0.407	12	23	0.522	15	18	0.833	13	36	49	24	5	1	11	12	101	Home	2007-12-15	PHX	3	1	0
58	1610612740	0020700361	DEC 17, 2007	NOH @ POR	L	15	10	0.6	240	31	76	0.408	4	26	0.154	10	14	0.714	18	29	47	14	6	6	13	21	76	Away	2007-12-17	POR	-12	0	1
57	1610612740	0020700377	DEC 19, 2007	NOH @ SEA	W	16	10	0.615384615384615	240	46	94	0.489	12	23	0.522	3	5	0.6	14	28	42	27	11	8	11	19	107	Away	2007-12-19	SEA	14	1	0
56	1610612740	0020700395	DEC 22, 2007	NOH vs. MIN	W	17	10	0.62962962962963	240	44	83	0.53	4	19	0.211	18	21	0.857	9	34	43	28	14	7	9	12	110	Home	2007-12-22	MIN	34	2	0
55	1610612740	0020700413	DEC 26, 2007	NOH @ MEM	W	18	10	0.642857142857143	240	48	86	0.558	12	31	0.387	8	10	0.8	8	27	35	21	12	7	9	14	116	Away	2007-12-26	MEM	18	3	0
54	1610612740	0020700422	DEC 28, 2007	NOH @ CHA	W	19	10	0.655172413793103	240	37	82	0.451	6	20	0.3	19	23	0.826	11	34	45	22	8	4	13	18	99	Away	2007-12-28	CHA	14	4	0
53	1610612740	0020700438	DEC 29, 2007	NOH vs. CLE	W	20	10	0.666666666666667	240	31	74	0.419	7	25	0.28	17	22	0.773	10	29	39	16	11	4	8	17	86	Home	2007-12-29	CLE	10	5	0
52	1610612740	0020700453	DEC 31, 2007	NOH vs. TOR	L	20	11	0.645161290322581	240	36	83	0.434	5	26	0.192	15	20	0.75	12	31	43	23	6	2	11	22	92	Home	2007-12-31	TOR	-5	0	1
