Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612758	0020700010	OCT 31, 2007	SAC @ NOH	L	0	1	0	240	36	81	0.444	3	10	0.3	15	18	0.833	8	26	34	21	5	3	15	27	90	Away	2007-10-31	NOH	-14	0	1
81	1610612758	0020700025	NOV 02, 2007	SAC @ SAS	L	0	2	0	240	29	75	0.387	2	12	0.167	20	26	0.769	6	29	35	15	7	5	14	17	80	Away	2007-11-02	SAS	-16	0	2
80	1610612758	0020700033	NOV 03, 2007	SAC @ DAL	L	0	3	0	240	35	70	0.5	3	7	0.429	29	32	0.906	11	16	27	14	8	0	15	21	102	Away	2007-11-03	DAL	-21	0	3
79	1610612758	0020700051	NOV 06, 2007	SAC vs. SEA	W	1	3	0.25	240	35	78	0.449	5	17	0.294	29	37	0.784	13	28	41	16	14	4	17	19	104	Home	2007-11-06	SEA	6	1	0
78	1610612758	0020700077	NOV 09, 2007	SAC vs. CLE	L	1	4	0.2	240	28	70	0.4	2	12	0.167	33	35	0.943	7	34	41	7	7	4	16	19	91	Home	2007-11-09	CLE	-2	0	1
77	1610612758	0020700084	NOV 10, 2007	SAC vs. MIN	W	2	4	0.333333333333333	240	30	74	0.405	6	15	0.4	34	40	0.85	14	24	38	12	9	4	15	24	100	Home	2007-11-10	MIN	7	1	0
76	1610612758	0020700095	NOV 12, 2007	SAC @ UTA	L	2	5	0.285714285714286	240	35	78	0.449	9	19	0.474	14	19	0.737	10	22	32	16	5	1	18	26	93	Away	2007-11-12	UTA	-24	0	1
75	1610612758	0020700112	NOV 14, 2007	SAC @ MIN	L	2	6	0.25	240	39	78	0.5	11	25	0.44	14	14	1	3	23	26	26	9	2	16	18	103	Away	2007-11-14	MIN	-5	0	2
74	1610612758	0020700128	NOV 16, 2007	SAC vs. NYK	W	3	6	0.333333333333333	290	41	86	0.477	7	16	0.438	34	46	0.739	13	33	46	18	6	6	19	31	123	Home	2007-11-16	NYK	5	1	0
73	1610612758	0020700143	NOV 18, 2007	SAC vs. DET	W	4	6	0.4	240	35	74	0.473	5	16	0.313	30	38	0.789	7	32	39	22	5	3	9	23	105	Home	2007-11-18	DET	10	2	0
72	1610612758	0020700156	NOV 20, 2007	SAC vs. PHX	L	4	7	0.363636363636364	240	35	79	0.443	6	18	0.333	22	30	0.733	7	36	43	17	7	1	17	24	98	Home	2007-11-20	PHX	-2	0	1
71	1610612758	0020700167	NOV 21, 2007	SAC @ PHX	L	4	8	0.333333333333333	240	43	95	0.453	3	17	0.176	22	34	0.647	20	35	55	12	3	4	13	20	111	Away	2007-11-21	PHX	-16	0	2
70	1610612758	0020700180	NOV 23, 2007	SAC @ POR	L	4	9	0.307692307692308	240	32	72	0.444	7	19	0.368	13	18	0.722	4	32	36	18	6	3	18	25	84	Away	2007-11-23	POR	-3	0	3
69	1610612758	0020700200	NOV 26, 2007	SAC vs. SAS	W	5	9	0.357142857142857	240	43	78	0.551	5	12	0.417	21	23	0.913	6	36	42	18	9	8	10	20	112	Home	2007-11-26	SAS	13	1	0
68	1610612758	0020700218	NOV 28, 2007	SAC vs. GSW	L	5	10	0.333333333333333	240	30	87	0.345	5	18	0.278	31	36	0.861	19	37	56	10	8	5	19	23	96	Home	2007-11-28	GSW	-7	0	1
67	1610612758	0020700241	DEC 01, 2007	SAC vs. HOU	W	6	10	0.375	240	39	87	0.448	4	14	0.286	25	31	0.806	11	31	42	16	9	4	5	17	107	Home	2007-12-01	HOU	8	1	0
66	1610612758	0020700260	DEC 04, 2007	SAC vs. UTA	W	7	10	0.411764705882353	240	38	76	0.5	5	9	0.556	36	47	0.766	11	29	40	15	8	5	13	26	117	Home	2007-12-04	UTA	10	2	0
65	1610612758	0020700284	DEC 07, 2007	SAC vs. LAC	L	7	11	0.388888888888889	240	30	79	0.38	6	15	0.4	21	29	0.724	14	26	40	17	7	4	15	28	87	Home	2007-12-07	LAC	-10	0	1
64	1610612758	0020700293	DEC 08, 2007	SAC @ DEN	L	7	12	0.368421052631579	240	40	90	0.444	5	18	0.278	12	13	0.923	7	27	34	27	19	2	22	28	97	Away	2007-12-08	DEN	-4	0	2
63	1610612758	0020700305	DEC 10, 2007	SAC vs. MIL	W	8	12	0.4	240	36	78	0.462	8	18	0.444	16	25	0.64	13	31	44	20	10	8	14	18	96	Home	2007-12-10	MIL	3	1	0
62	1610612758	0020700318	DEC 12, 2007	SAC @ BOS	L	8	13	0.380952380952381	240	31	70	0.443	5	18	0.278	11	12	0.917	9	26	35	15	5	4	20	25	78	Away	2007-12-12	BOS	-12	0	1
61	1610612758	0020700327	DEC 14, 2007	SAC @ PHI	W	9	13	0.409090909090909	240	43	80	0.537	5	12	0.417	18	21	0.857	13	26	39	27	9	1	19	20	109	Away	2007-12-14	PHI	10	1	0
60	1610612758	0020700339	DEC 15, 2007	SAC @ WAS	L	9	14	0.391304347826087	240	29	67	0.433	7	20	0.35	14	23	0.609	9	35	44	20	3	5	19	19	79	Away	2007-12-15	WAS	-13	0	1
59	1610612758	0020700362	DEC 18, 2007	SAC @ NJN	W	10	14	0.416666666666667	240	35	77	0.455	13	21	0.619	23	28	0.821	7	24	31	23	9	5	14	20	106	Away	2007-12-18	NJN	5	1	0
58	1610612758	0020700371	DEC 19, 2007	SAC @ MIL	W	11	14	0.44	240	37	76	0.487	10	20	0.5	18	23	0.783	10	22	32	25	11	2	13	17	102	Away	2007-12-19	MIL	13	2	0
57	1610612758	0020700404	DEC 23, 2007	SAC vs. DEN	L	11	15	0.423076923076923	240	39	90	0.433	8	23	0.348	19	31	0.613	10	36	46	23	12	6	13	24	105	Home	2007-12-23	DEN	-1	0	1
56	1610612758	0020700417	DEC 26, 2007	SAC vs. BOS	L	11	16	0.407407407407407	240	26	68	0.382	2	15	0.133	15	21	0.714	9	27	36	11	11	4	20	20	69	Home	2007-12-26	BOS	-20	0	2
55	1610612758	0020700430	DEC 28, 2007	SAC vs. PHI	L	11	17	0.392857142857143	240	32	76	0.421	7	22	0.318	9	10	0.9	14	18	32	14	6	3	22	23	80	Home	2007-12-28	PHI	-12	0	3
54	1610612758	0020700447	DEC 30, 2007	SAC vs. PHX	L	11	18	0.379310344827586	240	38	88	0.432	5	23	0.217	21	25	0.84	13	32	45	18	6	6	12	21	102	Home	2007-12-30	PHX	-15	0	4
53	1610612758	0020700463	JAN 02, 2008	SAC @ NYK	W	12	18	0.4	240	34	78	0.436	4	16	0.25	35	43	0.814	11	40	51	17	15	6	17	25	107	Away	2008-01-02	NYK	10	1	0
52	1610612758	0020700477	JAN 04, 2008	SAC @ CLE	L	12	19	0.387096774193548	240	42	76	0.553	3	15	0.2	6	12	0.5	9	32	41	27	2	2	21	23	93	Away	2008-01-04	CLE	-4	0	1
51	1610612758	0020700486	JAN 05, 2008	SAC @ CHI	L	12	20	0.375	240	33	74	0.446	4	6	0.667	23	28	0.821	8	37	45	16	4	3	18	29	93	Away	2008-01-05	CHI	-1	0	2
50	1610612758	0020700508	JAN 08, 2008	SAC vs. ORL	W	13	20	0.393939393939394	240	36	72	0.5	7	15	0.467	25	30	0.833	12	22	34	17	10	2	17	23	104	Home	2008-01-08	ORL	4	1	0
49	1610612758	0020700521	JAN 10, 2008	SAC vs. MEM	W	14	20	0.411764705882353	240	43	89	0.483	5	17	0.294	25	28	0.893	14	29	43	18	9	5	12	27	116	Home	2008-01-10	MEM	3	2	0
48	1610612758	0020700539	JAN 12, 2008	SAC vs. IND	L	14	21	0.4	240	37	74	0.5	7	14	0.5	24	25	0.96	8	32	40	17	7	2	23	23	105	Home	2008-01-12	IND	-6	0	1
47	1610612758	0020700552	JAN 14, 2008	SAC vs. DAL	W	15	21	0.416666666666667	240	44	87	0.506	8	16	0.5	26	33	0.788	12	23	35	20	7	5	9	25	122	Home	2008-01-14	DAL	2	1	0
46	1610612758	0020700562	JAN 16, 2008	SAC @ TOR	L	15	22	0.405405405405405	240	34	73	0.466	12	27	0.444	11	15	0.733	6	23	29	19	10	4	20	17	91	Away	2008-01-16	TOR	-25	0	1
45	1610612758	0020700577	JAN 18, 2008	SAC @ DET	W	16	22	0.421052631578947	240	36	71	0.507	7	23	0.304	21	26	0.808	5	35	40	25	8	1	12	22	100	Away	2008-01-18	DET	7	1	0
