Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612744	0020800014	OCT 29, 2008	GSW vs. NOH	L	0	1	0	240	36	82	0.439	9	23	0.391	22	32	0.688	11	28	39	18	10	5	13	26	103	Home	2008-10-29	NOH	-5	0	1
81	1610612744	0020800020	OCT 31, 2008	GSW @ TOR	L	0	2	0	265	42	94	0.447	11	29	0.379	13	19	0.684	17	29	46	20	6	6	18	25	108	Away	2008-10-31	TOR	-4	0	2
80	1610612744	0020800031	NOV 01, 2008	GSW @ NJN	W	1	2	0.333333333333333	240	32	76	0.421	7	19	0.368	34	52	0.654	14	27	41	18	8	5	16	21	105	Away	2008-11-01	NJN	8	1	0
79	1610612744	0020800045	NOV 03, 2008	GSW @ MEM	L	1	3	0.25	240	33	96	0.344	3	20	0.15	10	14	0.714	17	31	48	15	7	4	12	22	79	Away	2008-11-03	MEM	-11	0	1
78	1610612744	0020800062	NOV 05, 2008	GSW vs. DEN	W	2	3	0.4	240	42	90	0.467	2	16	0.125	25	36	0.694	17	29	46	21	8	11	10	22	111	Home	2008-11-05	DEN	10	1	0
77	1610612744	0020800077	NOV 07, 2008	GSW vs. MEM	L	2	4	0.333333333333333	240	36	84	0.429	2	12	0.167	30	43	0.698	13	28	41	18	7	10	12	24	104	Home	2008-11-07	MEM	-5	0	1
76	1610612744	0020800091	NOV 09, 2008	GSW @ SAC	L	2	5	0.285714285714286	240	39	95	0.411	3	14	0.214	17	26	0.654	15	30	45	19	12	8	16	27	98	Away	2008-11-09	SAC	-17	0	2
75	1610612744	0020800105	NOV 11, 2008	GSW vs. MIN	W	3	5	0.375	265	38	80	0.475	8	19	0.421	29	37	0.784	11	38	49	16	5	8	19	17	113	Home	2008-11-11	MIN	3	1	0
74	1610612744	0020800119	NOV 13, 2008	GSW vs. DET	L	3	6	0.333333333333333	240	37	90	0.411	1	9	0.111	27	37	0.73	18	33	51	20	6	4	15	23	102	Home	2008-11-13	DET	-5	0	1
73	1610612744	0020800132	NOV 15, 2008	GSW @ LAC	W	4	6	0.4	240	48	94	0.511	7	19	0.368	18	24	0.75	14	34	48	29	5	1	12	20	121	Away	2008-11-15	LAC	18	1	0
72	1610612744	0020800157	NOV 18, 2008	GSW vs. POR	W	5	6	0.454545454545455	240	36	80	0.45	6	15	0.4	33	35	0.943	12	28	40	20	9	7	16	24	111	Home	2008-11-18	POR	5	2	0
71	1610612744	0020800182	NOV 21, 2008	GSW vs. CHI	L	5	7	0.416666666666667	240	43	87	0.494	4	14	0.286	20	27	0.741	12	27	39	22	10	8	15	14	110	Home	2008-11-21	CHI	-5	0	1
70	1610612744	0020800194	NOV 23, 2008	GSW @ PHI	L	5	8	0.384615384615385	240	34	78	0.436	6	18	0.333	7	13	0.538	11	27	38	20	10	13	18	15	81	Away	2008-11-23	PHI	-8	0	2
69	1610612744	0020800205	NOV 25, 2008	GSW @ WAS	L	5	9	0.357142857142857	240	39	85	0.459	6	20	0.3	16	23	0.696	13	27	40	26	7	10	20	14	100	Away	2008-11-25	WAS	-24	0	3
68	1610612744	0020800213	NOV 26, 2008	GSW @ BOS	L	5	10	0.333333333333333	240	39	79	0.494	7	19	0.368	26	33	0.788	7	27	34	21	6	8	11	24	111	Away	2008-11-26	BOS	-8	0	4
67	1610612744	0020800227	NOV 28, 2008	GSW @ CLE	L	5	11	0.3125	240	33	83	0.398	4	16	0.25	27	33	0.818	11	31	42	13	10	9	14	19	97	Away	2008-11-28	CLE	-15	0	5
66	1610612744	0020800239	NOV 29, 2008	GSW @ NYK	L	5	12	0.294117647058824	240	46	101	0.455	7	20	0.35	26	32	0.813	17	31	48	21	13	5	14	22	125	Away	2008-11-29	NYK	-13	0	6
65	1610612744	0020800254	DEC 01, 2008	GSW vs. MIA	L	5	13	0.277777777777778	265	39	84	0.464	4	14	0.286	47	52	0.904	11	25	36	24	9	8	9	22	129	Home	2008-12-01	MIA	-1	0	7
64	1610612744	0020800284	DEC 05, 2008	GSW @ HOU	L	5	14	0.263157894736842	240	45	83	0.542	7	19	0.368	15	23	0.652	8	25	33	17	6	3	15	27	112	Away	2008-12-05	HOU	-19	0	8
63	1610612744	0020800294	DEC 06, 2008	GSW @ SAS	L	5	15	0.25	240	31	83	0.373	3	10	0.3	23	29	0.793	11	32	43	11	5	2	11	19	88	Away	2008-12-06	SAS	-35	0	9
62	1610612744	0020800303	DEC 08, 2008	GSW @ OKC	W	6	15	0.285714285714286	240	41	81	0.506	4	13	0.308	26	33	0.788	11	36	47	17	13	7	22	19	112	Away	2008-12-08	OKC	10	1	0
61	1610612744	0020800321	DEC 10, 2008	GSW vs. MIL	W	7	15	0.318181818181818	240	43	88	0.489	6	20	0.3	27	33	0.818	10	36	46	27	6	9	10	18	119	Home	2008-12-10	MIL	23	2	0
60	1610612744	0020800335	DEC 12, 2008	GSW vs. HOU	L	7	16	0.304347826086957	240	43	107	0.402	4	22	0.182	18	25	0.72	23	27	50	23	9	10	10	27	108	Home	2008-12-12	HOU	-11	0	1
