Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612765	0020900010	OCT 28, 2009	DET @ MEM	W	1	0	1	240	37	72	0.514	6	16	0.375	16	29	0.552	10	29	39	20	5	4	9	27	96	Away	2009-10-28	MEM	22	1	0
81	1610612765	0020900023	OCT 30, 2009	DET vs. OKC	L	1	1	0.5	240	26	70	0.371	5	17	0.294	26	34	0.765	9	34	43	12	6	5	15	27	83	Home	2009-10-30	OKC	-8	0	1
80	1610612765	0020900036	OCT 31, 2009	DET @ MIL	L	1	2	0.333333333333333	240	31	71	0.437	4	16	0.25	19	25	0.76	11	26	37	17	6	3	20	28	85	Away	2009-10-31	MIL	-11	0	2
79	1610612765	0020900054	NOV 03, 2009	DET vs. ORL	W	2	2	0.5	240	27	72	0.375	0	6	0	31	38	0.816	9	35	44	8	7	4	9	17	85	Home	2009-11-03	ORL	5	1	0
78	1610612765	0020900061	NOV 04, 2009	DET @ TOR	L	2	3	0.4	240	37	83	0.446	8	17	0.471	17	25	0.68	11	34	45	17	3	5	11	30	99	Away	2009-11-04	TOR	-11	0	1
77	1610612765	0020900074	NOV 06, 2009	DET @ ORL	L	2	4	0.333333333333333	240	38	74	0.514	4	11	0.364	23	37	0.622	7	27	34	13	8	3	11	31	103	Away	2009-11-06	ORL	-7	0	2
76	1610612765	0020900092	NOV 08, 2009	DET vs. PHI	W	3	4	0.428571428571429	240	36	81	0.444	3	16	0.188	13	21	0.619	21	30	51	14	8	5	15	17	88	Home	2009-11-08	PHI	7	1	0
75	1610612765	0020900112	NOV 11, 2009	DET vs. CHA	W	4	4	0.5	240	40	72	0.556	5	14	0.357	13	17	0.765	7	27	34	26	8	9	11	24	98	Home	2009-11-11	CHA	23	2	0
74	1610612765	0020900136	NOV 14, 2009	DET @ WAS	W	5	4	0.555555555555556	240	37	81	0.457	9	19	0.474	23	32	0.719	16	28	44	17	4	5	13	23	106	Away	2009-11-14	WAS	3	3	0
73	1610612765	0020900143	NOV 15, 2009	DET vs. DAL	L	5	5	0.5	240	38	83	0.458	2	13	0.154	12	17	0.706	12	32	44	12	4	6	13	19	90	Home	2009-11-15	DAL	-5	0	1
72	1610612765	0020900157	NOV 17, 2009	DET @ LAL	L	5	6	0.454545454545455	240	34	72	0.472	3	12	0.25	22	27	0.815	7	25	32	17	8	7	15	20	93	Away	2009-11-17	LAL	-13	0	2
71	1610612765	0020900169	NOV 18, 2009	DET @ POR	L	5	7	0.416666666666667	240	31	80	0.388	4	15	0.267	15	18	0.833	12	27	39	13	5	3	12	25	81	Away	2009-11-18	POR	-6	0	3
