Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
66	1610612748	0021100002	DEC 25, 2011	MIA @ DAL	W	1	0	1	240	38	78	0.487	4	7	0.571	25	36	0.694	15	36	51	18	9	6	22	28	105	Away	2011-12-25	DAL	11	1	0
65	1610612748	0021100019	DEC 27, 2011	MIA vs. BOS	W	2	0	1	240	42	75	0.56	6	10	0.6	25	35	0.714	6	32	38	22	16	8	20	22	115	Home	2011-12-27	BOS	8	2	0
64	1610612748	0021100024	DEC 28, 2011	MIA @ CHA	W	3	0	1	240	36	78	0.462	1	6	0.167	23	28	0.821	5	25	30	19	7	10	10	17	96	Away	2011-12-28	CHA	1	3	0
63	1610612748	0021100045	DEC 30, 2011	MIA @ MIN	W	4	0	1	240	46	93	0.495	3	14	0.214	8	14	0.571	9	33	42	29	14	6	15	21	103	Away	2011-12-30	MIN	2	4	0
62	1610612748	0021100059	JAN 01, 2012	MIA vs. CHA	W	5	0	1	240	48	80	0.6	7	11	0.636	26	31	0.839	5	42	47	33	10	3	15	18	129	Home	2012-01-01	CHA	39	5	0
61	1610612748	0021100070	JAN 02, 2012	MIA vs. ATL	L	5	1	0.833333333333333	240	34	73	0.466	5	13	0.385	19	28	0.679	9	31	40	23	5	3	16	15	92	Home	2012-01-02	ATL	-8	0	1
60	1610612748	0021100086	JAN 04, 2012	MIA vs. IND	W	6	1	0.857142857142857	240	42	80	0.525	8	21	0.381	26	28	0.929	7	35	42	25	12	1	13	25	118	Home	2012-01-04	IND	35	1	0
59	1610612748	0021100094	JAN 05, 2012	MIA @ ATL	W	7	1	0.875	315	45	102	0.441	8	28	0.286	18	23	0.783	14	42	56	25	6	6	21	35	116	Away	2012-01-05	ATL	7	2	0
58	1610612748	0021100112	JAN 07, 2012	MIA @ NJN	W	8	1	0.888888888888889	240	38	76	0.5	5	15	0.333	20	24	0.833	10	35	45	27	12	8	22	27	101	Away	2012-01-07	NJN	11	3	0
57	1610612748	0021100142	JAN 10, 2012	MIA @ GSW	L	8	2	0.8	265	39	85	0.459	2	11	0.182	26	40	0.65	14	34	48	16	14	5	22	23	106	Away	2012-01-10	GSW	-5	0	1
56	1610612748	0021100153	JAN 11, 2012	MIA @ LAC	L	8	3	0.727272727272727	265	32	81	0.395	5	16	0.313	20	34	0.588	13	37	50	18	9	6	18	22	89	Away	2012-01-11	LAC	-6	0	2
55	1610612748	0021100168	JAN 13, 2012	MIA @ DEN	L	8	4	0.666666666666667	240	38	81	0.469	7	16	0.438	21	29	0.724	14	26	40	19	11	4	17	25	104	Away	2012-01-13	DEN	-13	0	3
54	1610612748	0021100197	JAN 17, 2012	MIA vs. SAS	W	9	4	0.692307692307692	240	46	79	0.582	16	26	0.615	12	19	0.632	9	24	33	24	7	1	11	19	120	Home	2012-01-17	SAS	22	1	0
53	1610612748	0021100213	JAN 19, 2012	MIA vs. LAL	W	10	4	0.714285714285714	240	38	85	0.447	9	18	0.5	13	18	0.722	15	29	44	19	8	5	11	18	98	Home	2012-01-19	LAL	11	2	0
52	1610612748	0021100229	JAN 21, 2012	MIA vs. PHI	W	11	4	0.733333333333333	240	44	81	0.543	7	16	0.438	18	21	0.857	12	40	52	24	5	10	11	13	113	Home	2012-01-21	PHI	21	3	0
51	1610612748	0021100240	JAN 22, 2012	MIA vs. MIL	L	11	5	0.6875	240	25	67	0.373	3	12	0.25	29	35	0.829	12	30	42	9	7	2	21	25	82	Home	2012-01-22	MIL	-9	0	1
50	1610612748	0021100254	JAN 24, 2012	MIA vs. CLE	W	12	5	0.705882352941177	240	32	70	0.457	5	18	0.278	23	26	0.885	6	23	29	16	10	5	17	15	92	Home	2012-01-24	CLE	7	1	0
49	1610612748	0021100260	JAN 25, 2012	MIA @ DET	W	13	5	0.722222222222222	240	37	71	0.521	5	15	0.333	22	25	0.88	6	20	26	24	7	1	11	20	101	Away	2012-01-25	DET	3	2	0
48	1610612748	0021100276	JAN 27, 2012	MIA vs. NYK	W	14	5	0.736842105263158	240	37	80	0.463	2	10	0.2	23	26	0.885	6	34	40	17	9	8	10	19	99	Home	2012-01-27	NYK	10	3	0
47	1610612748	0021100291	JAN 29, 2012	MIA vs. CHI	W	15	5	0.75	240	32	78	0.41	3	8	0.375	30	40	0.75	12	36	48	19	5	5	13	20	97	Home	2012-01-29	CHI	4	4	0
46	1610612748	0021100301	JAN 30, 2012	MIA vs. NOH	W	16	5	0.761904761904762	240	43	78	0.551	6	15	0.4	17	21	0.81	11	28	39	23	6	3	15	17	109	Home	2012-01-30	NOH	14	5	0
45	1610612748	0021100319	FEB 01, 2012	MIA @ MIL	L	16	6	0.727272727272727	240	34	73	0.466	9	20	0.45	20	24	0.833	8	34	42	24	8	3	17	22	97	Away	2012-02-01	MIL	-8	0	1
44	1610612748	0021100333	FEB 03, 2012	MIA @ PHI	W	17	6	0.739130434782609	240	40	77	0.519	8	13	0.615	11	20	0.55	5	42	47	19	3	4	8	12	99	Away	2012-02-03	PHI	20	1	0
43	1610612748	0021100356	FEB 05, 2012	MIA vs. TOR	W	18	6	0.75	240	31	69	0.449	4	12	0.333	29	34	0.853	4	32	36	15	8	2	14	19	95	Home	2012-02-05	TOR	6	2	0
42	1610612748	0021100369	FEB 07, 2012	MIA vs. CLE	W	19	6	0.76	240	39	84	0.464	6	17	0.353	23	26	0.885	13	34	47	19	7	2	16	22	107	Home	2012-02-07	CLE	16	3	0
41	1610612748	0021100376	FEB 08, 2012	MIA @ ORL	L	19	7	0.730769230769231	240	36	76	0.474	5	15	0.333	12	17	0.706	9	29	38	20	10	6	12	17	89	Away	2012-02-08	ORL	-13	0	1
40	1610612748	0021100390	FEB 10, 2012	MIA @ WAS	W	20	7	0.740740740740741	240	40	81	0.494	5	15	0.333	21	23	0.913	8	38	46	22	9	7	15	21	106	Away	2012-02-10	WAS	17	1	0
39	1610612748	0021100411	FEB 12, 2012	MIA @ ATL	W	21	7	0.75	240	38	83	0.458	5	12	0.417	26	31	0.839	13	39	52	18	6	6	9	14	107	Away	2012-02-12	ATL	20	2	0
