Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
66	1610612755	0021100016	DEC 26, 2011	PHI @ POR	L	0	1	0	240	40	83	0.482	8	19	0.421	15	19	0.789	9	38	47	21	6	7	20	25	103	Away	2011-12-26	POR	-4	0	1
65	1610612755	0021100031	DEC 28, 2011	PHI @ PHX	W	1	1	0.5	240	41	86	0.477	7	17	0.412	14	18	0.778	12	36	48	22	11	2	10	19	103	Away	2011-12-28	PHX	20	1	0
64	1610612755	0021100048	DEC 30, 2011	PHI @ UTA	L	1	2	0.333333333333333	240	37	77	0.481	4	13	0.308	21	29	0.724	7	33	40	19	7	3	12	22	99	Away	2011-12-30	UTA	-3	0	1
63	1610612755	0021100056	DEC 31, 2011	PHI @ GSW	W	2	2	0.5	240	39	79	0.494	11	20	0.55	18	31	0.581	10	38	48	29	12	6	12	17	107	Away	2011-12-31	GSW	28	1	0
62	1610612755	0021100088	JAN 04, 2012	PHI @ NOH	W	3	2	0.6	240	41	86	0.477	4	16	0.25	15	18	0.833	11	27	38	22	8	7	8	19	101	Away	2012-01-04	NOH	8	2	0
61	1610612755	0021100099	JAN 06, 2012	PHI vs. DET	W	4	2	0.666666666666667	240	39	85	0.459	5	18	0.278	13	16	0.813	13	36	49	23	9	8	12	12	96	Home	2012-01-06	DET	23	3	0
60	1610612755	0021100114	JAN 07, 2012	PHI vs. TOR	W	5	2	0.714285714285714	240	36	83	0.434	5	21	0.238	20	27	0.741	11	40	51	20	13	8	8	10	97	Home	2012-01-07	TOR	35	4	0
59	1610612755	0021100127	JAN 09, 2012	PHI vs. IND	W	6	2	0.75	240	38	76	0.5	6	17	0.353	14	19	0.737	9	39	48	19	7	5	18	24	96	Home	2012-01-09	IND	10	5	0
58	1610612755	0021100132	JAN 10, 2012	PHI vs. SAC	W	7	2	0.777777777777778	240	47	83	0.566	5	13	0.385	13	19	0.684	4	42	46	30	9	7	10	15	112	Home	2012-01-10	SAC	27	6	0
57	1610612755	0021100145	JAN 11, 2012	PHI @ NYK	L	7	3	0.7	240	32	81	0.395	3	15	0.2	12	18	0.667	9	28	37	10	10	4	14	19	79	Away	2012-01-11	NYK	-6	0	1
56	1610612755	0021100160	JAN 13, 2012	PHI vs. WAS	W	8	3	0.727272727272727	240	47	85	0.553	12	18	0.667	14	19	0.737	9	30	39	27	10	2	12	15	120	Home	2012-01-13	WAS	31	1	0
55	1610612755	0021100170	JAN 14, 2012	PHI @ WAS	W	9	3	0.75	240	37	86	0.43	6	16	0.375	23	27	0.852	8	29	37	20	12	6	7	16	103	Away	2012-01-14	WAS	13	2	0
54	1610612755	0021100186	JAN 16, 2012	PHI vs. MIL	W	10	3	0.769230769230769	240	37	84	0.44	11	23	0.478	9	13	0.692	8	31	39	22	12	6	9	15	94	Home	2012-01-16	MIL	12	3	0
53	1610612755	0021100202	JAN 18, 2012	PHI vs. DEN	L	10	4	0.714285714285714	265	43	98	0.439	4	14	0.286	14	19	0.737	13	38	51	22	6	4	11	23	104	Home	2012-01-18	DEN	-4	0	1
52	1610612755	0021100217	JAN 20, 2012	PHI vs. ATL	W	11	4	0.733333333333333	240	35	84	0.417	4	17	0.235	16	19	0.842	15	36	51	24	9	5	12	8	90	Home	2012-01-20	ATL	14	1	0
51	1610612755	0021100229	JAN 21, 2012	PHI @ MIA	L	11	5	0.6875	240	37	83	0.446	8	15	0.533	10	15	0.667	7	24	31	18	9	5	9	17	92	Away	2012-01-21	MIA	-21	0	1
50	1610612755	0021100242	JAN 23, 2012	PHI vs. WAS	W	12	5	0.705882352941177	240	43	83	0.518	6	16	0.375	11	20	0.55	9	37	46	30	8	3	6	19	103	Home	2012-01-23	WAS	20	1	0
49	1610612755	0021100257	JAN 25, 2012	PHI vs. NJN	L	12	6	0.666666666666667	265	35	79	0.443	5	14	0.357	15	19	0.789	7	30	37	21	10	2	13	20	90	Home	2012-01-25	NJN	-7	0	1
48	1610612755	0021100272	JAN 27, 2012	PHI vs. CHA	W	13	6	0.684210526315789	240	35	78	0.449	6	15	0.4	13	16	0.813	13	34	47	19	9	2	14	19	89	Home	2012-01-27	CHA	17	1	0
47	1610612755	0021100285	JAN 28, 2012	PHI vs. DET	W	14	6	0.7	240	38	78	0.487	9	15	0.6	10	15	0.667	5	37	42	27	7	6	6	18	95	Home	2012-01-28	DET	21	2	0
46	1610612755	0021100299	JAN 30, 2012	PHI vs. ORL	W	15	6	0.714285714285714	240	30	80	0.375	4	15	0.267	10	19	0.526	9	38	47	22	7	4	6	17	74	Home	2012-01-30	ORL	5	3	0
45	1610612755	0021100315	FEB 01, 2012	PHI vs. CHI	W	16	6	0.727272727272727	240	40	84	0.476	4	11	0.364	14	19	0.737	11	32	43	26	10	4	10	14	98	Home	2012-02-01	CHI	16	4	0
44	1610612755	0021100333	FEB 03, 2012	PHI vs. MIA	L	16	7	0.695652173913043	240	32	81	0.395	5	12	0.417	10	14	0.714	8	30	38	18	6	5	6	17	79	Home	2012-02-03	MIA	-20	0	1
43	1610612755	0021100343	FEB 04, 2012	PHI @ ATL	W	17	7	0.708333333333333	240	44	88	0.5	4	9	0.444	6	9	0.667	9	28	37	25	9	2	7	25	98	Away	2012-02-04	ATL	11	1	0
42	1610612755	0021100357	FEB 06, 2012	PHI vs. LAL	W	18	7	0.72	240	38	81	0.469	8	17	0.471	11	17	0.647	8	22	30	27	7	2	4	13	95	Home	2012-02-06	LAL	5	2	0
41	1610612755	0021100374	FEB 08, 2012	PHI vs. SAS	L	18	8	0.692307692307692	240	38	93	0.409	7	14	0.5	7	11	0.636	18	37	55	23	4	7	10	20	90	Home	2012-02-08	SAS	-10	0	1
