Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612746	0021200011	OCT 31, 2012	LAC vs. MEM	W	1	0	1	240	38	74	0.514	5	15	0.333	20	29	0.69	8	31	39	25	12	9	22	27	101	Home	2012-10-31	MEM	9	1	0
81	1610612746	0021200025	NOV 02, 2012	LAC @ LAL	W	2	0	1	240	38	84	0.452	8	22	0.364	21	27	0.778	9	28	37	24	12	4	11	26	105	Away	2012-11-02	LAL	10	2	0
80	1610612746	0021200036	NOV 03, 2012	LAC vs. GSW	L	2	1	0.666666666666667	240	30	70	0.429	10	21	0.476	40	52	0.769	7	26	33	21	6	5	16	31	110	Home	2012-11-03	GSW	-4	0	1
79	1610612746	0021200049	NOV 05, 2012	LAC vs. CLE	L	2	2	0.5	240	39	74	0.527	9	25	0.36	14	16	0.875	9	29	38	23	7	13	25	24	101	Home	2012-11-05	CLE	-7	0	2
78	1610612746	0021200064	NOV 07, 2012	LAC vs. SAS	W	3	2	0.6	240	46	83	0.554	6	17	0.353	8	9	0.889	9	37	46	30	13	8	15	19	106	Home	2012-11-07	SAS	22	1	0
77	1610612746	0021200067	NOV 08, 2012	LAC @ POR	W	4	2	0.666666666666667	240	41	77	0.532	3	13	0.231	18	25	0.72	10	34	44	20	9	3	13	22	103	Away	2012-11-08	POR	13	2	0
76	1610612746	0021200091	NOV 11, 2012	LAC vs. ATL	W	5	2	0.714285714285714	240	38	82	0.463	5	15	0.333	8	8	1	8	30	38	21	12	6	13	22	89	Home	2012-11-11	ATL	13	3	0
75	1610612746	0021200117	NOV 14, 2012	LAC vs. MIA	W	6	2	0.75	240	35	72	0.486	10	21	0.476	27	32	0.844	9	29	38	22	11	8	18	25	107	Home	2012-11-14	MIA	7	4	0
74	1610612746	0021200132	NOV 17, 2012	LAC vs. CHI	W	7	2	0.777777777777778	240	37	75	0.493	5	16	0.313	22	30	0.733	10	31	41	21	10	10	12	20	101	Home	2012-11-17	CHI	21	5	0
73	1610612746	0021200152	NOV 19, 2012	LAC @ SAS	W	8	2	0.8	240	40	85	0.471	1	12	0.083	11	19	0.579	17	35	52	13	7	7	17	20	92	Away	2012-11-19	SAS	5	6	0
72	1610612746	0021200164	NOV 21, 2012	LAC @ OKC	L	8	3	0.727272727272727	265	40	93	0.43	7	20	0.35	24	33	0.727	17	28	45	19	16	5	14	27	111	Away	2012-11-21	OKC	-6	0	1
71	1610612746	0021200174	NOV 23, 2012	LAC @ BKN	L	8	4	0.666666666666667	240	29	72	0.403	4	17	0.235	14	22	0.636	17	28	45	15	8	7	18	22	76	Away	2012-11-23	BKN	-10	0	2
70	1610612746	0021200185	NOV 24, 2012	LAC @ ATL	L	8	5	0.615384615384615	240	32	75	0.427	8	19	0.421	21	25	0.84	7	30	37	19	13	3	14	22	93	Away	2012-11-24	ATL	-11	0	3
69	1610612746	0021200203	NOV 26, 2012	LAC vs. NOH	L	8	6	0.571428571428571	240	37	79	0.468	18	37	0.486	6	11	0.545	8	24	32	26	11	5	14	26	98	Home	2012-11-26	NOH	-7	0	4
68	1610612746	0021200219	NOV 28, 2012	LAC vs. MIN	W	9	6	0.6	240	37	81	0.457	4	19	0.211	23	26	0.885	11	24	35	28	11	6	10	25	101	Home	2012-11-28	MIN	6	1	0
67	1610612746	0021200241	DEC 01, 2012	LAC vs. SAC	W	10	6	0.625	240	47	86	0.547	12	24	0.5	10	16	0.625	8	33	41	27	12	6	5	15	116	Home	2012-12-01	SAC	35	2	0
