Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612747	0021200003	OCT 30, 2012	LAL vs. DAL	L	0	1	0	240	38	77	0.494	3	13	0.231	12	31	0.387	15	31	46	24	6	5	14	21	91	Home	2012-10-30	DAL	-8	0	1
81	1610612747	0021200012	OCT 31, 2012	LAL @ POR	L	0	2	0	240	36	72	0.5	8	18	0.444	26	32	0.813	15	30	45	21	6	2	24	29	106	Away	2012-10-31	POR	-10	0	2
80	1610612747	0021200025	NOV 02, 2012	LAL vs. LAC	L	0	3	0	240	34	68	0.5	7	16	0.438	20	28	0.714	7	31	38	15	7	7	20	23	95	Home	2012-11-02	LAC	-10	0	3
79	1610612747	0021200041	NOV 04, 2012	LAL vs. DET	W	1	3	0.25	240	40	77	0.519	10	22	0.455	18	26	0.692	16	30	46	27	11	8	15	20	108	Home	2012-11-04	DET	29	1	0
78	1610612747	0021200062	NOV 07, 2012	LAL @ UTA	L	1	4	0.2	240	25	74	0.338	4	23	0.174	32	46	0.696	15	33	48	11	10	3	18	14	86	Away	2012-11-07	UTA	-9	0	1
77	1610612747	0021200080	NOV 09, 2012	LAL vs. GSW	W	2	4	0.333333333333333	240	36	90	0.4	8	28	0.286	21	28	0.75	16	42	58	22	9	6	16	14	101	Home	2012-11-09	GSW	24	1	0
76	1610612747	0021200094	NOV 11, 2012	LAL vs. SAC	W	3	4	0.428571428571429	240	36	81	0.444	8	25	0.32	23	30	0.767	18	32	50	23	6	7	17	13	103	Home	2012-11-11	SAC	13	2	0
75	1610612747	0021200108	NOV 13, 2012	LAL vs. SAS	L	3	5	0.375	240	31	74	0.419	6	20	0.3	14	22	0.636	13	35	48	18	5	9	17	14	82	Home	2012-11-13	SAS	-2	0	1
74	1610612747	0021200130	NOV 16, 2012	LAL vs. PHX	W	4	5	0.444444444444444	240	42	89	0.472	8	21	0.381	22	28	0.786	17	31	48	25	7	9	11	15	114	Home	2012-11-16	PHX	12	1	0
73	1610612747	0021200146	NOV 18, 2012	LAL vs. HOU	W	5	5	0.5	240	46	85	0.541	9	20	0.45	18	28	0.643	9	32	41	27	10	3	13	15	119	Home	2012-11-18	HOU	11	2	0
72	1610612747	0021200156	NOV 20, 2012	LAL vs. BKN	W	6	5	0.545454545454545	240	35	73	0.479	6	21	0.286	19	37	0.514	8	35	43	23	5	5	11	18	95	Home	2012-11-20	BKN	5	3	0
71	1610612747	0021200169	NOV 21, 2012	LAL @ SAC	L	6	6	0.5	240	29	65	0.446	12	26	0.462	27	39	0.692	6	27	33	16	6	4	20	22	97	Away	2012-11-21	SAC	-16	0	1
70	1610612747	0021200177	NOV 23, 2012	LAL @ MEM	L	6	7	0.461538461538462	240	33	74	0.446	12	27	0.444	20	24	0.833	11	17	28	19	6	5	18	28	98	Away	2012-11-23	MEM	-8	0	2
69	1610612747	0021200187	NOV 24, 2012	LAL @ DAL	W	7	7	0.5	240	40	82	0.488	12	22	0.545	23	34	0.676	11	50	61	21	11	4	19	23	115	Away	2012-11-24	DAL	26	1	0
68	1610612747	0021200208	NOV 27, 2012	LAL vs. IND	L	7	8	0.466666666666667	240	24	76	0.316	6	28	0.214	23	43	0.535	15	41	56	13	10	5	19	25	77	Home	2012-11-27	IND	-2	0	1
67	1610612747	0021200232	NOV 30, 2012	LAL vs. DEN	W	8	8	0.5	240	47	87	0.54	17	33	0.515	11	17	0.647	15	31	46	33	11	6	15	22	122	Home	2012-11-30	DEN	19	1	0
66	1610612747	0021200244	DEC 02, 2012	LAL vs. ORL	L	8	9	0.470588235294118	240	36	86	0.419	6	17	0.353	25	39	0.641	12	34	46	20	5	2	11	16	103	Home	2012-12-02	ORL	-10	0	1
65	1610612747	0021200256	DEC 04, 2012	LAL @ HOU	L	8	10	0.444444444444444	240	38	83	0.458	7	21	0.333	22	34	0.647	15	38	53	16	7	11	18	25	105	Away	2012-12-04	HOU	-2	0	2
64	1610612747	0021200263	DEC 05, 2012	LAL @ NOH	W	9	10	0.473684210526316	240	37	80	0.463	13	28	0.464	16	22	0.727	9	37	46	24	11	8	9	16	103	Away	2012-12-05	NOH	16	1	0
63	1610612747	0021200280	DEC 07, 2012	LAL @ OKC	L	9	11	0.45	240	36	84	0.429	11	28	0.393	25	31	0.806	15	30	45	17	11	5	17	23	108	Away	2012-12-07	OKC	-6	0	1
62	1610612747	0021200297	DEC 09, 2012	LAL vs. UTA	L	9	12	0.428571428571429	240	40	85	0.471	15	28	0.536	15	18	0.833	17	22	39	29	5	7	14	21	110	Home	2012-12-09	UTA	-7	0	2
