Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612743	0021300016	OCT 30, 2013	DEN @ SAC	L	0	1	0	240	34	79	0.43	5	15	0.333	15	17	0.882	8	33	41	19	3	11	18	21	88	Away	2013-10-30	SAC	-2	0	1
81	1610612743	0021300029	NOV 01, 2013	DEN vs. POR	L	0	2	0	240	36	99	0.364	6	18	0.333	20	34	0.588	20	35	55	14	6	5	4	19	98	Home	2013-11-01	POR	-15	0	2
80	1610612743	0021300057	NOV 05, 2013	DEN vs. SAS	L	0	3	0	240	35	83	0.422	9	19	0.474	15	20	0.75	10	35	45	22	4	4	22	23	94	Home	2013-11-05	SAS	-8	0	3
79	1610612743	0021300071	NOV 07, 2013	DEN vs. ATL	W	1	3	0.25	240	42	86	0.488	14	25	0.56	11	17	0.647	10	35	45	28	4	8	16	18	109	Home	2013-11-07	ATL	2	1	0
78	1610612743	0021300083	NOV 08, 2013	DEN @ PHX	L	1	4	0.2	240	36	80	0.45	8	22	0.364	23	28	0.821	7	30	37	17	11	2	20	26	103	Away	2013-11-08	PHX	-11	0	1
77	1610612743	0021300104	NOV 11, 2013	DEN @ UTA	W	2	4	0.333333333333333	240	36	80	0.45	5	17	0.294	23	27	0.852	13	39	52	18	5	1	14	28	100	Away	2013-11-11	UTA	19	1	0
76	1610612743	0021300118	NOV 13, 2013	DEN vs. LAL	W	3	4	0.428571428571429	240	40	100	0.4	6	21	0.286	25	37	0.676	23	35	58	23	11	8	8	20	111	Home	2013-11-13	LAL	12	2	0
75	1610612743	0021300131	NOV 15, 2013	DEN vs. MIN	W	4	4	0.5	240	47	97	0.485	7	20	0.35	16	21	0.762	14	32	46	28	7	9	15	17	117	Home	2013-11-15	MIN	4	3	0
74	1610612743	0021300141	NOV 16, 2013	DEN @ HOU	L	4	5	0.444444444444444	240	45	99	0.455	8	24	0.333	13	18	0.722	18	25	43	22	8	7	13	33	111	Away	2013-11-16	HOU	-11	0	1
73	1610612743	0021300152	NOV 18, 2013	DEN @ OKC	L	4	6	0.4	240	40	83	0.482	8	23	0.348	25	43	0.581	10	35	45	24	7	6	11	22	113	Away	2013-11-18	OKC	-2	0	2
72	1610612743	0021300175	NOV 21, 2013	DEN vs. CHI	W	5	6	0.454545454545455	240	38	84	0.452	9	21	0.429	12	22	0.545	13	35	48	23	6	10	15	17	97	Home	2013-11-21	CHI	10	1	0
71	1610612743	0021300195	NOV 23, 2013	DEN vs. DAL	W	6	6	0.5	240	35	79	0.443	11	32	0.344	21	30	0.7	8	36	44	24	7	3	18	18	102	Home	2013-11-23	DAL	2	2	0
70	1610612743	0021300207	NOV 25, 2013	DEN @ DAL	W	7	6	0.538461538461538	240	41	75	0.547	8	20	0.4	20	28	0.714	10	32	42	23	10	2	13	24	110	Away	2013-11-25	DAL	14	3	0
69	1610612743	0021300223	NOV 27, 2013	DEN @ MIN	W	8	6	0.571428571428571	240	45	88	0.511	8	16	0.5	19	25	0.76	9	27	36	22	11	5	12	25	117	Away	2013-11-27	MIN	7	4	0
68	1610612743	0021300238	NOV 29, 2013	DEN vs. NYK	W	9	6	0.6	240	31	71	0.437	9	24	0.375	26	34	0.765	5	39	44	19	4	5	14	23	97	Home	2013-11-29	NYK	2	5	0
67	1610612743	0021300248	DEC 01, 2013	DEN @ TOR	W	10	6	0.625	240	44	87	0.506	10	23	0.435	14	19	0.737	14	33	47	29	10	6	15	22	112	Away	2013-12-01	TOR	14	6	0
66	1610612743	0021300263	DEC 03, 2013	DEN @ BKN	W	11	6	0.647058823529412	240	43	85	0.506	7	18	0.389	18	28	0.643	17	39	56	23	7	7	10	23	111	Away	2013-12-03	BKN	24	7	0
