Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612740	0021400001	OCT 28, 2014	NOP vs. ORL	W	1	0	1	240	41	101	0.406	4	17	0.235	15	31	0.484	26	36	62	20	10	17	9	17	101	Home	2014-10-28	ORL	17	1	0
81	1610612740	0021400027	NOV 01, 2014	NOP vs. DAL	L	1	1	0.5	240	38	89	0.427	7	19	0.368	21	28	0.75	14	33	47	24	8	4	13	19	104	Home	2014-11-01	DAL	-5	0	1
80	1610612740	0021400045	NOV 03, 2014	NOP @ MEM	L	1	2	0.333333333333333	240	29	86	0.337	4	24	0.167	19	29	0.655	14	35	49	14	5	3	12	30	81	Away	2014-11-03	MEM	-12	0	2
79	1610612740	0021400054	NOV 04, 2014	NOP vs. CHA	W	2	2	0.5	240	38	81	0.469	5	18	0.278	19	19	1	11	36	47	26	5	6	12	19	100	Home	2014-11-04	CHA	9	1	0
78	1610612740	0021400089	NOV 08, 2014	NOP @ SAS	W	3	2	0.6	240	40	85	0.471	8	21	0.381	12	14	0.857	6	24	30	22	11	9	11	20	100	Away	2014-11-08	SAS	1	2	0
77	1610612740	0021400098	NOV 10, 2014	NOP @ CLE	L	3	3	0.5	240	41	93	0.441	12	27	0.444	17	20	0.85	14	26	40	31	8	5	5	20	111	Away	2014-11-10	CLE	-7	0	1
76	1610612740	0021400114	NOV 12, 2014	NOP vs. LAL	W	4	3	0.571428571428571	240	45	82	0.549	8	19	0.421	11	18	0.611	8	36	44	27	3	12	13	24	109	Home	2014-11-12	LAL	7	1	0
75	1610612740	0021400128	NOV 14, 2014	NOP vs. MIN	W	5	3	0.625	240	56	84	0.667	15	20	0.75	12	16	0.75	3	31	34	31	13	3	13	30	139	Home	2014-11-14	MIN	48	2	0
74	1610612740	0021400153	NOV 17, 2014	NOP @ POR	L	5	4	0.555555555555556	240	38	85	0.447	5	19	0.263	12	19	0.632	13	28	41	16	11	4	11	23	93	Away	2014-11-17	POR	-9	0	1
73	1610612740	0021400158	NOV 18, 2014	NOP @ SAC	W	6	4	0.6	240	39	79	0.494	9	24	0.375	19	24	0.792	4	28	32	21	6	6	6	25	106	Away	2014-11-18	SAC	6	1	0
72	1610612740	0021400181	NOV 21, 2014	NOP @ DEN	L	6	5	0.545454545454545	240	31	78	0.397	5	16	0.313	30	34	0.882	8	32	40	19	7	3	12	22	97	Away	2014-11-21	DEN	-20	0	1
71	1610612740	0021400192	NOV 22, 2014	NOP @ UTA	W	7	5	0.583333333333333	240	42	93	0.452	4	17	0.235	18	22	0.818	18	26	44	19	11	7	9	22	106	Away	2014-11-22	UTA	12	1	0
70	1610612740	0021400208	NOV 25, 2014	NOP vs. SAC	L	7	6	0.538461538461538	240	33	79	0.418	3	17	0.176	20	29	0.69	14	26	40	15	3	6	10	23	89	Home	2014-11-25	SAC	-10	0	1
69	1610612740	0021400225	NOV 28, 2014	NOP @ ATL	L	7	7	0.5	240	36	89	0.404	7	24	0.292	12	16	0.75	16	26	42	23	8	4	12	19	91	Away	2014-11-28	ATL	-9	0	2
68	1610612740	0021400236	NOV 29, 2014	NOP @ WAS	L	7	8	0.466666666666667	240	30	81	0.37	6	17	0.353	14	21	0.667	13	29	42	12	8	1	12	14	80	Away	2014-11-29	WAS	-3	0	3
67	1610612740	0021400258	DEC 02, 2014	NOP vs. OKC	W	8	8	0.5	240	39	88	0.443	5	17	0.294	29	45	0.644	16	33	49	23	13	11	13	21	112	Home	2014-12-02	OKC	8	1	0
