Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612760	0021500013	OCT 28, 2015	OKC vs. SAS	W	1	0	1	240	42	86	0.488	7	19	0.368	21	22	0.955	11	34	45	21	7	4	19	19	112	Home	2015-10-28	SAS	6	1	0
81	1610612760	0021500022	OCT 30, 2015	OKC @ ORL	W	2	0	1	290	50	110	0.455	8	27	0.296	31	38	0.816	22	40	62	19	8	9	20	28	139	Away	2015-10-30	ORL	3	2	0
80	1610612760	0021500044	NOV 01, 2015	OKC vs. DEN	W	3	0	1	240	45	86	0.523	13	25	0.52	14	18	0.778	13	37	50	32	9	10	19	23	117	Home	2015-11-01	DEN	24	3	0
79	1610612760	0021500049	NOV 02, 2015	OKC @ HOU	L	3	1	0.75	240	40	84	0.476	10	23	0.435	15	22	0.682	14	41	55	17	7	9	24	24	105	Away	2015-11-02	HOU	-5	0	1
78	1610612760	0021500066	NOV 04, 2015	OKC vs. TOR	L	3	2	0.6	240	39	82	0.476	8	23	0.348	12	14	0.857	11	30	41	26	8	10	19	29	98	Home	2015-11-04	TOR	-5	0	2
77	1610612760	0021500070	NOV 05, 2015	OKC @ CHI	L	3	3	0.5	240	38	84	0.452	5	13	0.385	17	20	0.85	9	35	44	21	2	8	9	18	98	Away	2015-11-05	CHI	-6	0	3
76	1610612760	0021500097	NOV 08, 2015	OKC vs. PHX	W	4	3	0.571428571428571	240	49	94	0.521	4	20	0.2	22	30	0.733	17	35	52	26	14	8	15	25	124	Home	2015-11-08	PHX	21	1	0
75	1610612760	0021500107	NOV 10, 2015	OKC @ WAS	W	5	3	0.625	240	44	86	0.512	15	23	0.652	22	29	0.759	10	43	53	27	4	2	12	22	125	Away	2015-11-10	WAS	24	2	0
74	1610612760	0021500134	NOV 13, 2015	OKC vs. PHI	W	6	3	0.666666666666667	240	39	97	0.402	8	25	0.32	16	21	0.762	16	39	55	20	9	13	13	19	102	Home	2015-11-13	PHI	17	3	0
73	1610612760	0021500149	NOV 15, 2015	OKC vs. BOS	L	6	4	0.6	240	28	77	0.364	6	25	0.24	23	29	0.793	10	24	34	18	10	6	18	20	85	Home	2015-11-15	BOS	-15	0	1
72	1610612760	0021500155	NOV 16, 2015	OKC @ MEM	L	6	5	0.545454545454545	240	41	81	0.506	10	24	0.417	22	31	0.71	12	32	44	22	7	6	19	28	114	Away	2015-11-16	MEM	-8	0	2
71	1610612760	0021500171	NOV 18, 2015	OKC vs. NOP	W	7	5	0.583333333333333	240	38	85	0.447	7	17	0.412	27	40	0.675	16	34	50	19	6	4	14	16	110	Home	2015-11-18	NOP	7	1	0
70	1610612760	0021500183	NOV 20, 2015	OKC vs. NYK	L	7	6	0.538461538461538	240	35	92	0.38	3	29	0.103	17	23	0.739	21	28	49	12	9	4	14	19	90	Home	2015-11-20	NYK	-3	0	1
69	1610612760	0021500199	NOV 22, 2015	OKC vs. DAL	W	8	6	0.571428571428571	240	47	90	0.522	9	22	0.409	14	18	0.778	14	27	41	25	8	6	16	23	117	Home	2015-11-22	DAL	3	1	0
