Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612751	0021600006	OCT 26, 2016	BKN @ BOS	L	0	1	0	240	43	97	0.443	15	44	0.341	16	20	0.8	15	29	44	22	8	3	16	19	117	Away	2016-10-26	BOS	-5	0	1
81	1610612751	0021600019	OCT 28, 2016	BKN vs. IND	W	1	1	0.5	240	38	87	0.437	10	33	0.303	17	20	0.85	12	40	52	20	6	4	16	23	103	Home	2016-10-28	IND	9	1	0
80	1610612751	0021600031	OCT 29, 2016	BKN @ MIL	L	1	2	0.333333333333333	240	37	84	0.44	11	34	0.324	23	28	0.821	11	34	45	23	12	6	18	22	108	Away	2016-10-29	MIL	-2	0	1
79	1610612751	0021600043	OCT 31, 2016	BKN vs. CHI	L	1	3	0.25	240	33	96	0.344	5	31	0.161	17	21	0.81	16	29	45	14	12	3	15	15	88	Home	2016-10-31	CHI	-30	0	2
78	1610612751	0021600057	NOV 02, 2016	BKN vs. DET	W	2	3	0.4	240	41	76	0.539	13	27	0.481	14	17	0.824	5	40	45	27	10	3	19	23	109	Home	2016-11-02	DET	8	1	0
77	1610612751	0021600072	NOV 04, 2016	BKN vs. CHA	L	2	4	0.333333333333333	240	35	87	0.402	9	36	0.25	16	21	0.762	7	39	46	20	12	4	15	22	95	Home	2016-11-04	CHA	-4	0	1
76	1610612751	0021600101	NOV 08, 2016	BKN vs. MIN	W	3	4	0.428571428571429	240	42	76	0.553	12	33	0.364	23	26	0.885	5	38	43	20	5	5	20	19	119	Home	2016-11-08	MIN	9	1	0
75	1610612751	0021600106	NOV 09, 2016	BKN @ NYK	L	3	5	0.375	240	33	79	0.418	11	33	0.333	19	27	0.704	7	33	40	19	9	4	18	20	96	Away	2016-11-09	NYK	-14	0	1
74	1610612751	0021600139	NOV 12, 2016	BKN @ PHX	W	4	5	0.444444444444444	240	40	84	0.476	16	37	0.432	26	30	0.867	6	49	55	22	6	10	17	19	122	Away	2016-11-12	PHX	18	1	0
73	1610612751	0021600152	NOV 14, 2016	BKN @ LAC	L	4	6	0.4	240	34	77	0.442	10	33	0.303	17	22	0.773	9	28	37	18	6	2	21	21	95	Away	2016-11-14	LAC	-32	0	1
