Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612742	0021600005	OCT 26, 2016	DAL @ IND	L	0	1	0	265	45	104	0.433	18	48	0.375	13	18	0.722	10	39	49	26	8	8	15	27	121	Away	2016-10-26	IND	-9	0	1
81	1610612742	0021600023	OCT 28, 2016	DAL vs. HOU	L	0	2	0	240	35	80	0.438	8	29	0.276	20	24	0.833	6	28	34	13	11	2	9	21	98	Home	2016-10-28	HOU	-8	0	2
80	1610612742	0021600041	OCT 30, 2016	DAL @ HOU	L	0	3	0	240	32	86	0.372	11	31	0.355	17	20	0.85	13	30	43	17	8	3	9	17	92	Away	2016-10-30	HOU	-1	0	3
79	1610612742	0021600062	NOV 02, 2016	DAL @ UTA	L	0	4	0	240	33	77	0.429	7	26	0.269	8	10	0.8	6	30	36	18	4	4	12	20	81	Away	2016-11-02	UTA	-16	0	4
78	1610612742	0021600076	NOV 04, 2016	DAL vs. POR	L	0	5	0	240	34	83	0.41	10	28	0.357	17	20	0.85	7	37	44	18	5	3	12	21	95	Home	2016-11-04	POR	-10	0	5
77	1610612742	0021600090	NOV 06, 2016	DAL vs. MIL	W	1	5	0.166666666666667	265	33	88	0.375	9	38	0.237	11	12	0.917	10	36	46	14	12	2	15	20	86	Home	2016-11-06	MIL	11	1	0
76	1610612742	0021600104	NOV 08, 2016	DAL @ LAL	W	2	5	0.285714285714286	240	43	82	0.524	10	23	0.435	13	15	0.867	8	29	37	24	11	4	11	12	109	Away	2016-11-08	LAL	12	2	0
75	1610612742	0021600116	NOV 09, 2016	DAL @ GSW	L	2	6	0.25	240	34	86	0.395	6	28	0.214	21	28	0.75	13	29	42	20	10	2	7	20	95	Away	2016-11-09	GSW	-21	0	1
74	1610612742	0021600146	NOV 14, 2016	DAL @ NYK	L	2	7	0.222222222222222	240	32	84	0.381	5	27	0.185	8	11	0.727	11	29	40	15	8	7	11	16	77	Away	2016-11-14	NYK	-16	0	2
73	1610612742	0021600161	NOV 16, 2016	DAL @ BOS	L	2	8	0.2	240	34	83	0.41	8	23	0.348	7	10	0.7	5	27	32	16	9	3	9	19	83	Away	2016-11-16	BOS	-7	0	3
72	1610612742	0021600180	NOV 18, 2016	DAL vs. MEM	L	2	9	0.181818181818182	240	21	73	0.288	5	25	0.2	17	22	0.773	10	35	45	9	3	7	17	14	64	Home	2016-11-18	MEM	-16	0	4
71	1610612742	0021600187	NOV 19, 2016	DAL @ ORL	L	2	10	0.166666666666667	240	26	77	0.338	13	28	0.464	22	27	0.815	5	29	34	13	8	5	13	16	87	Away	2016-11-19	ORL	-8	0	5
70	1610612742	0021600206	NOV 21, 2016	DAL @ SAS	L	2	11	0.153846153846154	240	35	74	0.473	8	27	0.296	13	20	0.65	10	30	40	16	10	3	17	23	91	Away	2016-11-21	SAS	-5	0	6
69	1610612742	0021600220	NOV 23, 2016	DAL vs. LAC	L	2	12	0.142857142857143	240	38	84	0.452	11	24	0.458	17	18	0.944	10	34	44	23	7	3	16	24	104	Home	2016-11-23	LAC	-20	0	7
68	1610612742	0021600227	NOV 25, 2016	DAL @ CLE	L	2	13	0.133333333333333	240	37	91	0.407	8	35	0.229	8	12	0.667	11	28	39	29	5	4	13	21	90	Away	2016-11-25	CLE	-38	0	8
67	1610612742	0021600250	NOV 27, 2016	DAL vs. NOP	W	3	13	0.1875	240	32	77	0.416	10	27	0.37	17	20	0.85	11	35	46	19	7	3	12	18	91	Home	2016-11-27	NOP	10	1	0
66	1610612742	0021600272	NOV 30, 2016	DAL vs. SAS	L	3	14	0.176470588235294	240	33	77	0.429	10	30	0.333	11	14	0.786	8	29	37	16	5	3	11	18	87	Home	2016-11-30	SAS	-7	0	1
65	1610612742	0021600276	DEC 01, 2016	DAL @ CHA	L	3	15	0.166666666666667	240	32	86	0.372	9	31	0.29	14	18	0.778	9	32	41	18	6	2	11	25	87	Away	2016-12-01	CHA	-10	0	2
64	1610612742	0021600296	DEC 03, 2016	DAL vs. CHI	W	4	15	0.210526315789474	240	40	87	0.46	13	31	0.419	14	18	0.778	13	29	42	31	11	2	10	19	107	Home	2016-12-03	CHI	25	1	0
63	1610612742	0021600312	DEC 05, 2016	DAL vs. CHA	L	4	16	0.2	240	37	89	0.416	13	36	0.361	14	18	0.778	9	26	35	23	4	2	7	19	101	Home	2016-12-05	CHA	-8	0	1
62	1610612742	0021600328	DEC 07, 2016	DAL vs. SAC	L	4	17	0.19047619047619	240	32	78	0.41	10	30	0.333	15	20	0.75	9	31	40	17	7	5	20	22	89	Home	2016-12-07	SAC	-31	0	2
61	1610612742	0021600343	DEC 09, 2016	DAL vs. IND	W	5	17	0.227272727272727	240	39	80	0.488	15	32	0.469	18	24	0.75	5	28	33	23	8	1	8	19	111	Home	2016-12-09	IND	8	1	0
60	1610612742	0021600352	DEC 10, 2016	DAL @ HOU	L	5	18	0.217391304347826	240	32	79	0.405	11	34	0.324	12	14	0.857	6	26	32	18	7	3	9	18	87	Away	2016-12-10	HOU	-22	0	1
59	1610612742	0021600365	DEC 12, 2016	DAL vs. DEN	W	6	18	0.25	240	45	77	0.584	12	26	0.462	10	12	0.833	8	26	34	22	9	7	9	15	112	Home	2016-12-12	DEN	20	1	0
58	1610612742	0021600381	DEC 14, 2016	DAL vs. DET	L	6	19	0.24	240	32	78	0.41	8	25	0.32	13	16	0.813	6	24	30	19	13	3	11	22	85	Home	2016-12-14	DET	-10	0	1
57	1610612742	0021600398	DEC 16, 2016	DAL @ UTA	L	6	20	0.230769230769231	240	35	77	0.455	12	28	0.429	18	21	0.857	7	20	27	18	9	0	6	24	100	Away	2016-12-16	UTA	-3	0	2
56	1610612742	0021600411	DEC 18, 2016	DAL vs. SAC	W	7	20	0.259259259259259	240	34	77	0.442	13	33	0.394	18	22	0.818	6	38	44	20	10	6	11	13	99	Home	2016-12-18	SAC	20	1	0
55	1610612742	0021600417	DEC 19, 2016	DAL @ DEN	L	7	21	0.25	240	43	80	0.538	14	25	0.56	7	9	0.778	4	25	29	21	4	4	12	17	107	Away	2016-12-19	DEN	-10	0	1
54	1610612742	0021600436	DEC 21, 2016	DAL @ POR	W	8	21	0.275862068965517	240	35	83	0.422	7	31	0.226	19	23	0.826	10	28	38	14	12	5	10	20	96	Away	2016-12-21	POR	1	1	0
53	1610612742	0021600455	DEC 23, 2016	DAL @ LAC	W	9	21	0.3	240	37	87	0.425	7	29	0.241	9	15	0.6	14	28	42	21	13	4	12	14	90	Away	2016-12-23	LAC	2	2	0
52	1610612742	0021600466	DEC 26, 2016	DAL @ NOP	L	9	22	0.290322580645161	240	37	75	0.493	13	32	0.406	17	22	0.773	4	28	32	27	4	1	10	22	104	Away	2016-12-26	NOP	-7	0	1
51	1610612742	0021600474	DEC 27, 2016	DAL vs. HOU	L	9	23	0.28125	240	36	87	0.414	15	38	0.395	20	25	0.8	12	26	38	22	6	5	9	18	107	Home	2016-12-27	HOU	-16	0	2
50	1610612742	0021600491	DEC 29, 2016	DAL @ LAL	W	10	23	0.303030303030303	240	38	77	0.494	14	31	0.452	11	14	0.786	10	32	42	24	8	2	15	17	101	Away	2016-12-29	LAL	12	1	0
49	1610612742	0021600501	DEC 30, 2016	DAL @ GSW	L	10	24	0.294117647058824	240	39	93	0.419	8	32	0.25	13	15	0.867	11	29	40	22	11	7	10	12	99	Away	2016-12-30	GSW	-9	0	1
48	1610612742	0021600524	JAN 03, 2017	DAL vs. WAS	W	11	24	0.314285714285714	240	37	78	0.474	17	32	0.531	22	24	0.917	2	40	42	20	4	3	12	21	113	Home	2017-01-03	WAS	8	1	0
47	1610612742	0021600541	JAN 05, 2017	DAL vs. PHX	L	11	25	0.305555555555556	240	36	79	0.456	9	29	0.31	14	17	0.824	7	24	31	18	6	7	10	20	95	Home	2017-01-05	PHX	-7	0	1
46	1610612742	0021600557	JAN 07, 2017	DAL vs. ATL	L	11	26	0.297297297297297	240	32	82	0.39	9	36	0.25	9	10	0.9	6	35	41	18	7	3	14	25	82	Home	2017-01-07	ATL	-15	0	2
45	1610612742	0021600570	JAN 09, 2017	DAL @ MIN	L	11	27	0.289473684210526	240	36	78	0.462	13	28	0.464	7	9	0.778	5	20	25	24	3	2	14	21	92	Away	2017-01-09	MIN	-9	0	3
44	1610612742	0021600591	JAN 12, 2017	DAL @ PHX	W	12	27	0.307692307692308	240	43	89	0.483	15	34	0.441	12	17	0.706	8	24	32	29	11	7	9	20	113	Away	2017-01-12	PHX	5	1	0
43	1610612742	0021600608	JAN 15, 2017	DAL vs. MIN	W	13	27	0.325	240	36	77	0.468	12	29	0.414	14	19	0.737	6	35	41	21	8	8	11	18	98	Home	2017-01-15	MIN	11	2	0
42	1610612742	0021600624	JAN 17, 2017	DAL @ CHI	W	14	27	0.341463414634146	240	37	78	0.474	11	28	0.393	14	18	0.778	6	30	36	27	5	2	12	21	99	Away	2017-01-17	CHI	1	3	0
41	1610612742	0021600637	JAN 19, 2017	DAL @ MIA	L	14	28	0.333333333333333	240	37	82	0.451	14	36	0.389	7	11	0.636	5	28	33	17	4	3	9	20	95	Away	2017-01-19	MIA	-4	0	1
40	1610612742	0021600648	JAN 20, 2017	DAL vs. UTA	L	14	29	0.325581395348837	265	39	87	0.448	8	23	0.348	21	28	0.75	9	34	43	21	4	2	12	26	107	Home	2017-01-20	UTA	-5	0	2
39	1610612742	0021600662	JAN 22, 2017	DAL vs. LAL	W	15	29	0.340909090909091	240	43	87	0.494	17	39	0.436	19	19	1	13	36	49	27	9	4	10	15	122	Home	2017-01-22	LAL	49	1	0
38	1610612742	0021600688	JAN 25, 2017	DAL vs. NYK	W	16	29	0.355555555555556	240	39	83	0.47	6	26	0.231	19	24	0.792	7	29	36	19	10	7	7	12	103	Home	2017-01-25	NYK	8	2	0
37	1610612742	0021600690	JAN 26, 2017	DAL @ OKC	L	16	30	0.347826086956522	240	38	84	0.452	11	26	0.423	11	13	0.846	8	28	36	17	10	2	12	26	98	Away	2017-01-26	OKC	-11	0	1
36	1610612742	0021600717	JAN 29, 2017	DAL @ SAS	W	17	30	0.361702127659574	240	39	87	0.448	12	34	0.353	15	16	0.938	6	35	41	20	6	5	6	19	105	Away	2017-01-29	SAS	4	1	0
35	1610612742	0021600722	JAN 30, 2017	DAL vs. CLE	W	18	30	0.375	240	39	86	0.453	9	32	0.281	17	18	0.944	9	31	40	19	11	2	9	17	104	Home	2017-01-30	CLE	7	2	0
