Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612753	0021600004	OCT 26, 2016	ORL vs. MIA	L	0	1	0	240	34	89	0.382	6	18	0.333	22	28	0.786	15	30	45	20	5	4	11	15	96	Home	2016-10-26	MIA	-12	0	1
81	1610612753	0021600020	OCT 28, 2016	ORL @ DET	L	0	2	0	240	33	95	0.347	8	26	0.308	8	12	0.667	14	30	44	20	8	3	9	13	82	Away	2016-10-28	DET	-26	0	2
80	1610612753	0021600029	OCT 29, 2016	ORL @ CLE	L	0	3	0	240	38	84	0.452	8	28	0.286	15	26	0.577	13	37	50	21	6	5	20	23	99	Away	2016-10-29	CLE	-6	0	3
79	1610612753	0021600046	NOV 01, 2016	ORL @ PHI	W	1	3	0.25	240	42	93	0.452	6	25	0.24	13	17	0.765	12	27	39	29	7	6	10	15	103	Away	2016-11-01	PHI	2	1	0
78	1610612753	0021600065	NOV 03, 2016	ORL vs. SAC	W	2	3	0.4	240	38	84	0.452	10	30	0.333	16	23	0.696	13	31	44	24	5	4	14	14	102	Home	2016-11-03	SAC	8	2	0
77	1610612753	0021600081	NOV 05, 2016	ORL vs. WAS	W	3	3	0.5	240	31	78	0.397	9	28	0.321	17	27	0.63	10	33	43	21	4	6	8	16	88	Home	2016-11-05	WAS	2	3	0
76	1610612753	0021600096	NOV 07, 2016	ORL @ CHI	L	3	4	0.428571428571429	240	33	85	0.388	9	30	0.3	5	6	0.833	6	33	39	28	6	6	14	23	80	Away	2016-11-07	CHI	-32	0	1
75	1610612753	0021600109	NOV 09, 2016	ORL vs. MIN	L	3	5	0.375	240	38	85	0.447	8	24	0.333	23	30	0.767	12	27	39	20	2	5	9	19	107	Home	2016-11-09	MIN	-16	0	2
74	1610612753	0021600124	NOV 11, 2016	ORL vs. UTA	L	3	6	0.333333333333333	240	26	78	0.333	8	20	0.4	14	19	0.737	8	35	43	13	11	6	12	18	74	Home	2016-11-11	UTA	-13	0	3
73	1610612753	0021600141	NOV 13, 2016	ORL @ OKC	W	4	6	0.4	240	46	86	0.535	11	24	0.458	16	20	0.8	8	30	38	24	4	7	9	20	119	Away	2016-11-13	OKC	2	1	0
72	1610612753	0021600145	NOV 14, 2016	ORL @ IND	L	4	7	0.363636363636364	240	27	84	0.321	5	25	0.2	10	13	0.769	9	43	52	12	3	5	14	17	69	Away	2016-11-14	IND	-19	0	1
71	1610612753	0021600159	NOV 16, 2016	ORL vs. NOP	W	5	7	0.416666666666667	240	34	88	0.386	10	27	0.37	11	19	0.579	13	37	50	17	7	7	12	15	89	Home	2016-11-16	NOP	7	1	0
70	1610612753	0021600187	NOV 19, 2016	ORL vs. DAL	W	6	7	0.461538461538462	240	34	78	0.436	8	21	0.381	19	22	0.864	10	40	50	17	6	8	19	21	95	Home	2016-11-19	DAL	8	2	0
69	1610612753	0021600204	NOV 21, 2016	ORL @ MIL	L	6	8	0.428571428571429	240	32	77	0.416	7	25	0.28	18	24	0.75	10	44	54	21	8	5	24	18	89	Away	2016-11-21	MIL	-4	0	1
68	1610612753	0021600214	NOV 23, 2016	ORL vs. PHX	L	6	9	0.4	240	33	91	0.363	7	25	0.28	14	23	0.609	11	33	44	17	9	8	11	19	87	Home	2016-11-23	PHX	-5	0	2
67	1610612753	0021600226	NOV 25, 2016	ORL vs. WAS	L	6	10	0.375	240	35	80	0.438	7	23	0.304	14	20	0.7	14	35	49	18	5	7	19	16	91	Home	2016-11-25	WAS	-3	0	3
66	1610612753	0021600248	NOV 27, 2016	ORL vs. MIL	L	6	11	0.352941176470588	240	38	92	0.413	7	28	0.25	13	17	0.765	10	36	46	24	6	5	7	17	96	Home	2016-11-27	MIL	-8	0	4
65	1610612753	0021600264	NOV 29, 2016	ORL @ SAS	W	7	11	0.388888888888889	240	39	86	0.453	6	15	0.4	11	12	0.917	9	31	40	25	12	4	13	21	95	Away	2016-11-29	SAS	12	1	0
64	1610612753	0021600278	DEC 01, 2016	ORL @ MEM	L	7	12	0.368421052631579	240	33	74	0.446	6	24	0.25	22	31	0.71	7	35	42	15	5	9	17	19	94	Away	2016-12-01	MEM	-1	0	1
63	1610612753	0021600282	DEC 02, 2016	ORL @ PHI	W	8	12	0.4	240	37	78	0.474	13	26	0.5	18	26	0.692	7	40	47	24	8	3	10	20	105	Away	2016-12-02	PHI	17	1	0
