Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612737	0029100020	NOV 02, 1991	ATL vs. DET	L	0	1	0	240	37	88	0.42	0	4	0	13	25	0.52	13	31	44	27	9	3	15	22	87	Home	1991-11-02	DET	-2	0	1
81	1610612737	0029100035	NOV 05, 1991	ATL vs. UTH	W	1	1	0.5	240	40	87	0.46	3	7	0.429	15	23	0.652	22	31	53	30	8	9	14	20	98	Home	1991-11-05	UTH	4	1	0
80	1610612737	0029100038	NOV 06, 1991	ATL @ CHH	L	1	2	0.333333333333333	240	39	91	0.429	1	4	0.25	25	30	0.833	20	31	51	23	5	3	16	24	104	Away	1991-11-06	CHH	-10	0	1
79	1610612737	0029100058	NOV 08, 1991	ATL @ BOS	W	2	2	0.5	240	40	87	0.46	2	6	0.333	18	21	0.857	12	31	43	26	11	9	18	24	100	Away	1991-11-08	BOS	5	1	0
78	1610612737	0029100063	NOV 09, 1991	ATL vs. MIA	W	3	2	0.6	240	38	81	0.469	1	3	0.333	20	27	0.741	11	33	44	21	8	5	14	30	97	Home	1991-11-09	MIA	4	2	0
77	1610612737	0029100081	NOV 12, 1991	ATL vs. CHH	W	4	2	0.666666666666667	240	48	97	0.495	0	3	0	22	30	0.733	14	39	53	36	15	6	17	28	118	Home	1991-11-12	CHH	18	3	0
76	1610612737	0029100094	NOV 14, 1991	ATL @ SAC	L	4	3	0.571428571428571	240	38	89	0.427	2	6	0.333	18	31	0.581	16	30	46	16	13	4	16	20	96	Away	1991-11-14	SAC	-2	0	1
75	1610612737	0029100098	NOV 15, 1991	ATL @ PHX	W	5	3	0.625	240	48	102	0.471	2	5	0.4	21	26	0.808	15	33	48	32	1	1	8	22	119	Away	1991-11-15	PHX	4	1	0
74	1610612737	0029100118	NOV 17, 1991	ATL @ LAL	L	5	4	0.555555555555556	240	37	90	0.411	1	7	0.143	14	21	0.667	13	31	44	23	6	3	14	21	89	Away	1991-11-17	LAL	-22	0	1
73	1610612737	0029100129	NOV 20, 1991	ATL vs. SAC	W	6	4	0.6	240	48	96	0.5	1	4	0.25	19	30	0.633	20	29	49	31	18	4	15	21	116	Home	1991-11-20	SAC	12	1	0
72	1610612737	0029100148	NOV 22, 1991	ATL @ PHL	W	7	4	0.636363636363636	240	41	80	0.513	1	6	0.167	16	24	0.667	12	36	48	24	11	8	22	24	99	Away	1991-11-22	PHL	7	2	0
71	1610612737	0029100155	NOV 23, 1991	ATL @ WAS	L	7	5	0.583333333333333	240	46	95	0.484	4	13	0.308	19	23	0.826	15	30	45	13	7	3	18	30	115	Away	1991-11-23	WAS	-11	0	1
70	1610612737	0029100167	NOV 26, 1991	ATL vs. DET	L	7	6	0.538461538461538	240	36	91	0.396	3	13	0.231	18	26	0.692	21	26	47	21	7	2	12	26	93	Home	1991-11-26	DET	-10	0	2
69	1610612737	0029100175	NOV 27, 1991	ATL @ DET	L	7	7	0.5	240	39	82	0.476	7	15	0.467	6	14	0.429	9	24	33	30	6	2	9	20	91	Away	1991-11-27	DET	-9	0	3
