Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612738	0029100005	NOV 01, 1991	BOS vs. CHH	W	1	0	1	240	43	92	0.467	0	3	0	25	33	0.758	11	33	44	29	8	7	13	29	111	Home	1991-11-01	CHH	3	1	0
81	1610612738	0029100022	NOV 02, 1991	BOS @ WAS	L	1	1	0.5	265	52	105	0.495	2	6	0.333	12	15	0.8	18	38	56	23	5	7	21	22	118	Away	1991-11-02	WAS	-8	0	1
80	1610612738	0029100032	NOV 05, 1991	BOS @ MIA	W	2	1	0.666666666666667	240	35	80	0.438	0	2	0	23	27	0.852	14	32	46	18	8	5	20	28	93	Away	1991-11-05	MIA	4	1	0
79	1610612738	0029100044	NOV 06, 1991	BOS vs. CHI	L	2	2	0.5	240	47	88	0.534	0	1	0	19	21	0.905	7	18	25	28	9	4	12	23	113	Home	1991-11-06	CHI	-19	0	1
78	1610612738	0029100058	NOV 08, 1991	BOS vs. ATL	L	2	3	0.4	240	39	82	0.476	1	7	0.143	16	20	0.8	7	34	41	25	10	9	18	19	95	Home	1991-11-08	ATL	-5	0	2
77	1610612738	0029100071	NOV 10, 1991	BOS @ POR	L	2	4	0.333333333333333	240	36	93	0.387	2	5	0.4	16	23	0.696	14	29	43	21	7	6	16	29	90	Away	1991-11-10	POR	-26	0	3
76	1610612738	0029100076	NOV 12, 1991	BOS @ SAC	W	3	4	0.428571428571429	240	55	93	0.591	0	3	0	16	23	0.696	15	37	52	32	8	6	16	18	126	Away	1991-11-12	SAC	23	1	0
75	1610612738	0029100088	NOV 13, 1991	BOS @ PHX	W	4	4	0.5	240	48	86	0.558	1	2	0.5	20	24	0.833	3	40	43	31	5	5	14	25	117	Away	1991-11-13	PHX	6	2	0
74	1610612738	0029100101	NOV 15, 1991	BOS vs. PHL	W	5	4	0.555555555555556	240	52	97	0.536	3	3	1	15	17	0.882	14	32	46	33	10	11	15	15	122	Home	1991-11-15	PHL	25	3	0
73	1610612738	0029100115	NOV 16, 1991	BOS @ CHH	L	5	5	0.5	240	45	103	0.437	2	2	1	17	20	0.85	22	23	45	22	4	0	8	21	109	Away	1991-11-16	CHH	-9	0	1
72	1610612738	0029100136	NOV 20, 1991	BOS vs. IND	W	6	5	0.545454545454545	240	41	85	0.482	1	4	0.25	33	37	0.892	11	36	47	28	9	10	13	25	116	Home	1991-11-20	IND	15	1	0
71	1610612738	0029100154	NOV 23, 1991	BOS @ NJN	W	7	5	0.583333333333333	240	49	86	0.57	2	3	0.667	25	27	0.926	15	37	52	24	8	6	23	26	125	Away	1991-11-23	NJN	18	2	0
70	1610612738	0029100164	NOV 25, 1991	BOS vs. WAS	W	8	5	0.615384615384615	240	51	98	0.52	3	5	0.6	16	21	0.762	14	33	47	26	14	6	9	22	121	Home	1991-11-25	WAS	13	3	0
69	1610612738	0029100179	NOV 27, 1991	BOS vs. ORL	W	9	5	0.642857142857143	240	40	77	0.519	3	9	0.333	18	24	0.75	6	35	41	23	8	10	17	21	101	Home	1991-11-27	ORL	9	4	0
68	1610612738	0029100189	NOV 29, 1991	BOS vs. LAL	W	10	5	0.666666666666667	240	47	85	0.553	1	4	0.25	19	25	0.76	12	36	48	30	6	4	11	16	114	Home	1991-11-29	LAL	23	5	0
67	1610612738	0029100205	NOV 30, 1991	BOS @ ATL	L	10	6	0.625	240	42	93	0.452	4	7	0.571	14	17	0.824	17	26	43	29	5	5	17	23	102	Away	1991-11-30	ATL	-27	0	1
66	1610612738	0029100225	DEC 04, 1991	BOS vs. MIA	W	11	6	0.647058823529412	240	50	84	0.595	3	6	0.5	21	23	0.913	13	31	44	37	10	7	15	22	124	Home	1991-12-04	MIA	27	1	0
65	1610612738	0029100239	DEC 06, 1991	BOS vs. NYK	W	12	6	0.666666666666667	240	37	83	0.446	3	5	0.6	26	30	0.867	16	34	50	23	6	3	10	19	103	Home	1991-12-06	NYK	11	2	0
64	1610612738	0029100252	DEC 09, 1991	BOS vs. DEN	W	13	6	0.684210526315789	240	56	101	0.554	3	10	0.3	17	21	0.81	14	38	52	35	11	9	14	17	132	Home	1991-12-09	DEN	38	3	0
63	1610612738	0029100275	DEC 13, 1991	BOS vs. SEA	W	14	6	0.7	240	48	81	0.593	0	3	0	21	24	0.875	8	35	43	28	7	5	15	13	117	Home	1991-12-13	SEA	20	4	0
62	1610612738	0029100290	DEC 14, 1991	BOS @ NYK	L	14	7	0.666666666666667	240	42	103	0.408	0	2	0	17	19	0.895	26	24	50	17	7	2	10	18	101	Away	1991-12-14	NYK	-10	0	1
61	1610612738	0029100305	DEC 17, 1991	BOS @ ORL	W	15	7	0.681818181818182	240	41	78	0.526	2	7	0.286	21	28	0.75	11	28	39	27	8	7	20	18	105	Away	1991-12-17	ORL	7	1	0
60	1610612738	0029100315	DEC 18, 1991	BOS vs. MIL	W	16	7	0.695652173913043	240	53	89	0.596	3	9	0.333	22	23	0.957	11	30	41	36	7	8	13	14	131	Home	1991-12-18	MIL	14	2	0
59	1610612738	0029100329	DEC 20, 1991	BOS vs. UTH	W	17	7	0.708333333333333	240	44	87	0.506	3	7	0.429	21	25	0.84	13	29	42	29	8	10	12	17	112	Home	1991-12-20	UTH	11	3	0
58	1610612738	0029100332	DEC 21, 1991	BOS @ MIA	L	17	8	0.68	240	42	87	0.483	0	2	0	17	20	0.85	15	25	40	20	3	3	15	25	101	Away	1991-12-21	MIA	-11	0	1
57	1610612738	0029100351	DEC 25, 1991	BOS @ CHI	L	17	9	0.653846153846154	240	39	90	0.433	1	3	0.333	20	28	0.714	12	30	42	20	5	6	17	21	99	Away	1991-12-25	CHI	-22	0	2
56	1610612738	0029100368	DEC 27, 1991	BOS @ SEA	W	18	9	0.666666666666667	240	44	79	0.557	3	4	0.75	19	24	0.792	14	31	45	23	9	3	15	14	110	Away	1991-12-27	SEA	23	1	0
55	1610612738	0029100371	DEC 28, 1991	BOS @ DEN	L	18	10	0.642857142857143	240	35	93	0.376	1	8	0.125	19	23	0.826	16	40	56	15	4	10	15	27	90	Away	1991-12-28	DEN	-7	0	1
54	1610612738	0029100389	DEC 30, 1991	BOS @ LAC	W	19	10	0.655172413793103	240	38	91	0.418	2	4	0.5	19	26	0.731	18	38	56	22	6	8	15	26	97	Away	1991-12-30	LAC	11	1	0
53	1610612738	0029100402	JAN 03, 1992	BOS vs. CLE	L	19	11	0.633333333333333	240	41	89	0.461	0	4	0	18	21	0.857	14	27	41	23	4	2	13	19	100	Home	1992-01-03	CLE	-11	0	1
52	1610612738	0029100408	JAN 04, 1992	BOS @ MIN	L	19	12	0.612903225806452	240	42	91	0.462	0	2	0	12	16	0.75	18	34	52	19	4	12	11	21	96	Away	1992-01-04	MIN	-4	0	2
51	1610612738	0029100421	JAN 06, 1992	BOS vs. SAC	W	20	12	0.625	240	39	85	0.459	1	2	0.5	31	36	0.861	12	33	45	22	9	13	13	16	110	Home	1992-01-06	SAC	2	1	0
50	1610612738	0029100437	JAN 08, 1992	BOS vs. NYK	W	21	12	0.636363636363636	240	39	82	0.476	0	0	0	21	22	0.955	16	24	40	18	7	4	11	17	99	Home	1992-01-08	NYK	4	2	0
49	1610612738	0029100449	JAN 10, 1992	BOS vs. MIN	L	21	13	0.617647058823529	240	37	85	0.435	0	6	0	20	26	0.769	14	25	39	17	8	5	13	25	94	Home	1992-01-10	MIN	-10	0	1
48	1610612738	0029100462	JAN 11, 1992	BOS @ NYK	L	21	14	0.6	240	38	80	0.475	0	5	0	20	24	0.833	8	28	36	13	4	2	7	22	96	Away	1992-01-11	NYK	-4	0	2
47	1610612738	0029100479	JAN 15, 1992	BOS vs. NJN	L	21	15	0.583333333333333	240	48	89	0.539	0	3	0	24	28	0.857	12	29	41	25	4	7	10	20	120	Home	1992-01-15	NJN	-10	0	3
46	1610612738	0029100498	JAN 17, 1992	BOS vs. PHL	W	22	15	0.594594594594595	240	41	87	0.471	1	4	0.25	15	17	0.882	15	29	44	23	7	10	17	24	98	Home	1992-01-17	PHL	3	1	0
45	1610612738	0029100507	JAN 19, 1992	BOS vs. SAN	W	23	15	0.605263157894737	240	36	85	0.424	1	2	0.5	25	27	0.926	18	31	49	16	9	6	12	22	98	Home	1992-01-19	SAN	9	2	0
44	1610612738	0029100513	JAN 20, 1992	BOS @ CLE	W	24	15	0.615384615384615	240	48	89	0.539	0	1	0	11	11	1	12	26	38	32	8	6	10	21	107	Away	1992-01-20	CLE	5	3	0
43	1610612738	0029100530	JAN 22, 1992	BOS vs. ORL	W	25	15	0.625	240	45	78	0.577	0	0	0	17	26	0.654	8	32	40	25	11	10	13	20	107	Home	1992-01-22	ORL	12	4	0
