Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612766	0029100005	NOV 01, 1991	CHH @ BOS	L	0	1	0	240	37	84	0.44	2	5	0.4	32	45	0.711	11	33	44	19	8	5	12	25	108	Away	1991-11-01	BOS	-3	0	1
81	1610612766	0029100015	NOV 02, 1991	CHH vs. NJN	L	0	2	0	240	47	101	0.465	1	6	0.167	13	20	0.65	17	29	46	29	10	3	16	28	108	Home	1991-11-02	NJN	-8	0	2
80	1610612766	0029100033	NOV 05, 1991	CHH @ DET	L	0	3	0	240	37	77	0.481	2	4	0.5	17	23	0.739	4	30	34	22	7	4	25	30	93	Away	1991-11-05	DET	-24	0	3
79	1610612766	0029100038	NOV 06, 1991	CHH vs. ATL	W	1	3	0.25	240	48	90	0.533	1	3	0.333	17	21	0.81	11	30	41	35	11	4	12	26	114	Home	1991-11-06	ATL	10	1	0
78	1610612766	0029100059	NOV 08, 1991	CHH vs. MIL	L	1	4	0.2	265	45	89	0.506	3	8	0.375	29	37	0.784	12	29	41	35	12	3	26	30	122	Home	1991-11-08	MIL	-3	0	1
77	1610612766	0029100066	NOV 09, 1991	CHH @ NYK	L	1	5	0.166666666666667	240	50	88	0.568	1	2	0.5	12	13	0.923	8	29	37	34	11	1	22	28	113	Away	1991-11-09	NYK	-5	0	2
76	1610612766	0029100081	NOV 12, 1991	CHH @ ATL	L	1	6	0.142857142857143	240	36	83	0.434	1	6	0.167	27	33	0.818	11	36	47	28	8	0	21	31	100	Away	1991-11-12	ATL	-18	0	3
75	1610612766	0029100089	NOV 13, 1991	CHH vs. CHI	L	1	7	0.125	240	41	92	0.446	0	5	0	13	17	0.765	10	29	39	28	11	1	16	18	95	Home	1991-11-13	CHI	-22	0	4
74	1610612766	0029100099	NOV 15, 1991	CHH @ MIA	L	1	8	0.111111111111111	240	43	95	0.453	0	2	0	19	24	0.792	17	27	44	22	8	7	18	22	105	Away	1991-11-15	MIA	-15	0	5
73	1610612766	0029100115	NOV 16, 1991	CHH vs. BOS	W	2	8	0.2	240	49	94	0.521	2	5	0.4	18	22	0.818	18	33	51	27	5	8	14	20	118	Home	1991-11-16	BOS	9	1	0
72	1610612766	0029100126	NOV 19, 1991	CHH @ MIL	L	2	9	0.181818181818182	240	44	101	0.436	0	2	0	16	21	0.762	18	28	46	29	9	0	16	21	104	Away	1991-11-19	MIL	-23	0	1
71	1610612766	0029100128	NOV 20, 1991	CHH vs. CLE	W	3	9	0.25	240	49	87	0.563	1	5	0.2	10	14	0.714	14	33	47	35	10	4	21	22	109	Home	1991-11-20	CLE	1	1	0
70	1610612766	0029100149	NOV 22, 1991	CHH vs. IND	W	4	9	0.307692307692308	240	43	95	0.453	1	3	0.333	25	29	0.862	16	30	46	28	7	3	13	19	112	Home	1991-11-22	IND	2	2	0
69	1610612766	0029100170	NOV 26, 1991	CHH @ DEN	L	4	10	0.285714285714286	240	37	98	0.378	1	5	0.2	22	27	0.815	20	25	45	23	13	7	11	22	97	Away	1991-11-26	DEN	-6	0	1
68	1610612766	0029100176	NOV 27, 1991	CHH @ UTH	L	4	11	0.266666666666667	240	47	99	0.475	3	9	0.333	10	16	0.625	13	36	49	31	8	4	13	19	107	Away	1991-11-27	UTH	-6	0	2
67	1610612766	0029100190	NOV 29, 1991	CHH @ PHX	L	4	12	0.25	240	45	107	0.421	0	2	0	21	31	0.677	21	26	47	27	11	4	11	21	111	Away	1991-11-29	PHX	-20	0	3
66	1610612766	0029100201	NOV 30, 1991	CHH @ LAC	L	4	13	0.235294117647059	240	46	97	0.474	1	5	0.2	19	28	0.679	21	24	45	25	8	5	21	26	112	Away	1991-11-30	LAC	-18	0	4
65	1610612766	0029100208	DEC 02, 1991	CHH vs. NYK	L	4	14	0.222222222222222	240	38	84	0.452	1	3	0.333	20	29	0.69	14	35	49	25	10	2	18	26	97	Home	1991-12-02	NYK	-2	0	5
64	1610612766	0029100220	DEC 04, 1991	CHH vs. LAL	W	5	14	0.263157894736842	240	47	79	0.595	7	8	0.875	23	28	0.821	8	34	42	40	3	5	9	21	124	Home	1991-12-04	LAL	18	1	0
63	1610612766	0029100236	DEC 06, 1991	CHH @ CHI	L	5	15	0.25	240	32	76	0.421	1	3	0.333	31	38	0.816	6	26	32	22	12	0	17	25	96	Away	1991-12-06	CHI	-18	0	1
62	1610612766	0029100243	DEC 07, 1991	CHH @ ORL	W	6	15	0.285714285714286	240	44	76	0.579	1	3	0.333	20	29	0.69	8	35	43	29	7	3	18	18	109	Away	1991-12-07	ORL	14	1	0
61	1610612766	0029100265	DEC 11, 1991	CHH vs. DAL	L	6	16	0.272727272727273	240	42	87	0.483	1	4	0.25	18	25	0.72	13	30	43	29	4	2	9	23	103	Home	1991-12-11	DAL	-3	0	1
60	1610612766	0029100282	DEC 13, 1991	CHH vs. MIA	L	6	17	0.260869565217391	240	47	97	0.485	0	2	0	14	20	0.7	14	22	36	28	10	0	16	25	108	Home	1991-12-13	MIA	-4	0	2
