Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612741	0029100004	NOV 01, 1991	CHI vs. PHL	W	1	0	1	240	49	91	0.538	0	7	0	12	14	0.857	12	35	47	38	11	5	16	19	110	Home	1991-11-01	PHL	20	1	0
81	1610612741	0029100014	NOV 02, 1991	CHI @ MIL	L	1	1	0.5	240	41	81	0.506	1	5	0.2	24	25	0.96	16	16	32	15	9	1	14	21	107	Away	1991-11-02	MIL	-2	0	1
80	1610612741	0029100027	NOV 05, 1991	CHI vs. GOS	L	1	2	0.333333333333333	240	39	84	0.464	2	8	0.25	30	42	0.714	8	34	42	29	7	7	18	20	110	Home	1991-11-05	GOS	-8	0	2
79	1610612741	0029100044	NOV 06, 1991	CHI @ BOS	W	2	2	0.5	240	50	84	0.595	4	6	0.667	28	32	0.875	9	32	41	33	7	2	14	23	132	Away	1991-11-06	BOS	19	1	0
78	1610612741	0029100056	NOV 08, 1991	CHI vs. DAL	W	3	2	0.6	240	42	82	0.512	0	0	0	24	31	0.774	14	28	42	29	9	1	8	16	108	Home	1991-11-08	DAL	16	2	0
77	1610612741	0029100068	NOV 09, 1991	CHI vs. ORL	W	4	2	0.666666666666667	240	47	90	0.522	1	6	0.167	12	16	0.75	19	38	57	30	8	7	19	25	107	Home	1991-11-09	ORL	31	3	0
76	1610612741	0029100082	NOV 12, 1991	CHI vs. DET	W	5	2	0.714285714285714	240	42	80	0.525	2	6	0.333	24	33	0.727	15	30	45	26	7	4	8	27	110	Home	1991-11-12	DET	17	4	0
75	1610612741	0029100089	NOV 13, 1991	CHI @ CHH	W	6	2	0.75	240	48	96	0.5	1	5	0.2	20	24	0.833	16	35	51	28	10	9	16	17	117	Away	1991-11-13	CHH	22	5	0
74	1610612741	0029100103	NOV 15, 1991	CHI vs. MIL	W	7	2	0.777777777777778	240	46	79	0.582	1	3	0.333	21	35	0.6	12	29	41	30	10	5	15	25	114	Home	1991-11-15	MIL	13	6	0
73	1610612741	0029100132	NOV 20, 1991	CHI @ GOS	W	8	2	0.8	240	42	81	0.519	1	6	0.167	27	40	0.675	11	36	47	26	9	8	13	25	112	Away	1991-11-20	GOS	4	7	0
72	1610612741	0029100143	NOV 22, 1991	CHI @ SEA	W	9	2	0.818181818181818	265	40	83	0.482	1	6	0.167	31	34	0.912	8	28	36	18	12	5	13	24	112	Away	1991-11-22	SEA	3	8	0
71	1610612741	0029100159	NOV 23, 1991	CHI @ DEN	W	10	2	0.833333333333333	240	46	91	0.505	0	3	0	15	18	0.833	14	34	48	16	6	3	14	25	107	Away	1991-11-23	DEN	7	9	0
70	1610612741	0029100173	NOV 26, 1991	CHI @ LAC	W	11	2	0.846153846153846	240	49	85	0.576	2	5	0.4	16	19	0.842	11	41	52	34	6	3	18	22	116	Away	1991-11-26	LAC	37	10	0
69	1610612741	0029100185	NOV 29, 1991	CHI @ POR	W	12	2	0.857142857142857	290	49	107	0.458	1	9	0.111	17	27	0.63	12	32	44	34	8	4	13	23	116	Away	1991-11-29	POR	2	11	0
68	1610612741	0029100200	NOV 30, 1991	CHI @ SAC	W	13	2	0.866666666666667	240	48	89	0.539	1	4	0.25	21	32	0.656	16	36	52	26	4	5	13	24	118	Away	1991-11-30	SAC	16	12	0
