Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612739	0029100007	NOV 01, 1991	CLE @ POR	L	0	1	0	240	43	88	0.489	3	11	0.273	17	19	0.895	14	28	42	22	5	5	19	25	106	Away	1991-11-01	POR	-11	0	1
81	1610612739	0029100017	NOV 02, 1991	CLE @ LAC	L	0	2	0	240	41	87	0.471	5	13	0.385	18	24	0.75	11	31	42	20	6	4	13	29	105	Away	1991-11-02	LAC	-1	0	2
80	1610612739	0029100030	NOV 05, 1991	CLE @ DAL	W	1	2	0.333333333333333	240	39	77	0.506	0	5	0	34	41	0.829	12	30	42	23	7	5	10	21	112	Away	1991-11-05	DAL	11	1	0
79	1610612739	0029100047	NOV 07, 1991	CLE @ HOU	L	1	3	0.25	240	34	82	0.415	1	7	0.143	17	22	0.773	11	27	38	21	6	3	12	14	86	Away	1991-11-07	HOU	-19	0	1
78	1610612739	0029100057	NOV 08, 1991	CLE @ SAN	L	1	4	0.2	265	40	95	0.421	3	8	0.375	18	26	0.692	8	33	41	16	12	9	15	26	101	Away	1991-11-08	SAN	-6	0	2
77	1610612739	0029100083	NOV 12, 1991	CLE vs. MIL	W	2	4	0.333333333333333	240	43	76	0.566	4	11	0.364	29	35	0.829	9	28	37	35	11	4	22	21	119	Home	1991-11-12	MIL	6	1	0
76	1610612739	0029100093	NOV 14, 1991	CLE vs. SEA	W	3	4	0.428571428571429	265	43	87	0.494	2	6	0.333	27	32	0.844	13	31	44	28	6	10	13	20	115	Home	1991-11-14	SEA	6	2	0
75	1610612739	0029100109	NOV 16, 1991	CLE vs. IND	W	4	4	0.5	240	43	81	0.531	6	15	0.4	35	46	0.761	16	28	44	31	6	10	10	22	127	Home	1991-11-16	IND	10	3	0
74	1610612739	0029100128	NOV 20, 1991	CLE @ CHH	L	4	5	0.444444444444444	240	46	98	0.469	4	11	0.364	12	16	0.75	17	20	37	30	6	1	14	16	108	Away	1991-11-20	CHH	-1	0	1
73	1610612739	0029100141	NOV 21, 1991	CLE vs. NJN	W	5	5	0.5	240	39	82	0.476	1	4	0.25	37	46	0.804	17	26	43	24	9	4	14	16	116	Home	1991-11-21	NJN	4	1	0
72	1610612739	0029100158	NOV 23, 1991	CLE vs. DET	W	6	5	0.545454545454545	240	39	83	0.47	3	7	0.429	15	21	0.714	13	31	44	27	8	10	10	31	96	Home	1991-11-23	DET	7	2	0
71	1610612739	0029100165	NOV 26, 1991	CLE @ PHL	W	7	5	0.583333333333333	240	35	86	0.407	3	9	0.333	22	30	0.733	10	28	38	26	14	7	8	18	95	Away	1991-11-26	PHL	4	3	0
70	1610612739	0029100183	NOV 27, 1991	CLE vs. PHL	W	8	5	0.615384615384615	240	42	87	0.483	3	8	0.375	20	24	0.833	15	35	50	36	6	17	11	15	107	Home	1991-11-27	PHL	10	4	0
69	1610612739	0029100186	NOV 29, 1991	CLE vs. ORL	W	9	5	0.642857142857143	240	43	92	0.467	1	4	0.25	28	31	0.903	15	31	46	32	9	9	12	21	115	Home	1991-11-29	ORL	11	5	0
68	1610612739	0029100223	DEC 04, 1991	CLE @ CHI	L	9	6	0.6	240	39	87	0.448	4	11	0.364	20	28	0.714	15	18	33	23	9	5	16	22	102	Away	1991-12-04	CHI	-6	0	1
67	1610612739	0029100226	DEC 05, 1991	CLE @ DET	W	10	6	0.625	240	40	88	0.455	2	5	0.4	28	33	0.848	21	27	48	25	9	6	7	25	110	Away	1991-12-05	DET	9	1	0
66	1610612739	0029100241	DEC 07, 1991	CLE vs. WAS	W	11	6	0.647058823529412	240	36	80	0.45	6	12	0.5	21	29	0.724	10	37	47	28	8	8	14	20	99	Home	1991-12-07	WAS	2	2	0
65	1610612739	0029100267	DEC 11, 1991	CLE @ MIA	L	11	7	0.611111111111111	240	35	90	0.389	4	10	0.4	29	38	0.763	23	36	59	17	7	11	16	22	103	Away	1991-12-11	MIA	-2	0	1
64	1610612739	0029100273	DEC 12, 1991	CLE vs. ATL	W	12	7	0.631578947368421	240	50	90	0.556	3	10	0.3	31	35	0.886	11	35	46	34	6	7	11	29	134	Home	1991-12-12	ATL	27	1	0
63	1610612739	0029100288	DEC 14, 1991	CLE vs. DAL	L	12	8	0.6	240	38	87	0.437	4	7	0.571	17	19	0.895	13	28	41	29	8	5	8	9	97	Home	1991-12-14	DAL	-2	0	1
62	1610612739	0029100300	DEC 17, 1991	CLE vs. MIA	W	13	8	0.619047619047619	240	59	103	0.573	6	11	0.545	24	29	0.828	19	40	59	39	11	5	9	16	148	Home	1991-12-17	MIA	68	1	0
61	1610612739	0029100316	DEC 18, 1991	CLE @ NJN	L	13	9	0.590909090909091	240	37	96	0.385	1	8	0.125	18	23	0.783	21	27	48	17	13	12	21	20	93	Away	1991-12-18	NJN	-9	0	1
60	1610612739	0029100326	DEC 20, 1991	CLE @ ATL	W	14	9	0.608695652173913	240	50	89	0.562	1	7	0.143	21	24	0.875	9	31	40	33	12	7	12	17	122	Away	1991-12-20	ATL	23	1	0
59	1610612739	0029100339	DEC 21, 1991	CLE vs. CHH	W	15	9	0.625	240	50	88	0.568	3	5	0.6	17	24	0.708	14	24	38	33	6	14	15	16	120	Home	1991-12-21	CHH	9	2	0
