Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612743	0029100011	NOV 01, 1991	DEN vs. GOS	L	0	1	0	240	40	98	0.408	1	7	0.143	24	31	0.774	22	33	55	14	10	8	17	27	105	Home	1991-11-01	GOS	-3	0	1
81	1610612743	0029100013	NOV 02, 1991	DEN vs. HOU	W	1	1	0.5	265	39	92	0.424	2	8	0.25	29	38	0.763	18	36	54	18	8	8	16	26	109	Home	1991-11-02	HOU	8	1	0
80	1610612743	0029100036	NOV 05, 1991	DEN vs. SAN	W	2	1	0.666666666666667	240	33	89	0.371	3	4	0.75	28	39	0.718	13	32	45	17	14	7	14	24	97	Home	1991-11-05	SAN	1	2	0
79	1610612743	0029100049	NOV 07, 1991	DEN vs. MIN	W	3	1	0.75	240	32	77	0.416	1	4	0.25	23	34	0.676	17	35	52	15	12	4	17	25	88	Home	1991-11-07	MIN	11	3	0
78	1610612743	0029100054	NOV 08, 1991	DEN @ LAC	L	3	2	0.6	240	36	94	0.383	2	7	0.286	8	12	0.667	23	30	53	12	9	3	30	23	82	Away	1991-11-08	LAC	-24	0	1
77	1610612743	0029100079	NOV 12, 1991	DEN @ POR	L	3	3	0.5	240	36	90	0.4	0	3	0	10	16	0.625	14	24	38	10	11	7	20	26	82	Away	1991-11-12	POR	-38	0	2
76	1610612743	0029100111	NOV 16, 1991	DEN vs. POR	W	4	3	0.571428571428571	240	46	81	0.568	3	5	0.6	27	36	0.75	11	30	41	21	10	4	16	26	122	Home	1991-11-16	POR	11	1	0
75	1610612743	0029100123	NOV 19, 1991	DEN vs. DAL	L	4	4	0.5	240	40	92	0.435	0	3	0	13	16	0.813	19	32	51	8	6	4	12	22	93	Home	1991-11-19	DAL	-3	0	1
74	1610612743	0029100131	NOV 20, 1991	DEN @ PHX	L	4	5	0.444444444444444	240	40	90	0.444	1	6	0.167	16	21	0.762	16	32	48	15	3	4	20	30	97	Away	1991-11-20	PHX	-16	0	2
73	1610612743	0029100144	NOV 22, 1991	DEN @ UTH	L	4	6	0.4	240	36	88	0.409	0	4	0	24	40	0.6	14	26	40	16	10	3	14	33	96	Away	1991-11-22	UTH	-25	0	3
72	1610612743	0029100159	NOV 23, 1991	DEN vs. CHI	L	4	7	0.363636363636364	240	34	85	0.4	1	3	0.333	31	38	0.816	12	29	41	9	8	4	10	19	100	Home	1991-11-23	CHI	-7	0	4
71	1610612743	0029100170	NOV 26, 1991	DEN vs. CHH	W	5	7	0.416666666666667	240	39	76	0.513	0	1	0	25	29	0.862	8	37	45	17	8	9	22	21	103	Home	1991-11-26	CHH	6	1	0
70	1610612743	0029100182	NOV 27, 1991	DEN @ MIN	L	5	8	0.384615384615385	240	38	98	0.388	2	5	0.4	14	19	0.737	25	26	51	16	12	2	16	25	92	Away	1991-11-27	MIN	-9	0	1
