Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612765	0029100010	NOV 01, 1991	DET vs. MIL	L	0	1	0	240	35	82	0.427	3	9	0.333	26	33	0.788	12	25	37	26	8	7	14	21	99	Home	1991-11-01	MIL	-10	0	1
81	1610612765	0029100020	NOV 02, 1991	DET @ ATL	W	1	1	0.5	240	35	82	0.427	3	10	0.3	16	25	0.64	16	39	55	22	4	4	21	24	89	Away	1991-11-02	ATL	2	1	0
80	1610612765	0029100033	NOV 05, 1991	DET vs. CHH	W	2	1	0.666666666666667	240	47	94	0.5	1	4	0.25	22	30	0.733	14	39	53	32	9	2	18	24	117	Home	1991-11-05	CHH	24	2	0
79	1610612765	0029100061	NOV 09, 1991	DET @ NJN	W	3	1	0.75	240	43	89	0.483	0	2	0	24	30	0.8	12	24	36	17	10	2	17	25	110	Away	1991-11-09	NJN	10	3	0
78	1610612765	0029100072	NOV 10, 1991	DET vs. WAS	W	4	1	0.8	240	31	78	0.397	1	3	0.333	22	34	0.647	21	40	61	16	10	5	22	20	85	Home	1991-11-10	WAS	6	4	0
77	1610612765	0029100082	NOV 12, 1991	DET @ CHI	L	4	2	0.666666666666667	240	35	85	0.412	2	8	0.25	21	30	0.7	20	18	38	19	4	2	11	24	93	Away	1991-11-12	CHI	-17	0	1
76	1610612765	0029100085	NOV 13, 1991	DET @ MIA	L	4	3	0.571428571428571	240	42	90	0.467	1	4	0.25	17	22	0.773	18	27	45	25	8	6	17	25	102	Away	1991-11-13	MIA	-5	0	2
75	1610612765	0029100097	NOV 15, 1991	DET vs. UTH	W	5	3	0.625	240	47	86	0.547	2	6	0.333	27	38	0.711	17	27	44	23	10	1	14	21	123	Home	1991-11-15	UTH	8	1	0
74	1610612765	0029100113	NOV 16, 1991	DET vs. PHL	L	5	4	0.555555555555556	240	34	80	0.425	0	4	0	18	27	0.667	17	32	49	22	7	5	15	22	86	Home	1991-11-16	PHL	-3	0	1
73	1610612765	0029100119	NOV 18, 1991	DET @ IND	L	5	5	0.5	240	40	89	0.449	0	4	0	21	24	0.875	18	27	45	24	3	4	15	27	101	Away	1991-11-18	IND	-17	0	2
72	1610612765	0029100137	NOV 20, 1991	DET vs. SEA	L	5	6	0.454545454545455	240	33	83	0.398	0	1	0	20	23	0.87	16	36	52	15	1	7	15	21	86	Home	1991-11-20	SEA	-5	0	3
71	1610612765	0029100150	NOV 22, 1991	DET vs. NYK	L	5	7	0.416666666666667	240	36	86	0.419	1	3	0.333	17	23	0.739	8	31	39	22	6	4	17	24	90	Home	1991-11-22	NYK	-9	0	4
70	1610612765	0029100158	NOV 23, 1991	DET @ CLE	L	5	8	0.384615384615385	240	33	78	0.423	1	2	0.5	22	31	0.71	13	28	41	14	4	1	12	21	89	Away	1991-11-23	CLE	-7	0	5
69	1610612765	0029100167	NOV 26, 1991	DET @ ATL	W	6	8	0.428571428571429	240	39	81	0.481	1	2	0.5	24	28	0.857	14	29	43	23	5	4	12	20	103	Away	1991-11-26	ATL	10	1	0
68	1610612765	0029100175	NOV 27, 1991	DET vs. ATL	W	7	8	0.466666666666667	240	43	87	0.494	2	5	0.4	12	17	0.706	19	31	50	32	6	1	12	14	100	Home	1991-11-27	ATL	9	2	0
67	1610612765	0029100196	NOV 30, 1991	DET @ NYK	L	7	9	0.4375	240	35	79	0.443	1	7	0.143	25	27	0.926	10	24	34	23	2	3	12	26	96	Away	1991-11-30	NYK	-7	0	1
66	1610612765	0029100206	DEC 01, 1991	DET vs. HOU	W	8	9	0.470588235294118	240	36	77	0.468	3	3	1	19	26	0.731	11	33	44	26	10	2	12	14	94	Home	1991-12-01	HOU	7	1	0
65	1610612765	0029100209	DEC 03, 1991	DET vs. IND	L	8	10	0.444444444444444	240	38	89	0.427	3	15	0.2	20	31	0.645	23	24	47	28	5	4	15	25	99	Home	1991-12-03	IND	-9	0	1
64	1610612765	0029100226	DEC 05, 1991	DET vs. CLE	L	8	11	0.421052631578947	240	40	85	0.471	2	6	0.333	19	25	0.76	16	26	42	26	4	3	12	24	101	Home	1991-12-05	CLE	-9	0	2
63	1610612765	0029100234	DEC 06, 1991	DET @ WAS	W	9	11	0.45	240	37	77	0.481	3	6	0.5	28	31	0.903	14	31	45	22	5	4	15	22	105	Away	1991-12-06	WAS	11	1	0
