Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612744	0029100011	NOV 01, 1991	GOS @ DEN	W	1	0	1	240	41	84	0.488	3	13	0.231	23	35	0.657	11	32	43	13	8	2	14	28	108	Away	1991-11-01	DEN	3	1	0
81	1610612744	0029100021	NOV 02, 1991	GOS vs. SAC	W	2	0	1	240	58	101	0.574	1	5	0.2	36	40	0.9	19	41	60	38	15	4	22	15	153	Home	1991-11-02	SAC	62	2	0
80	1610612744	0029100027	NOV 05, 1991	GOS @ CHI	W	3	0	1	240	47	93	0.505	4	12	0.333	20	29	0.69	14	30	44	28	9	5	18	33	118	Away	1991-11-05	CHI	8	3	0
79	1610612744	0029100040	NOV 06, 1991	GOS @ MIL	W	4	0	1	240	46	90	0.511	5	12	0.417	23	31	0.742	18	25	43	22	12	4	19	25	120	Away	1991-11-06	MIL	6	4	0
78	1610612744	0029100053	NOV 08, 1991	GOS @ PHL	L	4	1	0.8	240	47	88	0.534	5	15	0.333	17	24	0.708	8	23	31	30	19	2	17	33	116	Away	1991-11-08	PHL	-10	0	1
77	1610612744	0029100062	NOV 09, 1991	GOS @ WAS	W	5	1	0.833333333333333	240	43	87	0.494	2	8	0.25	39	49	0.796	15	31	46	23	6	1	17	29	127	Away	1991-11-09	WAS	8	1	0
76	1610612744	0029100084	NOV 12, 1991	GOS vs. PHX	W	6	1	0.857142857142857	240	46	94	0.489	6	12	0.5	21	28	0.75	15	35	50	28	12	5	22	32	119	Home	1991-11-12	PHX	3	2	0
75	1610612744	0029100096	NOV 14, 1991	GOS vs. LAL	L	6	2	0.75	240	48	93	0.516	1	9	0.111	15	22	0.682	20	25	45	29	12	5	15	28	112	Home	1991-11-14	LAL	-3	0	1
74	1610612744	0029100112	NOV 16, 1991	GOS @ LAC	W	7	2	0.777777777777778	240	47	93	0.505	4	15	0.267	25	34	0.735	8	35	43	29	15	6	19	26	123	Away	1991-11-16	LAC	18	1	0
73	1610612744	0029100132	NOV 20, 1991	GOS vs. CHI	L	7	3	0.7	240	42	93	0.452	4	16	0.25	20	32	0.625	14	26	40	16	8	5	12	27	108	Home	1991-11-20	CHI	-4	0	1
72	1610612744	0029100145	NOV 22, 1991	GOS @ POR	W	8	3	0.727272727272727	240	45	101	0.446	3	13	0.231	23	33	0.697	17	30	47	23	13	3	18	35	116	Away	1991-11-22	POR	4	1	0
71	1610612744	0029100160	NOV 23, 1991	GOS vs. MIL	W	9	3	0.75	240	40	74	0.541	5	11	0.455	35	39	0.897	9	19	28	23	11	5	15	28	120	Home	1991-11-23	MIL	5	2	0
70	1610612744	0029100168	NOV 26, 1991	GOS @ SEA	L	9	4	0.692307692307692	265	49	88	0.557	6	13	0.462	26	37	0.703	9	28	37	23	16	4	22	36	130	Away	1991-11-26	SEA	-6	0	1
69	1610612744	0029100188	NOV 29, 1991	GOS @ UTH	L	9	5	0.642857142857143	240	43	92	0.467	3	6	0.5	19	30	0.633	11	19	30	28	7	2	16	19	108	Away	1991-11-29	UTH	-27	0	2
68	1610612744	0029100218	DEC 03, 1991	GOS vs. UTH	W	10	5	0.666666666666667	240	44	95	0.463	3	9	0.333	17	28	0.607	19	31	50	28	7	7	10	20	108	Home	1991-12-03	UTH	5	1	0
67	1610612744	0029100229	DEC 05, 1991	GOS vs. DAL	W	11	5	0.6875	240	42	78	0.538	6	12	0.5	27	39	0.692	6	34	40	22	14	5	13	19	117	Home	1991-12-05	DAL	10	2	0
66	1610612744	0029100244	DEC 07, 1991	GOS vs. SAC	W	12	5	0.705882352941177	240	50	100	0.5	3	7	0.429	21	25	0.84	17	29	46	28	15	0	15	16	124	Home	1991-12-07	SAC	4	3	0
65	1610612744	0029100260	DEC 10, 1991	GOS vs. LAC	L	12	6	0.666666666666667	240	41	96	0.427	2	13	0.154	33	46	0.717	19	27	46	19	13	3	10	36	117	Home	1991-12-10	LAC	-10	0	1
64	1610612744	0029100270	DEC 12, 1991	GOS vs. HOU	L	12	7	0.631578947368421	240	35	87	0.402	1	5	0.2	25	33	0.758	20	32	52	14	4	4	14	24	96	Home	1991-12-12	HOU	-3	0	2
63	1610612744	0029100294	DEC 14, 1991	GOS vs. ORL	W	13	7	0.65	240	49	85	0.576	2	8	0.25	28	33	0.848	12	22	34	27	13	5	14	25	128	Home	1991-12-14	ORL	21	1	0
62	1610612744	0029100303	DEC 17, 1991	GOS vs. MIN	W	14	7	0.666666666666667	240	44	88	0.5	1	3	0.333	30	33	0.909	17	29	46	21	8	3	20	23	119	Home	1991-12-17	MIN	14	2	0
61	1610612744	0029100309	DEC 18, 1991	GOS @ LAC	W	15	7	0.681818181818182	240	39	89	0.438	1	4	0.25	25	31	0.806	11	32	43	24	13	5	15	24	104	Away	1991-12-18	LAC	4	3	0
60	1610612744	0029100325	DEC 20, 1991	GOS vs. POR	W	16	7	0.695652173913043	240	42	84	0.5	2	11	0.182	37	49	0.755	13	30	43	24	15	3	19	27	123	Home	1991-12-20	POR	5	4	0
59	1610612744	0029100334	DEC 21, 1991	GOS @ SEA	L	16	8	0.666666666666667	240	49	89	0.551	1	4	0.25	13	20	0.65	10	27	37	20	5	7	14	29	112	Away	1991-12-21	SEA	-8	0	1
58	1610612744	0029100361	DEC 26, 1991	GOS @ DEN	W	17	8	0.68	240	39	80	0.488	3	9	0.333	29	40	0.725	13	22	35	16	11	8	13	23	110	Away	1991-12-26	DEN	10	1	0
57	1610612744	0029100366	DEC 27, 1991	GOS @ MIN	W	18	8	0.692307692307692	265	44	100	0.44	2	5	0.4	16	23	0.696	18	36	54	24	13	14	18	24	106	Away	1991-12-27	MIN	4	2	0
