Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612745	0029100012	NOV 01, 1991	HOU vs. LAL	W	1	0	1	290	46	95	0.484	4	13	0.308	30	35	0.857	19	31	50	29	12	2	22	29	126	Home	1991-11-01	LAL	5	1	0
81	1610612745	0029100013	NOV 02, 1991	HOU @ DEN	L	1	1	0.5	265	34	84	0.405	3	5	0.6	30	39	0.769	10	30	40	8	11	5	17	25	101	Away	1991-11-02	DEN	-8	0	1
80	1610612745	0029100029	NOV 05, 1991	HOU vs. POR	W	2	1	0.666666666666667	240	32	82	0.39	3	14	0.214	39	43	0.907	15	40	55	24	9	7	16	21	106	Home	1991-11-05	POR	7	1	0
79	1610612745	0029100047	NOV 07, 1991	HOU vs. CLE	W	3	1	0.75	240	46	92	0.5	3	11	0.273	10	11	0.909	14	34	48	21	5	7	12	20	105	Home	1991-11-07	CLE	19	2	0
78	1610612745	0029100067	NOV 09, 1991	HOU vs. PHX	W	4	1	0.8	240	35	92	0.38	2	4	0.5	24	29	0.828	19	39	58	25	8	8	19	23	96	Home	1991-11-09	PHX	1	3	0
77	1610612745	0029100078	NOV 12, 1991	HOU @ DAL	W	5	1	0.833333333333333	240	37	82	0.451	7	20	0.35	17	17	1	9	36	45	21	0	14	9	20	98	Away	1991-11-12	DAL	6	4	0
76	1610612745	0029100100	NOV 15, 1991	HOU @ LAL	L	5	2	0.714285714285714	240	31	88	0.352	1	5	0.2	11	18	0.611	24	31	55	20	4	10	25	18	74	Away	1991-11-15	LAL	-12	0	1
75	1610612745	0029100106	NOV 16, 1991	HOU @ SAC	W	6	2	0.75	240	43	81	0.531	1	7	0.143	15	26	0.577	13	40	53	23	4	13	21	23	102	Away	1991-11-16	SAC	9	1	0
74	1610612745	0029100122	NOV 19, 1991	HOU vs. NYK	W	7	2	0.777777777777778	240	36	73	0.493	3	8	0.375	15	21	0.714	5	32	37	23	9	9	16	15	90	Home	1991-11-19	NYK	11	2	0
73	1610612745	0029100139	NOV 21, 1991	HOU vs. MIN	W	8	2	0.8	240	45	85	0.529	3	12	0.25	13	24	0.542	15	30	45	29	6	10	16	22	106	Home	1991-11-21	MIN	4	3	0
72	1610612745	0029100152	NOV 23, 1991	HOU @ MIN	L	8	3	0.727272727272727	240	38	89	0.427	4	11	0.364	9	12	0.75	13	24	37	22	8	7	14	22	89	Away	1991-11-23	MIN	-13	0	1
71	1610612745	0029100171	NOV 26, 1991	HOU vs. NJN	W	9	3	0.75	240	50	84	0.595	2	5	0.4	16	21	0.762	11	29	40	22	8	5	14	17	118	Home	1991-11-26	NJN	9	1	0
70	1610612745	0029100187	NOV 29, 1991	HOU @ IND	L	9	4	0.692307692307692	240	50	92	0.543	3	8	0.375	18	26	0.692	10	20	30	32	10	4	17	18	121	Away	1991-11-29	IND	-20	0	1
69	1610612745	0029100206	DEC 01, 1991	HOU @ DET	L	9	5	0.642857142857143	240	37	83	0.446	3	11	0.273	10	17	0.588	14	25	39	18	7	3	15	23	87	Away	1991-12-01	DET	-7	0	2
68	1610612745	0029100212	DEC 03, 1991	HOU vs. DEN	L	9	6	0.6	240	35	81	0.432	2	13	0.154	28	33	0.848	16	28	44	20	9	6	19	19	100	Home	1991-12-03	DEN	-10	0	3
67	1610612745	0029100228	DEC 05, 1991	HOU vs. ATL	L	9	7	0.5625	240	38	81	0.469	4	12	0.333	17	27	0.63	14	26	40	18	9	6	18	24	97	Home	1991-12-05	ATL	-12	0	4
66	1610612745	0029100247	DEC 07, 1991	HOU vs. UTH	L	9	8	0.529411764705882	240	35	83	0.422	4	14	0.286	17	30	0.567	19	26	45	26	8	7	13	24	91	Home	1991-12-07	UTH	-5	0	5
65	1610612745	0029100258	DEC 10, 1991	HOU @ POR	W	10	8	0.555555555555556	240	43	85	0.506	4	16	0.25	18	22	0.818	12	31	43	30	8	6	19	24	108	Away	1991-12-10	POR	2	1	0
64	1610612745	0029100270	DEC 12, 1991	HOU @ GOS	W	11	8	0.578947368421053	240	36	78	0.462	4	11	0.364	23	32	0.719	8	33	41	23	9	7	14	26	99	Away	1991-12-12	GOS	3	2	0
63	1610612745	0029100285	DEC 14, 1991	HOU vs. SAN	L	11	9	0.55	240	33	81	0.407	6	16	0.375	28	37	0.757	15	22	37	20	10	7	13	28	100	Home	1991-12-14	SAN	-7	0	1
62	1610612745	0029100304	DEC 17, 1991	HOU vs. WAS	W	12	9	0.571428571428571	240	40	86	0.465	8	17	0.471	12	19	0.632	9	35	44	25	8	6	15	18	100	Home	1991-12-17	WAS	3	1	0
61	1610612745	0029100319	DEC 19, 1991	HOU vs. SAC	W	13	9	0.590909090909091	240	40	78	0.513	1	17	0.059	28	33	0.848	14	41	55	24	6	6	19	16	109	Home	1991-12-19	SAC	7	2	0
60	1610612745	0029100323	DEC 20, 1991	HOU @ CHH	W	14	9	0.608695652173913	240	43	94	0.457	1	10	0.1	12	22	0.545	12	35	47	28	9	16	15	21	99	Away	1991-12-20	CHH	4	3	0
59	1610612745	0029100342	DEC 22, 1991	HOU @ ORL	W	15	9	0.625	240	34	74	0.459	5	13	0.385	26	33	0.788	12	34	46	28	7	10	20	21	99	Away	1991-12-22	ORL	5	4	0
58	1610612745	0029100349	DEC 23, 1991	HOU vs. DAL	L	15	10	0.6	240	34	75	0.453	5	12	0.417	12	18	0.667	9	30	39	26	7	6	19	20	85	Home	1991-12-23	DAL	-20	0	1
57	1610612745	0029100356	DEC 26, 1991	HOU @ NJN	L	15	11	0.576923076923077	240	37	74	0.5	4	10	0.4	15	26	0.577	7	30	37	11	6	4	16	21	93	Away	1991-12-26	NJN	-6	0	2
56	1610612745	0029100367	DEC 27, 1991	HOU @ WAS	W	16	11	0.592592592592593	240	48	79	0.608	5	11	0.455	6	7	0.857	9	31	40	35	8	4	23	21	107	Away	1991-12-27	WAS	7	1	0
55	1610612745	0029100380	DEC 29, 1991	HOU @ MIL	L	16	12	0.571428571428571	240	40	76	0.526	4	14	0.286	16	23	0.696	6	23	29	19	3	8	11	20	100	Away	1991-12-29	MIL	-10	0	1
54	1610612745	0029100388	DEC 30, 1991	HOU @ CLE	L	16	13	0.551724137931034	240	37	92	0.402	2	7	0.286	13	24	0.542	15	25	40	29	8	4	16	22	89	Away	1991-12-30	CLE	-32	0	2
53	1610612745	0029100396	JAN 02, 1992	HOU vs. DET	L	16	14	0.533333333333333	240	35	92	0.38	2	8	0.25	11	14	0.786	21	27	48	23	5	4	14	16	83	Home	1992-01-02	DET	-23	0	3
52	1610612745	0029100413	JAN 04, 1992	HOU @ SAN	W	17	14	0.548387096774194	290	46	103	0.447	4	18	0.222	16	21	0.762	9	33	42	32	13	7	13	25	112	Away	1992-01-04	SAN	2	1	0
51	1610612745	0029100422	JAN 06, 1992	HOU @ ATL	L	17	15	0.53125	240	37	90	0.411	5	12	0.417	18	21	0.857	17	32	49	25	7	6	16	24	97	Away	1992-01-06	ATL	-12	0	1
50	1610612745	0029100432	JAN 08, 1992	HOU @ PHL	L	17	16	0.515151515151515	240	43	83	0.518	1	4	0.25	17	21	0.81	8	28	36	31	3	6	13	17	104	Away	1992-01-08	PHL	-10	0	2
49	1610612745	0029100454	JAN 10, 1992	HOU @ MIA	W	18	16	0.529411764705882	265	46	96	0.479	5	12	0.417	14	24	0.583	18	30	48	22	7	10	16	21	111	Away	1992-01-10	MIA	4	1	0
48	1610612745	0029100456	JAN 11, 1992	HOU vs. SEA	W	19	16	0.542857142857143	240	46	86	0.535	3	9	0.333	24	30	0.8	12	24	36	27	7	1	10	19	119	Home	1992-01-11	SEA	4	2	0
