Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612754	0029100009	NOV 01, 1991	IND vs. WAS	L	0	1	0	240	36	75	0.48	1	9	0.111	30	39	0.769	9	35	44	26	6	10	26	27	103	Home	1991-11-01	WAS	-6	0	1
81	1610612754	0029100023	NOV 02, 1991	IND vs. UTH	W	1	1	0.5	240	42	86	0.488	4	9	0.444	39	47	0.83	11	31	42	34	10	5	11	25	127	Home	1991-11-02	UTH	15	1	0
80	1610612754	0029100026	NOV 05, 1991	IND @ PHX	W	2	1	0.666666666666667	240	41	87	0.471	6	15	0.4	23	32	0.719	13	36	49	25	8	8	14	20	111	Away	1991-11-05	PHX	6	2	0
79	1610612754	0029100039	NOV 06, 1991	IND @ SAC	L	2	2	0.5	240	39	85	0.459	6	17	0.353	18	21	0.857	13	35	48	23	11	6	28	23	102	Away	1991-11-06	SAC	-10	0	1
78	1610612754	0029100052	NOV 08, 1991	IND @ POR	L	2	3	0.4	240	38	89	0.427	2	10	0.2	18	20	0.9	11	29	40	25	10	6	23	25	96	Away	1991-11-08	POR	-25	0	2
77	1610612754	0029100065	NOV 09, 1991	IND @ SEA	L	2	4	0.333333333333333	240	39	77	0.506	6	11	0.545	27	35	0.771	9	20	29	20	6	6	11	33	111	Away	1991-11-09	SEA	-7	0	3
76	1610612754	0029100074	NOV 11, 1991	IND @ LAC	L	2	5	0.285714285714286	240	40	89	0.449	2	12	0.167	15	18	0.833	12	27	39	22	10	3	21	23	97	Away	1991-11-11	LAC	-9	0	4
75	1610612754	0029100091	NOV 13, 1991	IND vs. NYK	W	3	5	0.375	240	42	81	0.519	3	7	0.429	23	27	0.852	8	30	38	35	9	6	16	28	110	Home	1991-11-13	NYK	3	1	0
74	1610612754	0029100104	NOV 15, 1991	IND vs. SEA	L	3	6	0.333333333333333	240	46	94	0.489	1	5	0.2	15	19	0.789	12	24	36	34	10	5	12	31	108	Home	1991-11-15	SEA	-16	0	1
73	1610612754	0029100109	NOV 16, 1991	IND @ CLE	L	3	7	0.3	240	47	102	0.461	4	13	0.308	19	21	0.905	22	26	48	28	6	3	11	31	117	Away	1991-11-16	CLE	-10	0	2
72	1610612754	0029100119	NOV 18, 1991	IND vs. DET	W	4	7	0.363636363636364	240	44	84	0.524	2	5	0.4	28	32	0.875	9	25	34	39	8	8	7	19	118	Home	1991-11-18	DET	17	1	0
71	1610612754	0029100136	NOV 20, 1991	IND @ BOS	L	4	8	0.333333333333333	240	39	97	0.402	4	14	0.286	19	24	0.792	10	31	41	22	6	3	12	27	101	Away	1991-11-20	BOS	-15	0	1
70	1610612754	0029100149	NOV 22, 1991	IND @ CHH	L	4	9	0.307692307692308	240	47	99	0.475	3	10	0.3	13	20	0.65	16	33	49	26	8	7	14	21	110	Away	1991-11-22	CHH	-2	0	2
69	1610612754	0029100153	NOV 23, 1991	IND vs. MIA	W	5	9	0.357142857142857	240	46	76	0.605	3	8	0.375	24	34	0.706	10	37	47	34	9	4	20	30	119	Home	1991-11-23	MIA	36	1	0
68	1610612754	0029100181	NOV 27, 1991	IND @ DAL	L	5	10	0.333333333333333	240	39	86	0.453	2	5	0.4	26	33	0.788	14	31	45	18	10	7	18	29	106	Away	1991-11-27	DAL	-7	0	1
67	1610612754	0029100187	NOV 29, 1991	IND vs. HOU	W	6	10	0.375	240	60	99	0.606	6	11	0.545	15	17	0.882	14	36	50	40	10	5	17	24	141	Home	1991-11-29	HOU	20	1	0
66	1610612754	0029100203	NOV 30, 1991	IND @ MIL	L	6	11	0.352941176470588	240	43	88	0.489	2	9	0.222	31	39	0.795	17	24	41	20	9	1	20	29	119	Away	1991-11-30	MIL	-18	0	1
65	1610612754	0029100209	DEC 03, 1991	IND @ DET	W	7	11	0.388888888888889	240	40	77	0.519	3	11	0.273	25	32	0.781	11	27	38	29	9	5	12	30	108	Away	1991-12-03	DET	9	1	0
64	1610612754	0029100219	DEC 04, 1991	IND vs. PHX	L	7	12	0.368421052631579	240	44	92	0.478	1	7	0.143	19	24	0.792	13	39	52	32	5	6	15	27	108	Home	1991-12-04	PHX	-6	0	1
63	1610612754	0029100232	DEC 06, 1991	IND vs. MIL	W	8	12	0.4	240	51	96	0.531	4	6	0.667	20	28	0.714	17	31	48	39	15	9	19	19	126	Home	1991-12-06	MIL	20	1	0
62	1610612754	0029100240	DEC 07, 1991	IND vs. POR	L	8	13	0.380952380952381	240	39	77	0.506	5	14	0.357	29	44	0.659	6	24	30	29	6	5	13	25	112	Home	1991-12-07	POR	-3	0	1
61	1610612754	0029100255	DEC 10, 1991	IND vs. SAN	W	9	13	0.409090909090909	240	33	86	0.384	3	9	0.333	40	46	0.87	14	31	45	25	12	6	12	29	109	Home	1991-12-10	SAN	7	1	0
60	1610612754	0029100278	DEC 13, 1991	IND vs. DAL	W	10	13	0.434782608695652	240	46	86	0.535	7	14	0.5	25	28	0.893	9	40	49	34	8	4	11	27	124	Home	1991-12-13	DAL	16	2	0
59	1610612754	0029100293	DEC 14, 1991	IND vs. DEN	W	11	13	0.458333333333333	240	45	86	0.523	7	13	0.538	32	39	0.821	13	34	47	36	11	6	14	28	129	Home	1991-12-14	DEN	21	3	0
58	1610612754	0029100307	DEC 17, 1991	IND @ ATL	L	11	14	0.44	240	44	88	0.5	4	15	0.267	21	26	0.808	14	28	42	27	4	4	15	24	113	Away	1991-12-17	ATL	-4	0	1
57	1610612754	0029100312	DEC 18, 1991	IND @ MIA	L	11	15	0.423076923076923	265	44	96	0.458	3	11	0.273	21	25	0.84	12	39	51	32	8	3	24	30	112	Away	1991-12-18	MIA	-6	0	2
56	1610612754	0029100338	DEC 21, 1991	IND vs. NJN	W	12	15	0.444444444444444	265	46	95	0.484	4	10	0.4	22	27	0.815	12	41	53	38	11	6	17	22	118	Home	1991-12-21	NJN	9	1	0
55	1610612754	0029100354	DEC 26, 1991	IND vs. PHL	L	12	16	0.428571428571429	240	41	80	0.513	4	14	0.286	24	26	0.923	13	28	41	32	9	6	18	19	110	Home	1991-12-26	PHL	-3	0	1
54	1610612754	0029100374	DEC 28, 1991	IND @ NYK	L	12	17	0.413793103448276	265	35	92	0.38	3	15	0.2	33	36	0.917	7	36	43	15	12	2	16	35	106	Away	1991-12-28	NYK	-9	0	2
53	1610612754	0029100381	DEC 30, 1991	IND vs. CHI	L	12	18	0.4	240	39	86	0.453	2	12	0.167	24	29	0.828	16	22	38	26	17	5	19	29	104	Home	1991-12-30	CHI	-5	0	3
