Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612747	0029100012	NOV 01, 1991	LAL @ HOU	L	0	1	0	290	46	101	0.455	3	8	0.375	26	36	0.722	23	27	50	25	13	8	21	26	121	Away	1991-11-01	HOU	-5	0	1
81	1610612747	0029100024	NOV 02, 1991	LAL @ DAL	W	1	1	0.5	265	49	99	0.495	3	8	0.375	13	15	0.867	11	33	44	30	5	6	11	22	114	Away	1991-11-02	DAL	1	1	0
80	1610612747	0029100028	NOV 05, 1991	LAL vs. LAC	L	1	2	0.333333333333333	265	42	90	0.467	5	7	0.714	20	28	0.714	10	32	42	24	5	8	10	17	109	Home	1991-11-05	LAC	-5	0	1
79	1610612747	0029100055	NOV 08, 1991	LAL @ PHX	L	1	3	0.25	240	31	98	0.316	0	7	0	23	33	0.697	21	25	46	14	7	8	11	21	85	Away	1991-11-08	PHX	-28	0	2
78	1610612747	0029100070	NOV 10, 1991	LAL vs. MIN	W	2	3	0.4	240	37	74	0.5	3	7	0.429	19	26	0.731	8	30	38	30	8	8	13	14	96	Home	1991-11-10	MIN	10	1	0
77	1610612747	0029100096	NOV 14, 1991	LAL @ GOS	W	3	3	0.5	240	44	83	0.53	2	6	0.333	25	35	0.714	15	23	38	20	8	3	16	21	115	Away	1991-11-14	GOS	3	2	0
76	1610612747	0029100100	NOV 15, 1991	LAL vs. HOU	W	4	3	0.571428571428571	240	36	90	0.4	2	8	0.25	12	13	0.923	17	32	49	24	13	7	14	19	86	Home	1991-11-15	HOU	12	3	0
75	1610612747	0029100118	NOV 17, 1991	LAL vs. ATL	W	5	3	0.625	240	44	94	0.468	1	7	0.143	22	26	0.846	16	39	55	31	9	5	11	17	111	Home	1991-11-17	ATL	22	4	0
74	1610612747	0029100127	NOV 19, 1991	LAL vs. PHX	W	6	3	0.666666666666667	240	36	90	0.4	1	4	0.25	30	36	0.833	13	29	42	19	16	8	8	14	103	Home	1991-11-19	PHX	8	5	0
73	1610612747	0029100147	NOV 22, 1991	LAL vs. SAN	W	7	3	0.7	240	34	85	0.4	3	10	0.3	27	36	0.75	16	27	43	20	9	8	13	21	98	Home	1991-11-22	SAN	2	6	0
72	1610612747	0029100161	NOV 24, 1991	LAL vs. MIL	W	8	3	0.727272727272727	240	35	68	0.515	4	5	0.8	28	41	0.683	10	21	31	22	4	8	11	14	102	Home	1991-11-24	MIL	5	7	0
71	1610612747	0029100174	NOV 26, 1991	LAL @ ORL	W	9	3	0.75	240	41	89	0.461	1	5	0.2	15	20	0.75	17	30	47	22	10	6	12	20	98	Away	1991-11-26	ORL	11	8	0
70	1610612747	0029100180	NOV 27, 1991	LAL @ MIA	W	10	3	0.769230769230769	240	35	76	0.461	0	6	0	19	27	0.704	13	20	33	18	11	3	11	18	89	Away	1991-11-27	MIA	2	9	0
69	1610612747	0029100189	NOV 29, 1991	LAL @ BOS	L	10	4	0.714285714285714	240	37	87	0.425	1	7	0.143	16	23	0.696	14	24	38	20	9	4	14	16	91	Away	1991-11-29	BOS	-23	0	1
68	1610612747	0029100204	NOV 30, 1991	LAL @ PHL	W	11	4	0.733333333333333	240	41	78	0.526	1	8	0.125	10	13	0.769	13	26	39	25	6	2	11	15	93	Away	1991-11-30	PHL	2	1	0
67	1610612747	0029100215	DEC 03, 1991	LAL @ MIL	L	11	5	0.6875	240	34	78	0.436	0	4	0	26	32	0.813	11	13	24	19	9	2	12	24	94	Away	1991-12-03	MIL	-32	0	1
66	1610612747	0029100220	DEC 04, 1991	LAL @ CHH	L	11	6	0.647058823529412	240	39	93	0.419	2	10	0.2	26	33	0.788	17	23	40	26	7	1	7	23	106	Away	1991-12-04	CHH	-18	0	2
