Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612748	0029100018	NOV 02, 1991	MIA vs. NYK	W	1	0	1	240	40	80	0.5	3	7	0.429	24	26	0.923	6	37	43	18	7	8	17	23	107	Home	1991-11-02	NYK	14	1	0
81	1610612748	0029100032	NOV 05, 1991	MIA vs. BOS	L	1	1	0.5	240	29	75	0.387	1	7	0.143	30	36	0.833	12	30	42	16	9	6	16	24	89	Home	1991-11-05	BOS	-4	0	1
80	1610612748	0029100048	NOV 07, 1991	MIA @ NJN	W	2	1	0.666666666666667	240	42	88	0.477	2	5	0.4	25	39	0.641	21	30	51	14	12	4	19	21	111	Away	1991-11-07	NJN	22	1	0
79	1610612748	0029100063	NOV 09, 1991	MIA @ ATL	L	2	2	0.5	240	32	80	0.4	2	10	0.2	27	40	0.675	21	33	54	21	6	2	17	23	93	Away	1991-11-09	ATL	-4	0	1
78	1610612748	0029100085	NOV 13, 1991	MIA vs. DET	W	3	2	0.6	240	40	90	0.444	4	10	0.4	23	30	0.767	19	26	45	20	9	5	13	18	107	Home	1991-11-13	DET	5	1	0
77	1610612748	0029100099	NOV 15, 1991	MIA vs. CHH	W	4	2	0.666666666666667	240	47	95	0.495	5	8	0.625	21	26	0.808	15	29	44	31	9	3	16	21	120	Home	1991-11-15	CHH	15	2	0
76	1610612748	0029100107	NOV 16, 1991	MIA @ MIL	W	5	2	0.714285714285714	265	47	98	0.48	8	16	0.5	18	23	0.783	20	27	47	27	7	8	21	34	120	Away	1991-11-16	MIL	4	3	0
75	1610612748	0029100121	NOV 19, 1991	MIA vs. UTH	W	6	2	0.75	240	42	87	0.483	6	15	0.4	21	26	0.808	15	28	43	23	12	2	16	21	111	Home	1991-11-19	UTH	20	4	0
74	1610612748	0029100133	NOV 20, 1991	MIA @ PHL	L	6	3	0.666666666666667	240	46	89	0.517	5	14	0.357	10	11	0.909	11	26	37	30	9	1	17	24	107	Away	1991-11-20	PHL	-7	0	1
73	1610612748	0029100142	NOV 22, 1991	MIA vs. SAC	W	7	3	0.7	240	40	81	0.494	5	9	0.556	33	41	0.805	18	22	40	20	11	2	18	22	118	Home	1991-11-22	SAC	6	1	0
