Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612750	0029100006	NOV 01, 1991	MIN vs. UTH	L	0	1	0	240	40	91	0.44	1	3	0.333	16	22	0.727	15	19	34	24	8	6	13	31	97	Home	1991-11-01	UTH	-15	0	1
81	1610612750	0029100042	NOV 06, 1991	MIN vs. DAL	L	0	2	0	240	35	88	0.398	2	6	0.333	22	29	0.759	14	19	33	19	8	8	7	22	94	Home	1991-11-06	DAL	-3	0	2
80	1610612750	0029100049	NOV 07, 1991	MIN @ DEN	L	0	3	0	240	27	78	0.346	0	3	0	23	30	0.767	14	29	43	10	7	7	20	25	77	Away	1991-11-07	DEN	-11	0	3
79	1610612750	0029100064	NOV 09, 1991	MIN @ SAC	W	1	3	0.25	240	34	86	0.395	0	2	0	16	21	0.762	14	27	41	20	14	6	11	26	84	Away	1991-11-09	SAC	4	1	0
78	1610612750	0029100070	NOV 10, 1991	MIN @ LAL	L	1	4	0.2	240	36	89	0.404	0	1	0	14	17	0.824	20	27	47	22	8	3	12	24	86	Away	1991-11-10	LAL	-10	0	1
77	1610612750	0029100090	NOV 13, 1991	MIN vs. WAS	L	1	5	0.166666666666667	265	39	103	0.379	0	1	0	36	47	0.766	27	35	62	25	3	11	14	24	114	Home	1991-11-13	WAS	-5	0	2
76	1610612750	0029100102	NOV 15, 1991	MIN vs. POR	L	1	6	0.142857142857143	240	41	92	0.446	2	5	0.4	18	25	0.72	18	25	43	28	7	9	11	28	102	Home	1991-11-15	POR	-5	0	3
75	1610612750	0029100117	NOV 17, 1991	MIN vs. SEA	L	1	7	0.125	240	36	90	0.4	0	2	0	19	23	0.826	13	25	38	20	9	3	9	26	91	Home	1991-11-17	SEA	-10	0	4
74	1610612750	0029100134	NOV 20, 1991	MIN @ SAN	L	1	8	0.111111111111111	240	42	86	0.488	2	3	0.667	20	32	0.625	14	23	37	26	10	7	16	22	106	Away	1991-11-20	SAN	-7	0	5
73	1610612750	0029100139	NOV 21, 1991	MIN @ HOU	L	1	9	0.1	240	43	98	0.439	2	5	0.4	14	17	0.824	18	23	41	21	10	3	11	22	102	Away	1991-11-21	HOU	-4	0	6
72	1610612750	0029100152	NOV 23, 1991	MIN vs. HOU	W	2	9	0.181818181818182	240	42	89	0.472	0	2	0	18	23	0.783	14	30	44	24	8	4	10	18	102	Home	1991-11-23	HOU	13	1	0
71	1610612750	0029100182	NOV 27, 1991	MIN vs. DEN	W	3	9	0.25	240	34	70	0.486	0	3	0	33	41	0.805	9	34	43	22	8	14	17	16	101	Home	1991-11-27	DEN	9	2	0
70	1610612750	0029100197	NOV 30, 1991	MIN @ DAL	L	3	10	0.230769230769231	240	32	79	0.405	1	3	0.333	13	22	0.591	13	30	43	19	9	11	12	22	78	Away	1991-11-30	DAL	-1	0	1
69	1610612750	0029100210	DEC 03, 1991	MIN vs. PHX	L	3	11	0.214285714285714	240	43	100	0.43	0	4	0	9	16	0.563	18	28	46	28	9	7	11	22	95	Home	1991-12-03	PHX	-6	0	2
