Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612751	0029100015	NOV 02, 1991	NJN @ CHH	W	1	0	1	240	46	96	0.479	0	4	0	24	31	0.774	18	36	54	31	9	10	18	22	116	Away	1991-11-02	CHH	8	1	0
81	1610612751	0029100041	NOV 06, 1991	NJN @ PHL	L	1	1	0.5	240	43	80	0.538	5	9	0.556	14	22	0.636	10	22	32	33	16	4	21	30	105	Away	1991-11-06	PHL	-2	0	1
80	1610612751	0029100048	NOV 07, 1991	NJN vs. MIA	L	1	2	0.333333333333333	240	36	107	0.336	1	5	0.2	16	18	0.889	31	24	55	14	7	7	20	27	89	Home	1991-11-07	MIA	-22	0	2
79	1610612751	0029100061	NOV 09, 1991	NJN vs. DET	L	1	3	0.25	240	35	86	0.407	3	8	0.375	27	36	0.75	19	29	48	18	12	9	19	27	100	Home	1991-11-09	DET	-10	0	3
78	1610612751	0029100080	NOV 12, 1991	NJN @ NYK	L	1	4	0.2	240	38	93	0.409	4	9	0.444	16	23	0.696	21	21	42	18	8	8	12	25	96	Away	1991-11-12	NYK	-2	0	4
77	1610612751	0029100086	NOV 13, 1991	NJN vs. UTH	L	1	5	0.166666666666667	240	39	97	0.402	3	4	0.75	11	16	0.688	23	34	57	19	4	10	16	31	92	Home	1991-11-13	UTH	-6	0	5
76	1610612751	0029100105	NOV 15, 1991	NJN vs. WAS	L	1	6	0.142857142857143	265	46	99	0.465	0	7	0	19	27	0.704	26	40	66	20	6	15	25	23	111	Home	1991-11-15	WAS	-5	0	6
75	1610612751	0029100114	NOV 16, 1991	NJN @ ORL	L	1	7	0.125	240	41	95	0.432	2	7	0.286	16	17	0.941	15	33	48	19	10	7	16	21	100	Away	1991-11-16	ORL	-2	0	7
74	1610612751	0029100124	NOV 19, 1991	NJN vs. SAC	W	2	7	0.222222222222222	240	46	82	0.561	6	9	0.667	24	31	0.774	4	26	30	30	12	7	13	24	122	Home	1991-11-19	SAC	4	1	0
73	1610612751	0029100141	NOV 21, 1991	NJN @ CLE	L	2	8	0.2	240	49	89	0.551	4	6	0.667	10	12	0.833	11	24	35	30	7	7	17	27	112	Away	1991-11-21	CLE	-4	0	1
