Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612752	0029100003	NOV 01, 1991	NYK @ ORL	L	0	1	0	240	39	86	0.453	2	7	0.286	16	26	0.615	12	25	37	17	4	8	12	26	96	Away	1991-11-01	ORL	-10	0	1
81	1610612752	0029100018	NOV 02, 1991	NYK @ MIA	L	0	2	0	240	36	76	0.474	3	6	0.5	18	28	0.643	6	25	31	23	10	3	18	25	93	Away	1991-11-02	MIA	-14	0	2
80	1610612752	0029100034	NOV 05, 1991	NYK vs. MIL	W	1	2	0.333333333333333	240	47	96	0.49	2	6	0.333	17	24	0.708	19	35	54	29	10	3	14	21	113	Home	1991-11-05	MIL	28	1	0
79	1610612752	0029100050	NOV 07, 1991	NYK vs. ORL	W	2	2	0.5	240	50	79	0.633	7	11	0.636	21	23	0.913	5	34	39	36	3	5	16	29	128	Home	1991-11-07	ORL	28	2	0
78	1610612752	0029100066	NOV 09, 1991	NYK vs. CHH	W	3	2	0.6	240	45	89	0.506	0	5	0	28	37	0.757	15	29	44	30	13	3	19	19	118	Home	1991-11-09	CHH	5	3	0
77	1610612752	0029100080	NOV 12, 1991	NYK vs. NJN	W	4	2	0.666666666666667	240	39	85	0.459	3	5	0.6	17	26	0.654	22	28	50	30	8	7	15	20	98	Home	1991-11-12	NJN	2	4	0
76	1610612752	0029100091	NOV 13, 1991	NYK @ IND	L	4	3	0.571428571428571	240	44	90	0.489	2	7	0.286	17	28	0.607	17	29	46	27	10	2	15	29	107	Away	1991-11-13	IND	-3	0	1
75	1610612752	0029100108	NOV 16, 1991	NYK @ SAN	L	4	4	0.5	240	36	87	0.414	1	5	0.2	16	21	0.762	21	27	48	20	12	5	26	20	89	Away	1991-11-16	SAN	-17	0	2
74	1610612752	0029100122	NOV 19, 1991	NYK @ HOU	L	4	5	0.444444444444444	240	35	99	0.354	1	9	0.111	8	14	0.571	22	33	55	19	7	1	15	19	79	Away	1991-11-19	HOU	-11	0	3
73	1610612752	0029100130	NOV 20, 1991	NYK @ DAL	W	5	5	0.5	240	38	78	0.487	5	6	0.833	11	13	0.846	11	31	42	21	2	7	10	20	92	Away	1991-11-20	DAL	3	1	0
