Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612753	0029100003	NOV 01, 1991	ORL vs. NYK	W	1	0	1	240	42	88	0.477	0	5	0	22	26	0.846	17	27	44	22	6	6	16	25	106	Home	1991-11-01	NYK	10	1	0
81	1610612753	0029100016	NOV 02, 1991	ORL @ PHL	W	2	0	1	240	46	80	0.575	4	7	0.571	26	30	0.867	10	22	32	33	12	1	14	21	122	Away	1991-11-02	PHL	7	2	0
80	1610612753	0029100046	NOV 06, 1991	ORL vs. WAS	W	3	0	1	240	43	93	0.462	2	8	0.25	17	26	0.654	14	40	54	23	10	5	12	21	105	Home	1991-11-06	WAS	17	3	0
79	1610612753	0029100050	NOV 07, 1991	ORL @ NYK	L	3	1	0.75	240	36	76	0.474	2	6	0.333	26	37	0.703	10	19	29	14	8	1	15	23	100	Away	1991-11-07	NYK	-28	0	1
78	1610612753	0029100068	NOV 09, 1991	ORL @ CHI	L	3	2	0.6	240	26	79	0.329	1	7	0.143	23	29	0.793	9	21	30	14	10	1	15	22	76	Away	1991-11-09	CHI	-31	0	2
77	1610612753	0029100077	NOV 12, 1991	ORL @ WAS	W	4	2	0.666666666666667	240	36	95	0.379	3	8	0.375	20	25	0.8	13	46	59	21	14	5	20	27	95	Away	1991-11-12	WAS	13	1	0
76	1610612753	0029100092	NOV 13, 1991	ORL vs. PHL	L	4	3	0.571428571428571	240	40	101	0.396	5	16	0.313	15	25	0.6	21	32	53	21	6	3	11	26	100	Home	1991-11-13	PHL	-21	0	1
75	1610612753	0029100114	NOV 16, 1991	ORL vs. NJN	W	5	3	0.625	240	41	83	0.494	1	9	0.111	19	27	0.704	13	29	42	28	12	2	15	15	102	Home	1991-11-16	NJN	2	1	0
74	1610612753	0029100135	NOV 20, 1991	ORL vs. UTH	L	5	4	0.555555555555556	240	36	81	0.444	4	15	0.267	26	31	0.839	10	25	35	23	4	2	13	26	102	Home	1991-11-20	UTH	-5	0	1
73	1610612753	0029100157	NOV 23, 1991	ORL vs. SAC	L	5	5	0.5	240	32	75	0.427	2	6	0.333	27	34	0.794	13	33	46	19	11	4	22	24	93	Home	1991-11-23	SAC	-2	0	2
