Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612755	0029100004	NOV 01, 1991	PHL @ CHI	L	0	1	0	240	39	86	0.453	0	9	0	12	18	0.667	8	27	35	25	10	5	17	18	90	Away	1991-11-01	CHI	-20	0	1
81	1610612755	0029100016	NOV 02, 1991	PHL vs. ORL	L	0	2	0	240	45	87	0.517	5	16	0.313	20	25	0.8	18	21	39	21	8	1	21	26	115	Home	1991-11-02	ORL	-7	0	2
80	1610612755	0029100031	NOV 05, 1991	PHL @ WAS	W	1	2	0.333333333333333	240	37	81	0.457	3	12	0.25	30	36	0.833	16	28	44	17	6	2	21	21	107	Away	1991-11-05	WAS	1	1	0
79	1610612755	0029100041	NOV 06, 1991	PHL vs. NJN	W	2	2	0.5	240	34	66	0.515	2	7	0.286	37	46	0.804	11	29	40	16	14	6	23	20	107	Home	1991-11-06	NJN	2	2	0
78	1610612755	0029100053	NOV 08, 1991	PHL vs. GOS	W	3	2	0.6	240	44	86	0.512	3	10	0.3	35	42	0.833	19	27	46	29	8	5	23	19	126	Home	1991-11-08	GOS	10	3	0
77	1610612755	0029100073	NOV 11, 1991	PHL vs. MIL	W	4	2	0.666666666666667	240	37	74	0.5	7	11	0.636	21	32	0.656	12	28	40	17	9	9	16	24	102	Home	1991-11-11	MIL	3	4	0
76	1610612755	0029100092	NOV 13, 1991	PHL @ ORL	W	5	2	0.714285714285714	240	42	87	0.483	8	14	0.571	29	39	0.744	11	38	49	19	7	8	9	20	121	Away	1991-11-13	ORL	21	5	0
75	1610612755	0029100101	NOV 15, 1991	PHL @ BOS	L	5	3	0.625	240	41	93	0.441	3	11	0.273	12	18	0.667	15	27	42	17	13	3	17	22	97	Away	1991-11-15	BOS	-25	0	1
74	1610612755	0029100113	NOV 16, 1991	PHL @ DET	W	6	3	0.666666666666667	240	32	79	0.405	4	13	0.308	21	27	0.778	12	27	39	18	8	7	11	17	89	Away	1991-11-16	DET	3	1	0
73	1610612755	0029100133	NOV 20, 1991	PHL vs. MIA	W	7	3	0.7	240	42	73	0.575	6	12	0.5	24	34	0.706	7	27	34	28	9	6	16	13	114	Home	1991-11-20	MIA	7	2	0
72	1610612755	0029100148	NOV 22, 1991	PHL vs. ATL	L	7	4	0.636363636363636	240	34	90	0.378	1	15	0.067	23	31	0.742	18	28	46	23	15	8	16	19	92	Home	1991-11-22	ATL	-7	0	1
71	1610612755	0029100151	NOV 23, 1991	PHL @ NYK	L	7	5	0.583333333333333	240	37	87	0.425	1	9	0.111	17	26	0.654	10	30	40	24	12	5	11	14	92	Away	1991-11-23	NYK	-8	0	2
70	1610612755	0029100165	NOV 26, 1991	PHL vs. CLE	L	7	6	0.538461538461538	240	37	81	0.457	2	8	0.25	15	18	0.833	13	41	54	18	6	9	23	20	91	Home	1991-11-26	CLE	-4	0	3
69	1610612755	0029100183	NOV 27, 1991	PHL @ CLE	L	7	7	0.5	240	40	93	0.43	2	3	0.667	15	18	0.833	15	29	44	26	7	8	10	23	97	Away	1991-11-27	CLE	-10	0	4
68	1610612755	0029100194	NOV 29, 1991	PHL @ MIA	L	7	8	0.466666666666667	240	35	82	0.427	2	5	0.4	20	25	0.8	10	26	36	14	7	3	10	22	92	Away	1991-11-29	MIA	-3	0	5
67	1610612755	0029100204	NOV 30, 1991	PHL vs. LAL	L	7	9	0.4375	240	37	76	0.487	1	8	0.125	16	23	0.696	13	18	31	23	7	4	11	11	91	Home	1991-11-30	LAL	-2	0	6
66	1610612755	0029100214	DEC 03, 1991	PHL @ NJN	L	7	10	0.411764705882353	240	31	79	0.392	1	4	0.25	23	25	0.92	11	27	38	15	16	11	20	17	86	Away	1991-12-03	NJN	-2	0	7
65	1610612755	0029100233	DEC 06, 1991	PHL vs. POR	W	8	10	0.444444444444444	265	36	89	0.404	3	11	0.273	30	34	0.882	10	34	44	26	13	11	17	27	105	Home	1991-12-06	POR	3	1	0
64	1610612755	0029100246	DEC 07, 1991	PHL vs. CHI	W	9	10	0.473684210526316	240	39	77	0.506	2	5	0.4	23	26	0.885	5	35	40	19	4	9	10	16	103	Home	1991-12-07	CHI	3	2	0
