Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612757	0029100007	NOV 01, 1991	POR vs. CLE	W	1	0	1	240	46	90	0.511	1	5	0.2	24	33	0.727	16	22	38	30	8	2	10	21	117	Home	1991-11-01	CLE	11	1	0
81	1610612757	0029100019	NOV 02, 1991	POR vs. PHX	L	1	1	0.5	240	30	84	0.357	1	9	0.111	15	21	0.714	11	23	34	17	8	5	14	17	76	Home	1991-11-02	PHX	-24	0	1
80	1610612757	0029100029	NOV 05, 1991	POR @ HOU	L	1	2	0.333333333333333	240	41	89	0.461	3	9	0.333	14	24	0.583	10	35	45	26	8	5	13	32	99	Away	1991-11-05	HOU	-7	0	2
79	1610612757	0029100045	NOV 06, 1991	POR @ SAN	L	1	3	0.25	240	34	90	0.378	3	14	0.214	22	29	0.759	16	28	44	21	8	4	19	29	93	Away	1991-11-06	SAN	-26	0	3
78	1610612757	0029100052	NOV 08, 1991	POR vs. IND	W	2	3	0.4	240	44	97	0.454	4	9	0.444	29	38	0.763	22	32	54	24	16	4	16	18	121	Home	1991-11-08	IND	25	1	0
77	1610612757	0029100071	NOV 10, 1991	POR vs. BOS	W	3	3	0.5	240	40	95	0.421	3	8	0.375	33	41	0.805	22	34	56	19	10	7	14	25	116	Home	1991-11-10	BOS	26	2	0
76	1610612757	0029100079	NOV 12, 1991	POR vs. DEN	W	4	3	0.571428571428571	240	44	88	0.5	3	9	0.333	29	34	0.853	13	34	47	28	12	2	20	19	120	Home	1991-11-12	DEN	38	3	0
75	1610612757	0029100102	NOV 15, 1991	POR @ MIN	W	5	3	0.625	240	40	90	0.444	5	12	0.417	22	32	0.688	20	28	48	18	6	7	16	25	107	Away	1991-11-15	MIN	5	4	0
74	1610612757	0029100111	NOV 16, 1991	POR @ DEN	L	5	4	0.555555555555556	240	41	83	0.494	5	12	0.417	24	32	0.75	9	27	36	22	8	3	16	24	111	Away	1991-11-16	DEN	-11	0	1
73	1610612757	0029100125	NOV 19, 1991	POR vs. LAC	W	6	4	0.6	240	52	97	0.536	4	10	0.4	24	32	0.75	13	30	43	28	14	6	10	26	132	Home	1991-11-19	LAC	20	1	0
72	1610612757	0029100138	NOV 21, 1991	POR @ LAC	W	7	4	0.636363636363636	240	44	94	0.468	1	9	0.111	17	24	0.708	19	29	48	20	14	3	16	29	106	Away	1991-11-21	LAC	15	2	0
71	1610612757	0029100145	NOV 22, 1991	POR vs. GOS	L	7	5	0.583333333333333	240	39	92	0.424	6	16	0.375	28	42	0.667	16	38	54	22	10	7	22	29	112	Home	1991-11-22	GOS	-4	0	1
70	1610612757	0029100162	NOV 24, 1991	POR vs. SAN	W	8	5	0.615384615384615	240	38	101	0.376	7	14	0.5	33	43	0.767	26	28	54	22	10	7	6	21	116	Home	1991-11-24	SAN	5	1	0
69	1610612757	0029100172	NOV 26, 1991	POR vs. MIL	W	9	5	0.642857142857143	265	39	84	0.464	1	11	0.091	28	38	0.737	10	28	38	27	13	4	19	32	107	Home	1991-11-26	MIL	9	2	0
68	1610612757	0029100185	NOV 29, 1991	POR vs. CHI	L	9	6	0.6	290	47	91	0.516	3	10	0.3	17	28	0.607	13	37	50	20	7	3	21	28	114	Home	1991-11-29	CHI	-2	0	1
67	1610612757	0029100207	DEC 01, 1991	POR vs. WAS	W	10	6	0.625	240	37	92	0.402	2	10	0.2	15	23	0.652	14	38	52	21	3	7	11	18	91	Home	1991-12-01	WAS	4	1	0
66	1610612757	0029100217	DEC 03, 1991	POR @ MIA	W	11	6	0.647058823529412	240	52	95	0.547	5	16	0.313	15	20	0.75	18	38	56	27	9	13	17	25	124	Away	1991-12-03	MIA	30	2	0
65	1610612757	0029100224	DEC 04, 1991	POR @ ORL	W	12	6	0.666666666666667	240	49	89	0.551	5	10	0.5	21	28	0.75	16	28	44	28	13	5	16	26	124	Away	1991-12-04	ORL	9	3	0
64	1610612757	0029100233	DEC 06, 1991	POR @ PHL	L	12	7	0.631578947368421	265	39	97	0.402	5	14	0.357	19	24	0.792	19	36	55	25	8	4	20	36	102	Away	1991-12-06	PHL	-3	0	1
63	1610612757	0029100240	DEC 07, 1991	POR @ IND	W	13	7	0.65	240	46	88	0.523	5	12	0.417	18	28	0.643	18	35	53	31	10	3	21	39	115	Away	1991-12-07	IND	3	1	0
62	1610612757	0029100258	DEC 10, 1991	POR vs. HOU	L	13	8	0.619047619047619	240	39	89	0.438	7	20	0.35	21	29	0.724	12	31	43	28	10	4	14	22	106	Home	1991-12-10	HOU	-2	0	1
61	1610612757	0029100279	DEC 13, 1991	POR vs. DET	L	13	9	0.590909090909091	240	41	103	0.398	3	12	0.25	18	21	0.857	18	24	42	21	12	2	14	28	103	Home	1991-12-13	DET	-10	0	2
60	1610612757	0029100283	DEC 14, 1991	POR vs. SAC	W	14	9	0.608695652173913	240	44	89	0.494	1	9	0.111	26	30	0.867	15	30	45	22	6	6	17	28	115	Home	1991-12-14	SAC	5	1	0
59	1610612757	0029100297	DEC 16, 1991	POR vs. MIN	W	15	9	0.625	240	47	88	0.534	6	12	0.5	19	28	0.679	11	24	35	24	15	4	12	26	119	Home	1991-12-16	MIN	15	2	0
58	1610612757	0029100325	DEC 20, 1991	POR @ GOS	L	15	10	0.6	240	42	99	0.424	7	16	0.438	27	35	0.771	23	30	53	28	13	2	21	33	118	Away	1991-12-20	GOS	-5	0	1
57	1610612757	0029100340	DEC 22, 1991	POR vs. SEA	W	16	10	0.615384615384615	240	37	82	0.451	2	10	0.2	20	30	0.667	16	29	45	19	6	6	11	19	96	Home	1991-12-22	SEA	9	1	0
56	1610612757	0029100359	DEC 26, 1991	POR vs. DAL	W	17	10	0.62962962962963	240	49	90	0.544	4	10	0.4	11	14	0.786	16	39	55	32	10	3	20	19	113	Home	1991-12-26	DAL	25	2	0
55	1610612757	0029100373	DEC 28, 1991	POR @ LAL	W	18	10	0.642857142857143	240	39	92	0.424	2	13	0.154	18	23	0.783	23	33	56	25	8	6	11	21	98	Away	1991-12-28	LAL	10	3	0
54	1610612757	0029100379	DEC 29, 1991	POR vs. MIA	W	19	10	0.655172413793103	240	50	88	0.568	2	5	0.4	27	34	0.794	11	29	40	35	13	5	15	28	129	Home	1991-12-29	MIA	33	4	0
53	1610612757	0029100394	JAN 02, 1992	POR @ UTH	L	19	11	0.633333333333333	240	45	97	0.464	3	13	0.231	10	13	0.769	19	23	42	27	8	8	9	26	103	Away	1992-01-02	UTH	-4	0	1
52	1610612757	0029100417	JAN 05, 1992	POR vs. PHL	W	20	11	0.645161290322581	240	45	84	0.536	4	13	0.308	21	30	0.7	10	25	35	36	11	5	18	20	115	Home	1992-01-05	PHL	13	1	0
51	1610612757	0029100427	JAN 07, 1992	POR vs. ORL	W	21	11	0.65625	240	35	73	0.479	0	1	0	34	40	0.85	9	34	43	29	11	5	14	25	104	Home	1992-01-07	ORL	15	2	0
50	1610612757	0029100445	JAN 10, 1992	POR @ DET	L	21	12	0.636363636363636	240	35	88	0.398	3	13	0.231	8	12	0.667	11	37	48	23	8	4	13	22	81	Away	1992-01-10	DET	-5	0	1
49	1610612757	0029100453	JAN 11, 1992	POR @ CHH	W	22	12	0.647058823529412	240	52	111	0.468	0	8	0	11	16	0.688	19	38	57	36	12	14	14	20	115	Away	1992-01-11	CHH	22	1	0
48	1610612757	0029100475	JAN 14, 1992	POR @ CLE	W	23	12	0.657142857142857	240	47	92	0.511	4	7	0.571	23	32	0.719	11	33	44	31	10	8	17	26	121	Away	1992-01-14	CLE	7	2	0
47	1610612757	0029100484	JAN 15, 1992	POR @ NYK	W	24	12	0.666666666666667	240	38	80	0.475	3	10	0.3	17	30	0.567	12	36	48	20	10	2	16	22	96	Away	1992-01-15	NYK	5	3	0
46	1610612757	0029100497	JAN 17, 1992	POR vs. CHH	W	25	12	0.675675675675676	240	50	107	0.467	3	9	0.333	17	23	0.739	23	42	65	32	9	7	21	27	120	Home	1992-01-17	CHH	16	4	0
45	1610612757	0029100509	JAN 19, 1992	POR @ PHX	L	25	13	0.657894736842105	265	49	101	0.485	7	17	0.412	23	34	0.676	21	29	50	23	3	6	11	32	128	Away	1992-01-19	PHX	-4	0	1
44	1610612757	0029100520	JAN 21, 1992	POR vs. LAL	W	26	13	0.666666666666667	240	49	83	0.59	6	9	0.667	27	35	0.771	6	32	38	37	9	2	13	23	131	Home	1992-01-21	LAL	39	1	0
