Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612758	0029100001	NOV 01, 1991	SAC vs. LAC	W	1	0	1	240	37	88	0.42	0	6	0	20	29	0.69	16	34	50	25	12	5	18	18	94	Home	1991-11-01	LAC	4	1	0
81	1610612758	0029100021	NOV 02, 1991	SAC @ GOS	L	1	1	0.5	240	39	98	0.398	5	10	0.5	8	12	0.667	11	18	29	28	10	5	28	25	91	Away	1991-11-02	GOS	-62	0	1
80	1610612758	0029100037	NOV 05, 1991	SAC @ SEA	L	1	2	0.333333333333333	240	34	87	0.391	1	5	0.2	18	25	0.72	18	25	43	17	10	9	16	20	87	Away	1991-11-05	SEA	-11	0	2
79	1610612758	0029100039	NOV 06, 1991	SAC vs. IND	W	2	2	0.5	240	44	96	0.458	2	9	0.222	22	25	0.88	12	32	44	20	12	5	17	15	112	Home	1991-11-06	IND	10	1	0
78	1610612758	0029100064	NOV 09, 1991	SAC vs. MIN	L	2	3	0.4	240	34	78	0.436	2	6	0.333	10	26	0.385	15	36	51	25	6	11	20	18	80	Home	1991-11-09	MIN	-4	0	1
77	1610612758	0029100075	NOV 11, 1991	SAC @ UTH	L	2	4	0.333333333333333	240	36	88	0.409	1	9	0.111	17	24	0.708	11	32	43	17	8	7	19	24	90	Away	1991-11-11	UTH	-16	0	2
76	1610612758	0029100076	NOV 12, 1991	SAC vs. BOS	L	2	5	0.285714285714286	240	39	94	0.415	3	4	0.75	22	29	0.759	16	23	39	21	10	7	12	18	103	Home	1991-11-12	BOS	-23	0	3
75	1610612758	0029100094	NOV 14, 1991	SAC vs. ATL	W	3	5	0.375	240	40	80	0.5	2	5	0.4	16	29	0.552	8	36	44	25	8	8	18	20	98	Home	1991-11-14	ATL	2	1	0
74	1610612758	0029100106	NOV 16, 1991	SAC vs. HOU	L	3	6	0.333333333333333	240	38	98	0.388	2	7	0.286	15	21	0.714	17	25	42	21	11	5	12	24	93	Home	1991-11-16	HOU	-9	0	1
73	1610612758	0029100124	NOV 19, 1991	SAC @ NJN	L	3	7	0.3	240	45	83	0.542	4	8	0.5	24	31	0.774	9	27	36	17	7	11	17	20	118	Away	1991-11-19	NJN	-4	0	2
72	1610612758	0029100129	NOV 20, 1991	SAC @ ATL	L	3	8	0.272727272727273	240	43	85	0.506	2	5	0.4	16	22	0.727	14	28	42	19	10	4	20	20	104	Away	1991-11-20	ATL	-12	0	3
71	1610612758	0029100142	NOV 22, 1991	SAC @ MIA	L	3	9	0.25	240	41	71	0.577	2	5	0.4	28	34	0.824	8	22	30	17	10	3	19	29	112	Away	1991-11-22	MIA	-6	0	4
70	1610612758	0029100157	NOV 23, 1991	SAC @ ORL	W	4	9	0.307692307692308	240	37	86	0.43	2	8	0.25	19	24	0.792	12	26	38	20	10	7	14	23	95	Away	1991-11-23	ORL	2	1	0
69	1610612758	0029100169	NOV 26, 1991	SAC vs. PHX	W	5	9	0.357142857142857	240	40	81	0.494	4	8	0.5	20	29	0.69	7	35	42	25	8	15	16	20	104	Home	1991-11-26	PHX	15	2	0
68	1610612758	0029100177	NOV 27, 1991	SAC @ PHX	L	5	10	0.333333333333333	240	37	87	0.425	5	10	0.5	21	25	0.84	6	25	31	18	9	4	25	26	100	Away	1991-11-27	PHX	-41	0	1
67	1610612758	0029100200	NOV 30, 1991	SAC vs. CHI	L	5	11	0.3125	240	36	89	0.404	4	8	0.5	26	34	0.765	15	23	38	17	8	7	10	25	102	Home	1991-11-30	CHI	-16	0	2
66	1610612758	0029100213	DEC 03, 1991	SAC vs. SAN	W	6	11	0.352941176470588	240	38	89	0.427	4	8	0.5	19	30	0.633	16	30	46	27	18	9	19	19	99	Home	1991-12-03	SAN	5	1	0
65	1610612758	0029100244	DEC 07, 1991	SAC @ GOS	L	6	12	0.333333333333333	240	53	88	0.602	4	9	0.444	10	13	0.769	6	31	37	25	8	2	24	18	120	Away	1991-12-07	GOS	-4	0	1
64	1610612758	0029100262	DEC 10, 1991	SAC vs. LAL	L	6	13	0.315789473684211	240	38	79	0.481	1	7	0.143	13	14	0.929	10	28	38	21	6	15	15	19	90	Home	1991-12-10	LAL	-2	0	2
63	1610612758	0029100272	DEC 12, 1991	SAC vs. ORL	W	7	13	0.35	240	41	88	0.466	5	9	0.556	19	38	0.5	12	35	47	24	13	13	19	25	106	Home	1991-12-12	ORL	6	1	0
62	1610612758	0029100283	DEC 14, 1991	SAC @ POR	L	7	14	0.333333333333333	240	34	82	0.415	4	14	0.286	38	40	0.95	12	23	35	18	9	5	13	29	110	Away	1991-12-14	POR	-5	0	1
61	1610612758	0029100296	DEC 15, 1991	SAC @ LAL	L	7	15	0.318181818181818	240	43	85	0.506	1	2	0.5	7	11	0.636	11	31	42	28	3	4	14	21	94	Away	1991-12-15	LAL	-16	0	2
60	1610612758	0029100319	DEC 19, 1991	SAC @ HOU	L	7	16	0.304347826086957	240	40	93	0.43	6	11	0.545	16	18	0.889	12	24	36	28	10	2	9	24	102	Away	1991-12-19	HOU	-7	0	3
59	1610612758	0029100333	DEC 21, 1991	SAC @ DAL	L	7	17	0.291666666666667	240	34	91	0.374	1	9	0.111	16	24	0.667	19	26	45	13	11	10	21	24	85	Away	1991-12-21	DAL	-24	0	4
58	1610612758	0029100347	DEC 23, 1991	SAC @ SAN	L	7	18	0.28	240	37	85	0.435	2	9	0.222	14	15	0.933	11	37	48	20	13	10	23	27	90	Away	1991-12-23	SAN	-11	0	5
57	1610612758	0029100355	DEC 26, 1991	SAC vs. SEA	L	7	19	0.269230769230769	265	41	92	0.446	6	13	0.462	18	26	0.692	14	27	41	26	10	9	19	22	106	Home	1991-12-26	SEA	-9	0	6
56	1610612758	0029100377	DEC 28, 1991	SAC @ CHI	L	7	20	0.259259259259259	240	48	91	0.527	2	9	0.222	20	26	0.769	13	27	40	28	9	3	18	32	118	Away	1991-12-28	CHI	-9	0	7
55	1610612758	0029100383	DEC 30, 1991	SAC @ MIN	W	8	20	0.285714285714286	240	48	85	0.565	3	5	0.6	18	27	0.667	14	32	46	32	6	3	15	25	117	Away	1991-12-30	MIN	8	1	0
54	1610612758	0029100393	JAN 02, 1992	SAC vs. PHL	W	9	20	0.310344827586207	240	45	87	0.517	3	8	0.375	21	32	0.656	15	33	48	28	9	11	15	30	114	Home	1992-01-02	PHL	4	2	0
53	1610612758	0029100405	JAN 04, 1992	SAC vs. MIA	L	9	21	0.3	240	37	87	0.425	4	11	0.364	19	29	0.655	14	25	39	24	8	11	19	27	97	Home	1992-01-04	MIA	-13	0	1
52	1610612758	0029100421	JAN 06, 1992	SAC @ BOS	L	9	22	0.290322580645161	240	43	101	0.426	5	10	0.5	17	18	0.944	18	30	48	23	8	8	12	25	108	Away	1992-01-06	BOS	-2	0	2
51	1610612758	0029100431	JAN 08, 1992	SAC @ DET	L	9	23	0.28125	240	41	95	0.432	1	9	0.111	12	17	0.706	17	28	45	26	14	3	22	20	95	Away	1992-01-08	DET	-19	0	3
50	1610612758	0029100440	JAN 09, 1992	SAC @ CHH	L	9	24	0.272727272727273	240	37	98	0.378	3	11	0.273	19	30	0.633	21	21	42	25	7	5	18	19	96	Away	1992-01-09	CHH	-13	0	4
49	1610612758	0029100461	JAN 11, 1992	SAC @ MIL	W	10	24	0.294117647058824	265	44	86	0.512	3	6	0.5	15	21	0.714	12	33	45	32	12	10	22	20	106	Away	1992-01-11	MIL	1	1	0
48	1610612758	0029100468	JAN 13, 1992	SAC @ DEN	L	10	25	0.285714285714286	240	41	82	0.5	3	7	0.429	24	29	0.828	11	31	42	24	12	7	18	31	109	Away	1992-01-13	DEN	-2	0	1
47	1610612758	0029100481	JAN 15, 1992	SAC vs. PHX	L	10	26	0.277777777777778	240	40	90	0.444	2	8	0.25	29	34	0.853	14	31	45	23	12	16	23	27	111	Home	1992-01-15	PHX	-17	0	2
46	1610612758	0029100495	JAN 17, 1992	SAC @ PHX	L	10	27	0.27027027027027	240	38	100	0.38	1	6	0.167	17	19	0.895	16	25	41	22	10	15	18	21	94	Away	1992-01-17	PHX	-40	0	3
45	1610612758	0029100505	JAN 18, 1992	SAC vs. CHH	W	11	27	0.289473684210526	240	42	87	0.483	4	12	0.333	31	38	0.816	14	34	48	28	4	11	12	19	119	Home	1992-01-18	CHH	6	1	0
