Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS	LOCATION	DATE	OPP	MARGIN	WIN_STREAK	LOSS_STREAK
82	1610612760	0029100008	NOV 01, 1991	SEA vs. PHX	L	0	1	0	240	36	86	0.419	1	7	0.143	22	30	0.733	15	30	45	17	6	4	18	20	95	Home	1991-11-01	PHX	-4	0	1
81	1610612760	0029100025	NOV 03, 1991	SEA vs. SAN	L	0	2	0	240	37	81	0.457	3	13	0.231	21	25	0.84	14	26	40	20	8	4	21	25	98	Home	1991-11-03	SAN	-8	0	2
80	1610612760	0029100037	NOV 05, 1991	SEA vs. SAC	W	1	2	0.333333333333333	240	40	88	0.455	2	8	0.25	16	24	0.667	19	28	47	21	8	7	19	20	98	Home	1991-11-05	SAC	11	1	0
79	1610612760	0029100051	NOV 07, 1991	SEA @ UTH	W	2	2	0.5	240	39	77	0.506	2	5	0.4	23	33	0.697	12	30	42	19	8	7	14	18	103	Away	1991-11-07	UTH	8	2	0
78	1610612760	0029100065	NOV 09, 1991	SEA vs. IND	W	3	2	0.6	240	46	93	0.495	3	8	0.375	23	33	0.697	21	26	47	17	5	1	12	32	118	Home	1991-11-09	IND	7	3	0
77	1610612760	0029100093	NOV 14, 1991	SEA @ CLE	L	3	3	0.5	265	43	86	0.5	3	7	0.429	20	26	0.769	11	29	40	28	8	4	15	28	109	Away	1991-11-14	CLE	-6	0	1
76	1610612760	0029100104	NOV 15, 1991	SEA @ IND	W	4	3	0.571428571428571	240	43	82	0.524	4	8	0.5	34	46	0.739	19	34	53	30	7	8	14	19	124	Away	1991-11-15	IND	16	1	0
75	1610612760	0029100117	NOV 17, 1991	SEA @ MIN	W	5	3	0.625	240	39	76	0.513	0	7	0	23	31	0.742	7	33	40	24	2	8	18	24	101	Away	1991-11-17	MIN	10	2	0
74	1610612760	0029100120	NOV 19, 1991	SEA @ WAS	W	6	3	0.666666666666667	240	44	78	0.564	2	5	0.4	23	28	0.821	14	34	48	25	7	9	23	26	113	Away	1991-11-19	WAS	7	3	0
73	1610612760	0029100137	NOV 20, 1991	SEA @ DET	W	7	3	0.7	240	36	90	0.4	3	8	0.375	16	24	0.667	15	30	45	19	10	6	5	19	91	Away	1991-11-20	DET	5	4	0
72	1610612760	0029100143	NOV 22, 1991	SEA vs. CHI	L	7	4	0.636363636363636	265	39	86	0.453	1	5	0.2	30	35	0.857	16	30	46	21	9	2	20	19	109	Home	1991-11-22	CHI	-3	0	1
71	1610612760	0029100163	NOV 24, 1991	SEA @ LAC	L	7	5	0.583333333333333	240	35	81	0.432	1	4	0.25	15	19	0.789	14	29	43	19	9	2	22	18	86	Away	1991-11-24	LAC	-3	0	2
70	1610612760	0029100168	NOV 26, 1991	SEA vs. GOS	W	8	5	0.615384615384615	265	46	100	0.46	3	8	0.375	41	49	0.837	20	34	54	26	15	6	20	26	136	Home	1991-11-26	GOS	6	1	0
69	1610612760	0029100191	NOV 29, 1991	SEA @ DEN	L	8	6	0.571428571428571	240	27	70	0.386	1	6	0.167	35	41	0.854	10	29	39	10	14	9	25	25	90	Away	1991-11-29	DEN	-11	0	1
